Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2019-01-06;66,00;120,77;11,23;77,23;0,00;11,00;0,00;0,00;0,00
2019-01-13;34,00;56,67;34,00;79,33;0,00;0,00;0,00;11,00;11,00
2019-01-20;11,00;64,63;22,00;119,63;11,00;11,00;0,00;0,00;0,00
2019-01-27;44,00;55,35;55,35;44,00;0,00;0,00;11,00;11,00;11,00
2019-02-03;46,00;93,44;0,00;46,00;0,00;0,00;11,00;34,00;34,00
2019-02-10;35,00;22,40;22,40;91,00;0,00;12,00;0,00;0,00;0,00
2019-02-17;12,00;12,00;24,00;109,50;0,00;12,00;0,00;0,00;0,00
2019-02-24;34,00;11,33;11,33;34,00;0,00;0,00;12,00;12,00;0,00
2019-03-03;11,00;11,00;11,00;64,63;0,00;0,00;0,00;22,00;0,00
2019-03-10;34,00;22,67;11,33;79,33;0,00;23,00;0,00;11,00;11,00
2019-03-17;47,00;35,61;24,21;82,61;0,00;0,00;12,00;0,00;0,00
2019-03-24;23,00;23,00;23,00;47,44;0,00;0,00;0,00;0,00;0,00
2019-03-31;34,00;56,67;22,67;90,67;0,00;11,00;11,00;11,00;11,00
2019-04-07;22,00;11,73;11,73;45,47;0,00;0,00;22,00;0,00;0,00
2019-04-14;38,00;12,67;25,33;50,67;0,00;13,00;0,00;13,00;0,00
2019-04-21;26,00;52,00;26,00;52,00;0,00;0,00;13,00;0,00;13,00
2019-04-28;22,00;57,20;57,20;57,20;0,00;0,00;11,00;22,00;0,00
2019-05-05;33,00;0,00;22,96;78,91;0,00;11,00;0,00;11,00;0,00
2019-05-12;56,00;56,00;0,00;44,80;0,00;11,00;0,00;23,00;0,00
2019-05-19;22,00;22,00;44,00;108,63;0,00;0,00;0,00;11,00;0,00
2019-05-26;24,00;12,71;12,71;72,00;0,00;0,00;37,00;12,00;0,00
2019-06-02;11,00;66,00;22,00;55,00;0,00;0,00;11,00;0,00;0,00
2019-06-09;34,00;11,33;22,67;92,08;0,00;23,00;11,00;23,00;0,00
2019-06-16;47,00;22,79;11,39;69,79;11,39;0,00;0,00;0,00;0,00
2019-06-23;12,00;0,00;12,00;46,67;0,00;0,00;0,00;25,00;0,00
2019-06-30;48,00;59,29;11,29;48,00;0,00;0,00;24,00;0,00;0,00
2019-07-07;24,00;48,00;24,00;36,71;0,00;24,00;0,00;24,00;12,00
2019-07-14;39,00;12,54;0,00;39,00;12,54;0,00;0,00;13,00;0,00
2019-07-21;28,00;28,00;28,00;54,60;0,00;0,00;14,00;42,00;0,00
2019-07-28;28,00;28,00;0,00;140,00;0,00;0,00;14,00;0,00;14,00
2019-08-04;26,00;131,44;13,00;66,44;0,00;39,00;13,00;0,00;13,00
2019-08-11;35,00;0,00;23,80;57,40;0,00;0,00;12,00;0,00;12,00
2019-08-18;45,00;22,50;0,00;90,00;0,00;0,00;11,00;0,00;23,00
2019-08-25;23,00;69,00;34,50;57,50;0,00;0,00;11,00;11,00;0,00
2019-09-01;33,00;21,52;11,48;55,96;0,00;0,00;11,00;11,00;0,00
2019-09-08;57,00;91,20;0,00;45,60;0,00;11,00;0,00;0,00;11,00
2019-09-15;23,00;58,94;0,00;81,94;0,00;0,00;0,00;12,00;0,00
2019-09-22;22,00;97,63;22,00;119,63;11,00;0,00;0,00;11,00;11,00
2019-09-29;57,00;34,20;22,80;79,80;0,00;0,00;0,00;0,00;0,00
2019-10-06;11,00;44,00;22,00;133,38;11,00;0,00;0,00;11,00;0,00
2019-10-13;23,00;57,50;11,50;80,50;0,00;0,00;11,00;0,00;11,00
2019-10-20;32,00;11,13;43,13;105,74;0,00;11,00;22,00;0,00;0,00
2019-10-27;44,00;76,65;44,00;88,00;0,00;0,00;11,00;0,00;33,00
2019-11-03;43,00;43,00;32,97;87,43;0,00;0,00;32,00;0,00;0,00
2019-11-10;11,00;74,25;42,63;85,25;0,00;11,00;0,00;11,00;11,00
2019-11-17;43,00;54,47;21,50;87,43;0,00;32,00;11,00;22,00;11,00
2019-11-24;21,00;51,80;9,80;72,80;0,00;11,00;0,00;21,00;32,00
2019-12-01;33,00;44,48;33,00;66,00;0,00;0,00;22,00;0,00;22,00
2019-12-08;43,00;32,97;43,00;75,97;0,00;0,00;32,00;11,00;21,00
2019-12-15;66,00;43,53;54,77;32,30;0,00;0,00;0,00;0,00;11,00
2019-12-22;26,00;53,44;13,00;79,44;0,00;13,00;0,00;0,00;0,00
2019-12-29;100,00;87,32;49,30;111,27;0,00;0,00;0,00;13,00;0,00
2020-01-05;42,00;10,14;21,72;107,17;0,00;0,00;10,00;0,00;10,00
2020-01-12;31,00;40,86;50,73;91,59;0,00;0,00;0,00;10,00;0,00
2020-01-19;31,00;52,14;9,86;102,86;0,00;21,00;0,00;21,00;10,00
2020-01-26;41,00;50,90;21,21;21,21;0,00;0,00;0,00;0,00;0,00
2020-02-02;31,00;62,00;31,00;81,73;9,86;10,00;21,00;10,00;31,00
2020-02-09;52,00;73,67;10,11;52,00;10,11;21,00;0,00;0,00;10,00
2020-02-16;42,00;61,60;30,80;51,80;0,00;10,00;0,00;0,00;0,00
2020-02-23;20,00;50,00;60,00;71,43;0,00;0,00;0,00;10,00;0,00
2020-03-01;20,00;30,00;30,00;60,00;10,00;10,00;10,00;0,00;30,00
2020-03-08;9,00;43,71;9,00;69,43;0,00;0,00;0,00;10,00;0,00
2020-03-15;10,00;20,00;0,00;20,00;0,00;10,00;19,00;0,00;0,00
2020-03-22;19,00;19,00;29,23;77,46;0,00;0,00;0,00;9,00;0,00
2020-03-29;38,00;38,00;18,30;46,44;0,00;0,00;0,00;0,00;0,00
2020-04-05;52,00;21,08;9,84;42,16;0,00;0,00;0,00;11,00;0,00
2020-04-12;0,00;29,00;14,00;21,00;0,00;0,00;0,00;0,00;0,00
2020-04-19;19,00;19,00;0,00;92,29;0,00;0,00;0,00;0,00;0,00
2020-04-26;27,00;35,53;18,47;27,00;8,53;9,00;9,00;0,00;0,00
2020-05-03;10,00;38,57;28,57;48,57;0,00;10,00;19,00;10,00;10,00
2020-05-10;19,00;19,00;10,23;29,23;0,00;0,00;28,00;0,00;0,00
2020-05-17;31,00;31,00;9,86;42,27;0,00;0,00;32,00;11,00;0,00
2020-05-24;40,00;10,00;20,00;20,00;10,00;10,00;20,00;0,00;0,00
2020-05-31;10,00;20,00;20,00;48,57;0,00;0,00;10,00;0,00;0,00
2020-06-07;0,00;20,00;27,00;7,00;7,00;0,00;10,00;0,00;10,00
2020-06-14;48,00;29,65;19,76;77,65;0,00;0,00;10,00;10,00;0,00
2020-06-21;31,00;31,00;9,86;71,86;0,00;0,00;10,00;0,00;0,00
2020-06-28;20,00;20,00;10,00;30,00;0,00;0,00;0,00;10,00;0,00
2020-07-05;32,00;20,87;62,61;62,61;0,00;0,00;0,00;0,00;0,00
2020-07-12;33,00;44,48;11,48;21,52;21,52;0,00;0,00;0,00;11,00
2020-07-19;22,00;33,00;22,00;53,63;11,00;11,00;0,00;11,00;0,00
2020-07-26;34,00;22,67;11,33;56,67;0,00;11,00;0,00;0,00;0,00
2020-08-02;33,00;33,00;21,52;11,48;0,00;0,00;0,00;0,00;11,00
2020-08-09;10,00;62,86;10,00;52,86;0,00;10,00;0,00;0,00;0,00
2020-08-16;21,00;0,00;21,00;71,40;0,00;0,00;10,00;0,00;21,00
2020-08-23;41,00;41,00;9,90;19,79;0,00;0,00;0,00;0,00;10,00
2020-08-30;0,00;21,00;14,00;35,00;0,00;0,00;0,00;10,00;0,00
2020-09-06;31,00;31,00;9,86;40,86;9,86;0,00;0,00;0,00;0,00
2020-09-13;41,00;0,00;9,90;60,79;19,79;0,00;10,00;10,00;0,00
2020-09-20;40,00;10,00;10,00;20,00;0,00;10,00;20,00;0,00;20,00
2020-09-27;42,00;30,80;9,80;30,80;0,00;11,00;32,00;0,00;11,00
2020-10-04;0,00;0,00;8,00;38,00;0,00;0,00;0,00;0,00;32,00
2020-10-11;0,00;23,00;8,00;0,00;0,00;22,00;11,00;0,00;0,00
2020-10-18;11,00;31,63;31,63;42,63;0,00;0,00;0,00;0,00;0,00
2020-10-25;10,00;52,86;21,43;41,43;0,00;0,00;10,00;10,00;0,00
2020-11-01;19,00;28,50;0,00;46,14;0,00;0,00;0,00;0,00;0,00
2020-11-08;42,00;9,80;0,00;42,00;0,00;0,00;0,00;11,00;11,00
2020-11-15;0,00;15,00;7,00;59,00;0,00;0,00;0,00;0,00;10,00
2020-11-22;30,00;20,00;20,00;51,43;0,00;0,00;0,00;30,00;0,00
2020-11-29;31,00;31,00;9,86;9,86;0,00;10,00;0,00;10,00;20,00
2020-12-06;20,00;31,43;20,00;51,43;10,00;0,00;0,00;0,00;10,00
2020-12-13;32,00;32,00;21,82;53,82;0,00;0,00;21,00;11,00;0,00
2020-12-20;24,00;35,29;11,29;35,29;0,00;0,00;0,00;0,00;24,00
2020-12-27;48,00;59,29;35,29;35,29;11,29;12,00;12,00;24,00;0,00
2021-01-03;10,00;41,43;62,86;41,43;0,00;0,00;0,00;0,00;0,00
2021-01-10;0,00;37,00;7,00;81,00;0,00;21,00;10,00;10,00;0,00
2021-01-17;21,00;54,00;43,50;43,50;0,00;10,00;10,00;0,00;0,00
2021-01-24;20,00;51,43;30,00;101,43;0,00;20,00;0,00;0,00;0,00
2021-01-31;40,00;71,43;10,00;91,43;0,00;0,00;0,00;0,00;0,00
2021-02-07;31,00;31,00;31,00;50,73;0,00;10,00;0,00;0,00;10,00
2021-02-14;43,00;11,47;21,50;54,47;0,00;0,00;0,00;22,00;11,00
2021-02-21;32,00;21,82;21,82;97,45;0,00;11,00;0,00;0,00;0,00
2021-02-28;52,00;40,76;0,00;30,92;0,00;0,00;0,00;0,00;10,00
2021-03-07;20,00;61,43;30,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-03-14;29,00;39,15;20,30;29,00;0,00;10,00;10,00;10,00;0,00
2021-03-21;31,00;0,00;9,86;0,00;0,00;0,00;0,00;0,00;0,00
2021-03-28;0,00;8,00;8,00;16,00;0,00;12,00;0,00;0,00;0,00
2021-04-04;44,00;11,35;11,35;44,00;0,00;0,00;0,00;0,00;0,00
2021-04-11;31,00;40,86;9,86;50,73;0,00;0,00;10,00;0,00;21,00
2021-04-18;21,00;0,00;0,00;42,00;0,00;0,00;0,00;0,00;11,00
2021-04-25;31,00;9,86;0,00;21,14;0,00;0,00;0,00;10,00;0,00
2021-05-02;10,00;41,43;21,43;62,86;0,00;0,00;0,00;0,00;0,00
2021-05-09;43,00;32,97;21,50;43,00;0,00;0,00;0,00;0,00;0,00
2021-05-16;31,00;31,00;31,00;60,59;0,00;10,00;0,00;31,00;0,00
2021-05-23;33,00;21,52;0,00;33,00;0,00;0,00;0,00;0,00;0,00
2021-05-30;32,00;0,00;11,13;32,00;0,00;0,00;0,00;0,00;11,00
2021-06-06;0,00;7,00;15,00;15,00;0,00;0,00;11,00;11,00;0,00
2021-06-13;21,00;21,00;0,00;32,20;0,00;11,00;0,00;21,00;0,00
2021-06-20;85,00;0,00;42,50;9,92;0,00;0,00;11,00;11,00;0,00
2021-06-27;53,00;21,49;0,00;54,43;0,00;0,00;11,00;0,00;0,00
2021-07-04;33,00;22,96;11,48;33,00;0,00;0,00;0,00;11,00;0,00
2021-07-11;34,00;22,67;0,00;68,00;0,00;0,00;0,00;11,00;0,00
2021-07-18;37,00;25,62;75,42;49,81;0,00;25,00;0,00;0,00;0,00
2021-07-25;49,00;72,80;23,80;134,40;12,60;0,00;0,00;12,00;0,00
2021-08-01;36,00;23,54;36,00;59,54;0,00;0,00;0,00;0,00;0,00
2021-08-08;24,00;49,41;12,71;24,00;0,00;0,00;0,00;0,00;12,00
2021-08-15;34,00;22,67;11,33;68,00;0,00;0,00;23,00;11,00;23,00
2021-08-22;48,00;48,00;0,00;24,00;0,00;0,00;12,00;12,00;0,00
2021-08-29;26,00;0,00;12,32;76,63;0,00;0,00;0,00;13,00;0,00
