Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Tignes (FR);Les Arcs (FR);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);La Clusaz (FR);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Vars (FR);Grand Bornand (FR);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;98,00;27,00;36,00;9,00;9,00;18,00;0,00;18,00;9,00;9,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;18,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;35,00;26,00;9,00;9,00;9,00;9,00;9,00;0,00;18,00;0,00;0,00;9,00;0,00;0,00;9,00;0,00;0,00;0,00;26,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;52,00;17,00;17,00;9,00;9,00;0,00;0,00;0,00;9,00;9,00;0,00;9,00;9,00;9,00;18,00;0,00;9,00;0,00;0,00;9,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;61,00;26,00;0,00;35,00;35,00;9,00;18,00;26,00;0,00;0,00;9,00;0,00;0,00;9,00;0,00;0,00;9,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;44,00;18,00;18,00;18,00;35,00;9,00;0,00;0,00;9,00;9,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;18,00;18,00;18,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;36,00;9,00;18,00;0,00;27,00;0,00;9,00;0,00;9,00;9,00;9,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00
2019-02-17;45,00;27,00;27,00;27,00;27,00;18,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;9,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;65,00;28,00;19,00;0,00;9,00;0,00;0,00;0,00;9,00;0,00;0,00;19,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;80,00;18,00;18,00;18,00;27,00;0,00;9,00;9,00;27,00;0,00;9,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;18,00;18,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;36,00;18,00;44,00;0,00;9,00;18,00;9,00;27,00;9,00;0,00;9,00;9,00;0,00;9,00;9,00;0,00;9,00;0,00;18,00;18,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-17;37,00;9,00;9,00;9,00;9,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;18,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;46,00;0,00;28,00;9,00;28,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;18,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-31;19,00;19,00;9,00;9,00;28,00;9,00;9,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-07;37,00;9,00;9,00;27,00;0,00;0,00;18,00;9,00;0,00;9,00;9,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-14;30,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;20,00;0,00;10,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00
2019-04-21;0,00;19,00;19,00;10,00;10,00;10,00;19,00;10,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-28;45,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;9,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-05;26,00;9,00;17,00;0,00;9,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-12;37,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-19;54,00;27,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;18,00;9,00;0,00;18,00;0,00;0,00;0,00;0,00;0,00;18,00;0,00;9,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-26;9,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;9,00;9,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
