Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2019-01-06;32,00;28,00;26,00;53,00;4,00;4,00;2,00;4,00;2,00
2019-01-13;19,00;13,00;19,00;54,00;4,00;6,00;8,00;6,00;6,00
2019-01-20;19,00;19,00;21,00;52,00;0,00;2,00;0,00;2,00;0,00
2019-01-27;17,00;19,00;10,00;37,00;2,00;2,00;8,00;23,00;0,00
2019-02-03;23,00;42,00;17,00;42,00;4,00;2,00;0,00;6,00;2,00
2019-02-10;26,00;32,00;19,00;54,00;0,00;2,00;4,00;13,00;2,00
2019-02-17;28,00;28,00;2,00;32,00;0,00;2,00;6,00;13,00;4,00
2019-02-24;24,00;31,00;4,00;29,00;2,00;2,00;2,00;20,00;7,00
2019-03-03;17,00;27,00;21,00;32,00;0,00;4,00;2,00;11,00;2,00
2019-03-10;28,00;23,00;6,00;40,00;0,00;2,00;2,00;13,00;0,00
2019-03-17;24,00;28,00;9,00;37,00;0,00;2,00;13,00;11,00;0,00
2019-03-24;7,00;31,00;18,00;35,00;2,00;0,00;9,00;18,00;2,00
2019-03-31;20,00;18,00;11,00;24,00;0,00;2,00;2,00;2,00;0,00
2019-04-07;22,00;9,00;11,00;33,00;7,00;0,00;11,00;2,00;2,00
2019-04-14;12,00;12,00;5,00;76,00;2,00;2,00;2,00;2,00;0,00
2019-04-21;14,00;7,00;9,00;57,00;0,00;2,00;5,00;5,00;7,00
2019-04-28;15,00;19,00;13,00;34,00;4,00;0,00;6,00;6,00;2,00
2019-05-05;21,00;19,00;8,00;48,00;2,00;4,00;4,00;0,00;2,00
2019-05-12;11,00;11,00;9,00;31,00;2,00;0,00;4,00;4,00;4,00
2019-05-19;17,00;17,00;9,00;30,00;0,00;2,00;2,00;4,00;6,00
2019-05-26;27,00;11,00;7,00;31,00;2,00;2,00;7,00;2,00;4,00
2019-06-02;13,00;28,00;9,00;38,00;0,00;0,00;9,00;6,00;4,00
2019-06-09;9,00;7,00;4,00;22,00;0,00;2,00;2,00;0,00;0,00
2019-06-16;25,00;13,00;22,00;49,00;0,00;0,00;7,00;4,00;2,00
2019-06-23;20,00;13,00;15,00;33,00;0,00;2,00;4,00;2,00;4,00
2019-06-30;22,00;17,00;17,00;35,00;2,00;2,00;4,00;2,00;2,00
2019-07-07;22,00;15,00;9,00;35,00;2,00;0,00;4,00;9,00;2,00
2019-07-14;18,00;21,00;11,00;34,00;0,00;0,00;2,00;0,00;7,00
2019-07-21;26,00;19,00;14,00;35,00;0,00;2,00;2,00;7,00;2,00
2019-07-28;9,00;11,00;9,00;40,00;2,00;0,00;0,00;0,00;0,00
2019-08-04;23,00;11,00;14,00;37,00;0,00;2,00;2,00;0,00;0,00
2019-08-11;26,00;20,00;9,00;42,00;0,00;0,00;4,00;4,00;0,00
2019-08-18;13,00;29,00;11,00;38,00;0,00;4,00;7,00;4,00;2,00
2019-08-25;20,00;29,00;9,00;38,00;2,00;4,00;4,00;7,00;0,00
2019-09-01;15,00;9,00;6,00;56,00;2,00;0,00;0,00;2,00;2,00
2019-09-08;15,00;19,00;6,00;47,00;2,00;2,00;0,00;6,00;4,00
2019-09-15;13,00;18,00;11,00;50,00;0,00;2,00;4,00;0,00;4,00
2019-09-22;30,00;15,00;11,00;53,00;2,00;0,00;0,00;4,00;4,00
2019-09-29;9,00;13,00;21,00;62,00;0,00;2,00;2,00;0,00;4,00
2019-10-06;21,00;34,00;23,00;42,00;6,00;0,00;4,00;2,00;0,00
2019-10-13;12,00;17,00;8,00;40,00;0,00;0,00;6,00;6,00;4,00
2019-10-20;14,00;14,00;14,00;43,00;2,00;6,00;2,00;0,00;4,00
2019-10-27;14,00;22,00;8,00;41,00;6,00;6,00;0,00;6,00;6,00
2019-11-03;6,00;22,00;8,00;41,00;0,00;2,00;0,00;8,00;4,00
2019-11-10;10,00;18,00;30,00;46,00;2,00;2,00;4,00;2,00;4,00
2019-11-17;10,00;8,00;6,00;50,00;2,00;0,00;8,00;8,00;2,00
2019-11-24;8,00;35,00;8,00;51,00;4,00;0,00;6,00;0,00;2,00
2019-12-01;12,00;27,00;27,00;24,00;4,00;2,00;4,00;0,00;0,00
2019-12-08;8,00;32,00;18,00;56,00;2,00;2,00;2,00;4,00;10,00
2019-12-15;6,00;31,00;16,00;31,00;2,00;0,00;0,00;0,00;0,00
2019-12-22;19,00;35,00;9,00;68,00;0,00;5,00;0,00;2,00;2,00
2019-12-29;17,00;22,00;20,00;74,00;2,00;7,00;2,00;2,00;2,00
2020-01-05;15,00;15,00;10,00;44,00;4,00;8,00;10,00;4,00;4,00
2020-01-12;19,00;24,00;30,00;39,00;0,00;4,00;2,00;2,00;6,00
2020-01-19;17,00;31,00;15,00;77,00;0,00;2,00;0,00;4,00;0,00
2020-01-26;23,00;31,00;15,00;29,00;0,00;4,00;19,00;4,00;2,00
2020-02-02;15,00;19,00;21,00;52,00;0,00;0,00;8,00;6,00;2,00
2020-02-09;7,00;24,00;20,00;22,00;0,00;0,00;4,00;4,00;2,00
