Semaine;Nice (FR);Paris (FR);Lille (FR);Strasbourg (FR);Lyon (FR);Marseille (FR);Bordeaux (FR);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Dijon (FR)
2019-01-06;26,00;182,00;2,17;56,33;13,00;10,00;5,00;3,00;7,00;3,00;0,00;0,00;0,00
2019-01-13;30,00;184,29;4,29;64,29;8,57;12,00;6,00;1,00;5,00;7,00;1,00;0,00;0,00
2019-01-20;30,00;175,71;2,14;64,29;8,57;14,00;13,00;4,00;6,00;5,00;9,00;5,00;1,00
2019-01-27;30,00;167,14;2,14;42,86;8,57;14,00;10,00;5,00;8,00;9,00;5,00;3,00;0,00
2019-02-03;35,00;179,38;2,19;65,63;8,75;12,00;8,00;4,00;5,00;2,00;4,00;2,00;0,00
2019-02-10;25,00;150,00;0,00;66,67;12,50;13,00;12,00;5,00;2,00;5,00;4,00;0,00;1,00
2019-02-17;32,00;176,00;2,00;68,00;4,00;7,00;6,00;4,00;5,00;1,00;1,00;0,00;1,00
2019-02-24;20,00;192,00;4,00;72,00;8,00;14,00;10,00;1,00;2,00;4,00;3,00;7,00;0,00
2019-03-03;27,00;181,29;3,86;69,43;3,86;12,00;8,00;1,00;4,00;3,00;3,00;2,00;1,00
2019-03-10;36,00;200,00;4,00;60,00;4,00;11,00;12,00;5,00;3,00;4,00;4,00;2,00;2,00
2019-03-17;34,00;204,00;4,25;80,75;12,75;14,00;5,00;3,00;2,00;5,00;1,00;3,00;1,00
2019-03-24;34,00;195,50;2,13;80,75;4,25;19,00;3,00;4,00;5,00;2,00;2,00;2,00;1,00
2019-03-31;34,00;174,25;4,25;85,00;4,25;22,00;7,00;4,00;7,00;2,00;1,00;2,00;0,00
2019-04-07;37,00;213,78;2,06;90,44;12,33;14,00;6,00;6,00;9,00;4,00;2,00;2,00;3,00
2019-04-14;45,00;409,09;4,09;106,36;16,36;15,00;9,00;1,00;8,00;4,00;2,00;2,00;2,00
2019-04-21;44,00;196,00;2,00;92,00;12,00;13,00;12,00;0,00;5,00;3,00;2,00;3,00;0,00
2019-04-28;50,00;204,17;4,17;66,67;2,08;13,00;11,00;2,00;4,00;2,00;2,00;2,00;2,00
2019-05-05;55,00;181,92;2,12;71,92;8,46;9,00;10,00;2,00;8,00;6,00;4,00;2,00;1,00
2019-05-12;43,00;202,10;4,30;81,70;4,30;12,00;5,00;6,00;11,00;7,00;3,00;3,00;0,00
2019-05-19;31,00;174,38;3,88;58,13;11,63;22,00;16,00;3,00;5,00;7,00;7,00;4,00;2,00
2019-05-26;27,00;177,43;0,00;92,57;7,71;22,00;8,00;4,00;11,00;6,00;4,00;0,00;1,00
2019-06-02;51,00;238,00;4,25;89,25;12,75;24,00;8,00;3,00;7,00;9,00;2,00;3,00;4,00
2019-06-09;50,00;212,50;4,17;87,50;12,50;20,00;9,00;3,00;7,00;6,00;6,00;4,00;1,00
2019-06-16;39,00;208,00;4,33;112,67;8,67;12,00;16,00;3,00;11,00;8,00;2,00;5,00;1,00
2019-06-23;58,00;190,57;4,14;66,29;12,43;17,00;17,00;5,00;8,00;3,00;9,00;4,00;4,00
2019-06-30;63,00;193,20;4,20;71,40;8,40;27,00;17,00;1,00;5,00;7,00;4,00;2,00;1,00
2019-07-07;35,00;205,63;2,19;96,25;13,13;10,00;14,00;3,00;6,00;8,00;2,00;6,00;2,00
2019-07-14;52,00;204,00;4,00;84,00;12,00;9,00;17,00;2,00;9,00;8,00;5,00;10,00;3,00
2019-07-21;38,00;206,89;2,11;114,00;12,67;11,00;6,00;1,00;6,00;7,00;2,00;2,00;1,00
2019-07-28;62,00;214,93;2,07;115,73;8,27;21,00;16,00;6,00;6,00;7,00;2,00;5,00;3,00
2019-08-04;60,00;224,00;8,00;108,00;12,00;19,00;12,00;4,00;4,00;8,00;2,00;3,00;2,00
