Semaine;Nice (FR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Fréjus (FR);Cannes (FR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR)
2019-01-06;54,00;46,29;0,00;0,00;0,00;0,00;9,00;4,00;0,00;9,64;0,00;0,00;9,64;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00
2019-01-13;38,00;53,20;0,00;0,00;15,20;0,00;4,00;4,00;0,00;3,80;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;8,00;64,00;8,00;0,00;8,00;0,00;12,00;16,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;45,00;45,00;7,50;7,50;15,00;0,00;4,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;4,00;4,00;0,00;0,00;0,00;0,00
2019-02-03;43,00;57,33;7,17;14,33;14,33;0,00;13,00;9,00;0,00;3,74;0,00;3,74;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00
2019-02-10;30,00;75,00;15,00;7,50;7,50;0,00;9,00;4,00;0,00;3,75;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;53,00;68,14;7,57;7,57;15,14;0,00;13,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;26,00;58,50;6,50;6,50;6,50;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00
2019-03-03;44,00;73,33;7,33;14,67;0,00;0,00;9,00;4,00;0,00;0,00;3,83;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00
2019-03-10;53,00;60,57;7,57;15,14;0,00;0,00;0,00;13,00;4,00;0,00;0,00;3,79;3,79;4,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00
2019-03-17;40,00;93,33;6,67;13,33;13,33;0,00;0,00;9,00;0,00;9,52;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00
2019-03-24;35,00;91,00;7,00;0,00;7,00;0,00;9,00;9,00;0,00;9,72;0,00;0,00;3,89;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-31;34,00;68,00;6,80;13,60;6,80;0,00;4,00;0,00;0,00;0,00;3,78;0,00;3,78;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-07;89,00;89,00;7,42;14,83;14,83;4,00;17,00;13,00;0,00;3,79;0,00;3,79;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00
2019-04-14;81,00;125,18;14,73;7,36;7,36;0,00;18,00;5,00;0,00;0,00;3,77;3,77;0,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00
2019-04-21;43,00;107,50;7,17;28,67;0,00;0,00;4,00;9,00;0,00;3,74;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00
2019-04-28;43,00;50,17;0,00;7,17;21,50;0,00;4,00;9,00;0,00;0,00;0,00;0,00;3,74;0,00;4,00;0,00;0,00;4,00;0,00;4,00;0,00
2019-05-05;42,00;84,00;7,00;7,00;14,00;0,00;8,00;8,00;0,00;3,82;0,00;3,82;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00
2019-05-12;64,00;99,56;7,11;14,22;14,22;0,00;17,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00
2019-05-19;47,00;70,50;15,67;15,67;0,00;0,00;17,00;8,00;0,00;3,92;0,00;0,00;3,92;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-26;46,00;76,67;7,67;15,33;7,67;4,00;13,00;13,00;0,00;13,42;0,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-02;90,00;150,00;7,50;15,00;7,50;0,00;20,00;12,00;0,00;7,66;0,00;0,00;3,83;0,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-09;58,00;130,50;14,50;7,25;14,50;0,00;12,00;8,00;0,00;7,73;3,87;0,00;0,00;4,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00
2019-06-16;65,00;72,22;7,22;14,44;7,22;9,00;22,00;9,00;0,00;3,82;0,00;9,56;0,00;4,00;4,00;0,00;13,00;0,00;0,00;9,00;0,00
2019-06-23;53,00;128,71;0,00;22,71;7,57;0,00;22,00;9,00;0,00;3,79;3,79;3,79;0,00;0,00;4,00;4,00;9,00;0,00;0,00;0,00;0,00
2019-06-30;62,00;137,78;13,78;20,67;20,67;0,00;4,00;27,00;0,00;3,76;0,00;3,76;9,39;4,00;4,00;4,00;0,00;0,00;0,00;4,00;0,00
2019-07-07;77,00;147,00;7,00;7,00;28,00;9,00;4,00;9,00;0,00;3,85;0,00;3,85;3,85;4,00;4,00;4,00;13,00;0,00;0,00;0,00;0,00
2019-07-14;66,00;190,67;14,67;7,33;14,67;4,00;18,00;4,00;0,00;9,43;0,00;0,00;9,43;0,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00
2019-07-21;50,00;214,29;42,86;21,43;14,29;14,00;0,00;9,00;0,00;3,85;0,00;0,00;3,85;0,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00
2019-07-28;84,00;231,00;7,00;28,00;7,00;9,00;51,00;19,00;0,00;3,82;0,00;0,00;0,00;0,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00
2019-08-04;65,00;180,56;21,67;28,89;43,33;0,00;14,00;23,00;0,00;3,82;9,56;0,00;3,82;5,00;9,00;14,00;14,00;0,00;0,00;0,00;0,00
2019-08-11;56,00;266,00;21,00;21,00;21,00;0,00;9,00;14,00;0,00;13,52;13,52;0,00;0,00;0,00;14,00;5,00;9,00;0,00;0,00;0,00;0,00
2019-08-18;100,00;714,29;21,43;7,14;28,57;0,00;23,00;14,00;0,00;9,62;0,00;0,00;3,85;0,00;18,00;0,00;5,00;0,00;0,00;0,00;0,00
2019-08-25;69,00;375,67;0,00;7,67;7,67;0,00;4,00;4,00;0,00;9,58;0,00;9,58;3,83;9,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-01;49,00;84,00;21,00;14,00;7,00;0,00;25,00;12,00;0,00;7,54;3,77;3,77;0,00;0,00;4,00;0,00;8,00;0,00;0,00;0,00;0,00
2019-09-08;60,00;90,00;7,50;7,50;15,00;8,00;12,00;12,00;0,00;3,75;0,00;0,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;4,00;0,00
2019-09-15;76,00;60,80;0,00;0,00;15,20;0,00;4,00;4,00;0,00;3,80;3,80;3,80;3,80;0,00;4,00;8,00;0,00;4,00;0,00;0,00;0,00
2019-09-22;37,00;88,80;0,00;14,80;7,40;4,00;4,00;0,00;0,00;3,89;0,00;3,89;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-29;48,00;82,29;6,86;0,00;6,86;0,00;8,00;4,00;4,00;3,84;0,00;7,68;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-06;60,00;67,50;0,00;15,00;15,00;0,00;8,00;4,00;0,00;0,00;3,87;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-13;31,00;69,75;7,75;7,75;7,75;0,00;12,00;0,00;0,00;7,75;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-20;38,00;121,60;7,60;7,60;7,60;0,00;8,00;8,00;0,00;3,80;0,00;0,00;0,00;0,00;4,00;8,00;4,00;0,00;0,00;0,00;0,00
2019-10-27;31,00;77,50;15,50;7,75;15,50;4,00;0,00;0,00;0,00;7,75;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-03;12,00;36,00;6,00;6,00;6,00;0,00;8,00;4,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00
2019-11-10;27,00;40,50;0,00;6,75;6,75;4,00;8,00;8,00;0,00;11,57;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-17;50,00;35,71;7,14;7,14;7,14;4,00;8,00;0,00;0,00;26,92;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-24;26,00;52,00;6,50;6,50;6,50;4,00;0,00;4,00;4,00;44,57;0,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00
2019-12-01;28,00;63,00;0,00;0,00;7,00;4,00;8,00;4,00;0,00;136,00;0,00;0,00;0,00;4,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00
2019-12-08;37,00;51,80;0,00;0,00;7,40;4,00;4,00;4,00;0,00;116,84;0,00;3,89;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-12-15;19,00;44,33;0,00;19,00;0,00;8,00;0,00;8,00;0,00;93,10;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00
2019-12-22;31,00;93,00;7,75;7,75;7,75;0,00;9,00;9,00;0,00;170,50;0,00;0,00;3,88;4,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00
