Semaine;Nice (FR);Paris (FR);Lille (FR);Strasbourg (FR);Lyon (FR);Marseille (FR);Bordeaux (FR);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Dijon (FR)
2019-01-06;35,00;641,67;5,83;11,67;35,00;35,00;35,00;9,00;26,00;9,21;16,58;0,00;0,00
2019-01-13;25,00;625,00;12,50;12,50;37,50;36,00;39,00;6,00;28,00;1,92;11,54;1,92;1,92
2019-01-20;5,00;420,00;10,00;20,00;20,00;16,00;21,00;8,00;29,00;21,67;16,67;1,67;0,00
2019-01-27;29,00;652,50;7,25;14,50;14,50;32,00;32,00;13,00;48,00;12,69;10,88;12,69;1,81
2019-02-03;28,00;644,00;7,00;14,00;28,00;31,00;31,00;6,00;25,00;1,87;22,40;5,60;0,00
2019-02-10;20,00;460,00;5,00;10,00;30,00;20,00;50,00;8,00;17,00;18,00;26,00;0,00;2,00
2019-02-17;34,00;623,33;5,67;11,33;34,00;40,00;57,00;6,00;26,00;9,44;22,67;0,00;0,00
2019-02-24;17,00;816,00;17,00;17,00;34,00;28,00;56,00;11,00;42,00;7,56;11,33;1,89;1,89
2019-03-03;28,00;700,00;14,00;28,00;28,00;40,00;34,00;6,00;28,00;3,73;16,80;9,33;0,00
2019-03-10;35,00;606,67;5,83;11,67;23,33;29,00;69,00;9,00;35,00;29,17;23,33;5,83;3,89
2019-03-17;26,00;585,00;0,00;26,00;26,00;35,00;67,00;3,00;41,00;9,29;20,43;9,29;5,57
2019-03-24;23,00;598,00;0,00;23,00;34,50;34,00;72,00;6,00;23,00;5,75;21,08;9,58;0,00
2019-03-31;22,00;495,00;5,50;33,00;22,00;44,00;74,00;14,00;19,00;18,33;27,50;1,83;0,00
2019-04-07;58,00;498,80;11,60;11,60;34,80;50,00;55,00;14,00;41,00;1,87;18,71;5,61;0,00
2019-04-14;53,00;1325,00;6,63;39,75;13,25;27,00;74,00;12,00;32,00;9,46;43,54;5,68;0,00
2019-04-21;28,00;574,00;7,00;28,00;28,00;28,00;42,00;25,00;37,00;13,07;11,20;1,87;0,00
2019-04-28;28,00;546,00;7,00;14,00;42,00;28,00;53,00;14,00;28,00;13,07;13,07;1,87;1,87
2019-05-05;27,00;580,50;0,00;27,00;40,50;52,00;66,00;14,00;33,00;12,60;28,80;7,20;1,80
2019-05-12;42,00;588,00;7,00;14,00;28,00;45,00;42,00;8,00;34,00;17,18;24,82;7,64;0,00
2019-05-19;30,00;675,00;7,50;15,00;30,00;28,00;33,00;19,00;36,00;5,63;24,38;7,50;5,63
2019-05-26;30,00;615,00;7,50;45,00;30,00;28,00;39,00;22,00;25,00;18,75;37,50;5,63;0,00
2019-06-02;59,00;507,40;5,90;47,20;23,60;51,00;27,00;5,00;24,00;30,45;30,45;5,71;0,00
2019-06-09;38,00;532,00;6,33;38,00;38,00;51,00;70,00;14,00;38,00;20,90;17,10;11,40;0,00
2019-06-16;43,00;659,33;14,33;28,67;43,00;57,00;63,00;31,00;31,00;11,22;31,78;3,74;3,74
2019-06-23;35,00;560,00;5,83;23,33;35,00;46,00;55,00;6,00;38,00;17,50;21,39;9,72;9,72
2019-06-30;41,00;628,67;13,67;41,00;27,33;32,00;84,00;14,00;35,00;44,90;15,62;15,62;0,00
2019-07-07;50,00;550,00;12,50;37,50;37,50;64,00;84,00;33,00;45,00;27,78;22,22;11,11;5,56
2019-07-14;43,00;537,50;0,00;32,25;21,50;52,00;72,00;26,00;40,00;14,96;39,26;22,43;5,61
2019-07-21;32,00;490,67;10,67;21,33;32,00;53,00;65,00;18,00;38,00;15,06;16,94;3,76;0,00
2019-07-28;55,00;756,25;13,75;13,75;27,50;61,00;61,00;15,00;55,00;20,86;43,62;15,17;3,79
2019-08-04;42,00;756,00;14,00;28,00;56,00;81,00;72,00;18,00;30,00;21,00;40,09;11,45;9,55
2019-08-11;36,00;648,00;12,00;36,00;24,00;45,00;100,00;24,00;52,00;24,63;41,68;15,16;0,00
2019-08-18;65,00;715,00;13,00;39,00;26,00;62,00;80,00;30,00;59,00;20,43;35,29;14,86;0,00
2019-08-25;45,00;607,50;11,25;33,75;22,50;37,00;87,00;20,00;42,00;22,50;30,00;5,63;1,88
2019-09-01;32,00;458,67;10,67;21,33;42,67;45,00;56,00;5,00;24,00;24,47;39,53;7,53;1,88
2019-09-08;39,00;559,00;6,50;26,00;13,00;37,00;66,00;18,00;39,00;18,57;22,29;0,00;0,00
2019-09-15;49,00;600,25;12,25;36,75;36,75;31,00;60,00;23,00;41,00;9,42;26,38;1,88;0,00
2019-09-22;24,00;564,00;6,00;36,00;24,00;42,00;58,00;21,00;32,00;24,00;18,46;0,00;1,85
2019-09-29;32,00;490,67;10,67;10,67;21,33;34,00;58,00;16,00;24,00;7,53;35,76;1,88;0,00
2019-10-06;39,00;637,00;13,00;39,00;52,00;34,00;54,00;10,00;21,00;20,43;35,29;5,57;5,57
2019-10-13;20,00;430,00;10,00;20,00;20,00;31,00;66,00;13,00;10,00;9,09;14,55;0,00;1,82
2019-10-20;25,00;487,50;12,50;37,50;25,00;45,00;48,00;8,00;35,00;17,31;36,54;1,92;0,00
2019-10-27;20,00;480,00;10,00;30,00;20,00;23,00;38,00;8,00;36,00;16,36;25,45;1,82;1,82
