Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2019-01-06;23,00;18,00;4,00;21,00;6,00;52,39;7,67;2,56;8,94;5,75;50,31;40,25;11,50;2,30;2,30;46,00;2,30;1,28;11,50;12,78;8,94
2019-01-13;38,00;22,00;5,00;25,00;4,00;32,93;6,33;1,27;13,93;4,38;51,15;52,62;13,15;4,75;10,69;40,38;1,19;56,34;11,79;11,79;7,86
2019-01-20;28,00;23,00;6,00;21,00;9,00;29,27;2,55;5,09;10,18;0,00;45,68;48,63;7,37;7,30;6,09;59,65;2,43;22,67;10,67;16,00;14,67
2019-01-27;44,00;17,00;7,00;11,00;0,00;27,66;5,03;1,26;11,31;4,40;51,33;52,80;5,87;4,76;2,38;68,97;3,57;2,67;38,67;10,67;13,33
2019-02-03;44,00;21,00;7,00;14,00;4,00;37,53;9,06;6,47;23,29;4,40;58,67;55,73;5,87;4,76;8,32;54,70;2,38;2,67;42,67;8,00;16,00
2019-02-10;45,00;27,00;5,00;11,00;5,00;43,71;10,29;2,57;23,14;1,45;39,19;52,26;5,81;4,74;10,66;45,00;4,74;2,65;48,97;9,26;17,21
2019-02-17;51,00;28,00;4,00;21,00;4,00;36,98;11,48;1,28;15,30;4,37;61,20;80,14;11,66;9,49;3,56;48,63;4,74;4,03;32,21;10,74;13,42
2019-02-24;57,00;31,00;9,00;14,00;5,00;27,20;3,89;5,18;14,25;7,31;42,38;61,38;7,31;4,75;4,75;51,06;1,19;3,98;25,19;9,28;19,88
2019-03-03;51,00;25,00;6,00;10,00;3,00;42,08;12,75;2,55;19,13;4,37;43,71;67,03;7,29;3,56;2,37;51,00;2,37;2,62;30,08;3,92;17,00
2019-03-10;48,00;24,00;9,00;17,00;3,00;45,47;5,05;2,53;10,11;4,36;45,09;61,09;10,18;4,80;3,60;56,40;1,20;5,33;29,33;4,00;13,33
2019-03-17;54,00;30,00;7,00;9,00;8,00;24,43;11,57;5,14;15,43;7,30;48,16;70,05;4,38;6,00;2,40;50,40;6,00;2,63;25,02;6,59;18,44
2019-03-24;61,00;27,00;10,00;14,00;10,00;35,58;11,44;2,54;20,33;5,81;49,38;75,52;10,17;2,39;2,39;47,84;8,37;6,63;21,22;7,96;22,54
2019-03-31;61,00;27,00;4,00;17,00;6,00;44,13;10,38;6,49;19,47;13,07;34,86;66,81;15,98;5,98;1,20;53,82;4,78;5,30;9,28;13,26;15,91
2019-04-07;57,00;35,00;4,00;25,00;7,00;49,40;13,93;2,53;16,47;16,08;35,08;80,38;19,00;3,56;4,75;45,13;8,31;2,65;3,98;25,19;18,56
2019-04-14;53,00;34,00;6,00;26,00;13,00;58,17;14,22;2,59;15,51;8,83;61,83;89,81;16,19;8,43;3,61;59,02;3,61;3,98;5,30;23,85;14,58
2019-04-21;57,00;32,00;10,00;28,00;12,00;76,00;13,93;3,80;16,47;4,38;38,00;78,92;19,00;7,13;1,19;60,56;7,13;5,30;5,30;29,16;19,88
2019-04-28;66,00;43,00;7,00;44,00;9,00;52,04;13,96;2,54;16,50;8,80;61,60;83,60;13,20;6,00;2,40;64,80;2,40;5,28;3,96;22,44;17,16
2019-05-05;52,00;28,00;14,00;20,00;7,00;49,46;13,95;3,80;22,83;4,33;37,56;70,78;14,44;8,27;2,36;63,82;2,36;6,67;8,00;24,00;17,33
2019-05-12;61,00;32,00;8,00;24,00;10,00;48,29;6,35;1,27;12,71;4,36;23,24;72,62;11,62;7,18;2,39;55,02;3,59;7,96;6,63;22,54;19,89
2019-05-19;58,00;30,00;3,00;28,00;9,00;41,24;11,60;2,58;18,04;4,35;37,70;60,90;11,60;8,46;2,42;47,13;1,21;3,95;5,27;21,09;17,14
2019-05-26;66,00;37,00;14,00;26,00;10,00;63,46;21,58;1,27;17,77;2,87;44,48;101,87;22,96;7,07;1,18;66,00;9,43;7,92;19,80;27,72;27,72
2019-06-02;53,00;22,00;8,00;21,00;13,00;63,34;7,76;0,00;12,93;5,89;45,64;98,64;8,83;9,64;1,20;71,07;2,41;9,28;11,93;29,15;19,88
2019-06-09;56,00;20,00;7,00;24,00;7,00;49,64;8,91;2,55;24,18;8,84;47,16;85,47;22,11;5,96;3,57;65,53;3,57;6,67;10,67;22,67;29,33
2019-06-16;67,00;31,00;7,00;31,00;12,00;64,42;10,31;9,02;15,46;7,28;43,70;75,74;20,39;5,98;1,20;63,41;2,39;12,06;9,38;24,12;17,42
2019-06-23;60,00;38,00;11,00;24,00;13,00;47,23;10,21;1,28;22,98;8,78;48,29;89,27;16,10;6,00;2,40;84,00;4,80;10,67;12,00;25,33;22,67
2019-06-30;69,00;32,00;9,00;29,00;22,00;65,17;8,94;3,83;21,72;4,40;44,04;96,89;11,74;2,38;4,76;80,90;9,52;5,31;9,29;27,87;26,54
2019-07-07;82,00;44,00;10,00;29,00;21,00;90,97;19,22;1,28;26,91;7,32;71,75;92,25;14,64;4,82;3,62;83,21;7,24;7,94;9,26;27,77;41,00
2019-07-14;64,00;35,00;15,00;27,00;9,00;79,36;8,96;6,40;35,84;4,36;53,82;114,91;17,45;6,04;6,04;100,23;8,45;12,00;13,33;20,00;41,33
2019-07-21;58,00;32,00;14,00;40,00;12,00;87,00;12,61;6,30;25,22;14,50;50,75;104,40;27,55;11,84;3,55;93,51;5,92;10,55;15,82;31,64;40,86
2019-07-28;80,00;45,00;10,00;35,00;15,00;81,27;24,13;6,35;50,79;16,00;72,73;116,36;29,09;5,97;4,78;99,10;11,94;13,33;16,00;25,33;40,00
2019-08-04;81,00;44,00;8,00;52,00;19,00;94,92;18,98;7,59;37,97;11,57;67,98;140,30;24,59;15,49;3,57;111,97;16,68;11,95;21,25;19,92;45,15
2019-08-11;100,00;57,00;10,00;43,00;14,00;94,87;10,26;5,13;44,87;27,54;85,51;104,35;31,88;5,95;4,76;69,05;5,95;10,67;21,33;33,33;61,33
2019-08-18;80,00;38,00;9,00;24,00;28,00;81,27;10,16;7,62;46,98;10,18;52,36;109,09;20,36;8,36;4,78;70,45;1,19;9,33;6,67;28,00;41,33
2019-08-25;55,00;23,00;10,00;22,00;20,00;80,58;16,63;5,12;19,19;7,24;46,32;89,74;13,03;11,96;1,20;60,98;2,39;5,37;12,07;26,83;22,80
2019-09-01;49,00;18,00;9,00;20,00;12,00;41,26;5,16;3,87;11,61;5,94;44,55;87,61;19,30;2,39;2,39;58,56;4,78;11,92;7,95;18,54;21,19
2019-09-08;57,00;26,00;7,00;25,00;13,00;38,86;11,66;3,89;5,18;2,92;45,31;86,23;10,23;6,06;2,43;44,87;2,43;10,60;7,95;22,53;18,56
2019-09-15;49,00;24,00;9,00;22,00;18,00;37,39;7,74;3,87;18,05;2,88;47,56;76,38;15,85;4,78;2,39;57,37;4,78;3,97;7,95;19,86;18,54
2019-09-22;39,00;21,00;10,00;12,00;9,00;22,10;2,60;0,00;7,80;1,44;43,33;70,78;13,00;8,53;1,22;62,16;2,44;9,41;6,72;22,86;12,10
