Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Tignes (FR);Les Arcs (FR);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);La Clusaz (FR);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Vars (FR);Grand Bornand (FR);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;44,00;29,00;32,00;20,00;26,00;25,00;19,00;17,00;13,00;26,00;13,00;4,00;17,00;8,00;20,00;16,00;10,00;6,00;13,00;7,00;11,00;12,00;10,00;17,00;7,00;2,00;8,00;8,00
2019-01-13;42,00;24,00;36,00;20,00;24,00;27,00;18,00;12,00;12,00;28,00;11,00;7,00;16,00;6,00;13,00;15,00;9,00;11,00;12,00;11,00;9,00;12,00;9,00;20,00;11,00;1,00;8,00;6,00
2019-01-20;49,00;22,00;35,00;29,00;26,00;24,00;18,00;14,00;8,00;20,00;16,00;9,00;15,00;10,00;26,00;13,00;14,00;8,00;14,00;5,00;8,00;15,00;6,00;30,00;12,00;4,00;8,00;11,00
2019-01-27;49,00;24,00;38,00;29,00;26,00;30,00;21,00;19,00;15,00;24,00;19,00;7,00;19,00;10,00;16,00;13,00;10,00;7,00;13,00;8,00;9,00;6,00;4,00;29,00;14,00;2,00;11,00;10,00
2019-02-03;48,00;20,00;42,00;29,00;30,00;24,00;22,00;13,00;12,00;19,00;16,00;10,00;16,00;13,00;17,00;16,00;9,00;6,00;14,00;10,00;13,00;6,00;7,00;29,00;15,00;4,00;9,00;16,00
2019-02-10;48,00;27,00;40,00;38,00;30,00;24,00;21,00;15,00;14,00;32,00;15,00;9,00;17,00;9,00;15,00;30,00;15,00;6,00;15,00;13,00;17,00;5,00;6,00;22,00;14,00;2,00;9,00;5,00
2019-02-17;51,00;26,00;34,00;29,00;25,00;34,00;19,00;12,00;15,00;25,00;14,00;19,00;20,00;11,00;16,00;39,00;12,00;6,00;16,00;6,00;13,00;4,00;7,00;27,00;15,00;1,00;10,00;6,00
2019-02-24;46,00;19,00;29,00;24,00;28,00;30,00;25,00;16,00;12,00;23,00;14,00;11,00;11,00;8,00;15,00;21,00;12,00;7,00;12,00;8,00;11,00;4,00;8,00;17,00;13,00;1,00;6,00;4,00
2019-03-03;52,00;23,00;28,00;23,00;31,00;28,00;13,00;20,00;9,00;22,00;18,00;7,00;15,00;7,00;12,00;14,00;14,00;2,00;10,00;8,00;7,00;4,00;6,00;22,00;11,00;0,50;7,00;9,00
2019-03-10;50,00;25,00;32,00;22,00;25,00;28,00;16,00;18,00;10,00;19,00;16,00;6,00;15,00;6,00;12,00;17,00;10,00;4,00;13,00;8,00;8,00;3,00;5,00;11,00;5,00;2,00;8,00;4,00
