Semaine;Nice (FR);Paris (FR);Lille (FR);Strasbourg (FR);Lyon (FR);Marseille (FR);Bordeaux (FR);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Dijon (FR)
2019-01-06;40,00;310,00;30,00;50,00;75,00;55,00;43,00;30,00;36,00;23,78;36,76;5,41;6,49
2019-01-13;41,00;297,25;30,75;46,13;76,88;50,00;38,00;22,00;37,00;22,66;28,05;5,39;7,55
2019-01-20;46,00;301,56;35,78;46,00;76,67;51,00;40,00;27,00;32,00;24,10;35,05;4,38;6,57
2019-01-27;36,00;318,86;41,14;46,29;61,71;46,00;53,00;17,00;34,00;22,91;29,45;6,55;4,36
2019-02-03;35,00;325,00;35,00;50,00;65,00;57,00;43,00;17,00;36,00;24,06;37,19;8,75;5,47
2019-02-10;33,00;301,71;33,00;47,14;61,29;55,00;39,00;14,00;41,00;28,60;37,40;7,70;7,70
2019-02-17;37,00;348,86;42,29;42,29;68,71;56,00;44,00;16,00;39,00;31,56;37,00;6,53;6,53
2019-02-24;45,00;325,00;30,00;50,00;55,00;66,00;42,00;19,00;46,00;23,05;32,93;8,78;5,49
2019-03-03;38,00;294,50;28,50;42,75;57,00;57,00;45,00;15,00;35,00;31,49;34,74;7,60;5,43
2019-03-10;44,00;303,11;29,33;48,89;58,67;52,00;42,00;15,00;40,00;20,90;28,60;5,50;6,60
2019-03-17;42,00;357,00;36,75;47,25;63,00;60,00;44,00;16,00;35,00;24,32;34,26;6,63;6,63
2019-03-24;43,00;315,33;33,44;43,00;62,11;59,00;42,00;18,00;35,00;26,46;30,87;7,72;5,51
2019-03-31;50,00;345,00;35,00;50,00;90,00;59,00;49,00;29,00;40,00;27,78;43,33;6,67;7,78
2019-04-07;57,00;362,73;36,27;57,00;82,91;61,00;42,00;32,00;39,00;28,50;40,56;9,87;7,67
2019-04-14;59,00;491,67;44,25;49,17;73,75;71,00;47,00;32,00;39,00;32,28;47,87;8,91;8,91
2019-04-21;56,00;346,18;35,64;50,91;76,36;61,00;45,00;33,00;37,00;32,94;35,14;8,78;6,59
2019-04-28;59,00;319,58;29,50;63,92;68,83;68,00;42,00;36,00;38,00;26,22;34,96;8,74;8,74
2019-05-05;54,00;304,36;29,45;49,09;63,82;55,00;39,00;30,00;36,00;26,45;34,16;7,71;9,92
2019-05-12;52,00;322,40;31,20;52,00;67,60;60,00;47,00;28,00;34,00;25,45;28,77;7,74;8,85
2019-05-19;50,00;315,00;35,00;55,00;75,00;59,00;42,00;34,00;35,00;23,91;32,61;8,70;9,78
2019-05-26;56,00;356,36;35,64;45,82;71,27;62,00;44,00;28,00;36,00;28,55;28,55;9,88;9,88
2019-06-02;57,00;318,25;28,50;47,50;61,75;64,00;49,00;29,00;34,00;28,50;29,60;9,87;9,87
2019-06-09;58,00;352,83;33,83;48,33;67,67;65,00;48,00;31,00;33,00;32,83;33,92;10,94;8,75
2019-06-16;70,00;385,00;40,00;55,00;70,00;72,00;47,00;31,00;38,00;31,72;33,91;9,84;10,94
2019-06-23;66,00;375,69;35,54;55,85;81,23;73,00;45,00;32,00;42,00;31,90;35,20;13,20;9,90
2019-06-30;61,00;366,00;35,58;55,92;86,42;70,00;47,00;34,00;38,00;34,86;37,04;11,98;9,80
2019-07-07;74,00;365,07;34,53;54,27;78,93;82,00;51,00;32,00;35,00;30,47;31,56;15,24;10,88
2019-07-14;72,00;360,00;33,60;48,00;72,00;75,00;50,00;34,00;42,00;33,82;40,36;13,09;8,73
2019-07-21;79,00;365,38;34,56;59,25;79,00;77,00;56,00;30,00;43,00;41,69;40,60;13,17;9,88
2019-07-28;75,00;375,00;35,00;50,00;80,00;89,00;54,00;35,00;45,00;48,91;40,22;10,87;10,87
2019-08-04;82,00;381,06;38,59;53,06;77,18;97,00;62,00;33,00;46,00;50,29;44,83;12,03;13,12
2019-08-11;86,00;394,59;40,47;60,71;80,94;93,00;64,00;35,00;43,00;56,23;45,21;15,44;11,03
2019-08-18;81,00;354,38;40,50;70,88;75,94;83,00;57,00;30,00;45,00;40,50;36,12;12,04;10,95
2019-08-25;66,00;340,15;50,77;71,08;76,15;69,00;50,00;33,00;42,00;34,10;35,20;9,90;9,90
2019-09-01;69,00;335,14;39,43;54,21;73,93;53,00;45,00;33,00;41,00;31,76;33,95;6,57;9,86
2019-09-08;59,00;349,08;39,33;63,92;78,67;58,00;47,00;32,00;41,00;28,41;32,78;8,74;7,65
2019-09-15;61,00;340,58;35,58;61,00;71,17;62,00;45,00;29,00;48,00;29,95;37,71;6,65;9,98
2019-09-22;54,00;333,82;34,36;49,09;73,64;66,00;46,00;31,00;39,00;23,14;34,16;7,71;19,84
2019-09-29;54,00;338,73;34,36;63,82;68,73;61,00;47,00;28,00;35,00;29,76;31,96;6,61;7,71
2019-10-06;56,00;336,00;35,64;56,00;76,36;52,00;43,00;27,00;39,00;24,16;31,84;7,69;5,49
2019-10-13;55,00;335,00;35,00;65,00;75,00;56,00;48,00;28,00;40,00;25,30;36,30;8,80;6,60
2019-10-20;55,00;360,00;40,00;65,00;75,00;61,00;48,00;29,00;40,00;36,30;36,30;7,70;12,10
2019-10-27;48,00;340,80;28,80;52,80;67,20;58,00;49,00;32,00;37,00;29,45;33,82;7,64;8,73
2019-11-03;48,00;312,00;33,60;57,60;67,20;49,00;44,00;29,00;40,00;27,27;33,82;5,45;6,55
2019-11-10;47,00;313,33;31,33;52,22;83,56;44,00;38,00;28,00;35,00;24,05;28,42;6,56;8,74
2019-11-17;46,00;306,67;35,78;61,33;71,56;47,00;37,00;26,00;38,00;20,81;29,57;6,57;6,57
2019-11-24;42,00;294,00;36,75;68,25;68,25;52,00;39,00;26,00;35,00;25,42;28,74;5,53;7,74
2019-12-01;49,00;298,90;29,40;68,60;63,70;45,00;34,00;27,00;38,00;24,50;32,30;5,57;6,68
2019-12-08;45,00;300,00;40,00;65,00;65,00;50,00;40,00;27,00;35,00;27,44;30,73;6,59;6,59
2019-12-15;57,00;316,09;31,09;72,55;67,36;44,00;47,00;28,00;37,00;23,02;35,08;5,48;8,77
2019-12-22;52,00;330,91;28,36;56,73;70,91;54,00;40,00;30,00;37,00;24,92;34,67;7,58;7,58
