Semaine;Nice (FR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Fréjus (FR);Cannes (FR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR)
2019-01-06;49,00;21,00;2,00;14,00;1,00;5,00;11,00;5,00;2,00;1,00;0,00;0,00;1,00;0,00;0,00;4,00;1,00;0,00;0,00;0,00;0,00
2019-01-13;49,00;13,00;4,00;10,00;2,00;1,00;7,00;7,00;4,00;0,00;2,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;54,00;13,00;6,00;5,00;0,00;4,00;6,00;5,00;4,00;0,00;0,00;0,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;42,00;8,00;4,00;6,00;2,00;2,00;11,00;9,00;0,00;0,00;2,00;0,00;1,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00
2019-02-03;48,00;14,00;2,00;12,00;2,00;1,00;8,00;5,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00
2019-02-10;48,00;7,00;2,00;10,00;2,00;2,00;10,00;7,00;0,00;0,00;1,00;2,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00
2019-02-17;56,00;10,00;6,00;5,00;2,00;0,00;10,00;2,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00
2019-02-24;52,00;7,00;6,00;10,00;1,00;4,00;7,00;5,00;2,00;1,00;1,00;1,00;0,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;0,00
2019-03-03;52,00;14,00;4,00;8,00;4,00;4,00;14,00;11,00;4,00;0,00;0,00;1,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;58,00;11,00;11,00;11,00;0,00;2,00;10,00;6,00;0,00;0,00;0,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-17;64,00;17,00;4,00;7,00;1,00;4,00;10,00;5,00;4,00;0,00;0,00;0,00;1,00;0,00;1,00;2,00;1,00;0,00;0,00;0,00;0,00
2019-03-24;54,00;9,00;3,00;5,00;3,00;4,00;13,00;6,00;3,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00
2019-03-31;58,00;15,00;9,00;6,00;3,00;1,00;10,00;8,00;3,00;0,00;1,00;0,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-04-07;80,00;15,00;6,00;10,00;4,00;1,00;11,00;12,00;2,00;0,00;0,00;0,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;1,00
2019-04-14;81,00;21,00;5,00;16,00;1,00;3,00;10,00;4,00;4,00;1,00;0,00;0,00;0,00;1,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
