Semaine;Nice (FR);Paris (FR);Lille (FR);Strasbourg (FR);Lyon (FR);Marseille (FR);Bordeaux (FR);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Dijon (FR)
2019-01-06;49,00;455,70;9,80;4,90;14,70;16,00;29,00;7,00;17,00;7,00;7,00;7,00;1,00
2019-01-13;49,00;382,20;9,80;4,90;9,80;20,00;25,00;2,00;17,00;4,00;7,00;4,00;2,00
2019-01-20;54,00;353,45;9,82;9,82;14,73;18,00;26,00;11,00;28,00;2,00;12,00;4,00;4,00
2019-01-27;42,00;367,50;10,50;5,25;15,75;12,00;15,00;4,00;22,00;5,00;13,00;7,00;0,00
2019-02-03;48,00;364,80;9,60;4,80;19,20;15,00;32,00;7,00;21,00;6,00;6,00;6,00;4,00
2019-02-10;48,00;360,00;14,40;9,60;28,80;9,00;24,00;2,00;17,00;5,00;9,00;2,00;6,00
2019-02-17;56,00;341,09;10,18;10,18;15,27;17,00;26,00;15,00;16,00;9,00;6,00;6,00;1,00
2019-02-24;52,00;374,40;5,20;2,60;15,60;9,00;36,00;5,00;19,00;9,00;9,00;2,00;2,00
2019-03-03;52,00;447,20;10,40;10,40;15,60;23,00;25,00;8,00;14,00;5,00;12,00;6,00;2,00
2019-03-10;58,00;377,00;9,67;19,33;19,33;13,00;19,00;7,00;17,00;13,00;7,00;5,00;6,00
2019-03-17;64,00;379,08;19,69;4,92;19,69;21,00;33,00;10,00;20,00;4,00;11,00;5,00;1,00
2019-03-24;54,00;348,55;9,82;9,82;4,91;28,00;20,00;9,00;20,00;10,00;9,00;6,00;3,00
2019-03-31;58,00;381,83;14,50;14,50;14,50;15,00;25,00;14,00;14,00;5,00;6,00;6,00;1,00
2019-04-07;80,00;370,00;10,00;10,00;15,00;20,00;33,00;13,00;18,00;7,00;11,00;10,00;1,00
2019-04-14;81,00;425,25;15,19;10,13;15,19;17,00;18,00;13,00;16,00;4,00;14,00;3,00;3,00
2019-04-21;90,00;290,00;10,00;10,00;10,00;19,00;31,00;17,00;19,00;7,00;10,00;7,00;2,00
2019-04-28;58,00;319,00;9,67;9,67;9,67;34,00;23,00;8,00;12,00;5,00;8,00;8,00;1,00
2019-05-05;87,00;343,17;9,67;19,33;9,67;28,00;38,00;6,00;23,00;9,00;11,00;7,00;1,00
2019-05-12;82,00;348,50;15,38;5,13;20,50;24,00;34,00;6,00;21,00;6,00;11,00;10,00;3,00
2019-05-19;77,00;410,67;20,53;10,27;15,40;26,00;28,00;11,00;25,00;11,00;12,00;7,00;4,00
2019-05-26;94,00;331,47;9,89;9,89;14,84;29,00;34,00;8,00;12,00;11,00;10,00;4,00;5,00
2019-06-02;98,00;372,40;14,70;4,90;14,70;36,00;25,00;12,00;9,00;13,00;15,00;8,00;3,00
2019-06-09;91,00;369,06;15,17;15,17;15,17;20,00;37,00;7,00;19,00;6,00;7,00;6,00;1,00
2019-06-16;94,00;400,74;14,84;2,47;19,79;26,00;43,00;9,00;12,00;9,00;13,00;10,00;2,00
2019-06-23;91,00;475,22;15,17;10,11;35,39;33,00;32,00;15,00;16,00;9,00;14,00;17,00;2,00
2019-06-30;80,00;405,00;5,00;10,00;30,00;20,00;33,00;4,00;9,00;10,00;19,00;9,00;4,00
2019-07-07;79,00;385,13;14,81;4,94;19,75;18,00;22,00;7,00;27,00;18,00;9,00;6,00;2,00
2019-07-14;94,00;356,21;19,79;14,84;19,79;22,00;27,00;10,00;28,00;10,00;13,00;8,00;2,00
2019-07-21;97,00;510,53;10,21;10,21;15,32;25,00;39,00;12,00;25,00;11,00;15,00;9,00;2,00
2019-07-28;61,00;462,58;5,08;5,08;20,33;11,00;25,00;11,00;21,00;9,00;16,00;10,00;2,00
2019-08-04;84,00;420,00;14,82;9,88;14,82;21,00;29,00;12,00;19,00;5,00;15,00;11,00;1,00
2019-08-11;100,00;425,00;15,00;10,00;15,00;25,00;24,00;10,00;18,00;10,00;17,00;11,00;6,00
2019-08-18;82,00;389,50;20,50;10,25;20,50;20,00;29,00;9,00;20,00;9,00;12,00;7,00;2,00
2019-08-25;74,00;394,67;14,80;14,80;9,87;28,00;33,00;2,00;16,00;9,00;14,00;10,00;1,00
2019-09-01;88,00;396,00;19,56;9,78;29,33;25,00;20,00;7,00;15,00;11,00;17,00;18,00;5,00
2019-09-08;83,00;429,65;14,65;14,65;19,53;26,00;33,00;5,00;17,00;8,00;7,00;15,00;1,00
2019-09-15;79,00;454,25;24,69;14,81;19,75;14,00;21,00;9,00;20,00;14,00;11,00;1,00;2,00
2019-09-22;73,00;433,13;14,60;14,60;19,47;18,00;26,00;2,00;21,00;10,00;7,00;9,00;2,00
2019-09-29;69,00;443,57;14,79;19,71;19,71;17,00;25,00;9,00;17,00;10,00;8,00;6,00;1,00
2019-10-06;49,00;441,00;14,70;19,60;24,50;27,00;21,00;6,00;20,00;12,00;10,00;6,00;6,00
2019-10-13;56,00;407,27;15,27;10,18;15,27;14,00;15,00;7,00;11,00;9,00;12,00;7,00;3,00
2019-10-20;55,00;440,00;10,00;15,00;20,00;26,00;19,00;9,00;20,00;6,00;10,00;1,00;0,00
2019-10-27;36,00;370,29;15,43;15,43;10,29;13,00;15,00;3,00;11,00;6,00;8,00;2,00;3,00
2019-11-03;38,00;370,50;9,50;9,50;9,50;14,00;21,00;5,00;21,00;10,00;9,00;5,00;2,00
2019-11-10;34,00;349,71;24,29;9,71;14,57;13,00;23,00;5,00;15,00;9,00;9,00;3,00;3,00
2019-11-17;45,00;315,00;10,00;5,00;10,00;16,00;24,00;10,00;23,00;2,00;5,00;3,00;2,00
2019-11-24;49,00;298,90;19,60;24,50;19,60;16,00;13,00;6,00;12,00;12,00;5,00;2,00;0,00
2019-12-01;35,00;310,00;15,00;10,00;25,00;11,00;13,00;4,00;11,00;9,00;4,00;5,00;1,00
2019-12-08;29,00;304,50;9,67;4,83;19,33;19,00;20,00;4,00;18,00;8,00;2,00;6,00;0,00
2019-12-15;54,00;353,45;14,73;19,64;14,73;21,00;19,00;6,00;20,00;10,00;10,00;5,00;2,00
2019-12-22;49,00;392,00;14,70;24,50;24,50;16,00;21,00;10,00;18,00;13,00;6,00;4,00;5,00
2019-12-29;60,00;420,00;5,00;20,00;20,00;22,00;41,00;7,00;22,00;3,00;7,00;7,00;1,00
2020-01-05;79,00;429,56;19,75;9,88;29,63;22,00;37,00;13,00;21,00;12,00;17,00;6,00;2,00
2020-01-12;63,00;455,54;19,38;19,38;14,54;27,00;26,00;6,00;20,00;11,00;18,00;4,00;2,00
2020-01-19;76,00;450,93;10,13;15,20;20,27;22,00;27,00;6,00;19,00;11,00;13,00;5,00;2,00
2020-01-26;76,00;354,67;15,20;10,13;15,20;22,00;28,00;9,00;20,00;11,00;11,00;6,00;0,00
2020-02-02;64,00;379,08;9,85;9,85;14,77;14,00;24,00;7,00;15,00;9,00;6,00;4,00;5,00
2020-02-09;52,00;397,09;4,73;14,18;28,36;23,00;27,00;7,00;18,00;8,00;6,00;3,00;2,00
2020-02-16;60,00;460,00;15,00;10,00;20,00;19,00;38,00;7,00;14,00;8,00;13,00;3,00;2,00
2020-02-23;46,00;444,67;5,11;20,44;15,33;16,00;22,00;5,00;9,00;10,00;9,00;4,00;1,00
2020-03-01;36,00;401,14;5,14;15,43;15,43;12,00;28,00;6,00;17,00;10,00;9,00;4,00;0,00
2020-03-08;41,00;328,00;10,25;5,13;15,38;19,00;21,00;8,00;10,00;6,00;4,00;6,00;0,00
2020-03-15;32,00;213,33;5,33;21,33;16,00;13,00;13,00;7,00;11,00;11,00;9,00;0,00;0,00
2020-03-22;18,00;99,00;4,50;9,00;9,00;5,00;9,00;2,00;7,00;3,00;4,00;0,00;1,00
2020-03-29;14,00;93,33;4,67;9,33;4,67;4,00;3,00;2,00;4,00;4,00;1,00;2,00;0,00
2020-04-05;15,00;125,00;5,00;5,00;10,00;13,00;8,00;4,00;9,00;2,00;1,00;1,00;1,00
2020-04-12;12,00;156,00;3,00;6,00;12,00;14,00;2,00;2,00;7,00;4,00;1,00;0,00;1,00
2020-04-19;11,00;104,50;5,50;5,50;11,00;6,00;8,00;2,00;5,00;1,00;2,00;1,00;1,00
2020-04-26;8,00;72,00;4,00;4,00;4,00;5,00;2,00;6,00;4,00;3,00;2,00;1,00;1,00
2020-05-03;19,00;109,25;4,75;9,50;4,75;9,00;12,00;3,00;10,00;2,00;2,00;1,00;0,00
2020-05-10;13,00;104,00;4,33;8,67;4,33;8,00;5,00;4,00;4,00;5,00;2,00;1,00;0,00
2020-05-17;13,00;95,33;4,33;4,33;4,33;6,00;6,00;3,00;4,00;1,00;5,00;2,00;0,00
2020-05-24;17,00;124,67;5,67;2,83;11,33;5,00;10,00;1,00;8,00;3,00;4,00;1,00;2,00
2020-05-31;24,00;105,60;4,80;4,80;9,60;11,00;5,00;5,00;7,00;4,00;2,00;2,00;1,00
2020-06-07;23,00;110,40;4,60;4,60;4,60;6,00;7,00;4,00;2,00;6,00;3,00;1,00;1,00
2020-06-14;28,00;135,33;4,67;4,67;9,33;6,00;13,00;3,00;7,00;7,00;2,00;4,00;4,00
2020-06-21;46,00;184,00;10,22;10,22;10,22;17,00;11,00;5,00;9,00;7,00;10,00;4,00;1,00
2020-06-28;36,00;216,00;2,57;5,14;15,43;18,00;24,00;9,00;13,00;14,00;7,00;8,00;2,00
2020-07-05;57,00;191,73;5,18;5,18;15,55;14,00;18,00;4,00;15,00;8,00;8,00;7,00;4,00
2020-07-12;55,00;210,00;10,00;5,00;15,00;19,00;24,00;7,00;9,00;11,00;15,00;5,00;3,00
2020-07-19;57,00;264,27;10,36;10,36;15,55;21,00;26,00;8,00;11,00;5,00;12,00;7,00;2,00
2020-07-26;55,00;180,00;5,00;10,00;15,00;20,00;20,00;12,00;9,00;6,00;13,00;2,00;5,00
2020-08-02;54,00;191,45;14,73;9,82;4,91;24,00;26,00;6,00;7,00;8,00;11,00;5,00;5,00
2020-08-09;58,00;174,00;4,83;9,67;9,67;15,00;18,00;3,00;13,00;7,00;6,00;1,00;5,00
2020-08-16;31,00;134,33;5,17;15,50;5,17;9,00;11,00;3,00;5,00;11,00;6,00;1,00;3,00
2020-08-23;33,00;132,00;4,71;4,71;9,43;9,00;15,00;4,00;11,00;11,00;9,00;4,00;1,00
2020-08-30;31,00;170,50;5,17;10,33;5,17;15,00;10,00;4,00;7,00;6,00;5,00;2,00;0,00
2020-09-06;19,00;128,25;4,75;4,75;4,75;14,00;10,00;4,00;8,00;6,00;1,00;2,00;0,00
2020-09-13;19,00;137,75;4,75;4,75;9,50;7,00;12,00;4,00;7,00;5,00;4,00;1,00;3,00
2020-09-20;20,00;130,00;2,50;15,00;15,00;2,00;11,00;4,00;5,00;5,00;0,00;2,00;3,00
2020-09-27;16,00;133,33;5,33;16,00;10,67;5,00;14,00;6,00;5,00;6,00;2,00;2,00;0,00
2020-10-04;20,00;150,00;5,00;10,00;10,00;7,00;3,00;8,00;6,00;6,00;3,00;3,00;1,00
2020-10-11;11,00;154,00;5,50;5,50;11,00;8,00;9,00;6,00;8,00;4,00;2,00;1,00;1,00
2020-10-18;20,00;120,00;5,00;10,00;5,00;4,00;7,00;2,00;7,00;10,00;3,00;3,00;0,00
2020-10-25;21,00;110,25;5,25;5,25;10,50;6,00;5,00;4,00;1,00;5,00;2,00;3,00;0,00
2020-11-01;21,00;110,25;5,25;5,25;10,50;9,00;5,00;2,00;3,00;4,00;1,00;1,00;2,00
2020-11-08;15,00;110,00;2,50;10,00;10,00;8,00;9,00;6,00;6,00;4,00;1,00;1,00;1,00
2020-11-15;8,00;100,00;4,00;8,00;8,00;6,00;5,00;3,00;7,00;3,00;5,00;0,00;2,00
2020-11-22;24,00;100,80;2,40;2,40;4,80;6,00;9,00;4,00;3,00;6,00;2,00;3,00;0,00
2020-11-29;17,00;130,33;5,67;5,67;5,67;7,00;6,00;5,00;8,00;4,00;3,00;0,00;1,00
2020-12-06;16,00;112,00;5,33;5,33;10,67;5,00;9,00;3,00;5,00;3,00;0,00;2,00;1,00
2020-12-13;12,00;120,00;6,00;18,00;12,00;8,00;9,00;2,00;2,00;1,00;5,00;1,00;0,00
2020-12-20;19,00;99,75;2,38;4,75;14,25;2,00;5,00;1,00;9,00;4,00;4,00;0,00;0,00
2020-12-27;22,00;115,50;5,50;5,50;16,50;6,00;9,00;2,00;3,00;3,00;4,00;1,00;2,00
2021-01-03;11,00;110,00;2,75;5,50;16,50;7,00;8,00;2,00;6,00;9,00;4,00;3,00;3,00
2021-01-10;18,00;94,50;2,25;4,50;4,50;5,00;7,00;4,00;7,00;1,00;3,00;0,00;1,00
2021-01-17;15,00;120,00;5,00;5,00;5,00;8,00;10,00;5,00;2,00;3,00;2,00;4,00;1,00
2021-01-24;10,00;85,00;5,00;5,00;5,00;7,00;5,00;1,00;6,00;3,00;5,00;0,00;3,00
2021-01-31;9,00;72,00;4,50;4,50;4,50;10,00;3,00;4,00;8,00;1,00;1,00;1,00;0,00
2021-02-07;9,00;63,00;4,50;4,50;2,25;4,00;7,00;4,00;4,00;2,00;4,00;0,00;0,00
2021-02-14;10,00;75,00;5,00;10,00;5,00;0,00;5,00;2,00;6,00;4,00;5,00;0,00;0,00
2021-02-21;23,00;96,60;4,60;4,60;4,60;1,00;8,00;1,00;1,00;2,00;3,00;1,00;0,00
2021-02-28;18,00;67,50;2,25;4,50;4,50;7,00;6,00;1,00;5,00;7,00;3,00;3,00;0,00
2021-03-07;11,00;93,50;5,50;11,00;5,50;10,00;11,00;2,00;4,00;1,00;4,00;3,00;1,00
2021-03-14;18,00;90,00;4,50;4,50;4,50;13,00;4,00;3,00;1,00;4,00;1,00;1,00;0,00
2021-03-21;9,00;85,50;2,25;0,00;4,50;10,00;7,00;1,00;6,00;3,00;2,00;1,00;1,00
2021-03-28;19,00;80,75;4,75;4,75;4,75;7,00;6,00;1,00;4,00;2,00;1,00;0,00;1,00
2021-04-04;10,00;65,00;2,50;5,00;2,50;3,00;1,00;3,00;3,00;2,00;2,00;1,00;1,00
2021-04-11;14,00;56,00;2,33;2,33;4,67;6,00;2,00;4,00;4,00;5,00;1,00;0,00;0,00
2021-04-18;11,00;60,50;0,00;5,50;2,75;6,00;6,00;0,00;8,00;2,00;1,00;0,00;1,00
2021-04-25;12,00;96,00;6,00;0,00;6,00;5,00;5,00;0,00;3,00;6,00;1,00;0,00;0,00
2021-05-02;15,00;60,00;2,50;5,00;2,50;1,00;9,00;2,00;0,00;2,00;2,00;0,00;0,00
2021-05-09;19,00;71,25;4,75;2,38;2,38;6,00;9,00;2,00;2,00;6,00;3,00;1,00;1,00
2021-05-16;17,00;79,33;2,83;2,83;5,67;3,00;7,00;1,00;2,00;4,00;0,00;1,00;0,00
2021-05-23;15,00;65,00;5,00;2,50;5,00;2,00;6,00;1,00;2,00;2,00;1,00;1,00;0,00
2021-05-30;12,00;90,00;3,00;3,00;3,00;6,00;6,00;0,00;5,00;6,00;0,00;2,00;0,00
2021-06-06;10,00;65,00;2,50;2,50;5,00;10,00;2,00;1,00;3,00;2,00;2,00;0,00;0,00
2021-06-13;17,00;102,00;5,67;5,67;5,67;7,00;10,00;0,00;2,00;6,00;0,00;0,00;1,00
2021-06-20;22,00;99,00;2,75;0,00;11,00;9,00;5,00;3,00;6,00;1,00;3,00;0,00;0,00
2021-06-27;24,00;91,20;0,00;2,40;9,60;6,00;5,00;1,00;3,00;1,00;3,00;0,00;0,00
2021-07-04;25,00;125,00;2,50;5,00;5,00;10,00;8,00;2,00;7,00;2,00;6,00;2,00;0,00
2021-07-11;37,00;132,14;0,00;2,64;5,29;8,00;12,00;1,00;6,00;2,00;5,00;2,00;1,00
2021-07-18;23,00;110,40;2,30;2,30;2,30;9,00;2,00;4,00;7,00;1,00;0,00;0,00;0,00
2021-07-25;27,00;124,20;5,40;5,40;2,70;7,00;8,00;2,00;5,00;2,00;1,00;2,00;0,00
2021-08-01;26,00;135,20;2,60;2,60;5,20;15,00;7,00;1,00;8,00;4,00;4,00;1,00;0,00
2021-08-08;36,00;200,57;10,29;2,57;10,29;20,00;16,00;1,00;8,00;4,00;5,00;2,00;0,00
2021-08-15;44,00;166,22;4,89;19,56;4,89;7,00;19,00;2,00;11,00;8,00;6,00;2,00;0,00
2021-08-22;24,00;139,20;4,80;2,40;9,60;12,00;8,00;5,00;4,00;3,00;8,00;3,00;0,00
2021-08-29;30,00;185,00;5,00;2,50;5,00;11,00;16,00;3,00;11,00;1,00;1,00;1,00;0,00
