Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2019-01-06;16,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;32,00;0,00;16,00;50,67;0,00;0,00;16,00;48,00;0,00;0,00;32,00;0,00;16,00
2019-01-13;46,00;46,00;16,10;0,00;0,00;0,00;0,00;0,00;0,00;0,00;15,33;109,89;0,00;0,00;0,00;15,81;0,00;0,00;15,00;15,00;0,00
2019-01-20;15,00;47,50;32,50;0,00;0,00;15,00;0,00;0,00;0,00;0,00;15,00;15,00;0,00;0,00;0,00;60,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;15,00;32,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;45,00;30,00;0,00;0,00;0,00;60,00;0,00;0,00;15,00;0,00;0,00
2019-02-03;30,00;30,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;30,00;0,00;0,00;0,00;61,50;0,00;0,00;30,00;0,00;0,00
2019-02-10;60,00;90,00;16,15;0,00;0,00;0,00;0,00;0,00;0,00;0,00;15,00;75,00;0,00;0,00;14,63;76,10;0,00;0,00;0,00;15,00;0,00
2019-02-17;46,00;29,90;16,10;0,00;0,00;0,00;0,00;0,00;0,00;0,00;29,05;29,05;0,00;0,00;15,81;60,38;0,00;0,00;0,00;0,00;0,00
2019-02-24;31,00;47,69;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;62,00;0,00;0,00;0,00;62,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;47,00;199,19;15,67;15,67;0,00;16,00;0,00;16,00;0,00;0,00;14,84;79,16;0,00;0,00;0,00;31,33;15,67;0,00;0,00;0,00;0,00
2019-03-10;15,00;27,86;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;15,00;30,00;0,00;0,00;0,00;15,00;15,00;0,00;31,00;0,00;0,00
2019-03-17;32,00;93,71;32,00;0,00;0,00;0,00;0,00;16,00;0,00;0,00;14,77;78,77;0,00;0,00;0,00;32,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;47,00;31,33;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;32,16;79,16;0,00;0,00;0,00;31,33;0,00;0,00;0,00;0,00;0,00
2019-03-31;47,00;63,45;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;29,68;138,53;0,00;0,00;0,00;30,84;0,00;0,00;0,00;0,00;0,00
2019-04-07;77,00;77,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;47,19;91,90;0,00;0,00;0,00;77,00;0,00;0,00;0,00;0,00;0,00
2019-04-14;32,00;109,71;16,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;32,00;142,77;0,00;0,00;0,00;64,00;0,00;0,00;0,00;0,00;0,00
2019-04-21;100,00;100,00;16,28;0,00;0,00;0,00;0,00;0,00;0,00;0,00;32,50;250,00;0,00;0,00;0,00;49,28;0,00;0,00;0,00;0,00;0,00
2019-04-28;31,00;112,08;31,00;0,00;16,69;0,00;0,00;16,00;0,00;0,00;0,00;129,17;0,00;16,24;0,00;47,24;0,00;0,00;16,00;0,00;0,00
2019-05-05;60,00;166,15;0,00;0,00;0,00;0,00;0,00;0,00;0,00;15,00;0,00;90,00;0,00;0,00;0,00;136,10;0,00;0,00;15,00;0,00;0,00
2019-05-12;75,00;163,64;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;30,00;105,00;15,00;0,00;0,00;59,13;0,00;0,00;45,00;0,00;0,00
2019-05-19;30,00;60,00;13,85;0,00;0,00;0,00;0,00;0,00;15,00;15,00;15,00;75,00;0,00;0,00;0,00;30,00;0,00;0,00;0,00;0,00;0,00
2019-05-26;73,00;130,03;0,00;0,00;13,69;15,00;0,00;0,00;0,00;0,00;0,00;57,90;15,10;0,00;0,00;87,60;0,00;0,00;0,00;0,00;15,00
2019-06-02;78,00;45,88;32,12;0,00;0,00;0,00;0,00;0,00;16,00;0,00;15,10;110,71;15,10;0,00;0,00;78,00;0,00;0,00;16,00;0,00;16,00
2019-06-09;78,00;91,76;16,06;0,00;0,00;31,00;0,00;0,00;0,00;0,00;15,10;203,81;15,10;0,00;0,00;63,28;16,19;0,00;16,00;0,00;0,00
2019-06-16;16,00;61,71;16,00;0,00;0,00;16,00;0,00;0,00;0,00;0,00;0,00;165,33;0,00;0,00;16,00;93,09;0,00;0,00;0,00;16,00;0,00
2019-06-23;64,00;80,00;32,00;0,00;16,00;0,00;0,00;0,00;0,00;0,00;32,00;142,77;14,77;0,00;0,00;64,00;0,00;0,00;0,00;0,00;0,00
2019-06-30;80,00;112,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;15,00;192,50;0,00;0,00;0,00;64,00;0,00;0,00;16,00;0,00;0,00
2019-07-07;31,00;126,38;0,00;0,00;0,00;15,00;0,00;0,00;0,00;0,00;46,50;142,08;0,00;0,00;0,00;78,24;0,00;0,00;15,00;0,00;0,00
2019-07-14;64,00;109,71;48,00;0,00;0,00;0,00;0,00;0,00;0,00;32,00;14,77;110,77;0,00;0,00;0,00;80,00;0,00;0,00;0,00;0,00;0,00
2019-07-21;65,00;81,25;0,00;0,00;0,00;0,00;0,00;16,00;0,00;0,00;32,50;82,50;0,00;0,00;0,00;96,78;0,00;0,00;0,00;0,00;0,00
2019-07-28;16,00;80,00;32,00;0,00;0,00;0,00;0,00;0,00;33,00;0,00;16,00;120,00;0,00;0,00;16,00;145,45;0,00;0,00;0,00;32,00;16,00
