Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2019-01-06;18,00;44,00;40,00;31,00;22,00;4,00;0,00;26,00;0,00
2019-01-13;26,00;26,00;17,00;17,00;9,00;4,00;8,00;8,00;8,00
2019-01-20;12,00;12,00;20,00;29,00;8,00;8,00;0,00;16,00;12,00
2019-01-27;37,00;33,00;25,00;16,00;0,00;4,11;4,11;8,22;12,33
2019-02-03;29,00;17,00;12,00;4,00;12,00;12,43;4,14;12,43;180,21
2019-02-10;50,00;8,00;17,00;21,00;4,00;12,00;4,00;16,00;4,00
2019-02-17;26,00;9,00;13,00;17,00;9,00;4,00;4,00;4,00;8,00
2019-02-24;13,00;0,00;38,00;13,00;13,00;8,67;4,33;8,67;4,33
2019-03-03;9,00;4,00;18,00;22,00;9,00;9,00;4,50;15,75;4,50
2019-03-10;26,00;4,00;9,00;21,00;4,00;12,00;0,00;12,00;22,00
2019-03-17;27,00;9,00;31,00;18,00;13,00;8,31;0,00;4,15;4,15
2019-03-24;40,00;9,00;22,00;22,00;35,00;0,00;4,00;14,00;4,00
2019-03-31;26,00;0,00;4,00;17,00;26,00;0,00;0,00;4,00;12,00
2019-04-07;21,00;4,00;9,00;34,00;13,00;0,00;0,00;0,00;0,00
2019-04-14;22,00;0,00;22,00;27,00;0,00;4,00;4,00;4,00;18,00
2019-04-21;60,00;5,00;9,00;18,00;5,00;10,00;10,00;28,00;10,00
2019-04-28;17,00;13,00;9,00;9,00;17,00;3,78;0,00;17,00;3,78
2019-05-05;4,00;4,00;4,00;13,00;4,00;0,00;4,00;4,00;4,00
2019-05-12;8,00;75,00;13,00;42,00;17,00;0,00;16,00;8,00;8,00
2019-05-19;54,00;100,00;8,00;12,00;0,00;4,00;4,00;4,00;12,00
2019-05-26;16,00;32,00;20,00;16,00;4,00;0,00;4,00;4,00;4,00
2019-06-02;22,00;9,00;4,00;17,00;9,00;4,00;8,00;12,00;22,00
2019-06-09;22,00;17,00;17,00;26,00;0,00;0,00;0,00;12,00;4,00
2019-06-16;82,00;13,00;9,00;35,00;9,00;12,00;4,00;0,00;4,00
2019-06-23;27,00;22,00;13,00;18,00;9,00;4,15;8,31;4,15;91,38
2019-06-30;31,00;22,00;27,00;36,00;13,00;0,00;0,00;3,88;13,56
2019-07-07;38,00;4,00;13,00;21,00;13,00;0,00;8,00;4,00;0,00
2019-07-14;53,00;13,00;27,00;27,00;13,00;0,00;0,00;0,00;21,59
2019-07-21;55,00;23,00;0,00;32,00;9,00;4,07;4,07;4,07;18,33
2019-07-28;58,00;18,00;36,00;9,00;13,00;8,00;4,00;8,00;18,00
2019-08-04;66,00;9,00;14,00;9,00;0,00;4,00;10,00;10,00;66,00
2019-08-11;69,00;20,00;20,00;15,00;5,00;10,15;0,00;10,15;10,15
2019-08-18;50,00;14,00;23,00;27,00;14,00;28,00;4,00;14,00;60,00
2019-08-25;38,00;13,00;9,00;13,00;9,00;12,00;4,00;12,00;26,00
2019-09-01;36,00;12,00;8,00;12,00;0,00;0,00;12,00;4,00;16,00
2019-09-08;29,00;8,00;8,00;25,00;8,00;0,00;4,14;4,14;4,14
2019-09-15;20,00;8,00;12,00;8,00;0,00;0,00;0,00;12,00;16,00
2019-09-22;36,00;8,00;4,00;32,00;4,00;4,00;0,00;0,00;16,00
2019-09-29;28,00;4,00;16,00;16,00;4,00;0,00;0,00;12,00;4,00
2019-10-06;17,00;12,00;8,00;17,00;21,00;8,50;0,00;12,75;25,50
2019-10-13;12,00;12,00;0,00;8,00;16,00;0,00;0,00;4,00;12,00
2019-10-20;35,00;24,00;16,00;24,00;12,00;0,00;7,78;7,78;19,44
2019-10-27;36,00;16,00;4,00;36,00;8,00;4,00;0,00;12,00;12,00
2019-11-03;8,00;12,00;8,00;54,00;0,00;0,00;12,00;12,00;26,00
2019-11-10;28,00;4,00;12,00;4,00;8,00;0,00;0,00;12,00;16,00
2019-11-17;8,00;4,00;0,00;27,00;4,00;4,00;0,00;12,00;4,00
2019-11-24;16,00;16,00;4,00;4,00;8,00;4,00;4,00;20,00;4,00
2019-12-01;8,00;16,00;16,00;20,00;12,00;4,00;12,00;20,00;8,00
2019-12-08;16,00;12,00;29,00;21,00;0,00;4,00;0,00;12,00;4,00
2019-12-15;12,00;16,00;4,00;12,00;12,00;4,00;0,00;8,00;8,00
2019-12-22;52,00;28,00;19,00;19,00;9,00;0,00;0,00;24,00;4,00
2019-12-29;27,00;22,00;13,00;45,00;4,00;8,31;8,31;8,31;18,69
2020-01-05;36,00;28,00;16,00;20,00;12,00;4,00;12,00;28,00;8,00
2020-01-12;34,00;15,00;15,00;7,00;7,00;4,00;4,00;18,00;12,00
2020-01-19;27,00;35,00;4,00;19,00;4,00;4,15;8,31;8,31;16,62
2020-01-26;19,00;11,00;15,00;23,00;4,00;0,00;0,00;14,78;8,44
2020-02-02;19,00;7,00;7,00;7,00;4,00;4,22;8,44;4,22;211,11
2020-02-09;27,00;15,00;11,00;11,00;0,00;4,15;0,00;8,31;4,15
2020-02-16;27,00;19,00;8,00;46,00;4,00;0,00;8,31;16,62;12,46
2020-02-23;18,00;4,00;11,00;21,00;0,00;0,00;4,00;14,00;8,00
2020-03-01;14,00;14,00;4,00;29,00;4,00;4,00;4,00;10,00;8,00
2020-03-08;17,00;21,00;3,00;17,00;14,00;0,00;0,00;9,44;0,00
2020-03-15;31,00;17,00;7,00;14,00;21,00;3,88;5,81;3,88;5,81
2020-03-22;19,00;3,00;0,00;13,00;3,00;0,00;5,70;3,80;5,70
2020-03-29;23,00;3,00;0,00;7,00;7,00;0,00;4,18;6,27;23,00
2020-04-05;35,00;3,00;3,00;24,00;3,00;0,00;0,00;4,12;18,53
2020-04-12;32,00;11,00;0,00;14,00;4,00;4,00;0,00;4,00;0,00
2020-04-19;23,00;3,00;7,00;10,00;7,00;3,83;0,00;3,83;15,33
2020-04-26;31,00;7,00;14,00;17,00;7,00;4,13;0,00;6,20;10,33
2020-05-03;10,00;7,00;7,00;17,00;0,00;0,00;6,00;4,00;6,00
2020-05-10;20,00;0,00;7,00;24,00;27,00;4,00;4,00;4,00;10,00
2020-05-17;21,00;4,00;0,00;21,00;11,00;3,82;0,00;7,64;9,55
2020-05-24;18,00;0,00;4,00;18,00;7,00;0,00;4,00;4,00;8,00
2020-05-31;21,00;4,00;4,00;11,00;4,00;0,00;3,82;7,64;26,73
2020-06-07;32,00;7,00;4,00;28,00;21,00;8,00;0,00;0,00;18,00
2020-06-14;37,00;0,00;11,00;26,00;11,00;0,00;0,00;3,89;3,89
2020-06-21;31,00;4,00;0,00;19,00;0,00;0,00;0,00;8,27;12,40
2020-06-28;50,00;0,00;4,00;19,00;8,00;12,00;8,00;4,00;8,00
2020-07-05;20,00;4,00;0,00;16,00;0,00;8,00;0,00;0,00;0,00
2020-07-12;39,00;12,00;8,00;23,00;12,00;0,00;0,00;0,00;8,21
2020-07-19;28,00;8,00;16,00;16,00;8,00;4,00;0,00;4,00;8,00
2020-07-26;25,00;4,00;0,00;8,00;0,00;4,17;0,00;0,00;12,50
2020-08-02;40,00;8,00;12,00;8,00;0,00;8,00;0,00;8,00;8,00
2020-08-09;52,00;17,00;9,00;22,00;0,00;8,00;4,00;4,00;14,00
2020-08-16;26,00;0,00;4,00;21,00;0,00;12,00;4,00;4,00;8,00
2020-08-23;28,00;8,00;20,00;36,00;16,00;8,00;4,00;0,00;62,00
2020-08-30;19,00;8,00;27,00;23,00;4,00;3,80;3,80;0,00;0,00
2020-09-06;23,00;8,00;4,00;11,00;0,00;0,00;4,18;0,00;8,36
2020-09-13;15,00;0,00;0,00;11,00;72,00;0,00;3,75;0,00;3,75
2020-09-20;15,00;4,00;0,00;7,00;4,00;0,00;4,29;4,29;0,00
2020-09-27;11,00;4,00;0,00;23,00;11,00;0,00;0,00;0,00;14,67
2020-10-04;20,00;8,00;4,00;12,00;16,00;4,00;0,00;0,00;24,00
2020-10-11;28,00;8,00;0,00;16,00;28,00;4,00;4,00;8,00;4,00
2020-10-18;12,00;0,00;4,00;8,00;20,00;0,00;4,00;0,00;4,00
2020-10-25;4,00;8,00;0,00;15,00;8,00;4,00;0,00;4,00;4,00
2020-11-01;26,00;4,00;0,00;4,00;0,00;0,00;0,00;4,00;4,00
2020-11-08;15,00;0,00;4,00;8,00;8,00;3,75;0,00;3,75;11,25
2020-11-15;90,00;19,00;4,00;26,00;4,00;8,00;4,00;0,00;14,00
2020-11-22;7,00;4,00;4,00;7,00;4,00;0,00;8,75;3,50;12,25
2020-11-29;11,00;0,00;0,00;22,00;0,00;0,00;0,00;3,67;0,00
2020-12-06;19,00;0,00;4,00;23,00;23,00;3,80;3,80;0,00;60,80
2020-12-13;16,00;0,00;0,00;35,00;4,00;4,00;0,00;0,00;4,00
2020-12-20;4,00;17,00;13,00;39,00;13,00;12,00;4,00;4,00;4,00
2020-12-27;38,00;8,00;13,00;34,00;8,00;8,00;0,00;4,00;8,00
2021-01-03;23,00;4,00;19,00;34,00;4,00;0,00;12,55;4,18;8,36
2021-01-10;23,00;8,00;4,00;30,00;4,00;4,18;0,00;4,18;16,73
2021-01-17;11,00;0,00;0,00;15,00;15,00;0,00;3,67;3,67;7,33
2021-01-24;19,00;12,00;12,00;23,00;4,00;7,60;3,80;0,00;7,60
2021-01-31;12,00;12,00;16,00;8,00;4,00;0,00;4,00;0,00;0,00
2021-02-07;23,00;0,00;4,00;8,00;12,00;3,83;7,67;0,00;113,08
2021-02-14;20,00;8,00;4,00;16,00;4,00;4,00;8,00;0,00;12,00
2021-02-21;32,00;4,00;8,00;12,00;0,00;0,00;4,00;0,00;12,00
2021-02-28;16,00;0,00;4,00;12,00;8,00;0,00;4,00;4,00;12,00
2021-03-07;23,00;11,00;4,00;15,00;4,00;0,00;0,00;0,00;16,73
2021-03-14;21,00;0,00;0,00;11,00;14,00;0,00;5,73;3,82;9,55
2021-03-21;12,00;12,00;4,00;8,00;4,00;4,00;8,00;0,00;16,00
2021-03-28;17,00;8,00;0,00;4,00;13,00;0,00;0,00;0,00;4,25
2021-04-04;33,00;12,00;12,00;29,00;16,00;0,00;4,13;0,00;4,13
2021-04-11;16,00;4,00;4,00;20,00;16,00;0,00;0,00;4,00;4,00
2021-04-18;8,00;0,00;4,00;8,00;8,00;0,00;0,00;4,00;4,00
2021-04-25;24,00;8,00;4,00;16,00;4,00;0,00;4,00;0,00;4,00
2021-05-02;32,00;8,00;4,00;8,00;4,00;0,00;4,00;12,00;12,00
2021-05-09;23,00;4,00;8,00;0,00;8,00;3,83;0,00;7,67;0,00
2021-05-16;20,00;0,00;8,00;28,00;8,00;4,00;0,00;4,00;4,00
2021-05-23;20,00;8,00;0,00;33,00;0,00;0,00;0,00;4,00;8,00
2021-05-30;42,00;4,00;4,00;21,00;8,00;0,00;8,00;4,00;4,00
2021-06-06;20,00;12,00;0,00;12,00;8,00;0,00;4,00;4,00;8,00
2021-06-13;39,00;4,00;4,00;13,00;0,00;4,11;4,11;12,32;4,11
2021-06-20;18,00;13,00;9,00;17,00;0,00;4,00;8,00;4,00;48,00
2021-06-27;35,00;18,00;4,00;18,00;0,00;3,89;0,00;0,00;3,89
2021-07-04;43,00;4,00;13,00;17,00;9,00;3,91;0,00;3,91;7,82
2021-07-11;42,00;13,00;8,00;13,00;30,00;4,00;4,00;8,00;8,00
2021-07-18;22,00;13,00;18,00;13,00;9,00;4,00;0,00;4,00;8,00
2021-07-25;39,00;17,00;9,00;17,00;34,00;4,11;8,21;8,21;0,00
2021-08-01;34,00;9,00;17,00;26,00;4,00;8,00;4,00;8,00;0,00
2021-08-08;61,00;9,00;9,00;42,00;5,00;14,23;0,00;4,07;4,07
2021-08-15;55,00;5,00;9,00;27,00;5,00;4,07;10,19;10,19;14,26
2021-08-22;31,00;9,00;13,00;49,00;13,00;7,75;0,00;3,88;3,88
2021-08-29;25,00;30,00;15,00;25,00;5,00;0,00;19,23;0,00;0,00
