Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2019-01-06;0,00;0,00;37,00;19,00;0,00;0,00;0,00;0,00;0,00;0,00;13,00;13,00;0,00;0,00;0,00;20,00;4,00;0,00;0,00;0,00;9,00
2019-01-13;0,00;0,00;0,00;0,00;0,00;16,00;0,00;0,00;16,00;0,00;13,00;26,00;0,00;0,00;0,00;16,00;4,00;0,00;0,00;0,00;9,00
2019-01-20;18,00;18,00;0,00;0,00;0,00;0,00;0,00;0,00;37,20;0,00;34,62;34,62;0,00;0,00;0,00;85,50;0,00;0,00;54,00;0,00;0,00
2019-01-27;0,00;0,00;0,00;18,00;0,00;0,00;0,00;0,00;15,00;0,00;0,00;50,00;0,00;0,00;0,00;12,00;0,00;0,00;36,00;0,00;0,00
2019-02-03;0,00;0,00;18,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;38,00;25,00;13,00;0,00;0,00;20,00;0,00;0,00;0,00;0,00;9,00
2019-02-10;19,00;0,00;19,00;0,00;0,00;19,00;0,00;0,00;0,00;19,00;0,00;0,00;0,00;0,00;0,00;38,00;0,00;19,00;40,11;0,00;19,00
2019-02-17;0,00;0,00;19,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;16,00;0,00;0,00;29,00;0,00;10,00
2019-02-24;0,00;0,00;19,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13,00;39,00;0,00;4,00;0,00;20,00;0,00;0,00;10,00;0,00;0,00
2019-03-03;38,00;0,00;19,00;19,00;0,00;19,00;0,00;0,00;19,00;0,00;0,00;19,00;0,00;0,00;0,00;171,00;0,00;0,00;20,00;0,00;0,00
2019-03-10;0,00;0,00;0,00;18,00;0,00;47,00;0,00;16,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;23,00;0,00;0,00;28,00;0,00;9,00
