Semaine;Nice (FR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Fréjus (FR);Cannes (FR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR)
2019-01-06;37,00;9,65;0,00;0,00;4,83;18,00;0,00;0,00;0,00;5,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;68,00;9,49;0,00;0,00;14,23;9,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;27,00;9,53;4,76;4,76;0,00;13,00;13,00;4,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;31,00;9,30;4,65;4,65;17,05;9,00;4,00;0,00;0,00;4,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;9,00;9,00;0,00;4,50;0,00;4,00;9,00;9,00;0,00;0,00;4,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;27,00;14,29;9,53;4,76;9,53;5,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;33,00;4,71;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;37,00;4,63;9,25;0,00;0,00;9,00;9,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;46,00;18,40;0,00;0,00;4,60;9,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;54,00;4,76;9,53;0,00;4,76;4,00;4,00;0,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-17;23,00;14,79;19,71;4,93;9,86;18,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;32,00;9,14;9,14;9,14;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00
2019-03-31;69,00;9,41;0,00;4,70;14,11;14,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-07;60,00;4,74;9,47;4,74;0,00;5,00;9,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-14;28,00;18,67;0,00;9,33;0,00;9,00;9,00;0,00;0,00;9,00;5,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-21;48,00;23,23;18,58;0,00;13,94;19,00;10,00;5,00;0,00;5,00;5,00;0,00;0,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00
2019-04-28;63,00;4,73;0,00;9,45;0,00;22,00;4,00;4,00;0,00;4,00;4,00;0,00;9,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-05-05;53,00;14,03;9,35;17,15;14,03;13,00;13,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-05-12;63,00;9,45;9,45;14,18;4,73;18,00;0,00;18,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00
2019-05-19;58,00;12,54;4,70;17,24;9,41;22,00;27,00;9,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-26;40,00;17,60;4,80;27,20;0,00;9,00;4,00;9,00;0,00;4,00;4,00;4,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-06-02;83,00;7,83;0,00;7,83;0,00;21,00;8,00;0,00;0,00;0,00;4,00;4,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00
2019-06-09;39,00;21,84;7,80;24,96;7,80;13,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-06-16;53,00;17,15;9,35;21,82;26,50;22,00;9,00;4,00;4,00;4,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
