Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2019-01-06;29,00;14,00;29,00;72,00;0,00;13,92;0,00;0,00;0,00
2019-01-13;57,00;57,00;28,00;57,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;14,00;55,00;55,00;28,00;0,00;14,00;0,00;0,00;0,00
2019-01-27;55,00;55,00;14,00;14,00;0,00;0,00;0,00;26,91;0,00
2019-02-03;28,00;28,00;14,00;42,00;0,00;0,00;0,00;0,00;14,00
2019-02-10;28,00;43,00;43,00;43,00;0,00;0,00;14,00;0,00;0,00
2019-02-17;15,00;29,00;0,00;44,00;15,00;15,00;15,00;15,00;0,00
2019-02-24;0,00;29,00;58,00;43,00;0,00;0,00;0,00;12,00;0,00
2019-03-03;29,00;87,00;0,00;14,00;0,00;13,92;0,00;0,00;0,00
2019-03-10;42,00;28,00;0,00;28,00;14,00;0,00;14,00;28,00;0,00
2019-03-17;57,00;56,00;0,00;0,00;0,00;0,00;0,00;0,00;14,25
2019-03-24;14,00;14,00;0,00;14,00;0,00;0,00;14,00;14,00;29,17
2019-03-31;14,00;14,00;72,00;14,00;0,00;0,00;0,00;43,17;0,00
2019-04-07;57,00;71,00;14,00;43,00;0,00;13,96;13,96;43,04;13,96
2019-04-14;29,00;44,00;0,00;0,00;0,00;0,00;0,00;15,08;13,92
2019-04-21;15,00;0,00;45,00;15,00;0,00;0,00;0,00;15,00;0,00
2019-04-28;42,00;56,00;28,00;14,00;0,00;0,00;0,00;56,00;0,00
2019-05-05;14,00;28,00;0,00;42,00;0,00;0,00;14,00;42,00;0,00
2019-05-12;0,00;0,00;14,00;28,00;0,00;0,00;0,00;48,00;12,00
2019-05-19;41,00;55,00;28,00;28,00;14,00;0,00;0,00;14,06;14,06
2019-05-26;55,00;42,00;0,00;42,00;0,00;0,00;14,04;28,09;0,00
2019-06-02;26,00;26,00;26,00;13,00;0,00;0,00;0,00;26,00;0,00
2019-06-09;0,00;0,00;0,00;27,00;0,00;0,00;0,00;11,00;0,00
2019-06-16;27,00;14,00;14,00;55,00;0,00;0,00;0,00;27,00;14,09
2019-06-23;0,00;28,00;14,00;56,00;14,00;0,00;0,00;24,00;0,00
2019-06-30;28,00;0,00;0,00;28,00;0,00;0,00;0,00;14,00;0,00
2019-07-07;41,00;27,00;14,00;27,00;0,00;0,00;28,11;41,00;28,11
2019-07-14;15,00;29,00;44,00;73,00;0,00;15,00;0,00;15,00;0,00
2019-07-21;0,00;62,00;0,00;47,00;0,00;13,00;0,00;0,00;13,00
2019-07-28;62,00;47,00;16,00;16,00;0,00;0,00;0,00;62,00;0,00
2019-08-04;16,00;16,00;16,00;0,00;0,00;16,00;33,23;16,00;16,00
2019-08-11;15,00;15,00;15,00;29,00;0,00;0,00;43,85;15,00;15,00
2019-08-18;30,00;30,00;0,00;45,00;0,00;0,00;0,00;0,00;0,00
2019-08-25;29,00;57,00;14,00;43,00;0,00;0,00;13,92;13,92;0,00
2019-09-01;27,00;54,00;40,00;0,00;0,00;0,00;14,09;14,09;14,09
2019-09-08;28,00;28,00;42,00;28,00;14,00;14,00;0,00;28,00;0,00
2019-09-15;14,00;27,00;14,00;27,00;0,00;0,00;14,00;26,83;0,00
2019-09-22;27,00;13,00;13,00;13,00;0,00;0,00;0,00;93,91;0,00
2019-09-29;13,00;26,00;26,00;13,00;13,00;0,00;13,00;13,00;0,00
2019-10-06;26,00;40,00;40,00;40,00;0,00;0,00;0,00;64,43;0,00
2019-10-13;13,00;40,00;13,00;0,00;0,00;24,92;0,00;13,00;0,00
2019-10-20;41,00;27,00;27,00;27,00;0,00;0,00;0,00;55,06;0,00
2019-10-27;13,00;13,00;39,00;92,00;13,00;13,00;13,00;13,00;13,00
2019-11-03;40,00;27,00;0,00;13,00;0,00;12,94;12,94;0,00;0,00
2019-11-10;13,00;40,00;0,00;26,00;0,00;13,00;13,00;27,18;13,00
2019-11-17;13,00;0,00;0,00;0,00;40,00;0,00;14,18;27,18;0,00
2019-11-24;13,00;26,00;0,00;26,00;13,00;13,00;0,00;13,00;0,00
2019-12-01;54,00;81,00;27,00;13,00;0,00;0,00;14,09;0,00;41,09
2019-12-08;54,00;67,00;13,00;0,00;13,00;0,00;0,00;68,09;0,00
2019-12-15;26,00;40,00;26,00;26,00;26,00;0,00;0,00;12,43;12,43
2019-12-22;29,00;0,00;0,00;15,00;0,00;0,00;0,00;0,00;15,08
2019-12-29;41,00;27,00;0,00;14,00;14,00;0,00;0,00;41,00;0,00
2020-01-05;0,00;26,00;64,00;13,00;13,00;33,00;11,00;33,00;0,00
2020-01-12;25,00;100,00;12,00;88,00;0,00;0,00;0,00;51,19;0,00
2020-01-19;0,00;25,00;25,00;38,00;13,00;0,00;0,00;33,00;0,00
2020-01-26;13,00;38,00;13,00;25,00;0,00;0,00;0,00;26,00;0,00
2020-02-02;13,00;13,00;0,00;39,00;0,00;0,00;0,00;39,00;0,00
2020-02-09;63,00;0,00;13,00;25,00;0,00;0,00;0,00;24,50;0,00
2020-02-16;0,00;65,00;13,00;26,00;0,00;22,00;11,00;22,00;22,00
2020-02-23;13,00;25,00;13,00;51,00;0,00;0,00;13,00;39,00;0,00
2020-03-01;37,00;37,00;24,00;37,00;0,00;0,00;13,13;13,13;0,00
2020-03-08;71,00;24,00;36,00;12,00;0,00;0,00;0,00;59,36;0,00
2020-03-15;24,00;0,00;24,00;0,00;0,00;0,00;0,00;59,43;11,43
2020-03-22;23,00;23,00;46,00;12,00;0,00;11,50;11,50;34,50;0,00
2020-03-29;0,00;23,00;35,00;46,00;0,00;10,00;10,00;30,00;0,00
2020-04-05;12,00;36,00;12,00;72,00;12,00;12,00;0,00;0,00;0,00
2020-04-12;24,00;0,00;12,00;12,00;0,00;0,00;0,00;12,00;12,00
2020-04-19;0,00;36,00;0,00;12,00;0,00;0,00;0,00;10,00;10,00
2020-04-26;0,00;12,00;0,00;35,00;0,00;0,00;100,00;20,00;0,00
2020-05-03;12,00;12,00;12,00;12,00;12,00;0,00;0,00;12,00;0,00
