Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2019-01-06;33,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13,20;26,40;0,00;0,00;0,00;69,30;0,00;0,00;7,00;0,00;7,00
2019-01-13;45,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;6,67;25,00;45,00;0,00;0,00;0,00;100,38;0,00;0,00;6,00;0,00;0,00
2019-01-20;32,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;20,21;38,74;0,00;6,40;0,00;73,60;0,00;0,00;6,00;13,00;13,00
2019-01-27;64,00;0,00;19,00;0,00;0,00;0,00;0,00;0,00;0,00;6,74;0,00;32,00;0,00;0,00;6,74;104,42;0,00;0,00;6,00;6,00;6,00
2019-02-03;50,00;6,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,67;93,33;0,00;0,00;0,00;86,67;0,00;0,00;6,00;12,00;0,00
2019-02-10;44,00;6,00;25,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,77;25,38;0,00;0,00;0,00;74,46;0,00;0,00;6,00;12,00;6,00
2019-02-17;45,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;6,67;6,67;56,67;0,00;0,00;0,00;51,92;0,00;0,00;0,00;0,00;0,00
2019-02-24;44,00;0,00;19,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;25,38;32,15;0,00;0,00;0,00;88,00;0,00;0,00;12,00;6,00;0,00
2019-03-03;51,00;0,00;19,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;25,50;51,00;0,00;0,00;0,00;71,40;0,00;0,00;19,00;0,00;0,00
2019-03-10;77,00;6,00;6,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;6,70;82,02;0,00;6,70;0,00;77,00;0,00;0,00;6,00;19,00;0,00
2019-03-17;52,00;7,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13,42;52,00;0,00;0,00;0,00;68,25;0,00;0,00;13,00;0,00;0,00
2019-03-24;33,00;20,00;20,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;6,60;39,60;0,00;0,00;0,00;59,40;0,00;0,00;0,00;13,00;0,00
2019-03-31;78,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;6,64;44,81;6,64;0,00;0,00;20,35;0,00;0,00;0,00;7,00;0,00
2019-04-07;92,00;20,00;26,00;0,00;0,00;7,00;0,00;0,00;0,00;6,69;20,07;97,02;0,00;0,00;0,00;78,37;0,00;0,00;0,00;7,00;0,00
2019-04-14;67,00;13,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,70;107,20;0,00;0,00;0,00;80,40;0,00;0,00;0,00;20,00;0,00
2019-04-21;54,00;0,00;13,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;27,00;81,00;0,00;0,00;0,00;94,50;0,00;0,00;0,00;7,00;0,00
2019-04-28;91,00;6,00;13,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;52,24;0,00;0,00;0,00;77,52;0,00;0,00;13,00;13,00;0,00
2019-05-05;66,00;13,00;13,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;20,31;66,00;0,00;0,00;0,00;92,40;0,00;0,00;0,00;13,00;0,00
2019-05-12;33,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;33,00;125,40;0,00;0,00;0,00;59,40;0,00;0,00;0,00;7,00;7,00
2019-05-19;54,00;7,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,75;33,75;0,00;0,00;0,00;54,00;0,00;0,00;0,00;0,00;7,00
2019-05-26;97,00;21,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;33,45;41,81;0,00;0,00;0,00;110,38;0,00;0,00;0,00;7,00;0,00
2019-06-02;66,00;13,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;20,31;66,00;0,00;0,00;0,00;330,00;0,00;0,00;7,00;7,00;7,00
2019-06-09;100,00;7,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;6,67;13,33;118,33;0,00;0,00;0,00;146,67;0,00;0,00;7,00;7,00;7,00
2019-06-16;67,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13,40;120,60;0,00;0,00;0,00;60,30;0,00;0,00;7,00;7,00;7,00
2019-06-23;90,00;14,00;21,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;90,00;0,00;0,00;0,00;130,00;0,00;0,00;7,00;0,00;7,00
2019-06-30;56,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;6,79;13,58;105,21;0,00;0,00;0,00;69,18;0,00;0,00;7,00;0,00;7,00
2019-07-07;47,00;7,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13,43;67,14;0,00;0,00;0,00;80,57;0,00;0,00;27,00;0,00;0,00
2019-07-14;54,00;13,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13,50;47,25;0,00;0,00;0,00;101,25;6,75;0,00;7,00;0,00;0,00
2019-07-21;98,00;28,00;28,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;28,72;0,00;0,00;0,00;57,45;0,00;0,00;7,00;0,00;0,00
2019-07-28;76,00;14,00;7,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;13,51;48,98;0,00;0,00;0,00;46,26;0,00;0,00;7,00;0,00;7,00
2019-08-04;48,00;7,00;7,00;0,00;0,00;7,00;7,00;0,00;7,00;0,00;13,71;104,57;6,86;0,00;0,00;61,71;0,00;14,00;14,00;0,00;0,00
2019-08-11;53,00;0,00;20,00;0,00;0,00;0,00;0,00;13,00;13,00;0,00;0,00;53,00;0,00;0,00;0,00;46,38;0,00;0,00;7,00;0,00;20,00
2019-08-18;72,00;7,00;13,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;33,49;78,70;0,00;0,00;0,00;81,82;0,00;0,00;7,00;0,00;7,00
2019-08-25;44,00;0,00;0,00;0,00;0,00;0,00;6,00;6,00;0,00;13,04;24,44;55,41;0,00;0,00;0,00;71,08;0,00;6,00;0,00;6,00;0,00
2019-09-01;31,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;6,53;6,53;66,89;0,00;6,89;6,89;37,89;6,89;0,00;6,00;13,00;6,00
2019-09-08;36,00;12,00;18,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;40,91;0,00;0,00;0,00;58,91;13,09;0,00;6,00;6,00;12,00
2019-09-15;54,00;12,00;18,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,75;47,25;0,00;0,00;6,75;77,63;0,00;0,00;0,00;6,00;0,00
2019-09-22;49,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;74,34;0,00;0,00;0,00;42,47;0,00;0,00;12,00;0,00;0,00
2019-09-29;82,00;25,00;19,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11,71;68,61;0,00;0,00;0,00;37,58;0,00;0,00;6,00;0,00;0,00
2019-10-06;44,00;0,00;25,00;0,00;0,00;6,00;0,00;0,00;6,00;0,00;11,85;50,77;6,77;0,00;0,00;115,08;0,00;0,00;6,00;0,00;0,00
2019-10-13;56,00;12,00;0,00;6,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;62,79;0,00;0,00;0,00;108,71;0,00;0,00;12,00;6,00;0,00
2019-10-20;43,00;6,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;6,62;0,00;41,35;0,00;0,00;0,00;49,62;0,00;0,00;6,00;6,00;6,00
2019-10-27;24,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12,00;30,86;0,00;0,00;0,00;54,86;0,00;0,00;0,00;12,00;0,00
2019-11-03;55,00;24,00;0,00;0,00;6,00;0,00;6,00;0,00;0,00;0,00;6,67;30,00;0,00;0,00;6,88;61,88;0,00;0,00;12,00;12,00;12,00
2019-11-10;71,00;0,00;18,00;6,00;0,00;12,00;0,00;0,00;0,00;0,00;18,16;23,12;0,00;0,00;0,00;91,29;0,00;0,00;0,00;6,00;6,00
2019-11-17;59,00;18,00;24,00;0,00;0,00;6,00;0,00;6,00;6,00;0,00;11,80;35,40;0,00;0,00;0,00;59,00;0,00;0,00;0,00;6,00;0,00
2019-11-24;26,00;6,00;19,00;0,00;0,00;6,00;0,00;6,00;0,00;0,00;13,87;32,93;0,00;6,50;0,00;55,25;6,50;0,00;6,00;6,00;0,00
2019-12-01;35,00;0,00;12,00;6,00;0,00;0,00;0,00;0,00;6,00;0,00;28,33;23,33;0,00;0,00;6,36;57,27;0,00;0,00;0,00;6,00;6,00
2019-12-08;48,00;24,00;24,00;0,00;0,00;6,00;0,00;6,00;0,00;0,00;34,76;59,59;0,00;0,00;0,00;54,86;0,00;0,00;18,00;12,00;0,00
2019-12-15;25,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;18,33;11,67;6,67;0,00;0,00;60,71;7,14;0,00;6,00;6,00;6,00
2019-12-22;34,00;0,00;21,00;0,00;7,00;0,00;0,00;7,00;0,00;6,48;19,43;92,29;0,00;0,00;0,00;47,60;0,00;0,00;7,00;7,00;0,00
2019-12-29;64,00;0,00;26,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;45,47;38,74;0,00;6,74;0,00;64,00;0,00;0,00;0,00;0,00;0,00
2020-01-05;30,00;0,00;18,00;6,00;0,00;0,00;0,00;0,00;6,00;0,00;35,00;88,33;0,00;0,00;6,67;100,00;0,00;6,00;6,00;0,00;6,00
2020-01-12;56,00;6,00;6,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;21,41;98,82;0,00;0,00;0,00;82,35;0,00;6,00;11,00;17,00;6,00
2020-01-19;29,00;0,00;18,00;0,00;0,00;0,00;6,00;0,00;0,00;4,83;22,56;56,39;0,00;0,00;0,00;96,67;0,00;0,00;0,00;0,00;6,00
2020-01-26;58,00;0,00;12,00;0,00;0,00;6,00;0,00;0,00;0,00;5,12;35,82;87,00;0,00;0,00;0,00;51,18;0,00;0,00;0,00;6,00;6,00
2020-02-02;46,00;0,00;23,00;0,00;0,00;6,00;0,00;0,00;0,00;4,93;23,00;67,36;0,00;0,00;0,00;62,43;6,57;0,00;0,00;6,00;6,00
2020-02-09;64,00;12,00;6,00;0,00;0,00;6,00;0,00;0,00;6,00;5,05;16,84;138,11;0,00;0,00;0,00;94,32;0,00;0,00;12,00;0,00;12,00
2020-02-16;80,00;11,00;11,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;28,33;61,67;0,00;0,00;0,00;123,33;0,00;6,00;0,00;17,00;0,00
2020-02-23;61,00;11,00;11,00;6,00;0,00;6,00;11,00;6,00;0,00;0,00;21,43;98,92;0,00;0,00;0,00;94,89;0,00;0,00;0,00;6,00;11,00
2020-03-01;50,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;21,67;38,33;5,00;0,00;0,00;40,00;0,00;0,00;6,00;0,00;0,00
