Semaine;Nice (FR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Fréjus (FR);Cannes (FR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR)
2019-01-06;34,00;4,25;11,69;0,00;19,13;0,00;0,00;8,00;0,00;8,00;4,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;35,00;12,03;12,03;7,66;7,66;0,00;12,00;4,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;22,00;7,33;10,48;3,14;14,67;7,00;4,00;7,00;4,00;0,00;0,00;4,00;7,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;4,00
2019-01-27;26,00;3,25;10,83;3,25;30,33;7,00;7,00;4,00;15,00;0,00;4,00;7,00;0,00;0,00;0,00;4,00;4,00;4,00;0,00;0,00;0,00
2019-02-03;19,00;11,61;7,39;11,61;11,61;4,00;8,00;11,00;8,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00
2019-02-10;50,00;14,89;30,85;11,70;7,45;8,00;4,00;0,00;4,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00
2019-02-17;23,00;14,64;0,00;0,00;7,32;8,00;4,00;8,00;8,00;0,00;0,00;8,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00
2019-02-24;27,00;11,88;15,12;15,12;4,32;0,00;4,00;0,00;11,00;11,00;4,00;0,00;4,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;4,00
2019-03-03;24,00;7,64;24,00;12,00;0,00;4,00;12,00;4,00;8,00;0,00;12,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00
2019-03-10;27,00;7,56;19,44;11,88;22,68;4,00;15,00;4,00;4,00;4,00;4,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;4,00
2019-03-17;47,00;11,75;19,23;4,27;4,27;12,00;4,00;8,00;12,00;12,00;8,00;20,00;0,00;0,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00
2019-03-24;8,00;12,57;8,00;17,14;21,71;4,00;4,00;4,00;20,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-31;50,00;15,22;7,61;19,57;22,83;19,00;4,00;8,00;11,00;8,00;4,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-07;37,00;8,46;35,94;24,31;15,86;16,00;4,00;0,00;12,00;0,00;0,00;8,00;0,00;8,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-04-14;51,00;8,50;17,00;25,50;8,50;8,00;13,00;21,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-21;28,00;11,85;19,38;4,31;16,15;0,00;4,00;0,00;16,00;8,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-28;29,00;17,61;10,36;10,36;10,36;11,00;4,00;11,00;7,00;4,00;0,00;11,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-05;26,00;7,58;7,58;15,17;10,83;11,00;15,00;11,00;7,00;0,00;0,00;7,00;0,00;7,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00
2019-05-12;49,00;34,09;11,72;19,17;19,17;15,00;11,00;0,00;4,00;15,00;0,00;0,00;0,00;8,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00
2019-05-19;33,00;10,65;7,45;29,81;10,65;11,00;22,00;4,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
