Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Tignes (FR);Les Arcs (FR);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);La Clusaz (FR);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Vars (FR);Grand Bornand (FR);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;66,00;66,00;56,10;66,00;89,10;133,40;99,70;43,53;11,23;33,00;22,00;44,00;22,00;11,00;22,00;44,00;0,00;22,00;11,00;11,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;100,00;67,21;44,26;44,26;77,05;90,14;45,07;33,80;67,61;45,00;44,00;22,00;33,00;33,00;0,00;22,00;33,00;11,00;11,00;33,00;22,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;43,00;150,50;43,00;64,50;33,08;52,71;20,81;31,90;31,90;11,00;21,00;21,00;11,00;0,00;32,00;0,00;0,00;0,00;11,00;21,00;11,00;11,00;11,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;32,00;129,68;53,89;53,89;75,79;84,87;64,00;32,00;41,74;32,00;32,00;0,00;11,00;21,00;21,00;11,00;32,00;11,00;11,00;21,00;21,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00
2019-02-03;55,00;32,35;43,68;55,00;22,65;66,00;33,00;33,00;0,00;33,00;22,00;0,00;11,00;33,00;0,00;0,00;11,00;11,00;11,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;22,00;53,43;64,43;31,43;22,00;22,00;22,00;33,00;11,00;0,00;11,00;11,00;11,00;11,00;33,00;0,00;22,00;11,00;11,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;34,00;34,00;43,71;55,05;34,00;56,67;22,67;0,00;22,67;11,00;11,00;34,00;11,00;11,00;0,00;0,00;11,00;11,00;0,00;11,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00
2019-02-24;33,00;99,00;110,55;87,45;99,00;108,63;75,63;53,63;22,00;22,00;11,00;55,00;33,00;22,00;11,00;44,00;11,00;0,00;22,00;11,00;33,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;34,00;55,05;134,38;77,71;66,38;103,42;80,75;34,00;56,67;34,00;11,00;56,00;56,00;11,00;23,00;11,00;0,00;0,00;23,00;23,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;55,00;55,00;166,67;55,00;66,67;77,56;77,56;43,72;32,44;0,00;22,00;11,00;11,00;0,00;22,00;0,00;0,00;11,00;22,00;11,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-17;34,00;81,60;23,80;11,90;45,90;79,33;34,00;11,33;11,33;11,00;34,00;22,00;22,00;0,00;11,00;11,00;11,00;0,00;0,00;0,00;0,00;11,00;11,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;11,00;44,00;22,00;0,00;44,00;45,38;11,00;11,00;11,00;23,00;11,00;0,00;0,00;0,00;11,00;23,00;11,00;11,00;23,00;11,00;11,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-31;44,00;65,19;65,19;86,37;55,41;66,71;66,71;22,71;11,35;11,00;11,00;0,00;11,00;0,00;0,00;33,00;44,00;11,00;0,00;0,00;11,00;11,00;0,00;0,00;11,00;0,00;0,00;0,00
2019-04-07;24,00;49,71;85,71;49,71;37,71;24,00;48,00;11,29;11,29;12,00;0,00;24,00;12,00;24,00;0,00;12,00;0,00;0,00;12,00;24,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-14;24,00;11,20;0,00;0,00;24,00;12,71;12,71;12,71;0,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-21;57,00;22,80;0,00;34,20;11,40;22,24;11,12;11,12;11,12;0,00;0,00;11,00;11,00;0,00;0,00;11,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-28;21,00;21,00;0,00;21,00;9,69;0,00;11,20;21,00;11,20;11,00;11,00;0,00;0,00;11,00;0,00;0,00;11,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-05;11,00;23,83;0,00;0,00;11,00;0,00;20,63;11,00;11,00;11,00;11,00;11,00;0,00;0,00;11,00;11,00;0,00;0,00;11,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-12;33,00;0,00;0,00;11,55;11,55;11,00;0,00;0,00;0,00;0,00;22,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00
2019-05-19;21,00;30,69;21,00;9,69;0,00;11,20;0,00;0,00;0,00;11,00;11,00;0,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-26;11,00;11,00;0,00;0,00;11,00;0,00;11,00;0,00;0,00;11,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00
2019-06-02;51,00;0,00;19,74;9,87;9,87;0,00;0,00;0,00;9,92;0,00;0,00;10,00;0,00;0,00;0,00;10,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-09;32,00;32,00;21,89;32,00;0,00;0,00;0,00;0,00;0,00;11,00;10,00;10,00;10,00;0,00;10,00;0,00;10,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-16;33,00;11,55;33,00;21,45;11,55;11,48;11,48;0,00;0,00;0,00;11,00;0,00;22,00;11,00;22,00;11,00;0,00;22,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
