Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2019-01-06;38,00;152,00;51,57;100,43;0,00;13,00;13,00;25,00;13,00
2019-01-13;77,00;90,75;24,75;156,75;0,00;0,00;13,00;13,00;13,00
2019-01-20;12,00;43,20;12,00;55,20;0,00;0,00;0,00;12,00;0,00
2019-01-27;61,00;36,05;11,09;110,91;0,00;12,00;0,00;0,00;0,00
2019-02-03;64,00;91,83;38,96;66,78;0,00;0,00;13,00;13,00;0,00
2019-02-10;77,00;52,25;13,75;66,00;0,00;13,00;0,00;13,00;0,00
2019-02-17;26,00;75,40;49,40;111,80;0,00;13,00;13,00;13,00;0,00
2019-02-24;13,00;109,20;13,00;72,80;13,00;0,00;13,00;0,00;13,00
2019-03-03;0,00;29,00;19,00;53,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;51,00;112,74;51,00;61,74;0,00;13,00;51,00;13,00;0,00
2019-03-17;26,00;85,80;62,40;98,80;0,00;0,00;0,00;0,00;0,00
2019-03-24;39,00;49,40;62,40;124,80;0,00;0,00;13,00;53,00;0,00
2019-03-31;13,00;23,40;23,40;23,40;23,40;0,00;25,00;0,00;0,00
2019-04-07;27,00;94,50;81,00;108,00;0,00;14,00;14,00;14,00;0,00
2019-04-14;70,00;83,46;13,46;56,54;0,00;0,00;42,00;14,00;14,00
2019-04-21;39,00;62,40;49,40;101,40;0,00;0,00;26,00;13,00;0,00
2019-04-28;12,00;55,20;33,60;86,40;0,00;0,00;12,00;0,00;0,00
2019-05-05;24,00;34,67;34,67;48,00;0,00;0,00;12,00;0,00;12,00
2019-05-12;25,00;52,78;25,00;38,89;13,89;0,00;13,00;13,00;25,00
2019-05-19;24,00;96,00;48,00;133,33;0,00;0,00;12,00;0,00;12,00
2019-05-26;12,00;64,80;0,00;98,40;0,00;0,00;0,00;0,00;0,00
2019-06-02;12,00;51,00;27,00;129,00;0,00;0,00;0,00;0,00;0,00
2019-06-09;12,00;108,00;27,00;174,00;0,00;0,00;0,00;24,00;12,00
2019-06-16;13,00;106,60;13,00;46,80;0,00;0,00;13,00;13,00;13,00
2019-06-23;13,00;78,00;13,00;78,00;0,00;0,00;27,00;27,00;13,00
2019-06-30;81,00;54,00;13,50;67,50;0,00;14,00;0,00;14,00;14,00
2019-07-07;13,00;75,40;13,00;75,40;0,00;0,00;26,00;13,00;26,00
2019-07-14;56,00;109,33;96,00;96,00;0,00;0,00;0,00;0,00;0,00
2019-07-21;72,00;132,92;30,46;132,92;0,00;0,00;0,00;14,00;0,00
2019-07-28;70,00;123,85;40,38;123,85;0,00;0,00;14,00;14,00;14,00
2019-08-04;28,00;70,00;0,00;128,80;0,00;14,00;14,00;14,00;0,00
2019-08-11;66,00;55,00;66,00;200,75;0,00;27,00;13,00;0,00;13,00
2019-08-18;41,00;41,00;27,33;95,67;0,00;14,00;0,00;0,00;0,00
2019-08-25;0,00;33,00;14,00;33,00;0,00;13,00;13,00;0,00;0,00
2019-09-01;38,00;51,57;38,00;89,57;0,00;0,00;13,00;0,00;0,00
2019-09-08;26,00;26,00;14,44;164,67;0,00;0,00;0,00;0,00;0,00
2019-09-15;51,00;102,00;88,58;102,00;0,00;0,00;0,00;0,00;13,00
2019-09-22;0,00;22,00;13,00;13,00;0,00;0,00;0,00;12,00;0,00
2019-09-29;12,00;108,00;39,00;120,00;0,00;0,00;24,00;24,00;0,00
2019-10-06;0,00;27,00;13,00;54,00;4,00;12,00;12,00;12,00;12,00
2019-10-13;24,00;128,00;34,67;117,33;10,67;24,00;12,00;0,00;12,00
2019-10-20;49,00;73,50;84,39;84,39;0,00;0,00;12,00;12,00;0,00
2019-10-27;25,00;102,78;50,00;138,89;0,00;0,00;50,00;0,00;0,00
2019-11-03;48,00;73,41;25,41;110,12;0,00;0,00;0,00;24,00;0,00
2019-11-10;12,00;108,00;12,00;81,00;0,00;0,00;12,00;12,00;12,00
2019-11-17;12,00;105,00;51,00;144,00;0,00;0,00;24,00;12,00;0,00
2019-11-24;0,00;38,00;34,00;26,00;0,00;12,00;12,00;0,00;0,00
2019-12-01;24,00;128,00;162,67;104,00;0,00;12,00;12,00;12,00;24,00
2019-12-08;47,00;129,94;60,82;82,94;0,00;12,00;23,00;12,00;0,00
2019-12-15;70,00;115,77;45,77;105,00;0,00;0,00;47,00;35,00;12,00
