Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2019-01-06;25,00;0,00;0,00;0,00;0,00;25,00;0,00;0,00;0,00;0,00;50,00;50,00;25,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;0,00;0,00;20,00;0,00;0,00;16,00;0,00;0,00;0,00;11,00;22,00;0,00;0,00;0,00;0,00;25,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;25,00;25,00;25,00;0,00;0,00;0,00;25,00;0,00;25,00;0,00;50,00;50,00;0,00;0,00;0,00;74,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;48,00;48,00;0,00;0,00;0,00;0,00;0,00;0,00;23,23;0,00;25,14;25,14;0,00;0,00;24,00;0,00;0,00;0,00;24,00;0,00;0,00
2019-02-03;0,00;0,00;40,00;0,00;0,00;49,00;0,00;0,00;16,00;0,00;0,00;34,00;0,00;0,00;0,00;0,00;0,00;26,00;51,00;0,00;0,00
2019-02-10;0,00;0,00;0,00;0,00;0,00;16,00;0,00;0,00;0,00;0,00;57,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;26,00;0,00;26,00;0,00;0,00;26,00;0,00;0,00;26,00;0,00;80,36;26,00;0,00;0,00;0,00;0,00;0,00;0,00;26,00;0,00;0,00
2019-02-24;26,00;26,00;26,00;0,00;0,00;79,63;0,00;0,00;26,00;0,00;106,36;0,00;0,00;0,00;0,00;0,00;0,00;0,00;26,00;0,00;0,00
2019-03-03;24,00;24,00;24,00;48,00;24,00;24,00;0,00;0,00;0,00;24,00;69,82;93,82;0,00;0,00;0,00;49,00;24,00;0,00;0,00;0,00;0,00
2019-03-10;0,00;0,00;20,00;0,00;0,00;32,00;0,00;0,00;0,00;0,00;55,00;22,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;50,00
2019-03-17;0,00;0,00;0,00;0,00;0,00;33,00;0,00;0,00;0,00;0,00;90,00;23,00;0,00;0,00;0,00;52,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;52,00;52,00;0,00;26,00;0,00;0,00;0,00;0,00;0,00;0,00;52,00;76,87;0,00;0,00;0,00;52,00;0,00;0,00;26,00;0,00;0,00
2019-03-31;25,00;50,00;25,00;0,00;0,00;50,00;0,00;0,00;0,00;0,00;102,27;75,00;0,00;0,00;25,00;51,00;25,00;0,00;0,00;0,00;0,00
2019-04-07;48,00;48,00;0,00;0,00;0,00;48,00;0,00;0,00;24,00;0,00;70,86;144,00;22,86;24,00;0,00;24,00;24,00;0,00;24,00;0,00;0,00
2019-04-14;56,00;56,00;0,00;0,00;0,00;56,00;0,00;0,00;0,00;0,00;165,76;165,76;26,88;0,00;0,00;0,00;56,00;0,00;0,00;0,00;0,00
2019-04-21;28,00;28,00;28,00;0,00;0,00;28,00;0,00;0,00;0,00;0,00;172,67;58,33;0,00;0,00;0,00;56,00;0,00;0,00;28,00;0,00;0,00
2019-04-28;74,00;24,67;24,67;24,67;24,67;48,81;0,00;0,00;0,00;0,00;124,88;124,88;25,44;0,00;0,00;98,00;0,00;0,00;0,00;0,00;0,00
2019-05-05;0,00;0,00;19,00;19,00;0,00;16,00;0,00;0,00;0,00;0,00;32,00;43,00;11,00;0,00;0,00;98,00;25,00;0,00;25,00;25,00;0,00
2019-05-12;0,00;19,00;0,00;0,00;0,00;16,00;0,00;0,00;0,00;0,00;22,00;33,00;11,00;0,00;25,00;25,00;25,00;0,00;0,00;25,00;25,00
2019-05-19;25,00;0,00;0,00;0,00;0,00;25,00;0,00;0,00;0,00;0,00;125,00;100,00;0,00;0,00;0,00;0,00;25,00;0,00;0,00;25,00;0,00
2019-05-26;0,00;0,00;63,00;0,00;0,00;51,00;0,00;0,00;34,00;0,00;47,00;47,00;0,00;0,00;0,00;27,00;0,00;0,00;0,00;0,00;80,00
2019-06-02;26,00;26,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;26,00;80,36;26,00;0,00;0,00;0,00;0,00;0,00;25,00;0,00;0,00
2019-06-09;51,00;51,00;0,00;0,00;0,00;25,50;25,50;0,00;25,50;0,00;104,32;51,00;25,50;0,00;0,00;25,00;0,00;0,00;0,00;0,00;0,00
2019-06-16;26,00;0,00;130,00;26,00;0,00;26,00;0,00;0,00;26,00;0,00;106,36;106,36;0,00;0,00;0,00;0,00;26,00;0,00;26,00;0,00;26,00
2019-06-23;55,00;55,00;0,00;0,00;0,00;26,71;0,00;0,00;0,00;0,00;0,00;27,50;27,50;0,00;0,00;55,00;0,00;0,00;0,00;0,00;0,00
2019-06-30;27,00;0,00;0,00;54,00;0,00;108,00;0,00;0,00;54,00;0,00;54,00;132,75;0,00;0,00;0,00;54,00;0,00;0,00;27,00;0,00;0,00
2019-07-07;81,00;54,00;27,00;0,00;0,00;27,00;0,00;27,00;0,00;27,77;81,00;55,54;0,00;0,00;0,00;27,00;0,00;0,00;54,00;0,00;27,00
2019-07-14;57,00;84,87;0,00;0,00;0,00;57,00;0,00;0,00;0,00;0,00;57,00;200,64;29,64;0,00;0,00;29,00;0,00;29,00;0,00;29,00;86,00
2019-07-21;63,00;93,86;0,00;0,00;0,00;94,50;0,00;0,00;0,00;0,00;63,00;92,25;0,00;0,00;0,00;31,00;0,00;0,00;63,00;31,00;0,00
2019-07-28;31,00;94,29;0,00;0,00;0,00;62,00;0,00;0,00;0,00;0,00;121,79;31,00;0,00;0,00;0,00;94,00;0,00;0,00;62,00;31,00;31,00
2019-08-04;0,00;0,00;22,00;67,00;0,00;18,00;0,00;0,00;0,00;0,00;51,00;38,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-11;79,00;26,76;0,00;52,24;0,00;26,86;0,00;26,86;0,00;0,00;27,09;79,00;0,00;0,00;0,00;53,00;0,00;0,00;26,00;0,00;0,00
