Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Tignes (FR);Les Arcs (FR);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);La Clusaz (FR);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Vars (FR);Grand Bornand (FR);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;35,00;11,00;4,00;0,00;4,00;0,00;4,00;21,00;4,00;25,00;11,00;11,00;21,00;0,00;4,00;0,00;0,00;0,00;7,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;58,00;4,00;0,00;0,00;0,00;11,00;7,00;7,00;0,00;18,00;22,00;11,00;11,00;0,00;11,00;0,00;7,00;0,00;4,00;7,00;22,00;4,00;7,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;72,00;11,00;7,00;0,00;0,00;0,00;0,00;21,00;0,00;11,00;0,00;11,00;21,00;4,00;11,00;4,00;4,00;0,00;4,00;4,00;7,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;42,00;7,00;7,00;7,00;3,00;7,00;0,00;10,00;0,00;7,00;14,00;3,00;10,00;0,00;0,00;0,00;3,00;0,00;0,00;7,00;7,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;52,00;0,00;7,00;0,00;15,00;0,00;0,00;4,00;0,00;4,00;11,00;15,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;18,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00
2019-02-10;22,00;4,00;7,00;0,00;0,00;4,00;0,00;7,00;7,00;19,00;4,00;11,00;11,00;0,00;4,00;4,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;30,00;7,00;4,00;0,00;7,00;0,00;0,00;15,00;0,00;15,00;7,00;11,00;4,00;0,00;4,00;0,00;7,00;0,00;4,00;0,00;11,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;41,00;4,00;4,00;0,00;0,00;0,00;0,00;30,00;0,00;15,00;4,00;4,00;7,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;35,00;4,00;4,00;0,00;7,00;4,00;0,00;11,00;4,00;11,00;7,00;4,00;4,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;33,00;0,00;7,00;4,00;4,00;4,00;0,00;7,00;0,00;11,00;11,00;11,00;4,00;0,00;0,00;0,00;7,00;0,00;4,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-03-17;26,00;0,00;4,00;0,00;0,00;0,00;0,00;4,00;4,00;7,00;4,00;7,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00
2019-03-24;45,00;0,00;7,00;0,00;0,00;0,00;4,00;15,00;4,00;7,00;11,00;4,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
