Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2019-01-06;40,00;66,15;26,15;118,46;0,00;13,00;0,00;0,00;0,00
2019-01-13;41,00;41,00;41,00;69,38;0,00;0,00;0,00;41,00;27,00
2019-01-20;81,00;66,98;54,52;107,48;0,00;0,00;13,00;0,00;0,00
2019-01-27;26,00;26,00;12,24;128,47;0,00;0,00;26,00;13,00;13,00
2019-02-03;55,00;96,25;27,50;82,50;13,75;0,00;14,00;28,00;28,00
2019-02-10;84,00;70,00;42,00;113,56;0,00;0,00;0,00;0,00;0,00
2019-02-17;28,00;42,00;28,00;140,00;0,00;0,00;42,00;14,00;0,00
2019-02-24;56,00;42,00;14,00;70,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;53,00;0,00;26,50;120,03;0,00;0,00;0,00;0,00;13,00
2019-03-10;68,00;40,18;54,09;27,82;0,00;27,00;14,00;0,00;0,00
2019-03-17;70,00;0,00;28,00;126,00;0,00;0,00;0,00;14,00;0,00
2019-03-24;42,00;28,00;28,00;70,00;0,00;14,00;14,00;28,00;0,00
2019-03-31;0,00;35,00;18,00;53,00;9,00;0,00;0,00;28,00;0,00
2019-04-07;77,00;12,32;26,18;89,32;0,00;0,00;13,00;0,00;0,00
2019-04-14;61,00;46,92;31,28;76,64;0,00;15,00;0,00;0,00;15,00
2019-04-21;31,00;31,00;60,45;60,45;0,00;0,00;15,00;0,00;31,00
2019-04-28;40,00;26,15;40,00;52,31;0,00;40,00;27,00;13,00;0,00
2019-05-05;27,00;0,00;14,29;68,29;14,29;0,00;0,00;0,00;0,00
2019-05-12;54,00;26,23;0,00;134,23;0,00;14,00;14,00;0,00;14,00
2019-05-19;13,00;50,56;50,56;50,56;0,00;0,00;13,00;0,00;0,00
2019-05-26;15,00;63,33;15,00;61,67;0,00;0,00;29,00;0,00;0,00
2019-06-02;0,00;36,00;27,00;62,00;0,00;14,00;14,00;0,00;0,00
2019-06-09;41,00;27,33;0,00;107,81;0,00;28,00;14,00;14,00;0,00
2019-06-16;28,00;112,00;14,00;84,00;14,00;0,00;0,00;0,00;0,00
2019-06-23;45,00;0,00;15,52;45,00;0,00;0,00;30,00;0,00;15,00
2019-06-30;44,00;29,86;29,86;88,00;0,00;15,00;29,00;0,00;0,00
2019-07-07;15,00;15,00;15,00;156,67;0,00;0,00;0,00;0,00;15,00
2019-07-14;15,00;30,00;0,00;45,00;0,00;0,00;16,00;15,00;31,00
2019-07-21;34,00;68,00;17,00;17,00;0,00;0,00;0,00;34,00;17,00
2019-07-28;34,00;17,00;17,00;85,00;0,00;0,00;17,00;0,00;17,00
2019-08-04;78,00;78,00;15,60;126,36;0,00;0,00;31,00;0,00;16,00
2019-08-11;57,00;43,14;27,73;114,00;0,00;14,00;0,00;14,00;29,00
2019-08-18;56,00;14,00;0,00;126,00;0,00;14,00;28,00;0,00;28,00
2019-08-25;69,00;54,89;28,23;69,00;0,00;14,00;14,00;14,00;0,00
2019-09-01;26,00;26,00;64,24;38,24;0,00;0,00;13,00;0,00;0,00
2019-09-08;41,00;41,00;14,19;69,38;0,00;0,00;0,00;0,00;14,00
2019-09-15;42,00;84,00;0,00;84,00;0,00;0,00;14,00;0,00;0,00
2019-09-22;13,00;50,56;0,00;88,11;0,00;13,00;0,00;13,00;14,00
2019-09-29;0,00;35,00;35,00;44,00;0,00;0,00;0,00;0,00;0,00
2019-10-06;27,00;79,50;39,00;118,50;0,00;0,00;14,00;14,00;0,00
2019-10-13;41,00;83,58;0,00;69,38;0,00;0,00;0,00;14,00;14,00
2019-10-20;26,00;0,00;26,00;102,47;0,00;0,00;13,00;0,00;26,00
2019-10-27;65,00;65,00;38,69;103,69;0,00;0,00;0,00;0,00;0,00
2019-11-03;26,00;114,71;88,71;152,94;0,00;13,00;0,00;13,00;13,00
2019-11-10;13,00;55,25;40,63;136,50;0,00;0,00;0,00;13,00;13,00
2019-11-17;65,00;65,00;26,31;103,69;0,00;13,00;26,00;13,00;0,00
2019-11-24;25,00;50,00;76,56;114,06;0,00;13,00;13,00;0,00;13,00
2019-12-01;26,00;52,00;12,24;52,00;0,00;13,00;0,00;0,00;0,00
2019-12-08;51,00;63,36;51,00;63,36;0,00;0,00;0,00;0,00;13,00
2019-12-15;66,00;26,09;13,81;104,37;13,81;0,00;0,00;0,00;26,00
2019-12-22;63,00;109,10;30,73;139,83;0,00;16,00;0,00;0,00;0,00
2019-12-29;30,00;61,58;30,00;123,16;0,00;0,00;0,00;0,00;0,00
2020-01-05;25,00;76,56;39,06;140,63;0,00;0,00;0,00;13,00;13,00
2020-01-12;37,00;72,46;49,33;97,13;0,00;25,00;12,00;0,00;25,00
