Semaine;Nice (FR);Paris (FR);Lille (FR);Strasbourg (FR);Lyon (FR);Marseille (FR);Bordeaux (FR);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Dijon (FR)
2019-01-06;16,00;144,00;9,60;25,60;28,80;9,00;3,00;6,00;0,00;9,00;9,00;0,00;3,00
2019-01-13;22,00;144,57;6,29;22,00;22,00;6,00;10,00;3,00;10,00;6,00;3,00;6,00;6,00
2019-01-20;41,00;135,62;0,00;25,23;18,92;9,00;13,00;3,00;6,00;3,00;0,00;3,00;3,00
2019-01-27;19,00;174,17;3,17;41,17;15,83;3,00;9,00;0,00;0,00;6,00;3,00;0,00;0,00
2019-02-03;16,00;188,80;0,00;35,20;28,80;6,00;10,00;3,00;3,00;0,00;3,00;0,00;3,00
2019-02-10;36,00;165,00;3,00;15,00;24,00;13,00;7,00;0,00;3,00;7,00;7,00;3,00;0,00
2019-02-17;23,00;187,29;0,00;16,43;19,71;10,00;7,00;0,00;0,00;3,00;0,00;0,00;7,00
2019-02-24;36,00;166,91;3,27;26,18;29,45;26,00;16,00;3,00;3,00;7,00;3,00;7,00;0,00
2019-03-03;19,00;180,50;9,50;25,33;41,17;3,00;6,00;0,00;3,00;9,00;0,00;3,00;3,00
2019-03-10;29,00;174,00;6,44;45,11;32,22;16,00;19,00;0,00;0,00;0,00;0,00;10,00;0,00
2019-03-17;39,00;162,00;3,00;24,00;18,00;26,00;13,00;0,00;3,00;0,00;7,00;3,00;3,00
2019-03-24;23,00;144,57;6,57;39,43;52,57;16,00;13,00;3,00;10,00;3,00;0,00;3,00;3,00
2019-03-31;71,00;185,22;6,17;43,22;24,70;13,00;6,00;3,00;0,00;3,00;3,00;3,00;6,00
2019-04-07;49,00;245,00;9,80;52,27;45,73;12,00;18,00;18,00;6,00;0,00;3,00;0,00;12,00
2019-04-14;72,00;313,04;6,26;59,48;62,61;14,00;11,00;4,00;11,00;14,00;0,00;14,00;25,00
2019-04-21;32,00;204,80;0,00;70,40;48,00;7,00;14,00;4,00;0,00;4,00;4,00;7,00;7,00
2019-04-28;25,00;156,25;6,25;34,38;28,13;12,00;9,00;9,00;13,00;0,00;3,00;3,00;6,00
2019-05-05;41,00;164,00;0,00;37,85;50,46;19,00;16,00;6,00;3,00;6,00;9,00;0,00;0,00
2019-05-12;35,00;143,18;0,00;19,09;35,00;19,00;6,00;3,00;6,00;0,00;3,00;3,00;0,00
2019-05-19;38,00;104,50;3,17;41,17;41,17;22,00;9,00;6,00;10,00;6,00;13,00;0,00;6,00
2019-05-26;48,00;128,00;0,00;60,80;41,60;17,00;14,00;0,00;14,00;7,00;0,00;0,00;7,00
2019-06-02;72,00;112,70;3,13;46,96;37,57;26,00;6,00;10,00;3,00;10,00;0,00;6,00;13,00
2019-06-09;29,00;151,44;3,22;41,89;32,22;26,00;10,00;0,00;13,00;10,00;0,00;3,00;3,00
2019-06-16;46,00;168,67;9,20;27,60;39,87;7,00;13,00;3,00;7,00;7,00;7,00;3,00;0,00
2019-06-23;67,00;169,10;0,00;22,33;54,24;17,00;7,00;3,00;7,00;3,00;10,00;11,00;7,00
2019-06-30;62,00;164,30;0,00;31,00;34,10;31,00;10,00;0,00;10,00;10,00;0,00;10,00;3,00
2019-07-07;69,00;210,14;3,14;28,23;53,32;20,00;14,00;0,00;3,00;10,00;10,00;7,00;3,00
2019-07-14;55,00;122,94;9,71;42,06;22,65;18,00;25,00;0,00;11,00;15,00;4,00;11,00;4,00
2019-07-21;80,00;184,62;12,31;30,77;24,62;12,00;4,00;4,00;8,00;4,00;8,00;12,00;4,00
2019-07-28;32,00;118,40;3,20;51,20;32,00;8,00;8,00;4,00;8,00;0,00;4,00;12,00;0,00
2019-08-04;37,00;138,75;6,17;24,67;37,00;18,00;15,00;4,00;0,00;4,00;15,00;7,00;4,00
2019-08-11;51,00;146,63;6,38;41,44;38,25;13,00;13,00;3,00;0,00;7,00;3,00;7,00;7,00
2019-08-18;59,00;155,26;3,11;59,00;37,26;20,00;16,00;0,00;3,00;3,00;3,00;0,00;3,00
2019-08-25;32,00;140,80;9,60;35,20;19,20;10,00;13,00;10,00;0,00;3,00;3,00;10,00;10,00
2019-09-01;46,00;217,73;3,07;49,07;61,33;18,00;15,00;9,00;0,00;6,00;0,00;3,00;3,00
2019-09-08;48,00;201,60;0,00;25,60;32,00;26,00;6,00;6,00;16,00;6,00;3,00;0,00;0,00
2019-09-15;29,00;232,00;6,44;70,89;25,78;19,00;6,00;6,00;3,00;3,00;0,00;0,00;0,00
2019-09-22;38,00;224,83;3,17;19,00;44,33;9,00;16,00;3,00;0,00;6,00;10,00;6,00;9,00
2019-09-29;48,00;233,60;0,00;67,20;32,00;10,00;16,00;3,00;3,00;3,00;6,00;10,00;3,00
2019-10-06;48,00;188,80;3,20;76,80;19,20;16,00;13,00;3,00;6,00;3,00;6,00;6,00;6,00
2019-10-13;38,00;224,83;6,33;44,33;19,00;6,00;0,00;6,00;16,00;3,00;3,00;0,00;6,00
2019-10-20;37,00;200,42;3,08;49,33;40,08;12,00;15,00;0,00;3,00;9,00;0,00;3,00;6,00
2019-10-27;37,00;138,75;3,08;40,08;43,17;6,00;0,00;3,00;3,00;3,00;3,00;3,00;9,00
2019-11-03;15,00;156,00;9,00;42,00;39,00;3,00;18,00;6,00;0,00;3,00;3,00;0,00;6,00
2019-11-10;22,00;138,29;3,14;34,57;50,29;9,00;6,00;3,00;6,00;3,00;3,00;3,00;9,00
2019-11-17;18,00;153,00;0,00;33,00;30,00;12,00;6,00;9,00;9,00;0,00;0,00;3,00;0,00
2019-11-24;30,00;176,67;3,33;56,67;40,00;3,00;6,00;6,00;6,00;3,00;0,00;0,00;9,00
2019-12-01;28,00;149,33;9,33;49,78;24,89;9,00;12,00;3,00;3,00;3,00;9,00;0,00;6,00
