Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2019-01-06;31,00;31,00;0,00;0,00;0,00;31,00;0,00;0,00;0,00;13,78;44,78;44,78;0,00;0,00;0,00;90,62;0,00;0,00;47,32;0,00;0,00
2019-01-13;45,00;75,00;0,00;15,00;0,00;60,00;0,00;0,00;0,00;0,00;45,00;72,69;0,00;0,00;0,00;87,63;0,00;0,00;30,54;0,00;14,46
2019-01-20;30,00;30,00;30,00;0,00;0,00;15,00;0,00;0,00;0,00;15,00;63,75;45,00;0,00;0,00;0,00;122,50;15,00;14,21;72,63;14,21;30,00
2019-01-27;30,00;30,00;30,00;15,00;0,00;15,00;0,00;15,00;0,00;0,00;123,75;30,00;0,00;0,00;0,00;47,50;30,00;0,00;102,63;0,00;30,00
2019-02-03;31,00;15,00;15,00;0,00;0,00;15,00;15,00;0,00;0,00;0,00;117,11;103,33;0,00;14,31;0,00;45,31;0,00;0,00;16,32;0,00;0,00
2019-02-10;15,00;31,00;15,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;97,50;180,00;15,00;0,00;0,00;112,50;0,00;0,00;58,50;0,00;15,00
2019-02-17;16,00;16,00;0,00;0,00;0,00;47,00;0,00;16,00;0,00;16,00;16,00;88,00;0,00;0,00;0,00;89,14;0,00;0,00;16,00;0,00;16,00
2019-02-24;48,00;16,00;16,00;16,00;0,00;32,00;0,00;0,00;0,00;0,00;75,43;61,71;0,00;0,00;0,00;31,20;0,00;0,00;160,00;16,00;32,00
2019-03-03;46,00;15,00;0,00;0,00;0,00;31,00;0,00;0,00;15,00;14,15;138,00;74,31;0,00;0,00;0,00;46,00;14,53;15,86;15,86;0,00;30,14
2019-03-10;30,00;46,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;56,67;30,00;0,00;13,85;0,00;43,85;30,00;0,00;44,21;0,00;30,00
2019-03-17;32,00;48,00;0,00;0,00;0,00;16,00;0,00;0,00;0,00;0,00;96,00;128,00;0,00;0,00;0,00;115,69;81,23;0,00;32,00;0,00;32,00
2019-03-24;47,00;47,00;0,00;0,00;0,00;32,00;0,00;0,00;16,00;0,00;126,54;94,00;0,00;0,00;0,00;108,10;16,45;0,00;61,10;0,00;31,33
2019-03-31;47,00;47,00;32,00;16,00;0,00;16,00;0,00;16,00;0,00;14,46;79,54;0,00;0,00;0,00;0,00;108,10;16,45;0,00;47,00;0,00;0,00
2019-04-07;63,00;63,00;16,00;16,00;0,00;32,00;16,00;0,00;16,00;0,00;77,00;77,00;0,00;0,00;0,00;16,96;16,96;0,00;46,85;0,00;0,00
2019-04-14;17,00;17,00;34,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;214,20;98,60;0,00;0,00;17,00;121,43;17,00;0,00;83,45;17,00;17,00
2019-04-21;0,00;0,00;0,00;0,00;17,00;50,00;0,00;17,00;0,00;5,00;19,00;19,00;0,00;7,00;0,00;28,00;0,00;0,00;42,00;0,00;10,00
2019-04-28;31,00;62,00;16,00;0,00;0,00;0,00;0,00;0,00;16,00;13,78;134,33;103,33;0,00;0,00;0,00;62,00;14,31;0,00;63,63;16,32;63,63
2019-05-05;30,00;46,00;0,00;0,00;15,00;31,00;0,00;0,00;0,00;0,00;86,67;100,00;0,00;0,00;0,00;43,85;30,00;0,00;45,79;0,00;15,79
2019-05-12;63,00;47,00;0,00;0,00;0,00;32,00;0,00;0,00;0,00;0,00;45,50;91,00;14,00;0,00;16,96;157,50;16,96;0,00;79,15;0,00;32,31
2019-05-19;62,00;15,00;15,00;0,00;0,00;16,00;0,00;0,00;0,00;32,82;364,71;127,65;0,00;0,00;0,00;121,62;14,31;0,00;76,31;0,00;30,21
2019-05-26;48,00;16,00;32,00;16,00;0,00;48,00;0,00;0,00;0,00;0,00;61,71;92,57;0,00;0,00;0,00;79,20;0,00;0,00;64,00;0,00;16,00
2019-06-02;78,00;47,00;31,00;0,00;16,00;16,00;0,00;0,00;0,00;0,00;124,09;262,36;0,00;0,00;0,00;173,06;31,69;0,00;47,13;0,00;30,88
2019-06-09;16,00;0,00;16,00;0,00;0,00;32,00;0,00;0,00;16,00;0,00;115,20;201,60;0,00;0,00;0,00;75,43;16,00;0,00;80,00;0,00;16,00
2019-06-16;16,00;32,00;48,00;16,00;0,00;32,00;0,00;0,00;0,00;0,00;172,80;144,00;12,80;16,00;16,00;137,14;45,71;0,00;80,00;0,00;0,00
2019-06-23;32,00;16,00;0,00;0,00;0,00;32,00;0,00;0,00;16,00;0,00;78,22;96,00;0,00;0,00;0,00;32,00;32,00;0,00;80,00;16,00;0,00
2019-06-30;78,00;63,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;14,18;92,18;63,82;0,00;0,00;0,00;92,18;0,00;0,00;93,92;0,00;15,92
2019-07-07;15,00;15,00;31,00;0,00;15,00;31,00;0,00;0,00;0,00;15,00;273,75;63,75;0,00;0,00;0,00;112,50;47,50;0,00;100,50;0,00;43,50
2019-07-14;33,00;81,00;0,00;0,00;0,00;49,00;0,00;0,00;0,00;0,00;99,00;135,67;0,00;0,00;0,00;174,43;0,00;0,00;33,00;0,00;33,00
2019-07-21;52,00;34,00;17,00;0,00;0,00;17,00;0,00;0,00;17,00;0,00;218,40;135,20;0,00;0,00;0,00;247,62;17,33;0,00;139,75;0,00;35,75
2019-07-28;33,00;33,00;33,00;0,00;0,00;33,00;17,00;0,00;0,00;18,33;220,00;51,33;0,00;0,00;0,00;96,64;33,00;0,00;33,00;0,00;0,00
2019-08-04;100,00;50,00;33,00;0,00;0,00;33,00;0,00;0,00;0,00;0,00;200,00;117,86;0,00;0,00;0,00;180,95;66,67;0,00;82,54;0,00;15,87
2019-08-11;80,00;48,00;16,00;0,00;0,00;48,00;16,00;0,00;16,00;0,00;112,73;163,64;0,00;16,97;0,00;96,97;48,48;0,00;48,00;0,00;16,00
2019-08-18;16,00;0,00;16,00;0,00;0,00;49,00;0,00;0,00;0,00;0,00;278,40;102,40;0,00;0,00;0,00;77,71;32,00;0,00;32,00;0,00;32,00
2019-08-25;48,00;32,00;16,00;32,00;0,00;16,00;0,00;0,00;16,00;0,00;199,38;166,15;0,00;0,00;0,00;96,00;16,80;0,00;48,00;0,00;0,00
2019-09-01;46,00;15,00;46,00;0,00;0,00;15,00;0,00;0,00;0,00;0,00;212,31;106,15;0,00;0,00;0,00;123,47;14,53;0,00;15,86;0,00;15,86
2019-09-08;63,00;63,00;0,00;0,00;0,00;16,00;0,00;16,00;0,00;0,00;108,50;91,00;0,00;0,00;0,00;63,00;0,00;0,00;16,15;16,15;63,00
2019-09-15;16,00;47,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;16,00;140,00;88,00;0,00;0,00;16,00;50,67;34,67;16,00;30,40;0,00;16,00
2019-09-22;61,00;30,00;15,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;168,65;32,29;0,00;0,00;14,64;92,72;46,36;0,00;61,00;0,00;0,00
2019-09-29;76,00;61,00;0,00;0,00;0,00;15,00;0,00;0,00;0,00;14,48;170,10;61,52;0,00;14,25;0,00;45,13;0,00;0,00;0,00;0,00;0,00
2019-10-06;15,00;0,00;46,00;0,00;0,00;15,00;0,00;0,00;0,00;0,00;97,50;48,75;15,00;0,00;0,00;47,50;15,00;0,00;46,67;0,00;31,67
2019-10-13;60,00;30,00;15,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;148,24;60,00;0,00;0,00;0,00;60,00;0,00;0,00;30,00;0,00;14,21
2019-10-20;15,00;15,00;15,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;123,75;48,75;0,00;0,00;15,00;47,50;0,00;15,00;0,00;0,00;0,00
2019-10-27;0,00;0,00;44,00;0,00;0,00;59,00;0,00;0,00;15,00;8,00;25,00;37,00;0,00;0,00;0,00;24,00;0,00;9,00;9,00;0,00;0,00
2019-11-03;43,00;72,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;28,67;43,00;71,67;0,00;0,00;0,00;86,00;14,33;28,67;43,00;0,00;14,33
2019-11-10;58,00;14,00;0,00;14,00;0,00;15,00;0,00;0,00;15,00;0,00;87,00;58,00;0,00;0,00;0,00;43,50;0,00;29,00;0,00;0,00;0,00
2019-11-17;14,00;14,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;14,00;56,00;0,00;0,00;0,00;0,00;42,00;28,00;0,00;42,00;0,00;0,00
2019-11-24;14,00;14,00;28,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;14,00;98,00;0,00;0,00;14,00;53,67;14,00;0,00;28,00;0,00;0,00
2019-12-01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;15,00;15,00;0,00;16,00;8,00;0,00;0,00;0,00;12,00;0,00;0,00;18,00;0,00;0,00
2019-12-08;29,00;0,00;0,00;0,00;0,00;15,00;0,00;0,00;0,00;0,00;134,13;14,50;0,00;0,00;0,00;14,50;14,50;0,00;58,00;0,00;29,00
2019-12-15;0,00;0,00;15,00;15,00;0,00;0,00;0,00;0,00;0,00;4,00;13,00;13,00;0,00;0,00;0,00;12,00;6,00;19,00;84,00;0,00;9,00
