Semaine;Nice (FR);Paris (FR);Lille (FR);Strasbourg (FR);Lyon (FR);Marseille (FR);Bordeaux (FR);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Dijon (FR)
2019-01-06;24,00;161,14;3,43;37,71;10,29;13,00;5,00;5,00;7,00;4,00;1,00;0,00;1,00
2019-01-13;29,00;181,25;3,63;47,13;10,88;10,00;7,00;0,00;6,00;5,00;4,00;1,00;1,00
2019-01-20;28,00;133,00;1,75;45,50;7,00;12,00;5,00;4,00;5,00;8,00;4,00;2,00;1,00
2019-01-27;25,00;142,86;3,57;53,57;3,57;11,00;6,00;3,00;5,00;6,00;4,00;4,00;1,00
2019-02-03;23,00;172,50;3,83;46,00;7,67;15,00;9,00;3,00;5,00;5,00;3,00;1,00;1,00
2019-02-10;25,00;135,71;0,00;53,57;7,14;12,00;5,00;1,00;4,00;8,00;4,00;3,00;0,00
2019-02-17;23,00;144,57;1,64;55,86;3,29;12,00;9,00;1,00;3,00;6,00;1,00;2,00;2,00
2019-02-24;15,00;168,75;3,75;63,75;3,75;16,00;7,00;3,00;4,00;2,00;6,00;2,00;1,00
2019-03-03;21,00;164,50;7,00;56,00;3,50;8,00;13,00;2,00;6,00;5,00;5,00;4,00;2,00
2019-03-10;31,00;182,56;3,44;62,00;3,44;15,00;10,00;2,00;4,00;2,00;3,00;3,00;2,00
2019-03-17;31,00;175,67;3,44;58,56;6,89;13,00;5,00;4,00;3,00;5,00;3,00;6,00;1,00
2019-03-24;36,00;172,80;1,80;79,20;3,60;18,00;8,00;6,00;5,00;2,00;1,00;2,00;1,00
2019-03-31;34,00;170,00;3,78;86,89;7,56;25,00;12,00;0,00;8,00;2,00;4,00;4,00;0,00
2019-04-07;29,00;192,13;3,63;65,25;10,88;11,00;6,00;5,00;7,00;4,00;5,00;3,00;1,00
2019-04-14;38,00;345,45;3,45;93,27;13,82;15,00;7,00;2,00;4,00;3,00;3,00;1,00;1,00
2019-04-21;49,00;206,50;3,50;98,00;10,50;10,00;10,00;2,00;4,00;5,00;4,00;4,00;2,00
2019-04-28;35,00;161,00;1,75;73,50;7,00;11,00;4,00;4,00;7,00;5,00;1,00;3,00;2,00
2019-05-05;45,00;187,50;3,75;56,25;11,25;12,00;16,00;4,00;6,00;2,00;4,00;3,00;3,00
2019-05-12;35,00;164,50;3,50;70,00;7,00;12,00;7,00;5,00;9,00;6,00;1,00;3,00;1,00
2019-05-19;34,00;181,33;1,89;64,22;7,56;12,00;12,00;3,00;4,00;1,00;5,00;2,00;1,00
2019-05-26;35,00;168,00;0,00;87,50;3,50;19,00;8,00;3,00;7,00;3,00;4,00;2,00;1,00
2019-06-02;42,00;199,50;3,50;91,00;10,50;16,00;5,00;4,00;7,00;9,00;3,00;2,00;5,00
2019-06-09;43,00;186,33;1,79;89,58;7,17;20,00;11,00;3,00;6,00;5,00;8,00;3,00;2,00
2019-06-16;40,00;185,45;3,64;101,82;10,91;10,00;13,00;3,00;9,00;11,00;4,00;1,00;0,00
2019-06-23;45,00;176,25;3,75;63,75;11,25;20,00;13,00;4,00;10,00;11,00;3,00;2,00;1,00
2019-06-30;50,00;157,14;0,00;85,71;21,43;20,00;9,00;3,00;10,00;7,00;1,00;2,00;2,00
2019-07-07;41,00;216,18;3,73;82,00;11,18;9,00;12,00;5,00;6,00;8,00;6,00;10,00;0,00
2019-07-14;45,00;210,00;3,75;101,25;7,50;12,00;10,00;3,00;7,00;9,00;4,00;6,00;1,00
2019-07-21;42,00;178,50;3,50;98,00;3,50;13,00;12,00;4,00;6,00;7,00;3,00;1,00;2,00
2019-07-28;43,00;204,25;3,58;93,17;7,17;18,00;5,00;4,00;8,00;8,00;2,00;3,00;1,00
2019-08-04;51,00;211,29;3,64;102,00;7,29;15,00;14,00;6,00;7,00;6,00;3,00;2,00;1,00
2019-08-11;36,00;190,80;3,60;61,20;10,80;16,00;11,00;3,00;6,00;2,00;3,00;3,00;2,00
2019-08-18;41,00;182,64;3,73;171,45;7,45;17,00;12,00;6,00;5,00;5,00;2,00;3,00;1,00
2019-08-25;37,00;177,60;3,70;203,50;7,40;23,00;13,00;3,00;4,00;9,00;2,00;1,00;1,00
