Semaine;Martinique (LC);Guadeloupe (GP);Saint Martin (ile d Amérique du nord) (MF);Republique Dominicaine (DO);Sainte Lucie (LC);Barbade (BB)
2019-01-06;38,00;38,00;2,11;91,83;10,56;54,00
2019-01-13;38,00;15,20;5,43;81,43;20,63;53,00
2019-01-20;27,00;36,35;2,08;70,62;12,46;52,00
2019-01-27;22,00;29,33;19,90;46,10;0,00;48,00
2019-02-03;15,00;43,93;5,36;79,29;20,36;41,00
2019-02-10;28,00;49,78;14,52;58,07;2,07;41,00
2019-02-17;10,00;32,00;12,00;61,00;7,00;55,00
2019-02-24;5,00;30,00;10,00;65,00;8,00;51,00
2019-03-03;31,00;27,79;20,31;71,62;7,48;36,00
2019-03-10;23,00;23,00;26,29;73,38;13,14;79,00
2019-03-17;22,00;16,50;16,50;61,60;14,30;24,00
2019-03-24;21,00;23,10;26,25;54,60;17,85;56,00
2019-03-31;8,00;30,86;2,29;59,43;0,00;37,00
2019-04-07;10,00;15,00;5,00;42,00;10,00;55,00
2019-04-14;6,00;19,20;0,00;78,00;3,60;43,00
2019-04-21;19,00;22,17;3,17;46,44;10,56;20,00
2019-04-28;8,00;30,86;8,00;75,43;19,43;29,00
2019-05-05;10,00;22,00;2,00;65,00;12,00;20,00
2019-05-12;11,00;13,20;5,50;57,20;5,50;50,00
2019-05-19;13,00;16,25;7,58;55,25;0,00;23,00
2019-05-26;3,00;20,00;5,00;38,00;3,00;38,00
2019-06-02;13,00;13,00;10,83;47,67;0,00;57,00
2019-06-09;11,00;16,50;3,30;52,80;5,50;32,00
2019-06-16;27,00;19,44;0,00;76,68;10,80;38,00
2019-06-23;24,00;15,65;2,09;76,17;2,09;45,00
2019-06-30;16,00;23,47;5,33;41,60;5,33;40,00
2019-07-07;10,00;22,00;5,00;65,00;0,00;52,00
2019-07-14;14,00;19,38;0,00;77,54;5,38;36,00
2019-07-21;9,00;21,38;3,38;76,50;5,63;69,00
2019-07-28;8,00;18,00;0,00;46,00;3,00;53,00
2019-08-04;14,00;25,85;3,23;90,46;5,38;70,00
2019-08-11;5,00;20,00;2,00;62,00;5,00;53,00
2019-08-18;22,00;24,10;8,38;64,95;10,48;58,00
2019-08-25;13,00;20,00;5,00;65,00;8,00;46,00
2019-09-01;8,00;16,00;2,29;72,00;11,43;52,00
2019-09-08;21,00;17,85;7,35;54,60;7,35;26,00
2019-09-15;5,00;20,00;5,00;49,00;7,00;55,00
2019-09-22;10,00;12,00;7,00;55,00;10,00;51,00
2019-09-29;23,00;28,48;2,19;62,43;10,95;64,00
2019-10-06;18,00;30,71;12,71;55,06;12,71;43,00
2019-10-13;15,00;22,50;0,00;50,36;17,14;38,00
2019-10-20;12,00;26,00;0,00;51,00;5,00;55,00
2019-10-27;12,00;15,27;2,18;65,45;17,45;64,00
2019-11-03;5,00;18,00;2,00;72,00;2,00;89,00
2019-11-10;24,00;37,57;2,09;59,48;2,09;100,00
2019-11-17;19,00;26,39;7,39;38,00;11,61;72,00
2019-11-24;12,00;26,18;4,36;53,45;0,00;64,00
2019-12-01;22,00;11,52;0,00;67,05;16,76;34,00
2019-12-08;15,00;26,79;0,00;46,07;17,14;51,00
2019-12-15;7,00;37,00;5,00;61,00;5,00;70,00
2019-12-22;11,00;32,00;3,00;56,00;8,00;88,00
2019-12-29;24,00;24,00;0,00;69,82;16,36;98,00
2020-01-05;25,00;22,92;2,08;71,88;17,71;65,00
2020-01-12;45,00;24,64;6,43;107,14;16,07;86,00
2020-01-19;16,00;35,20;7,47;72,53;9,60;80,00
2020-01-26;16,00;20,27;4,27;59,73;11,73;58,00
2020-02-02;14,00;28,00;4,31;47,38;0,00;61,00
2020-02-09;20,00;24,21;4,21;60,00;11,58;48,00
2020-02-16;16,00;21,33;4,27;39,47;9,60;57,00
2020-02-23;14,00;34,46;2,15;73,23;6,46;64,00
2020-03-01;7,00;26,83;2,33;59,50;10,50;57,00
2020-03-08;9,00;31,50;4,50;69,75;9,00;73,00
2020-03-15;6,00;24,00;4,00;41,00;4,00;76,00
