Semaine;Réunion (RE);Mayotte (YT);Maurice (MU);Seychelles (SC);Zanzibar (TZ);Madagascar (MG)
2019-01-06;67,00;0,00;341,70;294,80;0,00;21,00
2019-01-13;76,00;13,82;241,82;255,64;0,00;45,00
2019-01-20;75,00;6,82;272,73;211,36;3,41;34,00
2019-01-27;39,00;6,50;208,00;188,50;0,00;23,00
2019-02-03;43,00;0,00;179,17;215,00;0,00;29,00
2019-02-10;40,00;6,67;173,33;200,00;3,33;13,00
2019-02-17;49,00;7,00;182,00;301,00;0,00;55,00
2019-02-24;53,00;6,63;145,75;159,00;0,00;14,00
2019-03-03;61,00;6,78;223,67;142,33;3,39;24,00
2019-03-10;42,00;7,00;182,00;147,00;0,00;19,00
2019-03-17;56,00;7,00;133,00;175,00;0,00;11,00
2019-03-24;49,00;3,50;182,00;189,00;0,00;22,00
2019-03-31;28,00;3,50;175,00;161,00;0,00;17,00
2019-04-07;49,00;14,00;182,00;182,00;0,00;19,00
2019-04-14;69,00;3,45;138,00;207,00;0,00;15,00
2019-04-21;58,00;0,00;166,75;159,50;0,00;23,00
2019-04-28;62,00;6,89;199,78;199,78;0,00;11,00
2019-05-05;53,00;13,25;172,25;119,25;0,00;21,00
2019-05-12;47,00;6,71;114,14;194,71;0,00;19,00
2019-05-19;24,00;6,00;126,00;120,00;3,00;11,00
2019-05-26;42,00;3,50;147,00;140,00;0,00;11,00
2019-06-02;38,00;7,60;167,20;205,20;0,00;19,00
2019-06-09;34,00;0,00;183,60;142,80;0,00;31,00
2019-06-16;28,00;14,00;182,00;189,00;0,00;11,00
2019-06-23;47,00;3,36;154,43;141,00;3,36;17,00
2019-06-30;52,00;3,25;136,50;162,50;0,00;25,00
2019-07-07;51,00;7,29;189,43;167,57;0,00;67,00
2019-07-14;31,00;3,10;130,20;161,20;3,10;17,00
2019-07-21;60,00;3,33;153,33;173,33;3,33;24,00
2019-07-28;58,00;0,00;166,75;203,00;3,63;23,00
2019-08-04;55,00;6,88;199,38;199,38;6,88;38,00
2019-08-11;53,00;6,63;165,63;178,88;0,00;28,00
2019-08-18;43,00;14,33;222,17;265,17;3,58;29,00
2019-08-25;67,00;6,70;207,70;589,60;3,35;20,00
2019-09-01;65,00;7,22;187,78;209,44;0,00;35,00
2019-09-08;69,00;3,45;144,90;200,10;0,00;22,00
2019-09-15;57,00;14,25;135,38;213,75;3,56;33,00
2019-09-22;48,00;6,86;171,43;144,00;3,43;37,00
2019-09-29;58,00;14,50;166,75;224,75;3,63;8,00
2019-10-06;61,00;0,00;155,89;169,44;0,00;19,00
2019-10-13;52,00;6,50;188,50;175,50;0,00;26,00
2019-10-20;68,00;13,60;170,00;122,40;0,00;21,00
2019-10-27;48,00;0,00;185,14;178,29;0,00;18,00
2019-11-03;68,00;0,00;156,40;170,00;0,00;15,00
2019-11-10;79,00;3,59;179,55;179,55;0,00;28,00
2019-11-17;57,00;14,25;199,50;228,00;0,00;65,00
2019-11-24;62,00;3,44;172,22;117,11;0,00;32,00
2019-12-01;44,00;3,67;161,33;124,67;0,00;15,00
2019-12-08;46,00;3,29;184,00;118,29;3,29;28,00
2019-12-15;47,00;6,71;154,43;208,14;3,36;13,00
2019-12-22;74,00;3,36;235,45;208,55;0,00;18,00
2019-12-29;77,00;0,00;322,00;294,00;0,00;36,00
2020-01-05;77,00;7,00;252,00;280,00;0,00;31,00
2020-01-12;64,00;7,11;256,00;270,22;3,56;40,00
