Semaine;Nice (FR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Fréjus (FR);Cannes (FR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR)
2019-01-06;36,00;36,00;0,00;0,00;7,20;0,00;4,00;4,00;0,00;9,39;0,00;4,70;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;38,00;38,00;0,00;7,60;7,60;0,00;8,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;33,00;66,00;8,25;8,25;0,00;0,00;4,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;45,00;75,00;7,50;7,50;7,50;0,00;8,00;16,00;0,00;0,00;0,00;0,00;4,66;0,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00
2019-02-03;30,00;60,00;7,50;15,00;7,50;0,00;9,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;34,00;93,50;8,50;17,00;17,00;0,00;0,00;0,00;0,00;0,00;0,00;4,64;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00
2019-02-17;44,00;51,33;7,33;7,33;7,33;4,00;13,00;13,00;0,00;4,71;0,00;9,43;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00
2019-02-24;30,00;60,00;7,50;0,00;7,50;4,00;17,00;4,00;0,00;4,74;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;4,00;0,00
2019-03-03;57,00;65,14;8,14;8,14;8,14;0,00;4,00;0,00;0,00;0,00;9,50;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00
2019-03-10;35,00;61,25;8,75;0,00;8,75;0,00;4,00;18,00;0,00;0,00;0,00;4,57;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-17;27,00;108,00;9,00;9,00;18,00;9,00;0,00;9,00;0,00;14,29;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00
2019-03-24;48,00;96,00;8,00;0,00;8,00;0,00;13,00;9,00;0,00;0,00;0,00;0,00;4,65;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00
2019-03-31;42,00;42,00;8,40;8,40;8,40;0,00;13,00;0,00;0,00;0,00;4,67;0,00;4,67;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-07;67,00;96,78;7,44;22,33;7,44;0,00;29,00;4,00;0,00;7,79;0,00;7,79;0,00;0,00;0,00;0,00;4,00;0,00;0,00;4,00;0,00
2019-04-14;94,00;133,17;15,67;7,83;7,83;0,00;18,00;18,00;0,00;0,00;4,70;0,00;0,00;0,00;0,00;0,00;13,00;0,00;0,00;4,00;0,00
2019-04-21;47,00;117,50;7,83;23,50;7,83;0,00;9,00;13,00;0,00;0,00;0,00;4,70;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00
2019-04-28;48,00;80,00;0,00;8,00;24,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;4,80;4,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00
2019-05-05;46,00;61,33;15,33;15,33;7,67;0,00;13,00;4,00;0,00;7,67;4,60;7,67;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00
2019-05-12;47,00;86,17;7,83;15,67;15,67;4,00;34,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-05-19;51,00;68,00;8,50;8,50;0,00;0,00;13,00;8,00;0,00;0,00;0,00;0,00;4,64;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-26;54,00;108,00;7,71;7,71;15,43;0,00;21,00;4,00;0,00;20,65;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-02;45,00;97,50;7,50;22,50;7,50;8,00;4,00;12,00;0,00;7,76;0,00;0,00;0,00;4,00;8,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-06-09;71,00;110,44;15,78;7,89;31,56;0,00;8,00;4,00;4,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;8,00;8,00;4,00;0,00;0,00
2019-06-16;66,00;107,25;16,50;41,25;8,25;9,00;9,00;9,00;0,00;0,00;0,00;4,71;0,00;4,00;0,00;4,00;0,00;0,00;4,00;4,00;0,00
2019-06-23;45,00;127,50;7,50;22,50;7,50;4,00;18,00;13,00;0,00;4,82;4,82;4,82;0,00;0,00;4,00;0,00;4,00;0,00;0,00;4,00;0,00
2019-06-30;53,00;113,57;15,14;15,14;15,14;0,00;13,00;26,00;0,00;9,35;0,00;4,68;9,35;0,00;4,00;0,00;4,00;0,00;0,00;4,00;0,00
2019-07-07;77,00;177,10;7,70;15,40;23,10;0,00;0,00;4,00;0,00;7,86;0,00;4,71;4,71;4,00;9,00;0,00;17,00;0,00;0,00;0,00;0,00
2019-07-14;75,00;187,50;7,50;22,50;22,50;0,00;22,00;9,00;0,00;4,69;4,69;0,00;9,38;0,00;4,00;4,00;4,00;0,00;0,00;0,00;0,00
2019-07-21;54,00;169,71;23,14;15,43;15,43;9,00;13,00;9,00;0,00;14,29;0,00;0,00;4,76;0,00;9,00;4,00;9,00;4,00;0,00;0,00;0,00
2019-07-28;83,00;226,36;15,09;15,09;15,09;0,00;28,00;9,00;0,00;4,70;0,00;0,00;0,00;0,00;5,00;5,00;9,00;0,00;0,00;0,00;0,00
2019-08-04;46,00;237,67;23,00;30,67;46,00;5,00;18,00;9,00;0,00;4,76;9,52;0,00;4,76;5,00;9,00;14,00;5,00;0,00;0,00;0,00;0,00
2019-08-11;94,00;282,00;15,67;23,50;31,33;5,00;23,00;9,00;0,00;9,40;4,70;0,00;0,00;0,00;0,00;5,00;9,00;0,00;0,00;0,00;0,00
2019-08-18;100,00;769,23;7,69;15,38;15,38;9,00;14,00;14,00;0,00;9,38;4,69;0,00;0,00;0,00;5,00;5,00;14,00;0,00;0,00;5,00;0,00
2019-08-25;60,00;322,50;7,50;0,00;15,00;0,00;0,00;0,00;0,00;16,92;0,00;7,69;4,62;0,00;4,00;0,00;9,00;0,00;0,00;0,00;0,00
2019-09-01;41,00;98,40;24,60;24,60;8,20;0,00;20,00;8,00;0,00;0,00;0,00;4,73;7,88;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00
2019-09-08;48,00;88,00;0,00;8,00;16,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-15;36,00;93,60;0,00;7,20;7,20;0,00;8,00;0,00;0,00;4,70;0,00;0,00;4,70;0,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00
2019-09-22;64,00;120,00;0,00;8,00;8,00;0,00;4,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00
2019-09-29;52,00;81,71;0,00;0,00;0,00;0,00;12,00;8,00;0,00;4,73;0,00;4,73;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-06;48,00;80,00;0,00;8,00;16,00;4,00;12,00;4,00;0,00;0,00;0,00;4,65;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-13;51,00;68,00;4,25;4,25;0,00;0,00;19,00;8,00;0,00;3,19;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-20;74,00;106,89;4,11;4,11;8,22;4,00;0,00;4,00;4,00;7,87;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00
2019-10-27;32,00;80,00;8,00;8,00;8,00;0,00;0,00;8,00;0,00;4,80;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-11-03;23,00;61,33;7,67;7,67;0,00;4,00;4,00;4,00;0,00;3,07;0,00;0,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00
2019-11-10;27,00;45,00;0,00;9,00;9,00;0,00;19,00;4,00;0,00;11,12;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-17;42,00;42,00;8,40;0,00;4,20;0,00;0,00;0,00;0,00;18,67;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00
2019-11-24;38,00;38,00;0,00;7,60;0,00;4,00;8,00;4,00;0,00;45,92;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00
