Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2019-01-06;31,00;0,00;21,00;37,00;0,00;10,00;5,00;16,00;0,00
2019-01-13;25,00;10,00;20,00;25,00;0,00;0,00;0,00;5,00;0,00
2019-01-20;14,00;0,00;5,00;14,00;5,00;0,00;0,00;5,00;5,00
2019-01-27;29,00;5,00;0,00;24,00;0,00;0,00;5,00;0,00;5,00
2019-02-03;35,00;5,00;5,00;15,00;0,00;0,00;5,00;0,00;5,00
2019-02-10;15,00;5,00;10,00;5,00;0,00;0,00;0,00;5,00;0,00
2019-02-17;15,00;10,00;15,00;5,00;0,00;5,00;5,00;0,00;5,00
2019-02-24;15,00;10,00;5,00;10,00;5,00;0,00;5,00;10,00;5,00
2019-03-03;15,00;5,00;26,00;26,00;0,00;0,00;10,00;0,00;0,00
2019-03-10;52,00;0,00;15,00;10,00;0,00;0,00;10,00;0,00;0,00
2019-03-17;0,00;16,00;10,00;21,00;0,00;0,00;10,00;5,00;10,00
2019-03-24;67,00;0,00;5,00;31,00;0,00;5,00;10,00;0,00;15,00
2019-03-31;10,00;5,00;5,00;25,00;0,00;0,00;0,00;0,00;0,00
2019-04-07;25,00;0,00;15,00;5,00;5,00;5,00;5,00;0,00;5,00
2019-04-14;53,00;5,00;5,00;5,00;5,00;0,00;11,00;5,00;5,00
2019-04-21;30,00;15,00;25,00;15,00;0,00;0,00;0,00;5,00;0,00
2019-04-28;25,00;0,00;10,00;30,00;5,00;0,00;0,00;0,00;5,00
2019-05-05;15,00;10,00;30,00;15,00;5,00;0,00;5,00;0,00;5,00
2019-05-12;55,00;0,00;10,00;30,00;0,00;0,00;0,00;0,00;10,00
2019-05-19;35,00;15,00;5,00;25,00;0,00;0,00;0,00;10,00;10,00
2019-05-26;53,00;15,00;5,00;5,00;5,00;0,00;15,00;0,00;0,00
2019-06-02;14,00;14,00;0,00;14,00;0,00;5,00;5,00;0,00;0,00
2019-06-09;29,00;5,00;15,00;24,00;0,00;0,00;15,00;5,00;5,00
2019-06-16;36,00;10,00;15,00;20,00;0,00;0,00;5,00;0,00;0,00
2019-06-23;31,00;5,00;10,00;0,00;5,00;0,00;5,00;5,00;10,00
2019-06-30;31,00;16,00;21,00;10,00;0,00;0,00;5,00;5,00;5,00
2019-07-07;50,00;5,00;5,00;15,00;0,00;0,00;10,00;5,00;0,00
2019-07-14;46,00;15,00;15,00;31,00;5,00;0,00;10,00;10,00;5,00
2019-07-21;100,00;5,00;5,00;53,00;0,00;5,00;21,00;0,00;10,00
2019-07-28;54,00;11,00;22,00;27,00;5,00;0,00;5,00;5,00;5,00
2019-08-04;43,00;16,00;11,00;16,00;0,00;5,00;5,00;5,00;0,00
2019-08-11;66,00;16,00;27,00;16,00;5,00;16,00;5,00;5,00;11,00
2019-08-18;37,00;16,00;16,00;32,00;0,00;5,00;11,00;5,00;0,00
2019-08-25;40,00;10,00;15,00;40,00;0,00;5,00;10,00;20,00;0,00
2019-09-01;38,00;10,00;5,00;19,00;0,00;0,00;10,00;14,00;10,00
2019-09-08;19,00;14,00;5,00;19,00;5,00;0,00;9,00;14,00;9,00
2019-09-15;42,00;5,00;5,00;14,00;5,00;0,00;0,00;0,00;0,00
2019-09-22;9,00;9,00;14,00;9,00;0,00;0,00;0,00;0,00;0,00
2019-09-29;19,00;9,00;9,00;38,00;0,00;0,00;9,00;5,00;0,00
2019-10-06;28,00;9,00;0,00;42,00;0,00;0,00;0,00;5,00;9,00
2019-10-13;18,00;0,00;5,00;36,00;5,00;0,00;5,00;9,00;0,00
2019-10-20;18,00;9,00;9,00;14,00;0,00;0,00;9,00;5,00;5,00
2019-10-27;32,00;5,00;5,00;5,00;0,00;0,00;5,00;5,00;9,00
2019-11-03;27,00;9,00;5,00;23,00;5,00;0,00;5,00;5,00;0,00
2019-11-10;31,00;4,00;18,00;18,00;0,00;4,00;13,00;4,00;0,00
2019-11-17;13,00;9,00;4,00;13,00;0,00;0,00;0,00;0,00;0,00
2019-11-24;13,00;4,00;0,00;4,00;0,00;0,00;13,00;0,00;4,00
2019-12-01;14,00;14,00;9,00;14,00;5,00;5,00;5,00;5,00;5,00
2019-12-08;33,00;10,00;10,00;43,00;0,00;10,00;0,00;14,00;0,00
2019-12-15;46,00;9,00;5,00;14,00;0,00;5,00;0,00;9,00;0,00
2019-12-22;15,00;15,00;26,00;15,00;5,00;0,00;0,00;15,00;0,00
2019-12-29;25,00;10,00;5,00;15,00;5,00;5,00;0,00;10,00;0,00
2020-01-05;37,00;14,00;9,00;14,00;0,00;5,00;0,00;5,00;18,00
2020-01-12;17,00;13,00;8,00;34,00;0,00;0,00;4,00;4,00;8,00
2020-01-19;34,00;4,00;8,00;13,00;0,00;0,00;0,00;0,00;4,00
2020-01-26;22,00;9,00;26,00;17,00;4,00;4,00;0,00;0,00;13,00
2020-02-02;26,00;9,00;13,00;31,00;4,00;4,00;9,00;4,00;4,00
2020-02-09;31,00;0,00;17,00;9,00;0,00;0,00;0,00;4,00;4,00
2020-02-16;30,00;9,00;13,00;17,00;0,00;0,00;17,00;0,00;0,00
2020-02-23;13,00;13,00;4,00;9,00;0,00;0,00;4,00;4,00;4,00
2020-03-01;37,00;4,00;17,00;12,00;8,00;4,00;4,00;8,00;4,00
2020-03-08;16,00;4,00;8,00;25,00;0,00;0,00;4,00;0,00;8,00
2020-03-15;24,00;4,00;0,00;20,00;0,00;0,00;8,00;0,00;8,00
2020-03-22;27,00;4,00;4,00;8,00;0,00;0,00;0,00;8,00;0,00
2020-03-29;19,00;4,00;8,00;15,00;0,00;0,00;8,00;0,00;0,00
2020-04-05;12,00;4,00;8,00;44,00;0,00;4,00;8,00;4,00;0,00
2020-04-12;42,00;0,00;0,00;11,00;0,00;0,00;4,00;4,00;4,00
2020-04-19;30,00;0,00;0,00;11,00;4,00;0,00;0,00;0,00;11,00
2020-04-26;15,00;4,00;8,00;4,00;0,00;0,00;4,00;4,00;4,00
2020-05-03;34,00;15,00;8,00;11,00;0,00;4,00;4,00;4,00;4,00
2020-05-10;27,00;15,00;4,00;8,00;0,00;0,00;8,00;8,00;4,00
2020-05-17;28,00;4,00;8,00;8,00;0,00;0,00;4,00;16,00;8,00
2020-05-24;45,00;0,00;4,00;8,00;0,00;0,00;0,00;4,00;0,00
2020-05-31;38,00;8,00;15,00;8,00;0,00;0,00;0,00;0,00;4,00
2020-06-07;59,00;4,00;16,00;23,00;4,00;4,00;0,00;8,00;12,00
2020-06-14;42,00;0,00;4,00;21,00;0,00;0,00;4,00;4,00;4,00
2020-06-21;18,00;0,00;4,00;13,00;0,00;9,00;0,00;4,00;9,00
2020-06-28;26,00;0,00;9,00;17,00;9,00;4,00;0,00;4,00;4,00
2020-07-05;14,00;9,00;14,00;18,00;0,00;5,00;5,00;5,00;0,00
2020-07-12;28,00;9,00;9,00;9,00;0,00;0,00;0,00;0,00;0,00
2020-07-19;43,00;5,00;5,00;9,00;5,00;0,00;0,00;0,00;5,00
2020-07-26;34,00;0,00;5,00;14,00;0,00;0,00;5,00;5,00;0,00
2020-08-02;19,00;10,00;5,00;10,00;0,00;5,00;0,00;5,00;5,00
2020-08-09;52,00;0,00;10,00;5,00;5,00;0,00;5,00;0,00;0,00
2020-08-16;49,00;0,00;24,00;19,00;0,00;5,00;0,00;0,00;0,00
2020-08-23;14,00;5,00;9,00;9,00;0,00;0,00;9,00;0,00;9,00
2020-08-30;19,00;0,00;5,00;46,00;5,00;5,00;14,00;0,00;5,00
2020-09-06;14,00;0,00;46,00;9,00;5,00;5,00;5,00;5,00;5,00
2020-09-13;9,00;4,00;4,00;22,00;4,00;4,00;0,00;0,00;4,00
2020-09-20;26,00;13,00;22,00;30,00;0,00;0,00;0,00;0,00;13,00
2020-09-27;22,00;4,00;0,00;4,00;0,00;0,00;9,00;13,00;22,00
2020-10-04;23,00;0,00;9,00;5,00;9,00;5,00;5,00;0,00;18,00
2020-10-11;44,00;10,00;15,00;5,00;0,00;10,00;0,00;10,00;0,00
2020-10-18;9,00;9,00;0,00;14,00;0,00;5,00;5,00;0,00;0,00
2020-10-25;9,00;18,00;9,00;14,00;0,00;0,00;0,00;5,00;0,00
2020-11-01;22,00;0,00;4,00;13,00;0,00;0,00;0,00;9,00;0,00
2020-11-08;23,00;5,00;14,00;14,00;0,00;5,00;0,00;5,00;0,00
2020-11-15;18,00;9,00;9,00;14,00;0,00;0,00;5,00;9,00;5,00
2020-11-22;9,00;9,00;0,00;4,00;4,00;0,00;18,00;9,00;0,00
2020-11-29;23,00;5,00;14,00;9,00;5,00;0,00;0,00;5,00;5,00
2020-12-06;28,00;28,00;14,00;14,00;0,00;0,00;5,00;0,00;0,00
2020-12-13;14,00;5,00;0,00;23,00;5,00;0,00;0,00;9,00;5,00
2020-12-20;10,00;15,00;10,00;15,00;5,00;0,00;15,00;0,00;0,00
2020-12-27;30,00;5,00;25,00;35,00;10,00;5,00;0,00;10,00;0,00
2021-01-03;14,00;0,00;14,00;18,00;0,00;9,00;0,00;5,00;0,00
2021-01-10;5,00;5,00;0,00;28,00;0,00;0,00;0,00;0,00;0,00
2021-01-17;9,00;9,00;0,00;9,00;4,00;4,00;9,00;0,00;13,00
2021-01-24;0,00;0,00;4,00;9,00;0,00;0,00;0,00;0,00;0,00
2021-01-31;18,00;0,00;4,00;13,00;0,00;0,00;13,00;0,00;4,00
2021-02-07;18,00;9,00;0,00;9,00;0,00;0,00;0,00;0,00;14,00
2021-02-14;28,00;5,00;5,00;9,00;0,00;0,00;0,00;0,00;0,00
2021-02-21;23,00;9,00;5,00;14,00;5,00;0,00;5,00;0,00;0,00
2021-02-28;28,00;0,00;23,00;28,00;0,00;0,00;0,00;0,00;0,00
2021-03-07;23,00;0,00;0,00;19,00;5,00;0,00;0,00;0,00;0,00
2021-03-14;18,00;0,00;13,00;4,00;0,00;0,00;0,00;0,00;0,00
2021-03-21;20,00;0,00;10,00;20,00;0,00;0,00;0,00;0,00;5,00
2021-03-28;26,00;21,00;16,00;21,00;0,00;0,00;0,00;5,00;10,00
2021-04-04;47,00;5,00;14,00;14,00;9,00;0,00;5,00;0,00;5,00
2021-04-11;0,00;9,00;0,00;9,00;0,00;0,00;0,00;0,00;5,00
2021-04-18;19,00;14,00;14,00;14,00;5,00;0,00;5,00;5,00;0,00
2021-04-25;9,00;5,00;9,00;9,00;0,00;0,00;0,00;0,00;0,00
2021-05-02;5,00;0,00;0,00;14,00;5,00;9,00;5,00;5,00;0,00
2021-05-09;5,00;9,00;5,00;9,00;0,00;5,00;0,00;9,00;0,00
2021-05-16;14,00;5,00;5,00;19,00;0,00;0,00;0,00;0,00;0,00
2021-05-23;10,00;5,00;14,00;14,00;0,00;0,00;5,00;5,00;10,00
2021-05-30;9,00;24,00;5,00;9,00;5,00;5,00;9,00;0,00;14,00
2021-06-06;5,00;10,00;5,00;5,00;5,00;0,00;0,00;0,00;10,00
2021-06-13;10,00;5,00;5,00;24,00;0,00;5,00;10,00;0,00;0,00
2021-06-20;46,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-06-27;15,00;15,00;10,00;5,00;0,00;0,00;0,00;15,00;0,00
2021-07-04;40,00;0,00;10,00;10,00;0,00;0,00;15,00;0,00;10,00
2021-07-11;15,00;20,00;5,00;15,00;0,00;0,00;10,00;0,00;0,00
2021-07-18;16,00;10,00;16,00;5,00;0,00;0,00;0,00;0,00;0,00
2021-07-25;61,00;0,00;25,00;36,00;0,00;0,00;10,00;5,00;0,00
2021-08-01;47,00;5,00;21,00;0,00;0,00;0,00;10,00;5,00;0,00
2021-08-08;32,00;5,00;32,00;11,00;5,00;0,00;11,00;5,00;0,00
2021-08-15;69,00;21,00;0,00;26,00;0,00;0,00;5,00;5,00;0,00
2021-08-22;38,00;22,00;5,00;38,00;0,00;0,00;5,00;5,00;0,00
2021-08-29;11,00;5,00;11,00;16,00;0,00;0,00;0,00;5,00;5,00
2021-09-05;17,00;6,00;6,00;23,00;0,00;0,00;6,00;6,00;6,00
2021-09-12;6,00;6,00;6,00;18,00;12,00;6,00;0,00;6,00;0,00
