Chambres_hotes;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;27,00;51,00;24,00;11,00;6,00;92,57;38,57;50,14;11,57
2019-01-13;27,00;54,00;23,00;10,00;6,00;108,00;34,71;50,14;11,57
2019-01-20;30,00;55,00;21,00;9,00;7,00;93,75;41,25;48,75;11,25
2019-01-27;29,00;46,00;30,00;15,00;8,00;90,63;25,38;43,50;10,88
2019-02-03;41,00;58,00;23,00;10,00;7,00;82,00;33,55;48,45;11,18
2019-02-10;38,00;44,00;31,00;10,00;6,00;95,00;41,80;45,60;11,40
2019-02-17;40,00;38,00;31,00;11,00;8,00;87,27;40,00;54,55;10,91
2019-02-24;43,00;42,00;27,00;11,00;4,00;96,75;28,67;46,58;10,75
2019-03-03;37,00;55,00;43,00;9,00;6,00;96,20;33,30;48,10;11,10
2019-03-10;38,00;46,00;30,00;13,00;7,00;110,20;22,80;53,20;11,40
2019-03-17;44,00;48,00;20,00;8,00;8,00;117,33;33,00;51,33;11,00
2019-03-24;41,00;40,00;23,00;9,00;8,00;108,09;33,55;52,18;11,18
2019-03-31;43,00;51,00;32,00;10,00;8,00;129,00;54,73;50,82;11,73
2019-04-07;37,00;62,00;33,00;9,00;5,00;140,60;40,70;59,20;11,10
2019-04-14;39,00;64,00;37,00;11,00;8,00;132,60;35,10;58,50;11,70
2019-04-21;45,00;46,00;25,00;8,00;11,00;153,75;52,50;56,25;11,25
2019-04-28;34,00;39,00;28,00;10,00;5,00;132,22;49,11;56,67;11,33
2019-05-05;33,00;51,00;33,00;10,00;8,00;124,67;29,33;55,00;11,00
2019-05-12;36,00;39,00;36,00;9,00;8,00;126,00;39,60;54,00;10,80
2019-05-19;38,00;39,00;22,00;10,00;11,00;121,60;38,00;60,80;11,40
2019-05-26;44,00;59,00;35,00;11,00;8,00;121,00;51,33;62,33;14,67
2019-06-02;45,00;46,00;30,00;11,00;11,00;168,75;30,00;60,00;11,25
2019-06-09;39,00;83,00;37,00;12,00;8,00;206,70;39,00;54,60;11,70
2019-06-16;40,00;66,00;41,00;11,00;9,00;200,00;47,27;58,18;14,55
2019-06-23;45,00;56,00;33,00;7,00;8,00;228,75;48,75;60,00;15,00
2019-06-30;47,00;87,00;35,00;11,00;7,00;246,75;58,75;66,58;15,67
2019-07-07;48,00;100,00;29,00;13,00;7,00;243,69;59,08;62,77;14,77
2019-07-14;51,00;96,00;43,00;13,00;12,00;243,23;66,69;74,54;15,69
2019-07-21;53,00;86,00;54,00;13,00;10,00;261,21;68,14;71,93;15,14
2019-07-28;54,00;72,00;41,00;12,00;12,00;270,00;57,86;73,29;15,43
2019-08-04;57,00;78,00;33,00;18,00;12,00;342,00;68,40;68,40;15,20
2019-08-11;63,00;56,00;41,00;12,00;11,00;337,24;59,29;66,71;11,12
2019-08-18;54,00;70,00;32,00;13,00;9,00;258,43;69,43;77,14;11,57
2019-08-25;50,00;59,00;32,00;12,00;8,00;184,62;46,15;61,54;11,54
2019-09-01;37,00;50,00;23,00;10,00;10,00;151,70;40,70;59,20;14,80
2019-09-08;42,00;48,00;25,00;10,00;6,00;137,45;38,18;61,09;11,45
2019-09-15;33,00;58,00;39,00;10,00;8,00;132,00;40,33;55,00;14,67
2019-09-22;29,00;35,00;26,00;9,00;6,00;116,00;39,88;50,75;10,88
2019-09-29;29,00;39,00;43,00;9,00;5,00;101,50;36,25;54,38;14,50
2019-10-06;30,00;40,00;30,00;8,00;5,00;116,25;48,75;48,75;11,25
2019-10-13;27,00;38,00;30,00;8,00;4,00;123,43;34,71;50,14;11,57
2019-10-20;27,00;44,00;15,00;7,00;7,00;104,14;34,71;46,29;11,57
