Hotel;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;29,00;38,00;61,00;42,00;52,00;48,72;38,28;61,48;25,52
2019-01-13;29,00;40,00;61,00;45,00;53,00;46,85;35,69;56,88;24,54
2019-01-20;30,00;39,00;61,00;39,00;54,00;47,31;36,92;55,38;24,23
2019-01-27;32,00;36,00;62,00;41,00;59,00;49,14;35,43;49,14;22,86
2019-02-03;34,00;36,00;63,00;39,00;60,00;45,33;36,27;52,13;24,93
2019-02-10;34,00;40,00;63,00;38,00;61,00;47,60;36,27;52,13;26,07
2019-02-17;34,00;36,00;61,00;37,00;66,00;52,13;35,13;51,00;26,07
2019-02-24;34,00;35,00;61,00;37,00;65,00;53,27;35,13;49,87;24,93
2019-03-03;32,00;37,00;56,00;37,00;57,00;49,66;32,00;48,55;26,48
2019-03-10;31,00;35,00;57,00;38,00;64,00;51,67;33,30;45,93;29,85
2019-03-17;34,00;34,00;57,00;38,00;66,00;54,40;28,33;49,87;26,07
2019-03-24;31,00;34,00;53,00;36,00;64,00;53,96;33,30;48,22;28,70
2019-03-31;34,00;36,00;57,00;36,00;58,00;52,13;32,87;47,60;27,20
2019-04-07;34,00;38,00;60,00;37,00;64,00;56,67;32,87;53,27;26,07
2019-04-14;34,00;36,00;62,00;37,00;64,00;54,40;31,73;49,87;24,93
2019-04-21;31,00;34,00;53,00;34,00;58,00;60,85;31,00;49,37;26,41
2019-04-28;32,00;32,00;59,00;37,00;60,00;52,57;37,71;52,57;26,29
2019-05-05;30,00;32,00;54,00;37,00;66,00;56,54;32,31;50,77;26,54
2019-05-12;31,00;35,00;56,00;38,00;63,00;51,67;32,15;52,81;27,56
2019-05-19;29,00;35,00;52,00;37,00;66,00;52,42;31,23;55,77;30,12
2019-05-26;32,00;34,00;55,00;39,00;67,00;53,71;36,57;58,29;33,14
2019-06-02;33,00;34,00;56,00;40,00;74,00;71,69;34,14;54,62;30,72
2019-06-09;32,00;36,00;61,00;42,00;75,00;78,86;34,29;54,86;32,00
2019-06-16;34,00;35,00;64,00;43,00;85,00;85,59;35,17;59,79;34,00
2019-06-23;34,00;38,00;64,00;40,00;87,00;86,13;32,87;56,67;32,87
2019-06-30;33,00;45,00;68,00;42,00;90,00;89,90;38,69;56,90;34,14
2019-07-07;36,00;49,00;75,00;46,00;93,00;84,38;40,50;56,25;32,63
2019-07-14;38,00;47,00;67,00;45,00;92,00;84,94;42,47;55,88;32,41
