Ski;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;73,00;52,41;104,82;33,69;52,41;27,00;53,00;40,00;19,00
2019-01-13;72,00;45,47;104,21;30,32;51,16;23,00;49,00;34,00;21,00
2019-01-20;74,00;45,54;87,28;24,67;58,82;18,00;38,00;32,00;18,00
2019-01-27;81,00;37,67;84,77;22,60;56,51;17,00;35,00;26,00;16,00
2019-02-03;86,00;48,61;89,74;24,30;61,70;17,00;30,00;31,00;16,00
2019-02-10;84,00;34,36;143,18;24,82;55,36;17,00;26,00;26,00;15,00
2019-02-17;85,00;20,78;115,22;18,89;51,00;16,00;27,00;25,00;16,00
2019-02-24;61,00;47,66;85,78;15,25;41,94;16,00;37,00;20,00;11,00
2019-03-03;53,00;41,64;56,79;11,36;32,18;14,00;22,00;20,00;12,00
2019-03-10;34,00;34,00;56,67;11,33;22,67;14,00;19,00;19,00;9,00
2019-03-17;28,00;20,53;59,73;9,33;18,67;7,00;10,00;10,00;7,00
2019-03-24;21,00;19,09;45,82;5,73;13,36;5,00;13,00;13,00;5,00
2019-03-31;17,00;28,33;34,00;3,78;13,22;7,00;9,00;9,00;4,00
2019-04-07;16,00;18,00;22,00;4,00;24,00;4,00;6,00;12,00;4,00
2019-04-14;13,00;13,00;22,29;3,71;13,00;6,00;4,00;6,00;3,00
2019-04-21;5,00;3,33;21,67;1,67;10,00;5,00;2,00;5,00;2,00
2019-04-28;7,00;8,75;15,75;1,75;8,75;3,00;6,00;7,00;3,00
2019-05-05;6,00;6,00;10,00;2,00;6,00;4,00;4,00;6,00;2,00
2019-05-12;4,00;6,00;4,00;2,00;4,00;2,00;3,00;5,00;2,00
2019-05-19;4,00;10,00;6,00;2,00;4,00;2,00;4,00;4,00;3,00
2019-05-26;3,00;6,00;15,00;3,00;6,00;3,00;5,00;5,00;2,00
2019-06-02;5,00;5,00;3,33;1,67;3,33;2,00;7,00;6,00;2,00
2019-06-09;4,00;8,00;10,00;2,00;4,00;3,00;5,00;4,00;2,00
2019-06-16;5,00;6,67;3,33;1,67;5,00;3,00;6,00;7,00;3,00
2019-06-23;4,00;4,00;4,00;2,00;4,00;3,00;6,00;6,00;2,00
2019-06-30;6,00;6,00;4,00;2,00;6,00;3,00;5,00;4,00;2,00
2019-07-07;6,00;10,00;4,00;2,00;6,00;3,00;8,00;6,00;3,00
2019-07-14;9,00;7,20;3,60;1,80;5,40;2,00;10,00;7,00;3,00
2019-07-21;8,00;10,00;8,00;2,00;6,00;2,00;8,00;7,00;4,00
2019-07-28;10,00;20,00;18,00;4,00;6,00;5,00;5,00;9,00;3,00
2019-08-04;13,00;11,14;7,43;1,86;9,29;5,00;8,00;7,00;3,00
2019-08-11;14,00;17,50;8,75;3,50;5,25;6,00;13,00;9,00;3,00
2019-08-18;11,00;14,67;12,83;1,83;9,17;6,00;13,00;8,00;3,00
2019-08-25;15,00;18,75;11,25;1,88;9,38;5,00;7,00;9,00;4,00
2019-09-01;14,00;20,00;18,00;4,00;18,00;5,00;11,00;12,00;4,00
2019-09-08;15,00;28,13;16,88;5,63;9,38;6,00;17,00;11,00;5,00
2019-09-15;14,00;28,00;12,00;4,00;10,00;4,00;18,00;12,00;4,00
2019-09-22;20,00;22,00;14,00;6,00;10,00;4,00;16,00;12,00;5,00
2019-09-29;19,00;26,60;11,40;5,70;9,50;3,00;19,00;13,00;5,00
2019-10-06;19,00;39,90;17,10;5,70;13,30;6,00;23,00;15,00;5,00
2019-10-13;24,00;29,54;9,23;7,38;12,92;5,00;19,00;15,00;7,00
2019-10-20;24,00;24,00;24,00;7,38;12,92;6,00;17,00;15,00;6,00
2019-10-27;24,00;33,23;24,00;5,54;14,77;10,00;21,00;13,00;6,00
2019-11-03;32,00;30,12;20,71;5,65;24,47;12,00;23,00;15,00;7,00
2019-11-10;47,00;37,60;41,36;9,40;45,12;17,00;23,00;17,00;8,00
2019-11-17;50,00;44,23;51,92;11,54;46,15;16,00;20,00;17,00;9,00
2019-11-24;35,00;40,83;54,44;7,78;44,72;17,00;20,00;15,00;11,00
2019-12-01;46,00;38,33;55,58;11,50;53,67;22,00;22,00;16,00;12,00
2019-12-08;43,00;33,65;67,30;11,22;50,48;27,00;33,00;20,00;12,00
2019-12-15;55,00;41,72;72,07;15,17;47,41;23,00;32,00;18,00;15,00
2019-12-22;96,00;41,41;169,41;24,47;62,12;47,00;39,00;29,00;22,00
2019-12-29;100,00;52,83;179,25;28,30;67,92;54,00;34,00;33,00;24,00
2020-01-05;70,00;45,41;111,62;18,92;58,65;28,00;44,00;31,00;18,00
2020-01-12;73,00;51,87;94,13;19,21;55,71;23,00;42,00;29,00;18,00
2020-01-19;76,00;51,30;108,30;17,10;60,80;24,00;40,00;28,00;16,00
2020-01-26;71,00;56,05;84,08;16,82;52,32;22,00;30,00;24,00;13,00
2020-02-02;70,00;43,51;96,49;17,03;49,19;22,00;36,00;26,00;13,00
2020-02-09;77,00;37,56;116,44;15,02;46,95;23,00;32,00;28,00;14,00
2020-02-16;71,00;49,89;103,62;13,43;36,46;21,00;48,00;23,00;15,00
2020-02-23;63,00;51,55;89,73;13,36;32,45;21,00;36,00;31,00;11,00
2020-03-01;48,00;32,64;65,28;11,52;26,88;18,00;37,00;19,00;9,00
2020-03-08;75,00;97,50;97,50;15,00;24,38;10,00;65,00;37,00;9,00
2020-03-15;25,00;23,08;3,85;1,92;5,77;2,00;9,00;13,00;6,00
2020-03-22;5,00;6,67;3,33;1,67;3,33;2,00;2,00;4,00;3,00
2020-03-29;4,00;4,00;6,00;2,00;6,00;1,00;3,00;3,00;2,00
2020-04-05;5,00;3,33;5,00;1,67;6,67;2,00;2,00;5,00;2,00
2020-04-12;3,00;0,75;1,50;1,50;4,50;1,00;3,00;4,00;2,00
2020-04-19;4,00;8,00;2,00;1,00;6,00;1,00;4,00;3,00;2,00
2020-04-26;3,00;1,50;6,00;0,75;3,00;2,00;3,00;3,00;2,00
2020-05-03;3,00;1,50;3,00;0,75;1,50;1,00;4,00;4,00;2,00
2020-05-10;3,00;1,50;3,00;1,50;3,00;0,50;2,00;3,00;2,00
2020-05-17;3,00;6,00;9,00;3,00;3,00;1,00;3,00;4,00;2,00
2020-05-24;3,00;3,00;4,50;1,50;3,00;2,00;2,00;3,00;3,00
2020-05-31;6,00;4,00;6,00;2,00;4,00;2,00;2,00;4,00;2,00
2020-06-07;6,00;6,00;8,00;1,00;4,00;3,00;5,00;3,00;2,00
2020-06-14;5,00;1,67;5,00;1,67;5,00;2,00;2,00;4,00;3,00
2020-06-21;5,00;5,00;0,00;1,67;3,33;2,00;2,00;4,00;3,00
