Week-end;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;26,00;10,00;8,00;8,00;13,00;9,00;12,00;0,50;0,50
2019-01-13;28,00;18,00;8,00;8,00;15,00;12,00;9,00;0,50;0,50
2019-01-20;30,00;13,00;11,00;9,00;18,00;9,00;6,00;1,00;0,50
2019-01-27;26,00;8,00;9,00;9,00;19,00;6,00;3,00;0,50;0,50
2019-02-03;27,00;10,00;8,00;9,00;14,00;6,00;2,00;0,50;0,50
2019-02-10;25,00;6,00;6,00;7,00;14,00;6,00;1,00;0,00;0,50
2019-02-17;22,00;4,00;8,00;8,00;12,00;7,00;4,00;0,50;0,50
2019-02-24;23,00;6,00;8,00;7,00;15,00;5,00;2,00;0,50;0,50
2019-03-03;25,00;9,00;7,00;7,00;13,00;8,00;3,00;0,50;0,50
2019-03-10;21,00;7,00;7,00;7,00;16,00;7,00;3,00;0,50;0,50
2019-03-17;28,00;5,00;9,00;9,00;14,00;8,00;3,00;0,50;0,50
2019-03-24;24,00;6,00;6,00;8,00;14,00;8,00;3,00;0,50;0,50
2019-03-31;31,00;3,00;14,00;8,00;16,00;14,00;9,00;0,50;0,50
2019-04-07;35,00;10,00;14,00;8,00;13,00;11,00;10,00;1,00;0,50
2019-04-14;39,00;11,00;14,00;5,00;15,00;10,00;8,00;1,00;0,50
2019-04-21;32,00;9,00;9,00;6,00;11,00;9,00;6,00;0,50;0,50
2019-04-28;30,00;9,00;12,00;7,00;15,00;11,00;9,00;0,50;0,50
2019-05-05;25,00;10,00;8,00;7,00;14,00;10,00;7,00;0,50;0,50
2019-05-12;27,00;10,00;6,00;7,00;18,00;13,00;6,00;0,50;0,50
2019-05-19;30,00;12,00;12,00;7,00;16,00;13,00;10,00;0,50;0,50
2019-05-26;33,00;11,00;12,00;9,00;16,00;12,00;10,00;0,50;0,50
2019-06-02;31,00;8,00;12,00;8,00;18,00;13,00;7,00;1,00;0,50
2019-06-09;23,00;13,00;11,00;6,00;19,00;15,00;6,00;0,50;0,50
2019-06-16;20,00;11,00;8,00;7,00;18,00;14,00;6,00;0,50;0,50
2019-06-23;22,00;14,00;6,00;7,00;17,00;15,00;6,00;0,50;0,50
2019-06-30;21,00;12,00;5,00;5,00;18,00;14,00;8,00;0,50;0,50
2019-07-07;24,00;15,00;7,00;7,00;19,00;17,00;10,00;0,50;0,50
2019-07-14;23,00;11,00;8,00;6,00;18,00;12,00;8,00;0,50;0,50
2019-07-21;25,00;9,00;5,00;7,00;18,00;19,00;7,00;0,50;0,50
2019-07-28;28,00;11,00;6,00;7,00;19,00;11,00;13,00;0,50;0,50
2019-08-04;28,00;13,00;8,00;6,00;18,00;13,00;11,00;1,00;0,50
2019-08-11;29,00;11,00;6,00;7,00;15,00;12,00;10,00;0,50;0,50
2019-08-18;27,00;12,00;6,00;7,00;16,00;14,00;9,00;0,50;0,50
2019-08-25;27,00;9,00;6,00;7,00;18,00;12,00;8,00;0,50;0,50
2019-09-01;26,00;10,00;10,00;9,00;18,00;16,00;9,00;1,00;0,50
2019-09-08;26,00;12,00;6,00;8,00;20,00;13,00;9,00;1,00;1,00
2019-09-15;28,00;12,00;13,00;5,00;20,00;14,00;9,00;0,50;0,50
2019-09-22;25,00;15,00;16,00;7,00;14,00;10,00;10,00;1,00;1,00
2019-09-29;29,00;11,00;6,00;6,00;15,00;13,00;10,00;1,00;0,50
2019-10-06;31,00;17,00;6,00;7,00;18,00;13,00;11,00;1,00;0,50
2019-10-13;35,00;14,00;10,00;8,00;15,00;13,00;10,00;1,00;0,50
2019-10-20;30,00;11,00;6,00;7,00;16,00;13,00;12,00;1,00;0,50
2019-10-27;32,00;11,00;9,00;6,00;20,00;14,00;7,00;1,00;0,50
2019-11-03;32,00;17,00;8,00;6,00;15,00;9,00;9,00;1,00;0,50
2019-11-10;28,00;10,00;4,00;6,00;15,00;10,00;7,00;1,00;0,50
2019-11-17;23,00;10,00;8,00;6,00;15,00;10,00;6,00;0,50;0,50
2019-11-24;24,00;9,00;9,00;6,00;12,00;10,00;7,00;1,00;0,50
2019-12-01;23,00;8,00;8,00;4,00;11,00;8,00;5,00;1,00;0,50
2019-12-08;26,00;10,00;9,00;5,00;11,00;8,00;8,00;1,00;1,00
2019-12-15;27,00;9,00;4,00;5,00;11,00;9,00;7,00;1,00;0,50
2019-12-22;26,00;11,00;8,00;5,00;11,00;6,00;8,00;1,00;0,50
2019-12-29;24,00;11,00;5,00;5,00;11,00;9,00;8,00;1,00;1,00
2020-01-05;25,00;12,00;6,00;5,00;13,00;10,00;9,00;1,00;1,00
2020-01-12;26,00;13,00;11,00;7,00;18,00;11,00;11,00;0,50;1,00
2020-01-19;28,00;14,00;11,00;6,00;19,00;12,00;11,00;1,00;1,00
2020-01-26;29,00;12,00;7,00;7,00;16,00;9,00;8,00;0,50;1,00
2020-02-02;31,00;8,00;7,00;7,00;19,00;7,00;8,00;0,50;0,50
2020-02-09;29,00;13,00;11,00;8,00;14,00;9,00;8,00;1,00;0,50
2020-02-16;30,00;14,00;9,00;6,00;15,00;8,00;9,00;0,50;1,00
2020-02-23;25,00;11,00;8,00;6,00;16,00;7,00;7,00;0,50;1,00
2020-03-01;22,00;10,00;7,00;6,00;15,00;8,00;8,00;1,00;1,00
2020-03-08;18,00;8,00;3,00;3,00;9,00;4,00;7,00;0,50;1,00
2020-03-15;6,00;4,00;1,00;2,00;3,00;3,00;2,00;0,50;1,00
2020-03-22;6,00;2,00;3,00;2,00;3,00;3,00;2,00;0,50;0,50
2020-03-29;6,00;5,00;3,00;2,00;2,00;3,00;2,00;0,50;0,50
2020-04-05;13,00;4,00;3,00;2,00;1,00;2,00;1,00;0,50;0,50
2020-04-12;8,00;7,00;3,00;1,00;2,00;3,00;2,00;0,50;0,50
