Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2019-01-06;27,00;16,00;6,00;26,00;10,00;44,61;4,70;2,35;12,91;3,00;57,00;49,50;13,50;2,45;7,36;35,59;2,45;9,82;12,27;14,73;8,59
2019-01-13;38,00;29,00;5,00;20,00;3,00;39,19;4,75;0,00;16,63;5,85;40,92;54,08;14,62;6,33;6,33;40,53;5,07;58,84;6,13;18,39;11,03
2019-01-20;27,00;20,00;4,00;24,00;8,00;30,52;2,35;2,35;10,57;4,50;46,50;54,00;9,00;7,36;2,45;47,86;7,36;24,55;4,91;11,05;17,18
2019-01-27;38,00;16,00;6,00;11,00;2,00;32,06;4,75;4,75;16,63;3,04;45,60;53,20;6,08;1,27;6,33;49,40;6,33;3,80;34,20;5,07;16,47
2019-02-03;49,00;26,00;10,00;19,00;5,00;28,00;5,83;3,50;19,83;1,48;47,52;57,91;5,94;6,13;11,03;52,68;4,90;3,68;28,18;9,80;13,48
2019-02-10;30,00;14,00;11,00;19,00;10,00;36,00;13,20;2,40;16,80;4,50;49,50;57,00;6,00;6,25;8,75;40,00;2,50;3,75;42,50;7,50;20,00
2019-02-17;48,00;21,00;6,00;12,00;8,00;50,40;7,20;2,40;21,60;1,50;45,00;69,00;12,00;2,53;6,32;69,47;3,79;2,53;36,63;7,58;13,89
2019-02-24;46,00;22,00;3,00;7,00;5,00;33,03;7,08;8,26;23,59;4,45;41,55;77,16;7,42;1,24;1,24;60,92;3,73;2,49;33,57;7,46;14,92
2019-03-03;48,00;25,00;7,00;9,00;8,00;45,66;12,88;1,17;23,41;6,00;30,00;64,50;4,50;2,53;2,53;36,63;3,79;2,46;20,92;6,15;19,69
2019-03-10;55,00;28,00;6,00;11,00;5,00;39,79;7,02;4,68;9,36;4,46;40,14;66,89;5,95;5,00;1,25;61,25;1,25;3,75;26,25;7,50;13,75
2019-03-17;55,00;34,00;9,00;6,00;7,00;42,13;11,70;4,68;18,72;7,43;40,14;59,46;7,43;5,00;2,50;35,00;2,50;2,44;13,44;6,11;26,89
2019-03-24;59,00;26,00;6,00;13,00;10,00;44,84;4,72;3,54;16,52;4,43;45,73;64,90;7,38;2,51;2,51;47,70;11,30;6,28;17,57;8,79;25,11
2019-03-31;42,00;26,00;7,00;26,00;10,00;42,00;14,00;2,33;18,67;12,00;28,50;87,00;15,00;2,47;2,47;50,65;4,94;2,47;8,65;16,06;13,59
2019-04-07;45,00;25,00;10,00;23,00;12,00;45,00;8,29;3,55;15,39;18,00;40,50;84,00;21,00;3,75;2,50;62,50;1,25;2,50;6,25;21,25;22,50
2019-04-14;67,00;36,00;9,00;32,00;11,00;62,30;15,28;5,88;23,51;4,47;52,11;77,42;20,84;7,44;2,48;60,80;4,96;2,48;7,44;32,26;9,93
2019-04-21;55,00;34,00;10,00;29,00;15,00;75,33;20,33;2,39;28,70;8,92;37,16;75,81;16,35;3,75;2,50;65,00;5,00;6,25;3,75;30,00;16,25
2019-04-28;50,00;28,00;6,00;31,00;11,00;48,81;10,71;2,38;16,67;7,35;55,88;91,18;13,24;2,50;2,50;62,50;2,50;6,25;6,25;25,00;11,25
2019-05-05;59,00;37,00;7,00;23,00;9,00;55,46;16,52;2,36;24,78;4,43;29,50;66,38;14,75;5,02;1,26;57,74;3,77;4,92;6,15;20,90;12,29
2019-05-12;59,00;26,00;3,00;19,00;8,00;40,12;8,26;2,36;15,34;6,05;40,85;77,15;12,10;10,04;1,26;57,74;1,26;2,51;5,02;21,34;16,32
2019-05-19;64,00;31,00;10,00;17,00;21,00;37,93;10,67;2,37;21,33;5,95;38,70;69,95;14,88;5,02;0,00;46,43;0,00;5,02;5,02;20,08;15,06
2019-05-26;67,00;30,00;15,00;28,00;6,00;68,18;19,98;7,05;31,74;4,47;56,58;87,84;22,33;11,17;2,48;69,48;4,96;6,20;9,93;31,02;24,81
2019-06-02;64,00;31,00;9,00;21,00;12,00;66,37;9,48;1,19;17,78;7,44;49,12;75,91;14,88;11,29;1,25;81,57;6,27;9,85;8,62;22,15;20,92
2019-06-09;55,00;27,00;6,00;20,00;9,00;65,53;7,02;2,34;15,21;2,97;47,57;84,73;23,78;5,00;1,25;53,75;5,00;7,50;7,50;20,00;25,00
2019-06-16;68,00;33,00;5,00;29,00;13,00;57,26;7,16;2,39;11,93;4,53;39,29;74,04;18,13;7,56;3,78;57,93;6,30;7,56;11,33;34,00;23,93
2019-06-23;69,00;27,00;6,00;23,00;14,00;56,14;11,69;4,68;16,37;4,40;54,32;83,68;11,74;3,76;3,76;82,80;6,27;8,63;11,09;29,57;24,64
2019-06-30;54,00;29,00;8,00;35,00;17,00;72,00;12,00;6,00;27,60;6,00;58,50;87,00;22,50;6,28;1,26;66,56;10,05;7,53;8,79;32,65;31,40
2019-07-07;75,00;33,00;6,00;27,00;15,00;92,58;11,72;2,34;25,78;8,82;75,00;101,47;22,06;5,00;2,50;63,75;3,75;5,00;11,25;23,75;42,50
2019-07-14;70,00;38,00;8,00;32,00;16,00;92,17;14,00;4,67;38,50;4,47;50,64;95,32;29,79;7,50;5,00;90,00;6,25;7,37;15,96;29,47;44,21
2019-07-21;70,00;41,00;7,00;29,00;10,00;89,83;16,33;5,83;32,67;10,43;55,11;119,15;26,81;8,60;2,46;90,88;8,60;13,51;15,96;25,79;50,35
2019-07-28;59,00;27,00;9,00;33,00;16,00;84,96;16,52;3,54;46,02;17,70;81,13;115,05;29,50;8,79;3,77;95,40;8,79;12,29;17,21;30,73;43,02
2019-08-04;98,00;56,00;11,00;47,00;15,00;81,47;12,99;8,27;35,42;19,30;65,33;112,85;19,30;13,65;7,44;104,20;9,92;14,89;12,41;29,77;52,10
2019-08-11;98,00;45,00;10,00;43,00;15,00;105,08;16,53;10,63;43,69;22,27;72,76;117,30;34,15;12,41;3,72;90,56;8,68;11,16;14,89;29,77;63,27
2019-08-18;94,00;49,00;6,00;33,00;28,00;84,60;15,28;4,70;34,08;10,28;58,75;113,09;23,50;11,13;4,95;79,16;2,47;7,42;8,66;25,97;44,53
2019-08-25;76,00;44,00;8,00;25,00;10,00;61,75;10,69;3,56;19,00;7,45;40,24;90,90;22,35;8,72;2,49;74,75;6,23;4,98;11,21;28,66;34,89
2019-09-01;56,00;25,00;10,00;22,00;11,00;35,00;7,00;2,33;10,50;5,89;39,79;73,68;17,68;6,22;2,49;53,51;4,98;2,49;12,44;22,40;21,16
2019-09-08;52,00;35,00;7,00;19,00;12,00;37,82;11,82;3,55;10,64;2,97;34,17;89,14;13,37;7,43;0,00;53,24;3,71;8,67;6,19;23,52;19,81
2019-09-15;50,00;27,00;8,00;22,00;15,00;34,88;8,14;2,33;18,60;1,47;54,41;67,65;10,29;6,25;0,00;63,75;6,25;5,00;6,25;28,75;12,50
2019-09-22;42,00;25,00;4,00;13,00;5,00;30,33;5,83;2,33;8,17;4,50;49,50;84,00;16,50;7,41;4,94;54,35;4,94;11,12;4,94;12,35;13,59
2019-09-29;44,00;25,00;7,00;17,00;7,00;32,11;8,32;5,95;8,32;2,93;38,13;60,13;10,27;6,29;3,77;54,06;2,51;5,03;3,77;25,14;8,80
2019-10-06;35,00;19,00;3,00;21,00;7,00;43,45;6,03;1,21;13,28;6,09;42,61;56,30;10,65;5,00;3,75;40,00;1,25;10,00;11,25;16,25;17,50
2019-10-13;40,00;24,00;7,00;26,00;11,00;28,24;5,88;2,35;10,59;1,48;44,44;51,85;7,41;5,00;2,50;52,50;1,25;5,00;1,25;22,50;8,75
2019-10-20;42,00;26,00;4,00;20,00;13,00;38,40;7,20;2,40;12,00;3,00;37,50;60,00;15,00;7,41;4,94;51,88;4,94;4,94;8,65;24,71;23,47
2019-10-27;39,00;20,00;8,00;14,00;7,00;31,91;9,45;4,73;14,18;4,50;40,50;70,50;7,50;3,77;1,26;49,06;1,26;5,03;5,03;17,61;15,10
2019-11-03;31,00;14,00;3,00;10,00;8,00;11,92;3,58;1,19;11,92;1,48;38,38;47,24;8,86;3,72;1,24;44,64;2,48;7,44;9,92;22,32;4,96
2019-11-10;36,00;16,00;8,00;21,00;5,00;20,40;6,00;1,20;8,40;1,50;40,50;51,00;12,00;3,72;4,97;39,72;4,97;4,97;4,97;28,55;16,14
2019-11-17;34,00;22,00;4,00;10,00;7,00;28,14;2,34;1,17;11,72;2,96;35,48;51,74;10,35;1,26;3,78;32,74;3,78;5,04;7,56;18,89;12,59
2019-11-24;23,00;13,00;3,00;20,00;6,00;16,10;1,15;2,30;6,90;1,44;41,69;47,44;12,94;3,63;4,84;26,63;8,47;4,84;8,47;19,37;8,47
2019-12-01;29,00;16,00;6,00;14,00;9,00;13,92;1,16;1,16;10,44;1,45;50,75;47,85;14,50;6,30;3,78;40,35;3,78;3,78;6,30;18,91;12,61
