Semaine;Polynesie (PF);Nouvelle Caledonie (NC);Fidji (FJ);Vanuatu (VU);Iles Cook (CK)
2019-01-06;41,00;10,00;8,00;2,00;0,00
2019-01-13;47,00;11,00;11,00;2,00;1,00
2019-01-20;49,00;12,00;9,00;1,00;3,00
2019-01-27;42,00;4,00;5,00;1,00;1,00
2019-02-03;47,00;9,00;7,00;2,00;2,00
2019-02-10;61,00;10,00;6,00;1,00;0,00
2019-02-17;36,00;9,00;9,00;2,00;5,00
2019-02-24;48,00;6,00;3,00;3,00;0,00
2019-03-03;37,00;14,00;9,00;0,00;2,00
2019-03-10;52,00;9,00;20,00;3,00;1,00
2019-03-17;48,00;8,00;25,00;2,00;2,00
2019-03-24;57,00;12,00;9,00;1,00;1,00
2019-03-31;39,00;9,00;18,00;0,00;0,00
2019-04-07;42,00;8,00;16,00;0,00;3,00
2019-04-14;48,00;5,00;10,00;2,00;4,00
2019-04-21;45,00;6,00;8,00;0,00;0,00
2019-04-28;47,00;8,00;11,00;2,00;2,00
2019-05-05;31,00;6,00;11,00;3,00;0,00
2019-05-12;34,00;8,00;6,00;0,00;2,00
2019-05-19;41,00;5,00;3,00;0,00;2,00
2019-05-26;41,00;7,00;14,00;4,00;2,00
2019-06-02;43,00;9,00;8,00;2,00;1,00
2019-06-09;43,00;5,00;9,00;0,00;2,00
2019-06-16;45,00;6,00;11,00;2,00;2,00
2019-06-23;50,00;3,00;6,00;1,00;1,00
2019-06-30;54,00;6,00;8,00;0,00;1,00
2019-07-07;54,00;7,00;6,00;1,00;1,00
2019-07-14;47,00;7,00;5,00;0,00;1,00
2019-07-21;60,00;6,00;5,00;2,00;1,00
2019-07-28;50,00;9,00;6,00;1,00;3,00
2019-08-04;63,00;10,00;5,00;1,00;0,00
2019-08-11;51,00;5,00;10,00;0,00;2,00
2019-08-18;68,00;6,00;6,00;0,00;4,00
2019-08-25;53,00;8,00;8,00;6,00;0,00
2019-09-01;48,00;9,00;8,00;2,00;1,00
2019-09-08;52,00;8,00;5,00;1,00;0,00
2019-09-15;43,00;8,00;12,00;1,00;1,00
2019-09-22;35,00;6,00;8,00;0,00;1,00
2019-09-29;46,00;6,00;10,00;2,00;1,00
2019-10-06;45,00;4,00;14,00;0,00;2,00
2019-10-13;34,00;12,00;9,00;2,00;1,00
2019-10-20;46,00;6,00;4,00;0,00;2,00
2019-10-27;41,00;9,00;6,00;0,00;0,00
2019-11-03;42,00;9,00;5,00;2,00;1,00
2019-11-10;47,00;12,00;7,00;2,00;1,00
2019-11-17;32,00;9,00;7,00;2,00;0,00
2019-11-24;41,00;5,00;4,00;0,00;0,00
2019-12-01;32,00;10,00;5,00;1,00;0,00
2019-12-08;75,00;7,00;3,00;0,00;1,00
2019-12-15;60,00;6,00;2,00;1,00;0,00
2019-12-22;56,00;12,00;5,00;2,00;2,00
2019-12-29;69,00;19,00;6,00;4,00;2,00
2020-01-05;59,00;12,00;4,00;0,00;2,00
2020-01-12;47,00;10,00;6,00;2,00;2,00
2020-01-19;57,00;14,00;5,00;2,00;3,00
2020-01-26;41,00;9,00;7,00;2,00;2,00
2020-02-02;49,00;7,00;2,00;2,00;2,00
2020-02-09;42,00;10,00;2,00;1,00;0,00
2020-02-16;42,00;7,00;11,00;2,00;1,00
2020-02-23;43,00;6,00;11,00;0,00;1,00
2020-03-01;39,00;9,00;5,00;0,00;0,00
2020-03-08;42,00;7,00;6,00;1,00;0,00
2020-03-15;44,00;7,00;10,00;0,00;0,00
2020-03-22;44,00;5,00;7,00;1,00;0,00
2020-03-29;44,00;8,00;7,00;0,00;4,00
2020-04-05;53,00;9,00;9,00;3,00;2,00
2020-04-12;54,00;5,00;12,00;3,00;0,00
2020-04-19;47,00;6,00;5,00;1,00;0,00
2020-04-26;44,00;9,00;6,00;1,00;1,00
2020-05-03;54,00;4,00;11,00;0,00;0,00
2020-05-10;48,00;9,00;4,00;0,00;1,00
2020-05-17;46,00;9,00;2,00;0,00;0,00
2020-05-24;38,00;7,00;4,00;1,00;2,00
