Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2019-01-06;24,00;126,00;90,00;144,00;3,00;7,00;25,00;9,00;6,00
2019-01-13;27,00;114,00;87,00;135,00;6,00;4,00;22,00;13,00;7,00
2019-01-20;29,00;107,30;78,30;121,80;5,80;7,00;34,00;5,00;7,00
2019-01-27;24,00;111,00;72,00;120,00;6,00;7,00;22,00;7,00;2,00
2019-02-03;27,00;126,00;78,00;105,00;3,00;6,00;23,00;9,00;5,00
2019-02-10;36,00;108,00;81,00;117,00;6,00;6,00;20,00;4,00;6,00
2019-02-17;21,00;93,00;81,00;120,00;6,00;11,00;51,00;8,00;5,00
2019-02-24;28,00;92,40;70,00;103,60;2,80;3,00;28,00;7,00;3,00
2019-03-03;22,00;103,71;69,14;119,43;3,14;4,00;30,00;5,00;8,00
2019-03-10;30,00;96,00;63,00;102,00;3,00;7,00;24,00;10,00;5,00
2019-03-17;28,00;84,00;61,60;95,20;2,80;2,00;23,00;9,00;5,00
2019-03-24;34,00;83,45;58,73;117,45;3,09;5,00;26,00;9,00;7,00
2019-03-31;23,00;77,63;63,25;109,25;2,88;5,00;21,00;4,00;5,00
2019-04-07;24,00;90,00;57,00;126,00;6,00;3,00;28,00;5,00;5,00
2019-04-14;28,00;70,00;53,20;112,00;2,80;4,00;27,00;6,00;3,00
2019-04-21;27,00;78,00;60,00;126,00;6,00;4,00;34,00;7,00;3,00
2019-04-28;28,00;74,67;52,89;136,89;6,22;6,00;26,00;9,00;4,00
2019-05-05;18,00;75,00;54,00;129,00;3,00;4,00;26,00;6,00;4,00
2019-05-12;20,00;62,86;40,00;108,57;2,86;9,00;35,00;5,00;5,00
2019-05-19;24,00;63,00;45,00;129,00;3,00;4,00;24,00;5,00;3,00
2019-05-26;24,00;63,00;39,00;117,00;3,00;3,00;21,00;9,00;4,00
2019-06-02;25,00;63,89;41,67;116,67;2,78;3,00;23,00;3,00;5,00
2019-06-09;25,00;65,63;43,75;118,75;3,13;4,00;25,00;2,00;3,00
2019-06-16;26,00;75,11;49,11;101,11;5,78;3,00;35,00;2,00;3,00
