Semaine;Nice (FR);Paris (FR);Lille (FR);Strasbourg (FR);Lyon (FR);Marseille (FR);Bordeaux (FR);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Dijon (FR)
2019-01-06;41,00;282,44;31,89;41,00;72,89;47,00;39,00;27,00;36,00;20,50;34,53;6,47;6,47
2019-01-13;43,00;277,11;28,67;43,00;76,44;47,00;37,00;27,00;37,00;23,15;26,46;5,51;8,82
2019-01-20;38,00;289,75;33,25;47,50;76,00;54,00;42,00;24,00;35,00;20,63;34,74;4,34;5,43
2019-01-27;37,00;286,75;32,38;41,63;55,50;47,00;52,00;15,00;31,00;21,76;31,56;6,53;6,53
2019-02-03;35,00;293,13;26,25;39,38;56,88;57,00;35,00;16,00;40,00;23,33;31,82;7,42;4,24
2019-02-10;37,00;309,88;32,38;41,63;60,13;54,00;38,00;15,00;39,00;23,94;34,82;7,62;5,44
2019-02-17;38,00;318,25;33,25;47,50;61,75;56,00;42,00;14,00;32,00;28,23;31,49;7,60;6,51
2019-02-24;40,00;288,89;31,11;40,00;57,78;62,00;43,00;18,00;44,00;22,70;31,35;6,49;4,32
2019-03-03;35,00;315,00;30,00;55,00;60,00;52,00;50,00;17,00;33,00;28,44;33,91;7,66;5,47
2019-03-10;43,00;301,00;28,67;47,78;52,56;53,00;39,00;14,00;40,00;20,43;27,95;6,45;5,38
2019-03-17;39,00;331,50;29,25;48,75;63,38;55,00;39,00;14,00;32,00;23,83;31,42;8,67;4,33
2019-03-24;43,00;324,89;33,44;52,56;62,11;56,00;40,00;14,00;37,00;26,88;32,25;7,53;4,30
2019-03-31;51,00;329,18;32,45;46,36;83,45;54,00;44,00;28,00;35,00;26,04;45,57;7,60;7,60
2019-04-07;47,00;343,10;32,90;51,70;75,20;59,00;44,00;28,00;34,00;27,33;37,16;7,65;9,84
2019-04-14;60,00;461,54;41,54;46,15;69,23;62,00;45,00;30,00;37,00;30,00;46,07;10,71;9,64
2019-04-21;54,00;348,55;34,36;49,09;78,55;62,00;39,00;33,00;33,00;33,48;31,32;10,80;9,72
2019-04-28;57,00;327,75;33,25;61,75;66,50;66,00;41,00;33,00;34,00;27,96;31,19;7,53;8,60
2019-05-05;50,00;281,82;31,82;40,91;59,09;54,00;39,00;31,00;36,00;25,00;31,52;7,61;8,70
2019-05-12;52,00;302,55;33,09;52,00;61,45;54,00;40,00;28,00;33,00;26,00;28,17;6,50;8,67
2019-05-19;52,00;297,82;33,09;47,27;75,64;58,00;43,00;31,00;36,00;24,92;29,25;8,67;7,58
2019-05-26;57,00;337,25;33,25;42,75;71,25;56,00;42,00;29,00;34,00;24,12;33,98;10,96;8,77
2019-06-02;54,00;338,73;29,45;49,09;68,73;67,00;48,00;33,00;36,00;28,08;30,24;8,64;10,80
2019-06-09;60,00;332,31;32,31;50,77;64,62;64,00;43,00;28,00;35,00;32,73;27,27;10,91;8,73
2019-06-16;67,00;363,71;33,50;52,64;71,79;69,00;48,00;28,00;35,00;34,58;36,74;10,81;9,73
2019-06-23;69,00;363,40;32,20;55,20;73,60;66,00;47,00;34,00;40,00;30,19;32,34;9,70;8,63
2019-06-30;64,00;338,29;32,00;54,86;77,71;68,00;43,00;29,00;42,00;33,63;36,88;11,93;9,76
2019-07-07;66,00;348,86;33,00;51,86;80,14;79,00;51,00;27,00;40,00;33,54;31,38;16,23;10,82
2019-07-14;70,00;350,00;28,00;51,33;70,00;74,00;52,00;32,00;44,00;38,77;36,62;14,00;8,62
2019-07-21;75,00;351,56;32,81;51,56;75,00;73,00;59,00;27,00;38,00;38,04;34,78;13,04;10,87
2019-07-28;77,00;365,75;38,50;57,75;77,00;88,00;50,00;34,00;43,00;43,38;39,04;14,10;13,01
2019-08-04;75,00;370,31;37,50;46,88;75,00;100,00;61,00;31,00;45,00;51,09;46,74;10,87;10,87
2019-08-11;86,00;391,78;38,22;57,33;71,67;89,00;62,00;34,00;43,00;52,25;43,54;11,97;10,89
2019-08-18;79,00;343,88;41,82;65,06;74,35;82,00;53,00;33,00;44,00;44,37;34,63;11,90;8,66
2019-08-25;66,00;330,00;42,43;70,71;75,43;64,00;46,00;33,00;41,00;30,30;36,79;10,82;9,74
2019-09-01;68,00;335,14;38,86;58,29;72,86;59,00;43,00;28,00;40,00;28,06;33,46;6,48;10,79
2019-09-08;62,00;352,92;42,92;57,23;76,31;61,00;47,00;31,00;41,00;30,46;32,63;9,79;6,53
2019-09-15;60,00;323,08;36,92;55,38;73,85;62,00;48,00;31,00;40,00;30,55;32,73;7,64;9,82
2019-09-22;54,00;288,00;27,00;45,00;67,50;65,00;51,00;29,00;35,00;23,76;30,24;8,64;19,44
2019-09-29;51,00;310,64;32,45;55,64;64,91;58,00;44,00;30,00;34,00;29,30;34,72;6,51;9,77
2019-10-06;44,00;327,56;34,22;53,78;78,22;50,00;40,00;27,00;38,00;19,80;33,00;7,70;8,80
2019-10-13;58,00;348,00;38,67;58,00;77,33;53,00;38,00;27,00;38,00;28,45;39,40;8,75;8,75
2019-10-20;51,00;357,00;37,09;60,27;74,18;57,00;48,00;29,00;41,00;31,47;34,72;8,68;11,94
2019-10-27;48,00;355,20;33,60;52,80;72,00;54,00;47,00;28,00;37,00;28,80;38,40;7,47;10,67
2019-11-03;44,00;322,67;34,22;58,67;68,44;48,00;38,00;28,00;35,00;27,90;31,12;5,37;8,59
2019-11-10;40,00;280,00;26,67;48,89;71,11;47,00;34,00;28,00;35,00;21,62;27,03;5,41;8,65
2019-11-17;51,00;282,82;32,45;60,27;60,27;40,00;34,00;24,00;32,00;22,79;28,21;5,43;8,68
2019-11-24;41,00;259,67;31,89;59,22;63,78;47,00;37,00;26,00;34,00;22,66;25,89;5,39;7,55
2019-12-01;49,00;294,00;34,30;63,70;68,60;44,00;36,00;30,00;41,00;22,87;30,49;6,53;6,53
2019-12-08;43,00;286,67;33,44;57,33;62,11;48,00;36,00;24,00;36,00;27,95;25,80;6,45;7,53
2019-12-15;53,00;313,18;33,73;72,27;62,64;46,00;50,00;25,00;36,00;24,88;29,20;6,49;7,57
2019-12-22;51,00;333,82;27,82;55,64;69,55;54,00;42,00;28,00;35,00;20,62;33,64;7,60;6,51
2019-12-29;48,00;331,20;33,60;48,00;72,00;56,00;40,00;28,00;37,00;22,40;34,13;3,20;6,40
2020-01-05;48,00;288,00;33,60;48,00;67,20;67,00;37,00;24,00;37,00;20,73;33,82;5,45;6,55
2020-01-12;46,00;299,00;27,60;46,00;69,00;50,00;45,00;25,00;36,00;23,00;35,05;5,48;8,76
2020-01-19;47,00;286,70;32,90;47,00;70,50;56,00;43,00;27,00;38,00;22,95;36,07;5,47;7,65
2020-01-26;44,00;288,44;34,22;78,22;68,44;70,00;37,00;25,00;35,00;23,61;33,27;6,44;6,44
2020-02-02;47,00;300,80;32,90;51,70;75,20;57,00;36,00;26,00;47,00;27,33;33,88;5,47;8,74
2020-02-09;46,00;312,80;32,20;50,60;69,00;54,00;39,00;22,00;40,00;27,81;37,44;6,42;6,42
2020-02-16;50,00;295,45;31,82;50,00;68,18;55,00;48,00;30,00;39,00;27,66;35,11;7,45;7,45
2020-02-23;45,00;274,50;31,50;54,00;72,00;53,00;37,00;29,00;35,00;30,00;31,07;8,57;8,57
2020-03-01;43,00;262,78;23,89;47,78;62,11;44,00;34,00;27,00;29,00;23,65;29,03;7,53;8,60
2020-03-08;65,00;250,71;27,86;41,79;55,71;38,00;31,00;23,00;30,00;18,42;24,92;5,42;6,50
2020-03-15;28,00;154,00;9,33;23,33;28,00;23,00;15,00;14,00;16,00;10,77;14,00;4,31;4,31
2020-03-22;17,00;76,50;4,25;12,75;12,75;15,00;8,00;12,00;9,00;7,93;6,80;3,40;4,53
2020-03-29;10,00;80,00;5,00;15,00;15,00;13,00;8,00;13,00;10,00;5,56;8,89;2,22;3,33
2020-04-05;14,00;70,00;4,67;18,67;14,00;13,00;6,00;13,00;9,00;5,38;7,54;2,15;4,31
2020-04-12;10,00;75,00;5,00;15,00;15,00;14,00;8,00;15,00;8,00;7,78;5,56;2,22;4,44
2020-04-19;11,00;77,00;5,50;16,50;16,50;16,00;8,00;14,00;9,00;7,70;8,80;2,20;4,40
2020-04-26;13,00;69,33;8,67;13,00;13,00;14,00;8,00;15,00;10,00;6,50;7,58;2,17;3,25
2020-05-03;14,00;79,33;9,33;18,67;18,67;17,00;11,00;14,00;10,00;8,62;8,62;2,15;4,31
2020-05-10;19,00;99,75;14,25;23,75;23,75;25,00;16,00;21,00;13,00;11,61;9,50;4,22;5,28
2020-05-17;24,00;120,00;14,40;24,00;28,80;29,00;18,00;22,00;15,00;15,27;13,09;3,27;6,55
2020-05-24;25,00;140,00;15,00;30,00;30,00;35,00;21,00;22,00;17,00;15,22;16,30;5,43;5,43
2020-05-31;30,00;180,00;25,00;35,00;45,00;42,00;21,00;28,00;19,00;19,29;19,29;5,36;7,50
2020-06-07;35,00;157,50;21,88;30,63;39,38;44,00;30,00;25,00;23,00;22,27;19,09;7,42;6,36
2020-06-14;41,00;191,33;22,78;36,44;45,56;49,00;31,00;30,00;22,00;26,59;23,27;7,76;11,08
2020-06-21;45,00;202,50;27,00;40,50;54,00;57,00;32,00;31,00;30,00;27,86;23,57;7,50;8,57
2020-06-28;48,00;225,60;28,80;48,00;62,40;70,00;36,00;32,00;35,00;30,55;25,09;8,73;8,73
2020-07-05;55,00;229,17;32,08;45,83;59,58;80,00;42,00;35,00;36,00;36,30;24,20;11,00;8,80
2020-07-12;57,00;247,00;28,50;47,50;66,50;78,00;43,00;30,00;37,00;37,27;109,62;9,87;8,77
2020-07-19;56,00;242,67;28,00;42,00;60,67;74,00;46,00;32,00;34,00;39,53;56,00;7,69;8,78
2020-07-26;60,00;226,15;23,08;46,15;55,38;69,00;47,00;32,00;32,00;40,71;37,50;12,86;9,64
2020-08-02;68,00;262,29;29,14;43,71;68,00;86,00;50,00;31,00;41,00;46,41;32,38;10,79;8,63
2020-08-09;75,00;243,75;28,13;46,88;70,31;97,00;51,00;31,00;37,00;46,74;30,43;10,87;7,61
2020-08-16;62,00;233,69;28,62;47,69;57,23;76,00;42,00;31,00;30,00;39,16;28,28;11,96;10,88
2020-08-23;55,00;192,50;27,50;45,83;55,00;56,00;40,00;27,00;24,00;30,20;23,73;9,71;7,55
2020-08-30;42,00;200,67;28,00;46,67;51,33;41,00;39,00;31,00;29,00;24,77;21,54;6,46;7,54
2020-09-06;39,00;204,75;29,25;43,88;53,63;40,00;32,00;30,00;27,00;23,83;22,75;7,58;8,67
2020-09-13;36,00;193,50;22,50;40,50;49,50;44,00;31,00;30,00;22,00;23,29;21,18;5,29;7,41
2020-09-20;38,00;194,75;23,75;47,50;47,50;33,00;29,00;26,00;26,00;21,71;20,63;7,60;6,51
2020-09-27;39,00;185,25;19,50;43,88;43,88;31,00;24,00;29,00;21,00;20,58;16,25;5,42;5,42
2020-10-04;30,00;185,00;25,00;45,00;50,00;29,00;26,00;27,00;20,00;21,43;18,21;5,36;5,36
2020-10-11;29,00;178,83;24,17;43,50;48,33;33,00;31,00;24,00;22,00;18,26;19,33;5,37;6,44
2020-10-18;25,00;180,00;20,00;55,00;50,00;29,00;27,00;27,00;22,00;18,48;20,65;6,52;5,43
2020-10-25;28,00;140,00;14,00;28,00;32,67;21,00;21,00;21,00;17,00;14,00;11,85;5,38;5,38
2020-11-01;13,00;73,67;8,67;47,67;17,33;52,00;13,00;15,00;9,00;9,75;8,67;1,08;3,25
2020-11-08;17,00;80,75;8,50;21,25;17,00;16,00;10,00;14,00;12,00;9,56;9,56;2,13;5,31
2020-11-15;15,00;95,00;10,00;25,00;20,00;15,00;12,00;14,00;11,00;9,23;8,08;2,31;3,46
2020-11-22;15,00;115,00;15,00;35,00;25,00;21,00;16,00;14,00;13,00;15,00;15,00;3,21;4,29
2020-11-29;16,00;128,00;16,00;32,00;32,00;23,00;16,00;15,00;13,00;11,73;11,73;2,13;5,33
2020-12-06;21,00;147,00;15,75;31,50;31,50;22,00;17,00;17,00;14,00;8,84;11,05;2,21;4,42
2020-12-13;25,00;155,00;15,00;30,00;40,00;33,00;20,00;17,00;17,00;14,13;13,04;4,35;5,43
2020-12-20;25,00;165,00;25,00;70,00;40,00;29,00;26,00;22,00;20,00;19,57;15,22;4,35;6,52
2020-12-27;25,00;170,00;20,00;30,00;45,00;30,00;19,00;23,00;17,00;16,30;15,22;5,43;6,52
2021-01-03;25,00;165,00;20,00;35,00;45,00;30,00;20,00;19,00;19,00;17,39;17,39;5,43;9,78
2021-01-10;23,00;142,60;18,40;27,60;32,20;27,00;22,00;19,00;18,00;15,33;13,14;4,38;4,38
2021-01-17;18,00;126,00;13,50;27,00;31,50;24,00;19,00;18,00;16,00;14,63;13,50;4,50;4,50
2021-01-24;20,00;125,00;15,00;30,00;35,00;28,00;21,00;17,00;15,00;11,58;11,58;3,16;6,32
2021-01-31;21,00;113,40;16,80;29,40;25,20;30,00;24,00;19,00;15,00;11,55;11,55;5,25;6,30
2021-02-07;23,00;142,60;18,40;32,20;46,00;30,00;22,00;22,00;18,00;19,71;12,05;5,48;6,57
2021-02-14;26,00;151,67;17,33;34,67;34,67;35,00;24,00;21,00;21,00;17,33;15,17;5,42;6,50
2021-02-21;32,00;137,14;18,29;32,00;32,00;33,00;24,00;21,00;19,00;19,20;16,00;5,33;5,33
2021-02-28;24,00;139,20;28,80;33,60;38,40;28,00;20,00;19,00;16,00;18,55;14,18;4,36;5,45
2021-03-07;54,00;193,50;18,00;40,50;31,50;39,00;19,00;19,00;20,00;15,12;16,20;4,32;4,32
2021-03-14;29,00;145,00;19,33;33,83;33,83;31,00;21,00;18,00;14,00;15,04;18,26;4,30;5,37
