Semaine;Martinique (LC);Guadeloupe (GP);Saint Martin (ile d Amérique du nord) (MF);Republique Dominicaine (DO);Sainte Lucie (LC);Barbade (BB)
2019-01-06;68,00;94,27;6,18;17,00;1,55;3,00
2019-01-13;65,00;85,12;9,29;7,74;3,10;5,00
2019-01-20;62,00;83,70;3,10;15,50;3,10;5,00
2019-01-27;55,00;82,50;4,58;12,22;3,06;4,00
2019-02-03;59,00;96,26;6,21;7,76;3,11;5,00
2019-02-10;62,00;82,15;3,10;9,30;3,10;3,00
2019-02-17;62,00;69,75;6,20;10,85;3,10;4,00
2019-02-24;57,00;75,49;6,16;7,70;3,08;3,00
2019-03-03;50,00;76,56;4,69;9,38;3,13;3,00
2019-03-10;48,00;72,77;7,74;7,74;1,55;0,50
2019-03-17;50,00;68,75;7,81;10,94;3,13;2,00
2019-03-24;43,00;61,43;7,68;7,68;1,54;3,00
2019-03-31;50,00;60,94;3,13;9,38;3,13;5,00
2019-04-07;43,00;67,57;4,61;9,21;1,54;3,00
2019-04-14;42,00;57,56;4,67;9,33;3,11;1,00
2019-04-21;46,00;59,80;4,60;4,60;6,13;5,00
2019-04-28;39,00;54,60;6,24;4,68;3,12;3,00
2019-05-05;41,00;58,35;4,73;7,88;3,15;2,00
2019-05-12;32,00;48,76;4,57;7,62;3,05;3,00
2019-05-19;33,00;47,14;3,14;4,71;1,57;3,00
2019-05-26;29,00;45,79;6,11;4,58;1,53;2,00
2019-06-02;34,00;51,00;3,09;7,73;4,64;2,00
2019-06-09;33,00;48,71;1,57;4,71;1,57;2,00
2019-06-16;39,00;59,28;1,56;7,80;1,56;1,00
2019-06-23;36,00;46,96;6,26;4,70;1,57;3,00
2019-06-30;39,00;59,28;4,68;4,68;1,56;3,00
2019-07-07;41,00;55,19;3,15;4,73;3,15;2,00
2019-07-14;45,00;57,41;4,66;6,21;4,66;2,00
2019-07-21;43,00;55,29;6,14;4,61;1,54;4,00
2019-07-28;47,00;68,23;6,06;12,13;7,58;3,00
2019-08-04;42,00;65,33;4,67;7,78;4,67;3,00
2019-08-11;46,00;65,93;4,60;12,27;1,53;3,00
2019-08-18;39,00;65,52;4,68;6,24;6,24;1,00
2019-08-25;43,00;58,36;4,61;7,68;1,54;4,00
2019-09-01;55,00;51,94;4,58;9,17;1,53;4,00
2019-09-08;38,00;51,68;4,56;7,60;1,52;2,00
2019-09-15;41,00;56,77;6,31;9,46;4,73;3,00
2019-09-22;43,00;56,82;4,61;9,21;3,07;1,00
2019-09-29;38,00;55,42;4,75;11,08;1,58;2,00
2019-10-06;41,00;50,11;3,04;7,59;3,04;3,00
2019-10-13;38,00;52,25;6,33;9,50;3,17;3,00
2019-10-20;40,00;64,62;6,15;7,69;3,08;3,00
2019-10-27;48,00;54,19;4,65;6,19;1,55;3,00
2019-11-03;38,00;60,80;4,56;9,12;1,52;3,00
2019-11-10;36,00;57,91;3,13;7,83;3,13;1,00
2019-11-17;46,00;64,40;4,60;9,20;1,53;2,00
2019-11-24;50,00;54,55;4,55;9,09;3,03;3,00
2019-12-01;42,00;66,89;6,22;7,78;4,67;2,00
2019-12-08;46,00;59,80;4,60;6,13;9,20;3,00
2019-12-15;41,00;60,74;6,07;6,07;3,04;2,00
2019-12-22;54,00;81,77;3,09;9,26;3,09;2,00
2019-12-29;53,00;90,41;6,24;10,91;3,12;4,00
2020-01-05;62,00;80,60;4,65;12,40;3,10;5,00
2020-01-12;57,00;86,27;6,16;9,24;3,08;4,00
2020-01-19;53,00;82,62;6,24;12,47;4,68;3,00
2020-01-26;55,00;76,39;6,11;7,64;1,53;4,00
