Semaine;St Barthélémy (BL);Iles Vierges (UK) (VG);Saint Vincent et les Grenadines (VC)
2019-01-06;30,00;5,00;8,00
2019-01-13;17,00;5,00;15,00
2019-01-20;32,00;7,00;5,00
2019-01-27;31,00;2,00;5,00
2019-02-03;29,00;0,00;32,00
2019-02-10;25,00;3,00;20,00
2019-02-17;52,00;0,00;5,00
2019-02-24;15,00;8,00;5,00
2019-03-03;17,00;7,00;7,00
2019-03-10;32,00;3,00;8,00
2019-03-17;10,00;3,00;8,00
2019-03-24;21,00;8,00;3,00
2019-03-31;23,00;3,00;5,00
2019-04-07;15,00;8,00;8,00
2019-04-14;18,00;3,00;11,00
2019-04-21;18,00;5,00;10,00
2019-04-28;25,00;0,00;5,00
2019-05-05;17,00;2,00;5,00
2019-05-12;42,00;2,00;7,00
2019-05-19;17,00;0,00;7,00
2019-05-26;12,00;0,00;0,00
2019-06-02;12,00;0,00;7,00
2019-06-09;17,00;5,00;7,00
2019-06-16;12,00;0,00;3,00
2019-06-23;25,00;2,00;0,00
2019-06-30;20,00;0,00;2,00
2019-07-07;17,00;7,00;5,00
2019-07-14;15,00;3,00;3,00
2019-07-21;13,00;3,00;10,00
2019-07-28;24,00;5,00;5,00
2019-08-04;29,00;0,00;3,00
2019-08-11;32,00;3,00;5,00
2019-08-18;21,00;5,00;0,00
2019-08-25;28,00;3,00;5,00
2019-09-01;19,00;7,00;12,00
2019-09-08;14,00;7,00;7,00
2019-09-15;26,00;2,00;14,00
2019-09-22;14,00;7,00;9,00
2019-09-29;14,00;2,00;9,00
2019-10-06;23,00;5,00;0,00
2019-10-13;33,00;0,00;0,00
2019-10-20;9,00;7,00;7,00
2019-10-27;21,00;5,00;9,00
2019-11-03;18,00;7,00;2,00
2019-11-10;25,00;5,00;7,00
2019-11-17;18,00;5,00;7,00
2019-11-24;18,00;7,00;4,00
2019-12-01;25,00;2,00;2,00
2019-12-08;20,00;2,00;9,00
2019-12-15;11,00;18,00;2,00
2019-12-22;25,00;8,00;5,00
2019-12-29;26,00;2,00;5,00
2020-01-05;22,00;2,00;11,00
2020-01-12;28,00;4,00;6,00
2020-01-19;9,00;9,00;11,00
2020-01-26;15,00;7,00;7,00
2020-02-02;9,00;0,00;7,00
2020-02-09;11,00;4,00;9,00
2020-02-16;18,00;4,00;100,00
2020-02-23;19,00;2,00;19,00
2020-03-01;21,00;6,00;51,00
2020-03-08;17,00;0,00;9,00
2020-03-15;18,00;2,00;79,00
2020-03-22;14,00;2,00;2,00
2020-03-29;8,00;6,00;4,00
2020-04-05;12,00;4,00;4,00
2020-04-12;10,00;6,00;2,00
2020-04-19;6,00;10,00;32,00
2020-04-26;11,00;0,00;2,00
2020-05-03;9,00;2,00;7,00
2020-05-10;6,00;0,00;4,00
2020-05-17;15,00;2,00;0,00
2020-05-24;14,00;0,00;2,00
2020-05-31;8,00;0,00;4,00
2020-06-07;12,00;2,00;0,00
2020-06-14;12,00;2,00;4,00
2020-06-21;13,00;0,00;2,00
2020-06-28;6,00;4,00;4,00
2020-07-05;13,00;2,00;2,00
2020-07-12;5,00;2,00;0,00
2020-07-19;16,00;0,00;0,00
2020-07-26;16,00;0,00;2,00
2020-08-02;11,00;2,00;9,00
2020-08-09;11,00;5,00;11,00
2020-08-16;18,00;2,00;2,00
2020-08-23;11,00;0,00;0,00
2020-08-30;20,00;2,00;2,00
2020-09-06;19,00;2,00;0,00
2020-09-13;21,00;2,00;2,00
2020-09-20;15,00;0,00;4,00
2020-09-27;15,00;0,00;2,00
2020-10-04;13,00;0,00;0,00
2020-10-11;14,00;2,00;2,00
2020-10-18;25,00;0,00;5,00
2020-10-25;11,00;2,00;4,00
2020-11-01;12,00;0,00;2,00
2020-11-08;14,00;2,00;0,00
2020-11-15;13,00;0,00;2,00
2020-11-22;14,00;31,00;0,00
2020-11-29;37,00;6,00;2,00
2020-12-06;33,00;0,00;4,00
2020-12-13;29,00;2,00;0,00
2020-12-20;39,00;2,00;2,00
2020-12-27;32,00;5,00;5,00
2021-01-03;38,00;4,00;7,00
2021-01-10;49,00;2,00;11,00
2021-01-17;43,00;0,00;2,00
2021-01-24;11,00;4,00;7,00
2021-01-31;28,00;0,00;0,00
2021-02-07;13,00;0,00;7,00
2021-02-14;34,00;5,00;5,00
2021-02-21;30,00;2,00;2,00
2021-02-28;13,00;2,00;0,00
2021-03-07;11,00;2,00;0,00
2021-03-14;12,00;2,00;4,00
2021-03-21;18,00;2,00;2,00
2021-03-28;5,00;0,00;0,00
2021-04-04;15,00;4,00;11,00
2021-04-11;9,00;4,00;2,00
2021-04-18;11,00;2,00;0,00
2021-04-25;21,00;6,00;6,00
2021-05-02;20,00;2,00;0,00
2021-05-09;15,00;4,00;0,00
2021-05-16;13,00;2,00;2,00
2021-05-23;9,00;0,00;2,00
2021-05-30;18,00;2,00;2,00
2021-06-06;16,00;2,00;5,00
2021-06-13;9,00;2,00;11,00
2021-06-20;18,00;2,00;0,00
2021-06-27;18,00;0,00;0,00
2021-07-04;11,00;2,00;2,00
2021-07-11;29,00;0,00;7,00
2021-07-18;25,00;2,00;5,00
2021-07-25;29,00;0,00;7,00
2021-08-01;27,00;5,00;5,00
2021-08-08;29,00;0,00;8,00
2021-08-15;25,00;2,00;10,00
2021-08-22;39,00;3,00;3,00
2021-08-29;22,00;2,00;10,00
2021-09-05;22,00;0,00;3,00
2021-09-12;22,00;0,00;3,00
