Semaine;Nice (FR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Fréjus (FR);Cannes (FR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR)
2019-01-06;54,00;17,00;3,00;13,00;3,00;5,00;11,00;5,00;1,00;0,00;0,00;0,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;38,00;9,00;7,00;6,00;0,00;1,00;10,00;7,00;3,00;0,00;2,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;1,00;0,00;0,00
2019-01-20;37,00;13,00;6,00;4,00;4,00;2,00;7,00;5,00;4,00;0,00;2,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00
2019-01-27;45,00;4,00;4,00;8,00;6,00;4,00;10,00;2,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00
2019-02-03;45,00;8,00;5,00;4,00;0,00;0,00;8,00;5,00;0,00;0,00;2,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00
2019-02-10;48,00;7,00;5,00;8,00;0,00;1,00;6,00;5,00;3,00;0,00;1,00;3,00;2,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00
2019-02-17;57,00;9,00;2,00;10,00;4,00;1,00;7,00;6,00;3,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00
2019-02-24;45,00;10,00;3,00;9,00;1,00;2,00;11,00;5,00;1,00;0,00;0,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00
2019-03-03;44,00;9,00;4,00;7,00;2,00;4,00;9,00;8,00;4,00;0,00;0,00;0,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;50,00;8,00;5,00;8,00;1,00;3,00;8,00;7,00;0,00;0,00;0,00;2,00;0,00;2,00;2,00;0,00;0,00;1,00;0,00;0,00;0,00
2019-03-17;47,00;11,00;9,00;5,00;1,00;1,00;5,00;6,00;3,00;1,00;2,00;0,00;1,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00
2019-03-24;53,00;9,00;5,00;8,00;1,00;6,00;7,00;3,00;2,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-31;45,00;9,00;6,00;7,00;1,00;3,00;6,00;5,00;1,00;0,00;1,00;0,00;3,00;0,00;2,00;0,00;1,00;1,00;0,00;0,00;0,00
2019-04-07;57,00;12,00;2,00;11,00;1,00;0,00;10,00;11,00;1,00;0,00;0,00;0,00;1,00;0,00;0,00;1,00;2,00;0,00;0,00;0,00;0,00
2019-04-14;66,00;15,00;3,00;15,00;1,00;3,00;11,00;3,00;4,00;0,00;1,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;1,00
2019-04-21;57,00;12,00;2,00;8,00;2,00;3,00;9,00;3,00;2,00;0,00;0,00;1,00;0,00;0,00;1,00;5,00;3,00;0,00;1,00;0,00;0,00
2019-04-28;43,00;13,00;5,00;10,00;3,00;1,00;6,00;5,00;4,00;1,00;0,00;1,00;0,00;0,00;0,00;3,00;1,00;0,00;0,00;1,00;0,00
2019-05-05;73,00;15,00;5,00;10,00;2,00;2,00;9,00;9,00;2,00;0,00;2,00;2,00;0,00;0,00;1,00;2,00;1,00;1,00;0,00;0,00;1,00
2019-05-12;59,00;17,00;3,00;15,00;4,00;3,00;11,00;8,00;4,00;0,00;1,00;0,00;0,00;0,00;0,00;2,00;1,00;0,00;0,00;0,00;0,00
2019-05-19;64,00;23,00;7,00;8,00;0,00;7,00;14,00;11,00;2,00;0,00;0,00;1,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-05-26;84,00;18,00;7,00;16,00;1,00;4,00;18,00;6,00;5,00;2,00;1,00;3,00;0,00;1,00;1,00;1,00;1,00;0,00;0,00;0,00;1,00
2019-06-02;81,00;16,00;8,00;14,00;4,00;4,00;15,00;14,00;1,00;0,00;0,00;1,00;0,00;2,00;1,00;2,00;1,00;0,00;1,00;0,00;0,00
2019-06-09;88,00;18,00;8,00;13,00;3,00;2,00;14,00;12,00;6,00;0,00;2,00;2,00;3,00;0,00;1,00;2,00;1,00;0,00;0,00;0,00;1,00
2019-06-16;80,00;24,00;7,00;10,00;4,00;3,00;13,00;12,00;5,00;0,00;0,00;1,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;1,00;0,00
2019-06-23;89,00;16,00;7,00;15,00;1,00;6,00;14,00;6,00;2,00;0,00;1,00;2,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;1,00
2019-06-30;100,00;16,00;9,00;9,00;1,00;2,00;11,00;13,00;6,00;0,00;0,00;3,00;2,00;0,00;1,00;2,00;2,00;0,00;1,00;0,00;0,00
2019-07-07;58,00;14,00;7,00;19,00;0,00;3,00;14,00;15,00;5,00;0,00;0,00;2,00;3,00;1,00;0,00;2,00;4,00;0,00;1,00;1,00;1,00
2019-07-14;76,00;26,00;4,00;18,00;5,00;2,00;15,00;8,00;1,00;1,00;2,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00
2019-07-21;73,00;22,00;11,00;15,00;5,00;5,00;11,00;13,00;1,00;0,00;2,00;1,00;4,00;0,00;0,00;2,00;1,00;0,00;0,00;1,00;0,00
2019-07-28;47,00;26,00;12,00;21,00;5,00;3,00;5,00;13,00;3,00;1,00;1,00;0,00;3,00;1,00;0,00;1,00;3,00;0,00;0,00;0,00;0,00
2019-08-04;57,00;29,00;10,00;14,00;4,00;3,00;11,00;13,00;0,00;0,00;2,00;1,00;2,00;0,00;1,00;3,00;1,00;0,00;2,00;2,00;0,00
2019-08-11;82,00;23,00;7,00;12,00;1,00;6,00;5,00;12,00;2,00;2,00;3,00;1,00;1,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00
2019-08-18;73,00;56,00;12,00;11,00;2,00;4,00;14,00;12,00;3,00;1,00;2,00;3,00;1,00;0,00;1,00;1,00;0,00;1,00;1,00;0,00;0,00
2019-08-25;62,00;66,00;9,00;16,00;6,00;5,00;11,00;16,00;4,00;0,00;2,00;1,00;5,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00
2019-09-01;66,00;21,00;7,00;11,00;1,00;5,00;15,00;12,00;3,00;1,00;1,00;3,00;1,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00
2019-09-08;64,00;9,00;3,00;8,00;3,00;1,00;13,00;8,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00
2019-09-15;53,00;18,00;5,00;6,00;4,00;4,00;14,00;5,00;3,00;0,00;0,00;0,00;0,00;2,00;0,00;3,00;1,00;1,00;0,00;0,00;0,00
2019-09-22;53,00;17,00;2,00;8,00;0,00;3,00;10,00;5,00;3,00;1,00;1,00;3,00;0,00;0,00;0,00;1,00;0,00;0,00;1,00;2,00;0,00
2019-09-29;55,00;12,00;0,00;10,00;2,00;1,00;12,00;10,00;0,00;0,00;1,00;0,00;1,00;0,00;0,00;3,00;2,00;0,00;0,00;0,00;0,00
2019-10-06;49,00;8,00;4,00;10,00;3,00;2,00;4,00;5,00;1,00;0,00;1,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;1,00
