Semaine;Nice (FR);Paris (FR);Lille (FR);Strasbourg (FR);Lyon (FR);Marseille (FR);Bordeaux (FR);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Dijon (FR)
2019-01-06;54,00;402,92;12,46;4,15;12,46;12,00;20,00;4,00;12,00;6,00;6,00;6,00;2,00
2019-01-13;38,00;325,11;12,67;4,22;8,44;20,00;20,00;7,00;10,00;2,00;7,00;0,00;4,00
2019-01-20;37,00;308,33;8,22;8,22;16,44;10,00;19,00;1,00;15,00;7,00;13,00;2,00;2,00
2019-01-27;45,00;290,45;12,27;8,18;8,18;10,00;14,00;0,00;17,00;3,00;10,00;7,00;2,00
2019-02-03;45,00;298,64;8,18;8,18;16,36;9,00;17,00;6,00;16,00;9,00;10,00;1,00;0,00
2019-02-10;48,00;288,00;16,00;4,00;12,00;9,00;18,00;3,00;8,00;2,00;8,00;1,00;6,00
2019-02-17;57,00;293,14;8,14;8,14;16,29;12,00;21,00;9,00;19,00;10,00;4,00;4,00;1,00
2019-02-24;45,00;298,64;4,09;4,09;8,18;12,00;23,00;4,00;14,00;6,00;4,00;5,00;3,00
2019-03-03;44,00;284,00;8,00;4,00;12,00;14,00;16,00;6,00;16,00;6,00;8,00;4,00;1,00
2019-03-10;50,00;337,50;12,50;20,83;12,50;14,00;15,00;9,00;18,00;11,00;10,00;3,00;3,00
2019-03-17;47,00;282,00;7,83;3,92;15,67;20,00;28,00;8,00;12,00;6,00;6,00;5,00;0,00
2019-03-24;53,00;252,77;8,15;12,23;12,23;24,00;27,00;13,00;18,00;6,00;7,00;1,00;3,00
2019-03-31;45,00;294,55;12,27;8,18;16,36;24,00;17,00;9,00;17,00;3,00;8,00;5,00;2,00
2019-04-07;57,00;325,71;4,07;12,21;16,29;15,00;29,00;4,00;9,00;9,00;10,00;3,00;0,00
2019-04-14;66,00;334,13;8,25;4,13;8,25;16,00;33,00;12,00;11,00;4,00;12,00;4,00;2,00
2019-04-21;57,00;260,57;12,21;8,14;8,14;10,00;23,00;8,00;12,00;12,00;5,00;5,00;2,00
2019-04-28;43,00;283,80;12,90;8,60;17,20;20,00;15,00;5,00;13,00;4,00;6,00;7,00;2,00
2019-05-05;73,00;308,22;12,17;12,17;12,17;17,00;32,00;11,00;19,00;5,00;10,00;6,00;1,00
2019-05-12;59,00;295,00;12,64;8,43;8,43;23,00;31,00;4,00;9,00;6,00;5,00;5,00;3,00
2019-05-19;64,00;324,00;12,00;8,00;24,00;27,00;21,00;8,00;19,00;5,00;9,00;6,00;2,00
2019-05-26;84,00;294,00;4,20;12,60;12,60;19,00;26,00;9,00;16,00;2,00;10,00;2,00;2,00
2019-06-02;81,00;328,05;12,15;4,05;16,20;30,00;29,00;9,00;13,00;9,00;11,00;8,00;2,00
2019-06-09;88,00;296,00;12,00;8,00;16,00;23,00;31,00;6,00;16,00;5,00;12,00;4,00;2,00
2019-06-16;80,00;353,68;8,42;4,21;12,63;20,00;40,00;7,00;16,00;8,00;11,00;4,00;3,00
2019-06-23;89,00;351,95;12,14;8,09;32,36;25,00;28,00;8,00;12,00;7,00;10,00;12,00;4,00
2019-06-30;100,00;300,00;8,33;8,33;20,83;24,00;39,00;5,00;15,00;7,00;13,00;7,00;1,00
2019-07-07;58,00;348,00;16,57;8,29;20,71;15,00;22,00;5,00;11,00;18,00;12,00;4,00;3,00
2019-07-14;76,00;332,00;12,00;16,00;12,00;26,00;24,00;5,00;24,00;7,00;13,00;4,00;6,00
2019-07-21;73,00;405,56;12,17;16,22;20,28;20,00;26,00;8,00;19,00;7,00;10,00;6,00;4,00
2019-07-28;47,00;340,75;11,75;7,83;15,67;13,00;38,00;10,00;23,00;8,00;16,00;7,00;1,00
2019-08-04;57,00;313,50;16,29;12,21;16,29;17,00;20,00;13,00;14,00;12,00;10,00;12,00;3,00
2019-08-11;82,00;332,10;12,30;12,30;20,50;21,00;17,00;8,00;20,00;13,00;13,00;10,00;8,00
2019-08-18;73,00;312,28;8,11;12,17;8,11;13,00;32,00;6,00;14,00;5,00;8,00;8,00;1,00
2019-08-25;62,00;314,13;8,27;12,40;16,53;20,00;27,00;2,00;10,00;8,00;11,00;6,00;2,00
2019-09-01;66,00;321,75;12,38;16,50;20,63;22,00;19,00;6,00;12,00;7,00;10,00;7,00;3,00
2019-09-08;64,00;364,00;12,00;8,00;20,00;19,00;28,00;7,00;15,00;4,00;6,00;7,00;1,00
2019-09-15;53,00;395,46;16,31;12,23;20,38;21,00;19,00;11,00;21,00;13,00;15,00;8,00;1,00
2019-09-22;53,00;313,92;12,23;8,15;20,38;22,00;22,00;6,00;13,00;8,00;7,00;6,00;3,00
2019-09-29;55,00;363,85;16,92;12,69;16,92;10,00;18,00;10,00;6,00;10,00;8,00;4,00;2,00
2019-10-06;49,00;359,33;8,17;16,33;20,42;19,00;26,00;7,00;9,00;10,00;9,00;6,00;1,00
2019-10-13;43,00;361,20;17,20;12,90;21,50;15,00;18,00;8,00;8,00;8,00;5,00;4,00;3,00
2019-10-20;44,00;340,00;12,00;12,00;20,00;17,00;15,00;8,00;21,00;8,00;9,00;4,00;0,00
2019-10-27;43,00;301,00;17,20;12,90;17,20;16,00;16,00;1,00;6,00;4,00;9,00;1,00;3,00
2019-11-03;24,00;336,00;8,00;8,00;4,00;13,00;21,00;6,00;9,00;6,00;7,00;1,00;4,00
2019-11-10;25,00;308,33;16,67;8,33;16,67;10,00;19,00;5,00;12,00;2,00;10,00;4,00;0,00
2019-11-17;40,00;264,00;8,00;12,00;12,00;10,00;21,00;6,00;17,00;7,00;6,00;2,00;3,00
2019-11-24;35,00;252,78;7,78;11,67;11,67;9,00;16,00;8,00;8,00;10,00;5,00;3,00;1,00
2019-12-01;27,00;270,00;11,57;11,57;11,57;8,00;14,00;6,00;10,00;3,00;6,00;1,00;0,00
2019-12-08;27,00;235,29;7,71;7,71;19,29;13,00;15,00;4,00;17,00;5,00;6,00;4,00;1,00
2019-12-15;32,00;320,00;12,00;16,00;20,00;20,00;14,00;3,00;21,00;8,00;9,00;2,00;1,00
2019-12-22;36,00;324,00;12,00;16,00;12,00;15,00;16,00;4,00;9,00;16,00;9,00;2,00;2,00
2019-12-29;48,00;332,00;4,00;12,00;16,00;20,00;25,00;9,00;17,00;6,00;9,00;4,00;0,00
2020-01-05;56,00;360,00;16,00;4,00;20,00;17,00;18,00;12,00;20,00;13,00;12,00;7,00;3,00
2020-01-12;58,00;381,14;8,29;8,29;16,57;17,00;21,00;8,00;16,00;10,00;10,00;5,00;0,00
2020-01-19;61,00;374,13;16,27;12,20;12,20;21,00;24,00;7,00;15,00;12,00;10,00;6,00;1,00
2020-01-26;65,00;300,63;12,19;12,19;20,31;17,00;26,00;9,00;17,00;8,00;8,00;3,00;3,00
2020-02-02;54,00;344,77;4,15;12,46;12,46;22,00;22,00;7,00;15,00;6,00;6,00;2,00;4,00
