Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2019-01-06;47,00;31,00;16,00;26,00;10,00;5,22;0,00;36,56;20,89
2019-01-13;15,00;20,00;41,00;20,00;10,00;10,00;15,00;25,00;10,00
2019-01-20;24,00;15,00;39,00;44,00;0,00;5,33;5,33;24,00;34,67
2019-01-27;34,00;34,00;38,00;14,00;0,00;0,00;15,69;15,69;18,31
2019-02-03;34,00;10,00;15,00;5,00;5,00;10,46;10,46;15,69;261,54
2019-02-10;40,00;0,00;25,00;25,00;5,00;10,67;5,33;10,67;10,67
2019-02-17;40,00;10,00;25,00;10,00;15,00;0,00;10,67;0,00;5,33
2019-02-24;35,00;5,00;35,00;10,00;5,00;5,38;5,38;16,15;10,77
2019-03-03;16,00;0,00;21,00;36,00;0,00;5,33;5,33;5,33;16,00
2019-03-10;15,00;10,00;20,00;20,00;10,00;10,00;5,00;25,00;30,00
2019-03-17;26,00;26,00;31,00;31,00;16,00;15,60;10,40;26,00;15,60
2019-03-24;73,00;5,00;16,00;10,00;31,00;0,00;0,00;10,43;5,21
2019-03-31;57,00;0,00;10,00;26,00;36,00;5,18;0,00;0,00;5,18
2019-04-07;45,00;0,00;15,00;20,00;25,00;0,00;0,00;5,29;21,18
2019-04-14;26,00;5,00;16,00;42,00;5,00;5,20;0,00;10,40;15,60
2019-04-21;44,00;5,00;16,00;22,00;5,00;15,53;0,00;20,71;5,18
2019-04-28;31,00;15,00;15,00;26,00;10,00;0,00;0,00;20,67;20,67
2019-05-05;15,00;5,00;25,00;29,00;10,00;0,00;0,00;10,00;0,00
2019-05-12;45,00;100,00;15,00;15,00;10,00;0,00;15,88;5,29;10,59
2019-05-19;34,00;93,00;10,00;25,00;0,00;15,69;15,69;5,23;20,92
2019-05-26;47,00;28,00;14,00;14,00;9,00;0,00;0,00;13,06;13,06
2019-06-02;26,00;10,00;5,00;10,00;10,00;10,40;0,00;10,40;20,80
2019-06-09;47,00;16,00;5,00;21,00;0,00;0,00;0,00;26,11;10,44
2019-06-16;77,00;21,00;15,00;46,00;21,00;25,67;5,13;5,13;15,40
2019-06-23;58,00;31,00;16,00;32,00;10,00;0,00;0,00;5,27;79,09
2019-06-30;47,00;16,00;21,00;21,00;10,00;0,00;5,22;0,00;15,67
2019-07-07;40,00;35,00;20,00;45,00;20,00;0,00;5,33;16,00;10,67
2019-07-14;52,00;10,00;31,00;5,00;5,00;5,20;0,00;0,00;15,60
2019-07-21;58,00;16,00;0,00;32,00;5,00;10,55;0,00;10,55;5,27
2019-07-28;69,00;26,00;26,00;16,00;16,00;10,22;0,00;10,22;15,33
2019-08-04;99,00;28,00;11,00;17,00;6,00;5,21;5,21;20,84;99,00
2019-08-11;76,00;17,00;12,00;6,00;6,00;10,48;0,00;18,34;41,93
2019-08-18;76,00;11,00;11,00;27,00;5,00;10,48;0,00;15,72;81,24
2019-08-25;55,00;35,00;20,00;35,00;10,00;10,48;10,48;20,95;20,95
2019-09-01;33,00;5,00;9,00;23,00;0,00;5,08;10,15;17,77;22,85
2019-09-08;25,00;0,00;20,00;25,00;10,00;5,56;5,56;11,11;11,11
2019-09-15;29,00;5,00;10,00;33,00;5,00;5,27;5,27;10,55;13,18
2019-09-22;19,00;10,00;14,00;19,00;5,00;0,00;24,43;10,86;5,43
2019-09-29;28,00;5,00;5,00;9,00;0,00;0,00;0,00;12,73;12,73
2019-10-06;29,00;20,00;15,00;15,00;15,00;0,00;0,00;10,55;34,27
2019-10-13;24,00;5,00;10,00;34,00;10,00;10,67;0,00;5,33;18,67
2019-10-20;9,00;14,00;18,00;23,00;18,00;0,00;9,00;9,00;11,25
2019-10-27;33,00;9,00;19,00;38,00;14,00;10,15;5,08;5,08;5,08
2019-11-03;32,00;9,00;9,00;51,00;9,00;0,00;5,33;10,67;13,33
2019-11-10;23,00;14,00;0,00;14,00;0,00;0,00;5,11;10,22;0,00
2019-11-17;18,00;5,00;0,00;9,00;9,00;5,14;0,00;10,29;5,14
2019-11-24;9,00;27,00;9,00;9,00;9,00;0,00;0,00;11,25;4,50
2019-12-01;29,00;19,00;14,00;19,00;5,00;0,00;5,27;5,27;18,45
2019-12-08;24,00;15,00;15,00;29,00;5,00;10,67;5,33;10,67;16,00
2019-12-15;14,00;10,00;19,00;24,00;34,00;4,67;0,00;16,33;14,00
2019-12-22;28,00;28,00;22,00;22,00;28,00;5,09;0,00;28,00;0,00
2019-12-29;11,00;5,00;11,00;32,00;0,00;5,50;11,00;11,00;11,00
2020-01-05;43,00;38,00;33,00;24,00;14,00;0,00;5,38;13,44;24,19
2020-01-12;44,00;35,00;22,00;44,00;13,00;12,94;5,18;18,12;18,12
2020-01-19;36,00;18,00;9,00;32,00;0,00;5,14;12,86;5,14;5,14
2020-01-26;13,00;13,00;18,00;22,00;0,00;0,00;0,00;13,00;20,80
2020-02-02;35,00;26,00;0,00;26,00;9,00;0,00;13,46;8,08;218,08
2020-02-09;14,00;14,00;32,00;14,00;9,00;0,00;5,60;8,40;0,00
2020-02-16;41,00;9,00;14,00;45,00;14,00;7,69;7,69;12,81;12,81
2020-02-23;17,00;21,00;9,00;21,00;9,00;0,00;0,00;7,29;4,86
2020-03-01;13,00;25,00;8,00;42,00;0,00;0,00;7,80;15,60;0,00
2020-03-08;12,00;20,00;4,00;12,00;8,00;0,00;0,00;0,00;4,80
2020-03-15;37,00;8,00;4,00;12,00;16,00;0,00;5,29;5,29;5,29
2020-03-22;34,00;4,00;11,00;8,00;4,00;0,00;7,85;2,62;10,46
2020-03-29;23,00;4,00;8,00;12,00;4,00;0,00;2,56;0,00;10,22
2020-04-05;29,00;4,00;4,00;16,00;8,00;0,00;5,27;0,00;21,09
2020-04-12;25,00;0,00;0,00;17,00;8,00;5,00;5,00;5,00;0,00
2020-04-19;23,00;8,00;12,00;27,00;12,00;2,56;0,00;7,67;10,22
2020-04-26;51,00;12,00;8,00;12,00;8,00;5,10;7,65;15,30;22,95
2020-05-03;16,00;8,00;12,00;12,00;8,00;0,00;8,00;5,33;5,33
2020-05-10;32,00;0,00;4,00;16,00;24,00;5,33;0,00;0,00;5,33
2020-05-17;16,00;0,00;0,00;12,00;8,00;5,33;5,33;0,00;8,00
2020-05-24;30,00;0,00;4,00;17,00;21,00;5,45;5,45;5,45;5,45
2020-05-31;29,00;4,00;8,00;0,00;8,00;0,00;13,18;5,27;29,00
2020-06-07;42,00;0,00;4,00;13,00;4,00;7,88;0,00;5,25;36,75
