Semaine;Nice (FR);Paris (FR);Lille (FR);Strasbourg (FR);Lyon (FR);Marseille (FR);Bordeaux (FR);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Dijon (FR)
2019-01-06;11,00;203,50;2,75;5,50;5,50;7,00;4,00;0,00;3,00;2,00;1,00;0,00;0,00
2019-01-13;11,00;143,00;2,75;5,50;2,75;6,00;3,00;0,50;3,00;1,00;1,00;1,00;0,00
2019-01-20;14,00;161,00;0,00;3,50;7,00;5,00;1,00;1,00;2,00;1,00;1,00;1,00;0,00
2019-01-27;19,00;120,33;3,17;6,33;3,17;5,00;4,00;0,00;2,00;1,00;0,50;1,00;0,00
2019-02-03;14,00;126,00;3,50;7,00;7,00;2,00;2,00;0,00;0,50;0,50;1,00;0,50;0,00
2019-02-10;19,00;95,00;3,17;6,33;3,17;4,00;4,00;0,00;0,50;1,00;2,00;2,00;0,00
2019-02-17;16,00;136,00;4,00;8,00;8,00;12,00;3,00;0,50;0,00;2,00;2,00;1,00;0,00
2019-02-24;19,00;126,67;3,17;6,33;3,17;11,00;4,00;1,00;1,00;1,00;2,00;1,00;0,00
2019-03-03;17,00;102,00;2,83;5,67;2,83;8,00;5,00;0,00;1,00;0,00;2,00;1,00;0,00
2019-03-10;23,00;138,00;3,83;7,67;3,83;10,00;4,00;0,50;0,00;0,50;1,00;0,50;0,00
2019-03-17;18,00;102,00;0,00;3,00;6,00;9,00;2,00;2,00;1,00;1,00;2,00;1,00;1,00
2019-03-24;17,00;102,00;2,83;11,33;2,83;6,00;5,00;0,00;2,00;1,00;1,00;1,00;0,00
2019-03-31;17,00;96,33;2,83;5,67;2,83;5,00;3,00;1,00;1,00;1,00;1,00;2,00;0,00
2019-04-07;17,00;102,00;0,00;5,67;5,67;7,00;4,00;2,00;3,00;0,00;2,00;0,50;0,50
2019-04-14;21,00;700,00;3,50;7,00;7,00;9,00;4,00;2,00;3,00;2,00;3,00;1,00;0,00
2019-04-21;27,00;148,50;3,38;13,50;6,75;14,00;5,00;2,00;3,00;2,00;4,00;1,00;1,00
2019-04-28;20,00;133,33;3,33;6,67;6,67;7,00;5,00;2,00;1,00;2,00;3,00;1,00;1,00
2019-05-05;17,00;96,33;2,83;5,67;5,67;9,00;4,00;3,00;2,00;0,50;2,00;0,00;0,50
2019-05-12;14,00;119,00;3,50;7,00;7,00;6,00;2,00;1,00;1,00;2,00;2,00;1,00;0,00
2019-05-19;21,00;133,00;3,50;7,00;14,00;8,00;8,00;0,50;5,00;1,00;1,00;1,00;1,00
