Semaine;Nice (FR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Fréjus (FR);Cannes (FR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR)
2019-01-06;32,00;9,60;4,80;4,80;0,00;9,00;5,00;5,00;0,00;0,00;5,00;0,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;40,00;22,40;4,80;4,80;4,80;14,00;0,00;9,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;35,00;22,27;0,00;0,00;17,50;9,00;4,00;4,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;26,00;4,88;13,00;4,88;8,13;13,00;9,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;9,00;4,50;0,00;4,50;4,50;0,00;14,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;22,00;9,43;4,71;0,00;4,71;18,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;23,00;4,60;9,20;4,60;13,80;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;42,00;4,85;9,69;0,00;0,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;23,00;24,64;0,00;0,00;4,93;9,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;45,00;17,68;0,00;4,82;0,00;9,00;5,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-17;18,00;18,00;4,91;18,00;4,91;14,00;5,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;32,00;19,20;0,00;4,80;0,00;5,00;0,00;0,00;0,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00
2019-03-31;56,00;9,60;4,80;4,80;28,80;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-07;36,00;9,39;4,70;0,00;4,70;5,00;5,00;0,00;0,00;0,00;5,00;0,00;14,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-14;37,00;19,30;4,83;9,65;9,65;19,00;14,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00
2019-04-21;66,00;28,98;4,83;0,00;4,83;19,00;5,00;0,00;0,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-28;58,00;17,72;9,67;4,83;4,83;18,00;4,00;4,00;4,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00
2019-05-05;49,00;22,13;4,74;26,87;22,13;0,00;9,00;0,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00
2019-05-12;68,00;9,49;4,74;22,14;4,74;14,00;0,00;14,00;0,00;0,00;0,00;5,00;5,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00
2019-05-19;88,00;17,60;4,80;12,80;12,80;4,00;22,00;13,00;0,00;4,00;0,00;13,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;9,00;0,00
2019-05-26;58,00;12,89;4,83;35,44;0,00;13,00;9,00;4,00;0,00;4,00;9,00;4,00;4,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00
2019-06-02;50,00;0,00;12,50;12,50;12,50;13,00;13,00;21,00;0,00;0,00;0,00;8,00;8,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-09;61,00;17,66;4,82;12,84;4,82;22,00;17,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;9,00;0,00;0,00;0,00;0,00;4,00;0,00
2019-06-16;61,00;17,21;4,69;17,21;17,21;22,00;13,00;9,00;4,00;4,00;18,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-06-23;80,00;4,80;12,80;17,60;0,00;27,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;9,00;0,00
2019-06-30;58,00;32,22;9,67;4,83;4,83;13,00;0,00;9,00;0,00;0,00;0,00;0,00;4,00;0,00;4,00;4,00;0,00;0,00;0,00;4,00;0,00
2019-07-07;62,00;9,54;12,72;47,69;17,49;53,00;4,00;9,00;0,00;4,00;9,00;4,00;0,00;4,00;4,00;9,00;4,00;0,00;0,00;0,00;0,00
2019-07-14;74,00;18,89;14,17;4,72;28,34;19,00;9,00;14,00;5,00;9,00;0,00;5,00;9,00;0,00;9,00;5,00;0,00;0,00;5,00;0,00;0,00
2019-07-21;100,00;4,76;14,29;44,44;25,40;35,00;15,00;10,00;5,00;10,00;5,00;5,00;5,00;5,00;10,00;10,00;0,00;0,00;0,00;0,00;0,00
2019-07-28;80,00;44,80;4,80;14,40;44,80;35,00;15,00;15,00;0,00;0,00;0,00;0,00;15,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-04;69,00;25,67;4,81;14,44;19,26;50,00;25,00;20,00;0,00;5,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-11;70,00;31,82;0,00;9,55;9,55;5,00;19,00;23,00;0,00;5,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;5,00;0,00;5,00;0,00
2019-08-18;71,00;61,53;4,73;9,47;18,93;5,00;10,00;10,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00
2019-08-25;55,00;55,00;14,56;9,71;0,00;14,00;9,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-01;56,00;8,00;17,60;4,80;4,80;13,00;4,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;4,00
2019-09-08;70,00;9,55;0,00;4,77;0,00;9,00;4,00;18,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-09-15;44,00;17,29;4,71;4,71;4,71;9,00;13,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-22;34,00;17,81;8,10;12,95;8,10;13,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-29;13,00;0,00;4,88;8,13;8,13;0,00;8,00;4,00;0,00;0,00;0,00;0,00;4,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-06;21,00;8,08;0,00;4,85;4,85;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-13;39,00;13,00;13,00;4,88;0,00;0,00;9,00;13,00;4,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-20;30,00;4,74;12,63;4,74;0,00;4,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-27;25,00;7,81;0,00;4,69;4,69;21,00;0,00;4,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-03;34,00;0,00;0,00;4,86;4,86;4,00;4,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-10;17,00;4,64;4,64;0,00;7,73;25,00;4,00;4,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-17;17,00;7,73;0,00;4,64;7,73;0,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-24;16,00;0,00;4,80;0,00;8,00;16,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-01;9,00;9,00;5,40;0,00;5,40;9,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-08;17,00;4,64;7,73;4,64;0,00;4,00;4,00;13,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-15;13,00;4,88;4,88;4,88;13,00;4,00;8,00;0,00;0,00;4,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-22;37,00;4,83;19,30;9,65;14,48;24,00;5,00;0,00;0,00;0,00;5,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-29;9,00;12,00;0,00;9,00;9,00;9,00;4,00;0,00;4,00;0,00;4,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-01-05;41,00;7,88;4,73;4,73;12,62;12,00;12,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-01-12;44,00;7,86;0,00;12,57;0,00;8,00;20,00;8,00;0,00;4,00;0,00;4,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00
2020-01-19;20,00;12,31;12,31;4,62;12,31;4,00;8,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-01-26;33,00;13,20;13,20;4,95;0,00;8,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00
2020-02-02;54,00;7,94;15,88;0,00;4,76;12,00;12,00;0,00;0,00;4,00;0,00;4,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-09;36,00;7,83;0,00;4,70;7,83;12,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-16;25,00;16,67;5,00;5,00;0,00;8,00;4,00;8,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-23;24,00;12,80;8,00;0,00;8,00;16,00;8,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00
2020-03-01;39,00;10,92;7,80;0,00;0,00;4,00;8,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2020-03-08;27,00;3,18;0,00;7,94;11,12;4,00;4,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-15;19,00;0,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-22;15,00;0,00;0,00;0,00;3,33;0,00;4,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-29;7,00;2,80;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-05;8,00;3,20;3,20;3,20;8,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00
2020-04-12;11,00;0,00;0,00;0,00;0,00;8,00;0,00;11,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-19;4,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-26;11,00;0,00;3,14;3,14;3,14;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-03;4,00;4,00;0,00;0,00;0,00;8,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00
2020-05-10;7,00;2,80;0,00;2,80;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-17;11,00;0,00;3,14;3,14;3,14;0,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-24;15,00;3,33;0,00;0,00;20,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00
