Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Tignes (FR);Les Arcs (FR);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);La Clusaz (FR);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Vars (FR);Grand Bornand (FR);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;55,00;118,68;43,42;43,42;31,84;22,00;33,00;0,00;33,00;0,00;44,00;11,00;22,00;11,00;0,00;0,00;11,00;11,00;22,00;22,00;22,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;54,00;54,00;54,00;21,00;45,00;54,00;33,00;0,00;33,00;0,00;0,00;22,00;44,00;0,00;0,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;42,00;87,00;33,00;54,00;12,00;21,00;32,00;32,00;0,00;32,00;11,00;32,00;0,00;21,00;21,00;0,00;11,00;11,00;11,00;11,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;32,00;104,73;52,36;32,00;32,00;0,00;53,00;32,00;0,00;11,00;32,00;32,00;11,00;32,00;11,00;0,00;10,00;0,00;10,00;21,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;11,00;52,25;41,25;60,50;52,25;22,00;0,00;11,00;33,00;11,00;11,00;44,00;0,00;11,00;22,00;11,00;22,00;11,00;11,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;22,00;47,14;56,57;56,57;47,14;33,00;22,00;33,00;11,00;0,00;0,00;11,00;0,00;11,00;22,00;0,00;0,00;0,00;11,00;0,00;11,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;11,00;159,50;41,25;11,00;11,00;23,00;23,00;0,00;23,00;34,00;11,00;23,00;0,00;0,00;34,00;11,00;11,00;0,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;11,00;82,50;74,25;41,25;0,00;11,00;45,00;0,00;11,00;0,00;11,00;23,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;11,00;11,00;0,00;0,00;0,00;11,00;0,00;0,00;11,00
2019-03-03;34,00;83,45;71,09;12,36;24,73;22,00;0,00;22,00;34,00;0,00;11,00;22,00;34,00;0,00;11,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;33,00;45,00;132,00;12,00;33,00;22,00;11,00;33,00;33,00;11,00;0,00;22,00;11,00;0,00;11,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-17;11,00;30,25;30,25;11,00;11,00;11,00;33,00;22,00;11,00;0,00;0,00;11,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;22,00;63,25;63,25;22,00;11,00;22,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;23,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-31;11,00;63,25;52,25;30,25;0,00;22,00;0,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-07;44,00;32,27;32,27;0,00;11,73;0,00;11,00;0,00;11,00;0,00;0,00;22,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-14;34,00;58,73;46,36;0,00;12,36;11,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
