Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2019-01-06;28,00;28,00;42,00;42,00;0,00;0,00;0,00;56,00;13,26
2019-01-13;14,00;55,00;41,00;41,00;0,00;0,00;14,00;14,00;0,00
2019-01-20;13,00;27,00;27,00;27,00;0,00;0,00;0,00;26,00;0,00
2019-01-27;26,00;40,00;26,00;53,00;13,00;0,00;0,00;13,00;0,00
2019-02-03;14,00;41,00;28,00;14,00;0,00;0,00;0,00;0,00;14,00
2019-02-10;14,00;55,00;14,00;14,00;0,00;0,00;0,00;0,00;14,00
2019-02-17;14,00;43,00;0,00;29,00;0,00;0,00;14,00;26,60;14,00
2019-02-24;42,00;28,00;0,00;42,00;0,00;27,52;14,48;27,52;0,00
2019-03-03;42,00;56,00;14,00;56,00;0,00;0,00;14,48;0,00;0,00
2019-03-10;27,00;41,00;14,00;41,00;0,00;0,00;12,79;27,00;12,79
2019-03-17;27,00;27,00;14,00;0,00;0,00;0,00;12,79;0,00;0,00
2019-03-24;28,00;0,00;28,00;28,00;0,00;0,00;14,74;14,74;0,00
2019-03-31;14,00;28,00;28,00;28,00;14,00;0,00;0,00;53,20;14,00
2019-04-07;28,00;14,00;14,00;14,00;0,00;13,26;13,26;13,26;0,00
2019-04-14;14,00;42,00;0,00;42,00;0,00;0,00;0,00;14,00;14,00
2019-04-21;0,00;14,00;0,00;14,00;0,00;10,00;0,00;20,00;0,00
2019-04-28;27,00;55,00;14,00;14,00;0,00;0,00;0,00;13,50;0,00
2019-05-05;27,00;54,00;14,00;14,00;0,00;0,00;0,00;13,50;0,00
2019-05-12;14,00;42,00;28,00;69,00;0,00;14,00;0,00;43,56;14,00
2019-05-19;13,00;81,00;13,00;40,00;0,00;0,00;0,00;39,00;0,00
2019-05-26;41,00;27,00;0,00;27,00;0,00;0,00;13,18;41,00;0,00
2019-06-02;0,00;13,00;13,00;13,00;0,00;0,00;9,00;0,00;9,00
2019-06-09;13,00;0,00;13,00;13,00;0,00;0,00;0,00;13,00;0,00
2019-06-16;40,00;0,00;40,00;13,00;0,00;0,00;0,00;13,33;26,67
2019-06-23;14,00;54,00;0,00;54,00;0,00;0,00;0,00;0,00;14,00
2019-06-30;14,00;14,00;14,00;27,00;0,00;0,00;0,00;43,56;0,00
2019-07-07;27,00;27,00;0,00;81,00;0,00;13,50;27,00;13,50;27,00
2019-07-14;14,00;0,00;0,00;71,00;0,00;14,00;0,00;67,20;0,00
2019-07-21;31,00;46,00;0,00;15,00;0,00;0,00;0,00;0,00;0,00
2019-07-28;15,00;30,00;15,00;15,00;0,00;0,00;0,00;15,00;31,50
2019-08-04;60,00;15,00;15,00;0,00;0,00;14,63;29,27;45,37;0,00
2019-08-11;42,00;42,00;28,00;57,00;0,00;0,00;14,48;42,00;14,48
2019-08-18;44,00;44,00;0,00;15,00;0,00;0,00;0,00;15,17;0,00
