Semaine;St Barthélémy (BL);Iles Vierges (UK) (VG);Saint Vincent et les Grenadines (VC)
2019-01-06;76,00;54,00;11,00
2019-01-13;61,00;52,00;6,00
2019-01-20;77,00;50,00;11,00
2019-01-27;69,00;65,00;2,00
2019-02-03;47,00;49,00;6,00
2019-02-10;30,00;51,00;4,00
2019-02-17;67,00;49,00;6,00
2019-02-24;49,00;40,00;8,00
2019-03-03;52,00;65,00;4,00
2019-03-10;46,00;35,00;7,00
2019-03-17;51,00;51,00;11,00
2019-03-24;43,00;47,00;4,00
2019-03-31;42,00;51,00;7,00
2019-04-07;38,00;65,00;0,00
2019-04-14;39,00;27,00;5,00
2019-04-21;57,00;66,00;5,00
2019-04-28;46,00;44,00;2,00
2019-05-05;34,00;40,00;4,00
2019-05-12;30,00;57,00;0,00
2019-05-19;49,00;44,00;7,00
2019-05-26;40,00;56,00;5,00
2019-06-02;25,00;54,00;4,00
2019-06-09;37,00;57,00;0,00
2019-06-16;61,00;43,00;14,00
2019-06-23;24,00;42,00;7,00
2019-06-30;29,00;45,00;2,00
2019-07-07;41,00;39,00;14,00
2019-07-14;25,00;59,00;11,00
2019-07-21;40,00;66,00;7,00
2019-07-28;21,00;51,00;5,00
2019-08-04;46,00;39,00;14,00
2019-08-11;45,00;56,00;4,00
2019-08-18;36,00;44,00;7,00
2019-08-25;39,00;63,00;4,00
2019-09-01;36,00;76,00;4,00
2019-09-08;33,00;39,00;10,00
2019-09-15;39,00;35,00;2,00
2019-09-22;29,00;29,00;8,00
2019-09-29;25,00;40,00;8,00
2019-10-06;21,00;34,00;2,00
2019-10-13;32,00;42,00;8,00
2019-10-20;37,00;31,00;10,00
2019-10-27;29,00;37,00;4,00
2019-11-03;33,00;53,00;8,00
2019-11-10;61,00;38,00;4,00
2019-11-17;57,00;52,00;10,00
2019-11-24;46,00;63,00;4,00
2019-12-01;49,00;50,00;10,00
2019-12-08;37,00;36,00;14,00
2019-12-15;34,00;48,00;2,00
2019-12-22;80,00;49,00;9,00
2019-12-29;94,00;50,00;4,00
2020-01-05;69,00;89,00;18,00
2020-01-12;64,00;75,00;19,00
2020-01-19;44,00;58,00;10,00
2020-01-26;41,00;67,00;6,00
2020-02-02;77,00;76,00;17,00
2020-02-09;57,00;59,00;10,00
2020-02-16;55,00;64,00;20,00
2020-02-23;49,00;36,00;6,00
2020-03-01;44,00;59,00;15,00
2020-03-08;51,00;51,00;15,00
2020-03-15;31,00;42,00;2,00
2020-03-22;26,00;20,00;4,00
2020-03-29;23,00;28,00;11,00
2020-04-05;16,00;16,00;9,00
2020-04-12;28,00;31,00;9,00
2020-04-19;34,00;32,00;5,00
2020-04-26;24,00;34,00;9,00
2020-05-03;16,00;37,00;5,00
2020-05-10;23,00;18,00;4,00
2020-05-17;33,00;41,00;2,00
2020-05-24;33,00;20,00;6,00
2020-05-31;38,00;32,00;7,00
2020-06-07;24,00;25,00;7,00
2020-06-14;45,00;34,00;7,00
2020-06-21;40,00;38,00;6,00
2020-06-28;29,00;48,00;2,00
2020-07-05;39,00;35,00;2,00
2020-07-12;31,00;29,00;0,00
2020-07-19;19,00;31,00;15,00
2020-07-26;38,00;30,00;10,00
2020-08-02;28,00;35,00;2,00
2020-08-09;37,00;33,00;6,00
2020-08-16;47,00;40,00;6,00
2020-08-23;32,00;17,00;8,00
2020-08-30;28,00;28,00;2,00
2020-09-06;32,00;30,00;4,00
2020-09-13;44,00;16,00;5,00
2020-09-20;30,00;26,00;7,00
2020-09-27;32,00;29,00;8,00
2020-10-04;40,00;24,00;10,00
2020-10-11;35,00;22,00;7,00
2020-10-18;40,00;31,00;4,00
2020-10-25;31,00;15,00;4,00
2020-11-01;31,00;29,00;5,00
2020-11-08;52,00;29,00;2,00
2020-11-15;56,00;24,00;2,00
2020-11-22;45,00;15,00;4,00
2020-11-29;36,00;46,00;6,00
2020-12-06;47,00;25,00;4,00
2020-12-13;26,00;47,00;4,00
2020-12-20;46,00;27,00;5,00
2020-12-27;100,00;35,00;11,00
2021-01-03;53,00;43,00;6,00
2021-01-10;46,00;35,00;6,00
2021-01-17;70,00;31,00;6,00
2021-01-24;69,00;42,00;12,00
2021-01-31;66,00;61,00;6,00
2021-02-07;38,00;42,00;2,00
2021-02-14;43,00;41,00;19,00
2021-02-21;30,00;41,00;2,00
2021-02-28;38,00;59,00;6,00
2021-03-07;58,00;47,00;6,00
2021-03-14;28,00;37,00;4,00
2021-03-21;54,00;53,00;11,00
2021-03-28;52,00;50,00;6,00
2021-04-04;48,00;54,00;75,00
2021-04-11;34,00;42,00;59,00
2021-04-18;52,00;58,00;19,00
2021-04-25;43,00;38,00;11,00
2021-05-02;47,00;45,00;11,00
2021-05-09;28,00;54,00;13,00
2021-05-16;66,00;31,00;15,00
2021-05-23;50,00;28,00;6,00
2021-05-30;43,00;58,00;16,00
2021-06-06;55,00;33,00;22,00
2021-06-13;42,00;64,00;15,00
2021-06-20;58,00;65,00;9,00
2021-06-27;51,00;60,00;7,00
2021-07-04;54,00;38,00;2,00
2021-07-11;49,00;59,00;4,00
2021-07-18;49,00;58,00;9,00
2021-07-25;38,00;53,00;18,00
2021-08-01;49,00;33,00;7,00
2021-08-08;44,00;62,00;9,00
2021-08-15;37,00;59,00;4,00
2021-08-22;29,00;33,00;2,00
2021-08-29;27,00;42,00;2,00
2021-09-05;38,00;45,00;5,00
2021-09-12;34,00;31,00;5,00
