Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2019-01-06;56,00;45,00;0,00;0,00;0,00;23,06;10,98;0,00;10,98;0,00;44,21;56,00;11,79;0,00;0,00;21,54;0,00;0,00;22,40;0,00;11,20
2019-01-13;22,00;0,00;11,00;0,00;0,00;22,00;10,48;0,00;0,00;0,00;55,73;33,73;11,73;0,00;11,00;57,20;0,00;122,22;22,00;11,00;44,00
2019-01-20;32,00;32,00;11,00;11,00;11,00;42,67;0,00;0,00;0,00;0,00;32,00;32,00;10,18;0,00;0,00;32,00;0,00;22,15;0,00;0,00;43,08
2019-01-27;21,00;11,00;11,00;11,00;0,00;0,00;10,50;0,00;0,00;0,00;50,40;30,80;0,00;0,00;0,00;42,00;0,00;11,12;64,24;0,00;0,00
2019-02-03;45,00;11,00;0,00;11,00;0,00;45,00;10,98;0,00;23,05;0,00;34,50;69,00;0,00;0,00;0,00;21,43;21,43;0,00;56,25;0,00;0,00
2019-02-10;22,00;11,00;0,00;0,00;0,00;64,95;0,00;10,48;0,00;11,73;45,47;44,00;0,00;0,00;0,00;33,00;0,00;0,00;44,00;0,00;11,00
2019-02-17;34,00;34,00;23,00;0,00;0,00;0,00;11,69;0,00;0,00;34,00;11,83;57,65;0,00;0,00;10,63;21,25;10,63;0,00;66,79;0,00;34,00
2019-02-24;11,00;11,00;33,00;0,00;11,00;11,00;11,00;0,00;0,00;11,00;20,63;31,63;0,00;22,00;0,00;66,00;11,00;0,00;44,00;11,00;11,00
2019-03-03;23,00;11,00;11,00;0,00;0,00;0,00;35,05;0,00;23,00;0,00;67,56;23,00;0,00;0,00;0,00;64,82;0,00;0,00;47,28;0,00;11,50
2019-03-10;11,00;11,00;0,00;11,00;0,00;22,00;0,00;0,00;11,00;11,00;20,63;41,25;0,00;0,00;0,00;33,00;0,00;0,00;11,00;0,00;0,00
2019-03-17;11,00;11,00;11,00;0,00;0,00;11,00;11,00;0,00;0,00;0,00;11,00;20,63;0,00;0,00;0,00;79,20;11,00;0,00;34,22;0,00;11,00
2019-03-24;23,00;12,00;12,00;0,00;12,00;12,05;0,00;12,05;12,05;0,00;11,50;33,06;11,50;0,00;0,00;43,91;10,45;0,00;23,00;0,00;0,00
2019-03-31;44,00;33,00;0,00;0,00;11,00;77,27;0,00;0,00;0,00;11,73;44,00;11,73;0,00;0,00;0,00;11,00;0,00;0,00;22,00;0,00;0,00
2019-04-07;36,00;36,00;12,00;12,00;0,00;24,00;12,00;12,00;12,00;61,50;36,00;48,00;0,00;0,00;0,00;99,00;0,00;12,41;0,00;12,41;12,41
