Semaine;Nice (FR);Paris (FR);Lille (FR);Strasbourg (FR);Lyon (FR);Marseille (FR);Bordeaux (FR);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Dijon (FR)
2019-01-06;34,00;317,33;68,00;22,67;11,33;23,00;11,00;15,00;8,00;4,00;4,00;4,00;4,00
2019-01-13;35,00;256,67;58,33;23,33;35,00;39,00;8,00;15,00;4,00;4,00;4,00;0,00;8,00
2019-01-20;22,00;231,00;55,00;11,00;11,00;22,00;19,00;11,00;11,00;7,00;7,00;11,00;0,00
2019-01-27;26,00;260,00;78,00;13,00;26,00;22,00;7,00;4,00;15,00;4,00;7,00;4,00;0,00
2019-02-03;19,00;342,00;76,00;19,00;19,00;42,00;19,00;4,00;12,00;8,00;0,00;12,00;0,00
2019-02-10;50,00;312,50;87,50;12,50;12,50;15,00;12,00;4,00;8,00;4,00;4,00;8,00;4,00
2019-02-17;23,00;241,50;69,00;23,00;5,75;35,00;16,00;8,00;12,00;4,00;0,00;0,00;4,00
2019-02-24;27,00;405,00;94,50;27,00;40,50;19,00;38,00;4,00;19,00;19,00;4,00;4,00;4,00
2019-03-03;24,00;312,00;84,00;36,00;24,00;28,00;39,00;4,00;8,00;16,00;0,00;16,00;0,00
2019-03-10;27,00;310,50;81,00;27,00;27,00;27,00;27,00;8,00;8,00;0,00;4,00;4,00;4,00
2019-03-17;47,00;282,00;58,75;11,75;35,25;20,00;4,00;8,00;0,00;8,00;4,00;4,00;8,00
2019-03-24;8,00;200,00;40,00;16,00;16,00;20,00;16,00;4,00;4,00;0,00;8,00;16,00;4,00
2019-03-31;50,00;350,00;75,00;25,00;37,50;38,00;15,00;15,00;4,00;8,00;0,00;0,00;4,00
2019-04-07;37,00;333,00;86,33;37,00;12,33;45,00;29,00;16,00;8,00;21,00;16,00;12,00;0,00
2019-04-14;51,00;1275,00;89,25;25,50;12,75;34,00;21,00;17,00;4,00;13,00;8,00;34,00;4,00
2019-04-21;28,00;280,00;84,00;28,00;28,00;36,00;24,00;16,00;4,00;8,00;16,00;4,00;4,00
2019-04-28;29,00;319,00;87,00;14,50;14,50;37,00;41,00;18,00;11,00;4,00;11,00;11,00;4,00
2019-05-05;26,00;299,00;78,00;26,00;26,00;37,00;22,00;18,00;7,00;11,00;4,00;4,00;7,00
2019-05-12;49,00;245,00;85,75;24,50;24,50;27,00;30,00;11,00;23,00;4,00;0,00;4,00;4,00
2019-05-19;33,00;264,00;77,00;22,00;55,00;22,00;18,00;0,00;7,00;4,00;7,00;4,00;0,00
2019-05-26;45,00;360,00;105,00;30,00;45,00;26,00;15,00;26,00;7,00;22,00;7,00;4,00;0,00
2019-06-02;53,00;344,50;66,25;13,25;13,25;28,00;28,00;7,00;14,00;11,00;4,00;21,00;14,00
2019-06-09;33,00;242,00;44,00;11,00;22,00;51,00;33,00;18,00;22,00;11,00;7,00;11,00;18,00
2019-06-16;41,00;273,33;109,33;13,67;27,33;53,00;30,00;11,00;11,00;19,00;4,00;4,00;4,00
2019-06-23;37,00;308,33;61,67;24,67;49,33;45,00;32,00;16,00;12,00;4,00;24,00;12,00;4,00
2019-06-30;69,00;317,40;96,60;27,60;41,40;41,00;57,00;12,00;16,00;20,00;8,00;8,00;12,00
2019-07-07;90,00;347,14;102,86;25,71;25,71;67,00;51,00;20,00;20,00;24,00;12,00;24,00;12,00
2019-07-14;46,00;322,00;103,50;57,50;23,00;25,00;4,00;34,00;13,00;25,00;4,00;17,00;13,00
2019-07-21;52,00;364,00;104,00;52,00;39,00;35,00;43,00;9,00;13,00;22,00;22,00;13,00;13,00
2019-07-28;67,00;388,60;134,00;26,80;26,80;38,00;67,00;8,00;0,00;13,00;13,00;13,00;13,00
2019-08-04;42,00;350,00;140,00;42,00;42,00;66,00;25,00;17,00;17,00;12,00;8,00;17,00;12,00
2019-08-11;44,00;484,00;146,67;44,00;44,00;72,00;44,00;8,00;8,00;12,00;4,00;4,00;8,00
2019-08-18;37,00;320,67;123,33;37,00;24,67;41,00;25,00;16,00;33,00;8,00;4,00;12,00;0,00
2019-08-25;35,00;256,67;70,00;23,33;23,33;47,00;27,00;12,00;4,00;8,00;4,00;8,00;4,00
2019-09-01;57,00;285,00;85,50;42,75;14,25;34,00;4,00;15,00;19,00;8,00;11,00;4,00;4,00
2019-09-08;50,00;300,00;62,50;37,50;25,00;23,00;39,00;15,00;8,00;4,00;4,00;12,00;0,00
2019-09-15;43,00;344,00;114,67;43,00;14,33;39,00;0,00;19,00;19,00;4,00;0,00;12,00;0,00
2019-09-22;40,00;320,00;80,00;40,00;26,67;29,00;18,00;4,00;11,00;4,00;0,00;7,00;0,00
2019-09-29;29,00;406,00;87,00;14,50;43,50;36,00;18,00;15,00;7,00;7,00;11,00;4,00;4,00
2019-10-06;51,00;306,00;63,75;12,75;25,50;33,00;15,00;4,00;11,00;15,00;0,00;0,00;4,00
2019-10-13;18,00;468,00;108,00;36,00;36,00;25,00;11,00;18,00;18,00;7,00;4,00;4,00;7,00
2019-10-20;29,00;420,50;116,00;29,00;29,00;37,00;15,00;0,00;15,00;7,00;4,00;4,00;0,00
2019-10-27;34,00;340,00;90,67;22,67;34,00;15,00;15,00;4,00;8,00;11,00;11,00;0,00;0,00
2019-11-03;18,00;504,00;90,00;36,00;18,00;25,00;11,00;14,00;11,00;0,00;4,00;4,00;0,00
2019-11-10;44,00;454,67;102,67;44,00;29,33;15,00;26,00;7,00;11,00;11,00;7,00;0,00;4,00
2019-11-17;36,00;300,00;84,00;48,00;12,00;11,00;11,00;7,00;11,00;4,00;7,00;7,00;7,00
2019-11-24;17,00;357,00;136,00;51,00;34,00;24,00;3,00;3,00;10,00;3,00;10,00;0,00;7,00
2019-12-01;28,00;364,00;84,00;42,00;42,00;7,00;4,00;14,00;14,00;7,00;4,00;7,00;0,00
2019-12-08;39,00;338,00;26,00;52,00;13,00;7,00;0,00;7,00;11,00;7,00;0,00;0,00;4,00
2019-12-15;35,00;291,67;46,67;46,67;35,00;28,00;14,00;11,00;14,00;4,00;0,00;7,00;3,00
2019-12-22;31,00;434,00;124,00;62,00;15,50;27,00;12,00;8,00;0,00;8,00;4,00;4,00;0,00
2019-12-29;33,00;264,00;66,00;22,00;22,00;22,00;22,00;0,00;0,00;7,00;7,00;4,00;4,00
2020-01-05;30,00;300,00;90,00;45,00;30,00;27,00;40,00;7,00;10,00;13,00;0,00;7,00;0,00
2020-01-12;40,00;333,33;93,33;40,00;26,67;33,00;13,00;17,00;7,00;7,00;3,00;3,00;3,00
2020-01-19;41,00;369,00;109,33;27,33;27,33;45,00;24,00;17,00;7,00;7,00;3,00;7,00;7,00
2020-01-26;7,00;175,00;49,00;14,00;14,00;31,00;24,00;10,00;10,00;7,00;3,00;3,00;7,00
2020-02-02;17,00;408,00;102,00;34,00;51,00;21,00;21,00;3,00;14,00;10,00;17,00;7,00;3,00
2020-02-09;50,00;225,00;62,50;25,00;25,00;27,00;20,00;10,00;7,00;10,00;0,00;13,00;3,00
2020-02-16;30,00;345,00;60,00;7,50;30,00;37,00;20,00;7,00;17,00;17,00;0,00;13,00;3,00
2020-02-23;23,00;230,00;57,50;11,50;11,50;17,00;20,00;7,00;7,00;0,00;7,00;7,00;7,00
2020-03-01;37,00;283,67;74,00;24,67;24,67;43,00;30,00;0,00;20,00;13,00;7,00;13,00;7,00
2020-03-08;100,00;300,00;62,50;25,00;25,00;13,00;10,00;10,00;6,00;10,00;3,00;3,00;6,00
2020-03-15;19,00;247,00;38,00;19,00;9,50;13,00;10,00;10,00;10,00;13,00;10,00;0,00;0,00
2020-03-22;6,00;108,00;12,00;12,00;12,00;6,00;9,00;3,00;0,00;3,00;0,00;0,00;0,00
2020-03-29;12,00;72,00;12,00;6,00;6,00;3,00;6,00;9,00;0,00;3,00;0,00;0,00;3,00
2020-04-05;10,00;50,00;10,00;10,00;10,00;10,00;0,00;13,00;0,00;7,00;0,00;0,00;3,00
2020-04-12;3,00;30,00;6,00;3,00;6,00;12,00;0,00;3,00;3,00;3,00;0,00;3,00;0,00
2020-04-19;6,00;72,00;12,00;12,00;0,00;12,00;0,00;3,00;9,00;6,00;0,00;0,00;3,00
2020-04-26;3,00;36,00;3,00;6,00;0,00;6,00;6,00;0,00;6,00;3,00;0,00;0,00;0,00
2020-05-03;12,00;48,00;12,00;0,00;6,00;3,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00
2020-05-10;3,00;36,00;6,00;3,00;6,00;15,00;9,00;3,00;3,00;0,00;3,00;0,00;3,00
2020-05-17;16,00;80,00;32,00;16,00;8,00;6,00;3,00;0,00;6,00;3,00;3,00;3,00;0,00
2020-05-24;18,00;54,00;36,00;9,00;36,00;21,00;9,00;0,00;18,00;3,00;3,00;12,00;6,00
2020-05-31;41,00;109,33;68,33;13,67;27,33;15,00;26,00;0,00;9,00;6,00;6,00;12,00;9,00
2020-06-07;24,00;108,00;36,00;12,00;24,00;44,00;26,00;3,00;6,00;6,00;12,00;3,00;0,00
2020-06-14;33,00;121,00;55,00;11,00;22,00;33,00;21,00;12,00;9,00;9,00;6,00;6,00;18,00
2020-06-21;29,00;188,50;58,00;14,50;29,00;48,00;19,00;10,00;3,00;6,00;10,00;16,00;6,00
2020-06-28;50,00;200,00;87,50;25,00;37,50;75,00;34,00;13,00;6,00;19,00;13,00;19,00;9,00
2020-07-05;49,00;208,25;49,00;24,50;12,25;92,00;43,00;36,00;13,00;20,00;7,00;3,00;13,00
2020-07-12;63,00;252,00;88,20;25,20;50,40;59,00;31,00;7,00;10,00;10,00;59,00;21,00;14,00
2020-07-19;52,00;273,00;91,00;26,00;13,00;48,00;15,00;11,00;7,00;33,00;26,00;7,00;4,00
2020-07-26;25,00;212,50;75,00;37,50;12,50;25,00;21,00;11,00;4,00;0,00;7,00;7,00;3,00
2020-08-02;54,00;202,50;40,50;27,00;27,00;51,00;24,00;10,00;0,00;20,00;3,00;24,00;0,00
2020-08-09;20,00;110,00;30,00;20,00;10,00;36,00;10,00;10,00;7,00;10,00;7,00;10,00;3,00
2020-08-16;32,00;149,33;64,00;21,33;21,33;52,00;32,00;10,00;6,00;13,00;6,00;16,00;6,00
2020-08-23;39,00;156,00;65,00;26,00;26,00;26,00;33,00;10,00;23,00;26,00;10,00;0,00;10,00
2020-08-30;33,00;132,00;44,00;11,00;22,00;26,00;16,00;16,00;10,00;13,00;0,00;7,00;7,00
2020-09-06;30,00;90,00;75,00;15,00;15,00;13,00;20,00;3,00;10,00;7,00;3,00;3,00;10,00
2020-09-13;13,00;143,00;26,00;13,00;13,00;10,00;10,00;20,00;3,00;0,00;0,00;7,00;0,00
2020-09-20;7,00;84,00;21,00;7,00;7,00;10,00;10,00;0,00;7,00;3,00;13,00;0,00;0,00
2020-09-27;13,00;130,00;26,00;13,00;13,00;23,00;3,00;3,00;7,00;3,00;3,00;0,00;10,00
2020-10-04;37,00;135,67;49,33;12,33;12,33;17,00;10,00;3,00;3,00;7,00;0,00;3,00;0,00
2020-10-11;10,00;90,00;30,00;5,00;20,00;3,00;14,00;3,00;7,00;0,00;7,00;0,00;0,00
2020-10-18;3,00;54,00;12,00;6,00;6,00;10,00;0,00;0,00;0,00;0,00;7,00;7,00;0,00
2020-10-25;20,00;60,00;10,00;0,00;5,00;13,00;0,00;3,00;7,00;0,00;0,00;7,00;0,00
2020-11-01;3,00;30,00;6,00;3,00;6,00;16,00;9,00;3,00;6,00;3,00;3,00;0,00;0,00
2020-11-08;13,00;52,00;13,00;13,00;13,00;7,00;7,00;0,00;10,00;3,00;0,00;0,00;3,00
2020-11-15;3,00;30,00;6,00;3,00;6,00;3,00;3,00;3,00;0,00;0,00;3,00;0,00;0,00
2020-11-22;3,00;48,00;12,00;3,00;0,00;10,00;6,00;0,00;0,00;3,00;0,00;3,00;0,00
2020-11-29;10,00;60,00;30,00;10,00;0,00;16,00;7,00;3,00;3,00;3,00;0,00;10,00;0,00
2020-12-06;0,00;6,00;1,00;2,00;0,50;10,00;7,00;7,00;0,00;3,00;0,00;7,00;0,00
2020-12-13;7,00;49,00;14,00;3,50;7,00;7,00;3,00;10,00;0,00;0,00;0,00;3,00;0,00
2020-12-20;11,00;88,00;33,00;22,00;22,00;11,00;7,00;0,00;0,00;0,00;4,00;0,00;7,00
2020-12-27;11,00;110,00;44,00;11,00;0,00;21,00;4,00;4,00;0,00;4,00;0,00;4,00;0,00
2021-01-03;20,00;60,00;10,00;5,00;10,00;7,00;0,00;7,00;0,00;0,00;0,00;0,00;7,00
2021-01-10;7,00;63,00;7,00;7,00;7,00;7,00;3,00;10,00;3,00;3,00;3,00;3,00;0,00
2021-01-17;13,00;78,00;26,00;13,00;0,00;7,00;3,00;0,00;7,00;0,00;7,00;3,00;0,00
2021-01-24;6,00;42,00;6,00;0,00;0,00;13,00;10,00;3,00;0,00;10,00;0,00;3,00;3,00
2021-01-31;10,00;70,00;5,00;0,00;0,00;6,00;6,00;6,00;0,00;3,00;0,00;3,00;0,00
2021-02-07;10,00;80,00;20,00;5,00;10,00;13,00;3,00;0,00;7,00;3,00;7,00;0,00;0,00
2021-02-14;17,00;102,00;34,00;8,50;0,00;7,00;3,00;7,00;3,00;7,00;3,00;0,00;0,00
2021-02-21;7,00;49,00;7,00;0,00;3,50;7,00;3,00;0,00;0,00;0,00;7,00;3,00;3,00
2021-02-28;14,00;112,00;14,00;14,00;14,00;20,00;3,00;3,00;0,00;3,00;0,00;17,00;7,00
2021-03-07;46,00;138,00;11,50;23,00;11,50;13,00;20,00;7,00;3,00;3,00;3,00;0,00;3,00
2021-03-14;6,00;96,00;24,00;6,00;6,00;6,00;9,00;13,00;3,00;3,00;3,00;3,00;3,00
