Semaine;Nice (FR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Fréjus (FR);Cannes (FR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR)
2019-01-06;16,00;6,00;12,00;0,00;6,00;0,00;6,00;3,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00
2019-01-13;22,00;3,00;3,00;6,00;0,00;3,00;3,00;6,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00
2019-01-20;41,00;9,00;0,00;3,00;3,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;19,00;6,00;3,00;0,00;6,00;3,00;0,00;3,00;0,00;3,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;16,00;6,00;0,00;0,00;3,00;3,00;0,00;6,00;0,00;0,00;7,00;0,00;0,00;3,00;0,00;3,00;3,00;0,00;0,00;0,00;0,00
2019-02-10;36,00;16,00;7,00;0,00;7,00;0,00;3,00;7,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;23,00;0,00;0,00;7,00;7,00;3,00;3,00;7,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;36,00;16,00;0,00;0,00;10,00;0,00;0,00;7,00;0,00;0,00;0,00;3,00;0,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;19,00;3,00;3,00;0,00;6,00;3,00;9,00;3,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00
2019-03-10;29,00;19,00;3,00;3,00;0,00;6,00;3,00;10,00;0,00;3,00;0,00;3,00;0,00;3,00;0,00;3,00;3,00;0,00;0,00;0,00;0,00
2019-03-17;39,00;16,00;0,00;3,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;23,00;7,00;3,00;0,00;3,00;3,00;0,00;3,00;0,00;0,00;0,00;7,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-31;71,00;13,00;0,00;13,00;16,00;3,00;16,00;10,00;0,00;0,00;0,00;3,00;0,00;3,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00
2019-04-07;49,00;21,00;9,00;3,00;12,00;0,00;3,00;12,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00
2019-04-14;72,00;18,00;4,00;0,00;11,00;4,00;21,00;14,00;0,00;0,00;0,00;11,00;4,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00
2019-04-21;32,00;14,00;7,00;25,00;7,00;7,00;11,00;11,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00
2019-04-28;25,00;12,00;9,00;3,00;3,00;3,00;6,00;3,00;3,00;0,00;0,00;6,00;3,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00
2019-05-05;41,00;3,00;0,00;0,00;0,00;9,00;6,00;6,00;0,00;0,00;0,00;6,00;3,00;3,00;0,00;0,00;3,00;3,00;0,00;0,00;0,00
2019-05-12;35,00;13,00;0,00;0,00;6,00;6,00;13,00;13,00;0,00;0,00;3,00;6,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-19;38,00;9,00;3,00;3,00;13,00;0,00;6,00;6,00;0,00;3,00;0,00;6,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-26;48,00;3,00;3,00;7,00;17,00;3,00;7,00;14,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-06-02;72,00;16,00;3,00;10,00;10,00;0,00;19,00;13,00;0,00;0,00;3,00;13,00;10,00;3,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00
2019-06-09;29,00;16,00;3,00;3,00;10,00;3,00;13,00;13,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-06-16;46,00;13,00;7,00;3,00;7,00;0,00;20,00;16,00;0,00;0,00;0,00;3,00;7,00;7,00;3,00;0,00;0,00;3,00;0,00;0,00;0,00
2019-06-23;67,00;21,00;28,00;3,00;3,00;0,00;14,00;7,00;0,00;0,00;3,00;10,00;7,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00
2019-06-30;62,00;17,00;3,00;3,00;17,00;7,00;3,00;7,00;0,00;3,00;0,00;3,00;3,00;3,00;0,00;0,00;3,00;0,00;3,00;0,00;0,00
2019-07-07;69,00;17,00;3,00;14,00;10,00;7,00;10,00;14,00;0,00;3,00;0,00;3,00;0,00;7,00;0,00;0,00;0,00;3,00;0,00;3,00;0,00
2019-07-14;55,00;29,00;7,00;18,00;18,00;22,00;4,00;15,00;0,00;4,00;0,00;11,00;4,00;7,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-07-21;80,00;36,00;12,00;20,00;8,00;12,00;0,00;8,00;0,00;0,00;4,00;4,00;8,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00
2019-07-28;32,00;24,00;8,00;4,00;8,00;12,00;0,00;12,00;0,00;0,00;4,00;8,00;4,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00
2019-08-04;37,00;18,00;15,00;4,00;0,00;11,00;7,00;11,00;0,00;0,00;4,00;11,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-11;51,00;17,00;3,00;7,00;7,00;0,00;13,00;10,00;0,00;0,00;0,00;7,00;3,00;3,00;0,00;7,00;3,00;3,00;0,00;0,00;0,00
2019-08-18;59,00;43,00;10,00;7,00;13,00;3,00;3,00;10,00;0,00;0,00;0,00;13,00;0,00;7,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00
2019-08-25;32,00;77,00;3,00;6,00;6,00;6,00;6,00;10,00;0,00;0,00;0,00;10,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-01;46,00;15,00;3,00;3,00;15,00;12,00;6,00;3,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;6,00;3,00;0,00;0,00;0,00;0,00
2019-09-08;48,00;6,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;10,00;3,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-09-15;29,00;29,00;0,00;0,00;3,00;7,00;3,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-22;38,00;3,00;3,00;6,00;6,00;3,00;6,00;3,00;0,00;3,00;3,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-29;48,00;22,00;3,00;3,00;10,00;3,00;6,00;10,00;0,00;0,00;3,00;3,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-06;48,00;10,00;0,00;6,00;10,00;0,00;6,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00
