Semaine;Nice (FR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Fréjus (FR);Cannes (FR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR)
2019-01-06;24,00;1,04;3,13;2,09;3,13;0,00;8,00;2,00;0,00;1,00;0,00;0,00;2,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00
2019-01-13;29,00;3,11;0,00;2,07;2,07;0,00;2,00;2,00;0,00;0,00;0,00;3,00;1,00;0,00;0,00;1,00;0,00;0,00;1,00;0,00;0,00
2019-01-20;28,00;4,15;3,11;7,26;3,11;4,00;0,00;1,00;1,00;1,00;0,00;1,00;1,00;0,00;0,00;0,00;1,00;0,00;0,00;1,00;0,00
2019-01-27;25,00;2,08;4,17;3,13;1,04;3,00;3,00;4,00;1,00;0,00;0,00;1,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;23,00;5,23;0,00;3,14;2,09;0,00;2,00;5,00;0,00;0,00;1,00;1,00;1,00;1,00;0,00;1,00;2,00;1,00;0,00;0,00;0,00
2019-02-10;25,00;7,29;2,08;1,04;1,04;2,00;2,00;3,00;0,00;0,00;1,00;0,00;1,00;0,00;0,00;0,00;1,00;0,00;0,00;1,00;0,00
2019-02-17;23,00;5,00;1,00;3,00;1,00;0,00;3,00;5,00;0,00;1,00;0,00;0,00;1,00;0,00;0,00;1,00;0,00;0,00;1,00;0,00;0,00
2019-02-24;15,00;4,00;1,00;5,00;3,00;0,00;4,00;5,00;0,00;0,00;1,00;4,00;1,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;1,00
2019-03-03;21,00;2,10;1,05;4,20;1,05;2,00;5,00;3,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;31,00;4,13;0,00;3,10;3,10;1,00;6,00;2,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-17;31,00;6,20;1,03;1,03;3,10;0,00;2,00;1,00;0,00;0,00;1,00;4,00;1,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00
