Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Tignes (FR);Les Arcs (FR);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);La Clusaz (FR);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Vars (FR);Grand Bornand (FR);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;69,00;59,00;39,00;20,00;20,00;39,00;20,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;30,00;0,00;10,00;0,00;10,00;29,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;67,00;29,00;29,00;0,00;10,00;10,00;19,00;10,00;19,00;0,00;10,00;0,00;10,00;0,00;0,00;0,00;19,00;0,00;19,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;95,00;66,00;9,00;19,00;9,00;9,00;19,00;9,00;9,00;0,00;0,00;9,00;9,00;10,00;10,00;9,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;48,00;48,00;0,00;0,00;38,00;0,00;19,00;29,00;0,00;0,00;10,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;19,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;88,00;10,00;29,00;10,00;19,00;19,00;10,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;10,00;39,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;39,00;0,00;30,00;0,00;10,00;0,00;0,00;10,00;0,00;0,00;30,00;10,00;10,00;10,00;30,00;0,00;0,00;0,00;10,00;10,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;40,00;10,00;20,00;20,00;10,00;20,00;0,00;0,00;20,00;0,00;0,00;20,00;10,00;0,00;20,00;10,00;0,00;0,00;0,00;20,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;82,00;31,00;10,00;10,00;20,00;10,00;0,00;0,00;20,00;10,00;0,00;20,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;59,00;39,00;29,00;20,00;10,00;0,00;0,00;20,00;10,00;0,00;0,00;20,00;0,00;0,00;10,00;10,00;0,00;0,00;10,00;10,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00
2019-03-10;49,00;10,00;49,00;10,00;10,00;10,00;19,00;0,00;10,00;10,00;0,00;10,00;0,00;0,00;0,00;0,00;10,00;0,00;19,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-17;31,00;51,00;10,00;10,00;21,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;50,00;10,00;30,00;0,00;10,00;10,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-31;20,00;20,00;40,00;0,00;20,00;0,00;0,00;10,00;10,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-07;50,00;30,00;0,00;10,00;0,00;0,00;10,00;10,00;0,00;20,00;10,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00
2019-04-14;33,00;11,00;0,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-21;21,00;0,00;21,00;0,00;0,00;21,00;21,00;0,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-28;50,00;0,00;10,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-05;49,00;10,00;29,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-12;40,00;10,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-19;10,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;10,00;10,00;0,00;0,00;20,00;0,00;20,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-26;10,00;0,00;31,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-02;79,00;0,00;20,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-09;41,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-16;72,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-23;41,00;0,00;31,00;10,00;0,00;0,00;0,00;0,00;20,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-30;60,00;10,00;60,00;10,00;10,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-07;39,00;0,00;10,00;0,00;10,00;0,00;10,00;0,00;0,00;0,00;10,00;10,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-14;52,00;31,00;31,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-21;88,00;33,00;22,00;11,00;33,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;44,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-28;84,00;0,00;21,00;0,00;10,00;0,00;0,00;11,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-04;75,00;11,00;21,00;11,00;0,00;11,00;0,00;21,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-11;31,00;0,00;20,00;0,00;0,00;10,00;0,00;0,00;10,00;0,00;20,00;0,00;0,00;0,00;0,00;10,00;0,00;10,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00
2019-08-18;94,00;21,00;0,00;0,00;10,00;0,00;10,00;0,00;21,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-25;61,00;41,00;31,00;0,00;0,00;0,00;10,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;10,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00
2019-09-01;49,00;0,00;39,00;20,00;0,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;10,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-08;30,00;10,00;10,00;0,00;0,00;0,00;0,00;0,00;10,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-15;40,00;20,00;0,00;0,00;0,00;0,00;10,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;10,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-22;29,00;19,00;19,00;10,00;19,00;10,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;10,00;10,00;0,00;0,00;0,00;0,00;49,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-29;10,00;29,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;10,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00
2019-10-06;29,00;10,00;10,00;29,00;0,00;0,00;10,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-13;48,00;10,00;19,00;0,00;19,00;0,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;10,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00
2019-10-20;10,00;0,00;10,00;10,00;9,00;9,00;0,00;0,00;0,00;0,00;19,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;19,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-27;9,00;9,00;0,00;9,00;9,00;9,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;9,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-03;64,00;28,00;9,00;18,00;0,00;0,00;0,00;0,00;18,00;0,00;0,00;18,00;0,00;0,00;9,00;0,00;0,00;0,00;9,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-10;9,00;37,00;0,00;9,00;0,00;0,00;0,00;9,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-17;36,00;18,00;18,00;0,00;18,00;0,00;0,00;0,00;18,00;9,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-24;18,00;9,00;9,00;9,00;0,00;9,00;9,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-01;19,00;37,00;0,00;19,00;0,00;0,00;19,00;0,00;9,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;9,00;0,00;9,00;9,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-08;56,00;46,00;19,00;0,00;9,00;0,00;9,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;19,00;0,00;0,00;19,00;9,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00
2019-12-15;48,00;67,00;29,00;10,00;0,00;29,00;19,00;0,00;10,00;10,00;0,00;0,00;10,00;10,00;19,00;10,00;10,00;0,00;10,00;38,00;10,00;0,00;29,00;10,00;0,00;0,00;0,00;0,00
2019-12-22;54,00;65,00;0,00;0,00;22,00;11,00;0,00;0,00;0,00;22,00;0,00;0,00;0,00;11,00;11,00;0,00;11,00;0,00;32,00;0,00;0,00;0,00;54,00;0,00;0,00;11,00;11,00;0,00
2019-12-29;40,00;10,00;0,00;0,00;10,00;20,00;20,00;20,00;30,00;0,00;0,00;20,00;20,00;0,00;40,00;0,00;10,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-01-05;53,00;53,00;9,00;0,00;9,00;26,00;18,00;9,00;9,00;0,00;0,00;9,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;9,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-01-12;69,00;35,00;35,00;52,00;9,00;9,00;9,00;0,00;9,00;17,00;9,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;9,00;26,00;0,00;17,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-01-19;45,00;18,00;9,00;18,00;9,00;0,00;9,00;18,00;9,00;0,00;0,00;27,00;0,00;9,00;9,00;0,00;0,00;0,00;36,00;9,00;9,00;9,00;0,00;0,00;0,00;0,00;0,00;9,00
2020-01-26;35,00;26,00;26,00;9,00;9,00;0,00;9,00;0,00;9,00;9,00;9,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;18,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-02;89,00;44,00;0,00;36,00;9,00;9,00;9,00;9,00;18,00;0,00;9,00;18,00;9,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;9,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00
2020-02-09;95,00;17,00;26,00;9,00;0,00;17,00;0,00;17,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-16;54,00;9,00;9,00;9,00;18,00;18,00;9,00;18,00;0,00;9,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;18,00;27,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-23;87,00;43,00;9,00;26,00;9,00;0,00;0,00;26,00;9,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;17,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00
2020-03-01;43,00;35,00;17,00;52,00;26,00;17,00;0,00;9,00;17,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;35,00;26,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-08;90,00;16,00;41,00;41,00;8,00;16,00;41,00;8,00;8,00;8,00;8,00;0,00;8,00;8,00;0,00;0,00;16,00;8,00;25,00;25,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-15;16,00;16,00;16,00;16,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;8,00;16,00;0,00;0,00;8,00;0,00;0,00;16,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00
2020-03-22;16,00;0,00;0,00;8,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;16,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
