Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2019-01-06;0,00;43,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;28,00;28,00;0,00;0,00;0,00;15,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;39,00;19,50;39,00;0,00;0,00;39,00;0,00;0,00;19,00;0,00;60,00;81,00;0,00;0,00;0,00;121,33;0,00;0,00;0,00;0,00;0,00
2019-01-20;37,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;128,08;91,08;0,00;0,00;0,00;131,56;0,00;0,00;0,00;0,00;18,00
2019-01-27;56,00;74,20;0,00;18,20;0,00;19,00;0,00;0,00;19,00;17,68;94,32;76,63;0,00;20,00;0,00;128,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;0,00;42,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13,00;20,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;59,00;78,67;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;100,30;59,00;0,00;0,00;0,00;122,21;0,00;0,00;0,00;0,00;0,00
2019-02-17;40,00;60,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;157,14;137,14;0,00;0,00;0,00;116,00;0,00;0,00;20,00;0,00;0,00
2019-02-24;39,00;115,61;19,50;0,00;0,00;19,00;0,00;0,00;0,00;0,00;81,00;60,00;0,00;19,50;0,00;93,60;0,00;0,00;0,00;0,00;0,00
2019-03-03;80,00;80,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;40,00;60,00;0,00;0,00;0,00;136,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;40,00;61,43;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;157,14;117,14;0,00;0,00;0,00;176,00;0,00;0,00;0,00;0,00;0,00
2019-03-17;0,00;58,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;56,00;0,00;0,00;0,00;40,00;0,00;0,00;0,00;0,00;60,00
2019-03-24;60,00;79,53;19,53;0,00;0,00;0,00;0,00;0,00;0,00;0,00;40,00;177,14;0,00;0,00;0,00;136,00;0,00;0,00;20,00;0,00;0,00
2019-03-31;77,00;95,20;0,00;0,00;0,00;19,00;0,00;0,00;0,00;37,07;114,07;114,07;0,00;0,00;0,00;97,26;0,00;0,00;0,00;0,00;0,00
2019-04-07;38,00;95,70;19,70;0,00;0,00;0,00;0,00;0,00;19,00;20,46;76,00;134,46;0,00;0,00;21,11;97,11;0,00;0,00;0,00;0,00;19,00
2019-04-14;20,00;58,67;20,00;0,00;0,00;0,00;0,00;0,00;0,00;20,00;40,00;160,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;0,00;20,00
2019-04-21;77,00;77,00;19,60;0,00;0,00;0,00;0,00;19,00;0,00;19,96;57,04;114,07;0,00;0,00;0,00;251,26;0,00;0,00;0,00;0,00;39,00
2019-04-28;98,00;19,60;0,00;0,00;0,00;39,00;0,00;0,00;0,00;20,18;98,00;40,35;0,00;0,00;0,00;175,58;20,42;0,00;0,00;39,00;0,00
2019-05-05;38,00;95,70;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;76,00;172,46;0,00;0,00;0,00;139,33;0,00;57,00;38,00;0,00;0,00
2019-05-12;58,00;114,62;19,33;0,00;0,00;0,00;0,00;0,00;0,00;0,00;116,00;194,30;0,00;0,00;0,00;99,43;0,00;0,00;0,00;0,00;19,00
2019-05-19;58,00;58,00;0,00;0,00;0,00;0,00;0,00;0,00;19,00;20,30;136,30;194,30;0,00;0,00;0,00;58,00;20,71;0,00;0,00;0,00;0,00
2019-05-26;19,00;78,92;19,00;0,00;0,00;19,00;0,00;0,00;0,00;0,00;51,57;192,71;0,00;0,00;0,00;209,00;19,00;0,00;0,00;0,00;0,00
2019-06-02;56,00;128,80;0,00;0,00;0,00;0,00;19,00;0,00;0,00;0,00;56,00;112,00;0,00;20,00;0,00;400,00;0,00;0,00;0,00;0,00;37,00
2019-06-09;76,00;94,30;18,30;18,30;0,00;38,00;0,00;0,00;0,00;0,00;96,46;152,00;0,00;0,00;0,00;224,00;0,00;0,00;38,00;0,00;0,00
2019-06-16;79,00;39,50;19,75;0,00;0,00;20,00;0,00;0,00;0,00;0,00;119,96;99,48;0,00;0,00;0,00;224,53;0,00;0,00;0,00;20,00;0,00
2019-06-23;40,00;59,31;0,00;0,00;0,00;20,00;0,00;0,00;0,00;0,00;0,00;140,00;0,00;0,00;0,00;220,00;0,00;0,00;0,00;20,00;0,00
2019-06-30;60,00;139,53;0,00;0,00;0,00;20,00;0,00;0,00;0,00;40,00;197,14;217,14;0,00;0,00;0,00;276,00;0,00;0,00;0,00;20,00;20,00
2019-07-07;97,00;116,68;0,00;0,00;0,00;0,00;0,00;0,00;20,00;19,97;77,03;211,12;0,00;0,00;0,00;250,58;0,00;0,00;0,00;0,00;0,00
2019-07-14;100,00;80,28;39,44;0,00;0,00;0,00;0,00;0,00;0,00;40,00;217,14;177,14;0,00;0,00;0,00;236,00;20,00;0,00;20,00;20,00;20,00
2019-07-21;61,00;120,61;0,00;20,80;0,00;0,00;0,00;0,00;0,00;20,33;122,00;162,67;0,00;0,00;0,00;203,33;0,00;0,00;0,00;0,00;20,00
2019-07-28;84,00;63,00;21,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;127,45;147,72;0,00;0,00;0,00;248,00;0,00;0,00;0,00;0,00;0,00
2019-08-04;21,00;82,60;21,00;0,00;0,00;0,00;21,00;0,00;0,00;0,00;108,00;108,00;0,00;0,00;0,00;193,20;0,00;0,00;21,00;21,00;0,00
2019-08-11;42,00;106,40;42,00;0,00;0,00;0,00;0,00;0,00;21,00;0,00;123,20;204,40;0,00;0,00;0,00;394,80;0,00;0,00;21,00;0,00;42,00
2019-08-18;83,00;61,90;0,00;0,00;0,00;0,00;21,00;0,00;21,00;0,00;203,21;223,24;0,00;0,00;0,00;103,75;0,00;0,00;0,00;0,00;21,00
2019-08-25;78,00;58,50;19,50;0,00;0,00;0,00;0,00;0,00;20,00;0,00;176,22;118,44;0,00;0,00;0,00;119,05;0,00;0,00;0,00;19,00;0,00
2019-09-01;37,00;75,42;18,50;0,00;0,00;19,00;0,00;0,00;0,00;0,00;128,08;71,15;0,00;0,00;0,00;168,56;0,00;0,00;0,00;0,00;18,00
2019-09-08;18,00;54,00;36,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;114,00;75,00;0,00;0,00;0,00;121,50;0,00;0,00;0,00;0,00;0,00
2019-09-15;54,00;54,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;88,11;88,11;0,00;0,00;0,00;128,77;0,00;0,00;0,00;0,00;0,00
2019-09-22;54,00;36,00;18,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;54,00;34,11;0,00;0,00;0,00;145,38;0,00;0,00;0,00;0,00;0,00
2019-09-29;0,00;39,00;0,00;0,00;0,00;0,00;0,00;18,00;0,00;0,00;38,00;13,00;0,00;0,00;0,00;31,00;0,00;0,00;0,00;0,00;18,00
2019-10-06;18,00;72,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;132,00;39,00;0,00;0,00;0,00;121,50;0,00;0,00;18,00;18,00;0,00
2019-10-13;18,00;34,62;18,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;36,00;111,00;0,00;18,00;0,00;40,50;0,00;0,00;0,00;0,00;0,00
2019-10-20;18,00;0,00;0,00;18,00;0,00;0,00;0,00;0,00;0,00;36,00;93,00;36,00;0,00;0,00;0,00;40,50;0,00;0,00;0,00;0,00;71,00
2019-10-27;36,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;129,00;75,00;0,00;0,00;0,00;52,00;0,00;0,00;0,00;0,00;18,00
2019-11-03;35,00;35,00;16,80;0,00;0,00;0,00;0,00;0,00;0,00;0,00;122,50;105,00;0,00;0,00;0,00;81,67;0,00;0,00;0,00;0,00;0,00
2019-11-10;0,00;25,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;30,00;24,00;0,00;0,00;0,00;26,00;0,00;0,00;0,00;0,00;0,00
2019-11-17;17,00;17,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;102,00;51,00;0,00;0,00;38,25;38,25;0,00;0,00;0,00;0,00;17,00
2019-11-24;0,00;37,00;0,00;0,00;0,00;17,00;0,00;0,00;17,00;0,00;41,00;35,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;17,00
2019-12-01;0,00;13,00;13,00;13,00;0,00;0,00;0,00;0,00;0,00;6,00;100,00;25,00;0,00;0,00;0,00;27,00;0,00;0,00;0,00;0,00;0,00
2019-12-08;74,00;18,15;18,15;0,00;0,00;0,00;19,00;0,00;0,00;17,08;128,08;54,08;0,00;0,00;0,00;37,00;0,00;0,00;18,00;0,00;18,00
2019-12-15;18,00;18,00;18,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;129,00;36,00;0,00;0,00;0,00;40,50;0,00;0,00;0,00;0,00;0,00
2019-12-22;100,00;39,44;19,72;0,00;0,00;0,00;0,00;20,00;0,00;0,00;40,00;40,00;0,00;0,00;0,00;100,00;0,00;0,00;0,00;0,00;20,00
2019-12-29;39,00;0,00;39,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;189,43;94,71;0,00;0,00;0,00;93,60;0,00;0,00;20,00;0,00;39,00
2020-01-05;53,00;53,00;18,13;0,00;0,00;0,00;0,00;0,00;0,00;0,00;103,21;16,74;0,00;0,00;0,00;36,69;0,00;0,00;0,00;0,00;0,00
2020-01-12;33,00;50,22;17,22;0,00;0,00;0,00;0,00;0,00;16,00;0,00;84,00;84,00;0,00;0,00;0,00;115,50;0,00;0,00;0,00;0,00;0,00
2020-01-19;49,00;65,80;49,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;66,29;66,29;0,00;0,00;0,00;32,67;0,00;0,00;0,00;16,00;0,00
2020-01-26;0,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;29,00;17,00;0,00;0,00;0,00;33,00;0,00;0,00;0,00;0,00;0,00
2020-02-02;34,00;17,00;17,00;17,00;0,00;0,00;0,00;0,00;17,00;0,00;51,00;34,00;0,00;0,00;0,00;89,25;0,00;0,00;0,00;0,00;0,00
2020-02-09;17,00;17,00;0,00;0,00;0,00;0,00;0,00;17,00;17,00;0,00;65,17;34,00;0,00;0,00;0,00;34,00;0,00;0,00;0,00;0,00;0,00
2020-02-16;84,00;67,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;101,38;84,00;0,00;0,00;0,00;116,00;16,00;0,00;0,00;0,00;0,00
2020-02-23;34,00;34,00;17,00;0,00;0,00;0,00;0,00;0,00;0,00;17,00;48,17;82,17;0,00;0,00;0,00;157,25;0,00;0,00;0,00;0,00;0,00
2020-03-01;48,00;48,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;62,12;62,12;0,00;0,00;0,00;140,00;0,00;0,00;0,00;0,00;0,00
2020-03-08;32,00;0,00;0,00;0,00;15,30;0,00;0,00;0,00;0,00;0,00;49,45;49,45;0,00;0,00;0,00;48,00;0,00;0,00;16,00;0,00;16,00
2020-03-15;16,00;16,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;16,00;35,20;0,00;0,00;0,00;32,00;0,00;0,00;0,00;16,00;0,00
2020-03-22;0,00;21,00;21,00;0,00;0,00;0,00;0,00;0,00;29,00;0,00;5,00;15,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00
2020-03-29;44,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;44,00;0,00;0,00;0,00;44,00;0,00;0,00;0,00;0,00;0,00
2020-04-05;47,00;47,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;32,31;14,69;0,00;0,00;0,00;47,00;0,00;0,00;0,00;0,00;0,00
2020-04-12;15,00;15,00;28,64;0,00;0,00;0,00;0,00;0,00;0,00;0,00;15,00;15,00;0,00;0,00;0,00;26,25;0,00;0,00;0,00;0,00;0,00
2020-04-19;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;10,00;0,00;0,00;0,00;18,00;0,00;0,00;0,00;0,00;14,00
2020-04-26;15,00;15,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;45,00;45,00;0,00;0,00;0,00;15,00;0,00;0,00;0,00;0,00;0,00
2020-05-03;15,00;0,00;0,00;0,00;15,00;0,00;0,00;0,00;0,00;15,00;0,00;30,00;0,00;0,00;0,00;41,25;0,00;0,00;0,00;0,00;0,00
2020-05-10;0,00;21,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;10,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2020-05-17;15,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;15,00;48,00;15,00;0,00;0,00;0,00;15,00;0,00;0,00;0,00;0,00;0,00
2020-05-24;16,00;32,00;0,00;0,00;0,00;16,00;0,00;0,00;0,00;0,00;0,00;86,40;0,00;0,00;0,00;92,00;0,00;0,00;0,00;0,00;16,00
2020-05-31;15,00;15,00;0,00;15,00;0,00;0,00;0,00;0,00;0,00;0,00;15,00;63,00;0,00;0,00;0,00;56,25;0,00;0,00;0,00;0,00;0,00
2020-06-07;45,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;14,06;14,06;0,00;0,00;16,36;61,36;0,00;0,00;0,00;0,00;0,00
2020-06-14;16,00;33,45;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;16,00;58,67;0,00;0,00;0,00;64,00;0,00;0,00;0,00;0,00;32,00
2020-06-21;17,00;51,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;17,00;51,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-06-28;17,00;34,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;99,17;0,00;0,00;0,00;34,00;0,00;17,00;0,00;0,00;0,00
2020-07-05;0,00;25,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;12,00;0,00;0,00;0,00;13,00;0,00;18,00;0,00;0,00;18,00
2020-07-12;18,00;36,00;0,00;0,00;0,00;0,00;0,00;0,00;18,00;0,00;18,00;75,00;0,00;0,00;0,00;81,00;0,00;0,00;0,00;0,00;0,00
2020-07-19;0,00;13,00;39,00;26,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;32,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;18,00;0,00
2020-07-26;37,00;18,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;74,00;0,00;0,00;0,00;37,00;20,56;0,00;18,00;18,00;18,00
