Semaine;Nice (FR);Paris (FR);Lille (FR);Strasbourg (FR);Lyon (FR);Marseille (FR);Bordeaux (FR);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Dijon (FR)
2019-01-06;21,00;567,00;0,00;10,50;42,00;32,00;35,00;5,00;27,00;14,70;8,40;2,10;0,00
2019-01-13;23,00;575,00;5,75;23,00;34,50;25,00;23,00;8,00;18,00;2,09;10,45;4,18;2,09
2019-01-20;19,00;408,50;4,75;19,00;19,00;27,00;41,00;7,00;22,00;15,20;7,60;0,00;0,00
2019-01-27;27,00;459,00;4,50;9,00;9,00;29,00;49,00;5,00;29,00;12,46;14,54;10,38;2,08
2019-02-03;18,00;423,00;9,00;27,00;18,00;23,00;46,00;3,00;15,00;2,00;16,00;2,00;0,00
2019-02-10;20,00;510,00;5,00;10,00;30,00;28,00;41,00;8,00;26,00;14,00;18,00;2,00;0,00
2019-02-17;26,00;450,67;4,33;8,67;26,00;21,00;62,00;13,00;23,00;16,00;30,00;6,00;8,00
2019-02-24;18,00;450,00;4,50;18,00;18,00;30,00;51,00;5,00;33,00;14,00;10,00;4,00;0,00
2019-03-03;34,00;532,67;11,33;11,33;22,67;29,00;23,00;5,00;36,00;8,00;18,00;2,00;0,00
2019-03-10;21,00;546,00;5,25;21,00;21,00;16,00;50,00;8,00;24,00;2,10;27,30;6,30;2,10
2019-03-17;16,00;360,00;0,00;24,00;16,00;34,00;34,00;0,00;29,00;12,00;10,00;6,00;0,00
2019-03-24;29,00;483,33;9,67;29,00;29,00;24,00;31,00;0,00;29,00;12,43;16,57;6,21;0,00
2019-03-31;25,00;587,50;6,25;37,50;25,00;30,00;60,00;8,00;20,00;14,58;29,17;2,08;0,00
2019-04-07;40,00;450,00;5,00;10,00;20,00;27,00;67,00;15,00;37,00;12,00;8,00;14,00;2,00
2019-04-14;56,00;933,33;9,33;18,67;28,00;43,00;88,00;16,00;29,00;10,00;50,00;6,00;2,00
2019-04-21;28,00;401,33;0,00;18,67;18,67;25,00;43,00;30,00;23,00;18,00;28,00;2,00;0,00
2019-04-28;28,00;429,33;9,33;18,67;18,67;26,00;31,00;23,00;28,00;16,00;16,00;0,00;0,00
2019-05-05;27,00;441,00;4,50;18,00;27,00;50,00;40,00;15,00;27,00;4,15;14,54;2,08;0,00
2019-05-12;28,00;392,00;0,00;9,33;28,00;23,00;46,00;8,00;31,00;10,00;20,00;2,00;0,00
2019-05-19;30,00;470,00;5,00;10,00;30,00;38,00;25,00;13,00;43,00;10,00;14,00;4,00;2,00
2019-05-26;32,00;469,33;5,33;32,00;21,33;17,00;32,00;7,00;29,00;16,00;24,00;10,00;0,00
2019-06-02;27,00;387,00;4,50;27,00;18,00;44,00;53,00;5,00;24,00;27,00;14,54;10,38;0,00
2019-06-09;42,00;451,50;10,50;42,00;31,50;30,00;44,00;10,00;35,00;34,00;16,00;8,00;0,00
2019-06-16;39,00;536,25;9,75;39,00;39,00;62,00;47,00;23,00;26,00;16,42;16,42;10,26;0,00
2019-06-23;26,00;390,00;4,33;8,67;26,00;48,00;45,00;21,00;18,00;2,00;20,00;8,00;2,00
2019-06-30;31,00;527,00;10,33;51,67;20,67;58,00;73,00;18,00;47,00;18,60;2,07;8,27;0,00
2019-07-07;46,00;423,20;9,20;18,40;46,00;51,00;48,00;15,00;36,00;14,64;25,09;8,36;4,18
2019-07-14;44,00;616,00;0,00;22,00;22,00;52,00;68,00;18,00;60,00;30,00;24,00;12,00;6,00
2019-07-21;32,00;544,00;21,33;32,00;32,00;40,00;51,00;13,00;40,00;28,00;18,00;6,00;0,00
2019-07-28;50,00;620,00;10,00;30,00;30,00;69,00;61,00;19,00;44,00;18,75;33,33;2,08;6,25
2019-08-04;27,00;522,00;9,00;18,00;36,00;71,00;66,00;19,00;41,00;39,46;39,46;6,23;0,00
2019-08-11;56,00;588,00;9,33;37,33;18,67;47,00;100,00;19,00;75,00;37,33;39,41;24,89;2,07
2019-08-18;59,00;599,83;9,83;29,50;19,67;51,00;89,00;24,00;54,00;22,38;26,45;14,24;2,03
2019-08-25;36,00;513,00;18,00;27,00;18,00;59,00;64,00;15,00;41,00;16,00;22,00;8,00;0,00
2019-09-01;24,00;576,00;12,00;36,00;36,00;46,00;48,00;14,00;15,00;22,00;42,00;4,00;0,00
2019-09-08;29,00;493,00;9,67;29,00;19,33;36,00;31,00;12,00;34,00;14,50;41,43;2,07;0,00
2019-09-15;21,00;577,50;5,25;31,50;31,50;21,00;52,00;5,00;35,00;16,80;16,80;2,10;0,00
2019-09-22;38,00;484,50;9,50;19,00;19,00;26,00;54,00;0,00;35,00;10,00;26,00;2,00;0,00
2019-09-29;31,00;568,33;20,67;20,67;20,67;38,00;41,00;21,00;14,00;12,40;22,73;2,07;0,00
2019-10-06;29,00;493,00;9,67;29,00;29,00;26,00;36,00;7,00;24,00;18,64;29,00;2,07;2,07
2019-10-13;30,00;460,00;10,00;30,00;20,00;37,00;48,00;7,00;37,00;14,00;10,00;0,00;2,00
2019-10-20;44,00;561,00;11,00;33,00;22,00;23,00;46,00;19,00;35,00;18,00;20,00;2,00;0,00
2019-10-27;19,00;484,50;9,50;28,50;28,50;33,00;42,00;16,00;42,00;21,11;19,00;6,33;2,11
2019-11-03;14,00;686,00;14,00;42,00;42,00;30,00;53,00;11,00;27,00;20,00;18,00;2,00;2,00
2019-11-10;16,00;432,00;4,00;16,00;24,00;30,00;52,00;7,00;32,00;12,00;6,00;2,00;0,00
2019-11-17;25,00;650,00;6,25;50,00;37,50;32,00;41,00;7,00;41,00;2,08;18,75;6,25;0,00
2019-11-24;22,00;495,00;11,00;22,00;33,00;11,00;25,00;7,00;22,00;10,00;8,00;4,00;0,00
2019-12-01;21,00;609,00;10,50;31,50;31,50;24,00;57,00;5,00;26,00;10,50;25,20;2,10;4,20
2019-12-08;17,00;348,50;8,50;17,00;17,00;27,00;41,00;10,00;17,00;4,25;12,75;0,00;4,25
2019-12-15;16,00;368,00;4,00;16,00;16,00;12,00;30,00;2,00;28,00;14,00;14,00;0,00;0,00
2019-12-22;16,00;352,00;4,00;32,00;24,00;18,00;24,00;5,00;24,00;8,00;26,00;0,00;0,00
2019-12-29;18,00;432,00;4,50;27,00;27,00;15,00;57,00;10,00;26,00;16,00;18,00;6,00;0,00
2020-01-05;16,00;416,00;0,00;8,00;24,00;12,00;42,00;9,00;16,00;14,00;22,00;0,00;0,00
2020-01-12;26,00;450,67;4,33;26,00;17,33;21,00;38,00;9,00;34,00;6,00;8,00;2,00;6,00
2020-01-19;17,00;408,00;8,50;17,00;17,00;26,00;30,00;17,00;26,00;10,63;25,50;0,00;0,00
2020-01-26;22,00;561,00;5,50;11,00;22,00;31,00;42,00;2,00;29,00;8,00;26,00;6,00;0,00
2020-02-02;13,00;715,00;0,00;13,00;39,00;40,00;62,00;16,00;13,00;5,57;18,57;0,00;0,00
2020-02-09;42,00;514,50;10,50;21,00;21,00;31,00;49,00;7,00;38,00;16,00;12,00;2,00;4,00
2020-02-16;18,00;459,00;4,50;9,00;27,00;48,00;50,00;11,00;22,00;12,00;20,00;10,00;2,00
2020-02-23;20,00;430,00;10,00;20,00;20,00;24,00;46,00;4,00;31,00;12,00;12,00;2,00;2,00
2020-03-01;15,00;600,00;7,50;30,00;30,00;17,00;29,00;6,00;19,00;8,57;2,14;4,29;0,00
2020-03-08;6,00;186,00;3,00;6,00;6,00;8,00;19,00;4,00;17,00;8,00;12,00;0,00;0,00
2020-03-15;18,00;171,00;4,50;4,50;9,00;20,00;14,00;4,00;8,00;4,00;16,00;2,00;0,00
2020-03-22;4,00;112,00;4,00;4,00;8,00;10,00;8,00;8,00;4,00;0,00;0,00;0,00;2,00
2020-03-29;4,00;104,00;4,00;4,00;4,00;8,00;6,00;2,00;2,00;2,00;2,00;0,00;0,00
2020-04-05;6,00;96,00;0,00;6,00;6,00;18,00;4,00;2,00;2,00;2,00;4,00;2,00;0,00
2020-04-12;2,00;56,00;2,00;2,00;2,00;6,00;12,00;6,00;4,00;2,00;4,00;2,00;0,00
2020-04-19;2,00;48,00;2,00;2,00;4,00;4,00;7,00;4,00;0,00;0,00;0,00;0,00;0,00
2020-04-26;8,00;88,00;0,00;4,00;4,00;4,00;2,00;2,00;2,00;2,00;0,00;0,00;0,00
2020-05-03;2,00;52,00;0,00;2,00;2,00;8,00;10,00;6,00;6,00;0,00;6,00;0,00;0,00
2020-05-10;6,00;66,00;0,00;3,00;6,00;6,00;4,00;2,00;6,00;4,00;0,00;2,00;0,00
2020-05-17;2,00;56,00;2,00;4,00;2,00;10,00;12,00;4,00;8,00;0,00;2,00;2,00;2,00
2020-05-24;8,00;88,00;4,00;4,00;8,00;12,00;6,00;4,00;8,00;2,00;8,00;2,00;0,00
2020-05-31;16,00;88,00;0,00;8,00;8,00;4,00;8,00;8,00;12,00;6,00;2,00;4,00;0,00
2020-06-07;14,00;210,00;7,00;7,00;14,00;6,00;10,00;0,00;2,00;2,00;4,00;10,00;0,00
2020-06-14;8,00;120,00;4,00;4,00;8,00;19,00;17,00;4,00;21,00;2,00;6,00;4,00;4,00
2020-06-21;20,00;140,00;5,00;5,00;10,00;13,00;16,00;4,00;20,00;2,00;2,00;4,00;2,00
2020-06-28;7,00;98,00;3,50;3,50;7,00;16,00;31,00;9,00;7,00;18,67;11,67;2,33;0,00
2020-07-05;21,00;168,00;5,25;10,50;21,00;18,00;32,00;2,00;25,00;16,80;10,50;4,20;2,10
2020-07-12;9,00;144,00;4,50;4,50;9,00;24,00;14,00;2,00;17,00;5,40;180,00;3,60;1,80
2020-07-19;14,00;266,00;7,00;7,00;28,00;19,00;31,00;2,00;12,00;10,00;68,00;2,00;0,00
2020-07-26;19,00;171,00;4,75;4,75;19,00;19,00;32,00;5,00;17,00;13,30;32,30;1,90;0,00
2020-08-02;17,00;144,50;4,25;8,50;17,00;32,00;36,00;10,00;17,00;4,25;10,63;8,50;0,00
