Semaine;Nice (FR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Fréjus (FR);Cannes (FR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR)
2019-01-06;47,00;21,49;6,71;18,80;6,71;17,00;6,00;21,00;1,00;5,00;2,00;4,00;3,00;3,00;1,00;1,00;1,00;1,00;0,50;0,50;1,00
2019-01-13;50,00;16,67;5,56;23,61;6,94;14,00;7,00;16,00;1,00;4,00;2,00;4,00;2,00;3,00;1,00;1,00;2,00;1,00;0,50;0,50;1,00
2019-01-20;44,00;27,50;5,50;22,00;6,88;19,00;8,00;20,00;1,00;3,00;3,00;4,00;1,00;4,00;1,00;1,00;1,00;2,00;0,00;0,50;1,00
2019-01-27;43,00;27,74;8,32;27,74;6,94;18,00;8,00;20,00;2,00;3,00;3,00;5,00;2,00;4,00;1,00;0,50;2,00;1,00;0,50;1,00;2,00
2019-02-03;41,00;27,33;8,20;28,70;8,20;15,00;8,00;16,00;3,00;5,00;4,00;4,00;3,00;4,00;1,00;1,00;2,00;2,00;0,00;1,00;1,00
2019-02-10;43,00;23,58;13,87;29,13;8,32;18,00;8,00;23,00;1,00;4,00;5,00;6,00;5,00;5,00;1,00;1,00;2,00;2,00;0,50;1,00;1,00
2019-02-17;44,00;34,38;12,38;34,38;8,25;19,00;8,00;18,00;2,00;4,00;4,00;5,00;5,00;7,00;1,00;2,00;2,00;2,00;0,50;0,50;2,00
2019-02-24;47,00;31,79;12,44;29,03;9,68;16,00;11,00;22,00;2,00;4,00;6,00;7,00;4,00;4,00;1,00;2,00;2,00;3,00;0,00;1,00;0,50
2019-03-03;41,00;27,33;10,93;30,07;9,57;20,00;10,00;20,00;2,00;5,00;3,00;5,00;5,00;4,00;1,00;1,00;3,00;1,00;0,00;1,00;1,00
2019-03-10;50,00;27,03;9,46;24,32;8,11;23,00;9,00;19,00;1,00;3,00;3,00;5,00;2,00;4,00;2,00;1,00;2,00;1,00;1,00;1,00;1,00
2019-03-17;45,00;30,00;10,91;28,64;9,55;22,00;9,00;19,00;2,00;5,00;5,00;3,00;5,00;4,00;1,00;2,00;3,00;2,00;0,50;1,00;1,00
2019-03-24;50,00;28,38;9,46;25,68;8,11;20,00;7,00;20,00;2,00;4,00;5,00;7,00;3,00;9,00;1,00;2,00;2,00;3,00;1,00;1,00;2,00
2019-03-31;59,00;34,30;17,84;30,19;9,60;22,00;7,00;25,00;1,00;5,00;5,00;9,00;3,00;6,00;1,00;3,00;3,00;3,00;0,50;0,50;1,00
2019-04-07;55,00;37,13;22,00;33,00;13,75;28,00;10,00;28,00;1,00;6,00;6,00;9,00;6,00;6,00;2,00;2,00;3,00;4,00;1,00;1,00;3,00
2019-04-14;70,00;32,94;24,71;35,69;19,22;29,00;13,00;27,00;3,00;8,00;8,00;9,00;10,00;8,00;2,00;5,00;4,00;5,00;0,50;1,00;1,00
2019-04-21;63,00;39,72;20,54;36,98;17,80;29,00;12,00;33,00;3,00;7,00;8,00;10,00;6,00;10,00;2,00;4,00;3,00;5,00;0,50;1,00;1,00
2019-04-28;66,00;38,50;20,63;33,00;15,13;24,00;10,00;29,00;2,00;6,00;7,00;9,00;7,00;8,00;3,00;3,00;4,00;5,00;1,00;1,00;1,00
2019-05-05;58,00;33,72;14,84;31,02;12,14;25,00;11,00;30,00;2,00;5,00;3,00;10,00;5,00;7,00;1,00;2,00;2,00;4,00;1,00;0,50;2,00
2019-05-12;61,00;36,60;14,91;35,24;13,56;28,00;17,00;27,00;2,00;7,00;6,00;11,00;5,00;6,00;1,00;2,00;3,00;2,00;0,50;1,00;1,00
2019-05-19;60,00;30,00;17,73;30,00;17,73;24,00;16,00;28,00;2,00;8,00;5,00;9,00;4,00;5,00;2,00;2,00;2,00;4,00;0,50;1,00;1,00
2019-05-26;66,00;35,75;23,38;38,50;20,63;29,00;15,00;33,00;2,00;9,00;8,00;11,00;12,00;9,00;2,00;4,00;4,00;7,00;0,50;1,00;2,00
2019-06-02;63,00;39,72;23,28;32,87;27,39;32,00;12,00;30,00;1,00;6,00;6,00;12,00;6,00;8,00;3,00;2,00;3,00;5,00;1,00;1,00;2,00
2019-06-09;70,00;42,55;17,84;32,94;21,96;28,00;12,00;33,00;2,00;8,00;7,00;11,00;6,00;10,00;3,00;3,00;4,00;5,00;1,00;1,00;3,00
2019-06-16;78,00;35,58;20,53;30,11;21,89;31,00;15,00;30,00;2,00;9,00;5,00;12,00;6,00;9,00;3,00;2,00;3,00;4,00;1,00;1,00;3,00
2019-06-23;80,00;39,32;20,34;32,54;27,12;32,00;15,00;33,00;4,00;13,00;9,00;10,00;10,00;13,00;3,00;4,00;5,00;6,00;1,00;2,00;1,00
2019-06-30;74,00;43,85;21,93;37,00;27,41;37,00;14,00;35,00;4,00;14,00;6,00;13,00;9,00;12,00;4,00;3,00;3,00;6,00;1,00;1,00;1,00
2019-07-07;77,00;53,63;27,50;33,00;38,50;43,00;19,00;39,00;3,00;22,00;9,00;17,00;13,00;17,00;4,00;3,00;5,00;7,00;1,00;3,00;2,00
2019-07-14;82,00;57,40;25,97;41,00;43,73;46,00;17,00;36,00;4,00;23,00;10,00;15,00;12,00;17,00;5,00;6,00;5,00;6,00;1,00;2,00;2,00
2019-07-21;87,00;67,97;31,27;43,50;47,58;47,00;21,00;38,00;4,00;19,00;7,00;15,00;13,00;16,00;6,00;7,00;4,00;8,00;1,00;3,00;3,00
2019-07-28;90,00;78,92;38,77;52,62;54,00;52,00;21,00;41,00;4,00;25,00;10,00;20,00;16,00;21,00;6,00;6,00;6,00;7,00;2,00;2,00;2,00
2019-08-04;88,00;85,25;42,63;60,50;56,38;58,00;25,00;48,00;4,00;30,00;10,00;20,00;19,00;23,00;7,00;7,00;9,00;15,00;2,00;4,00;4,00
2019-08-11;100,00;104,11;39,73;61,64;54,79;56,00;28,00;47,00;4,00;27,00;9,00;18,00;18,00;21,00;8,00;5,00;7,00;12,00;1,00;2,00;3,00
2019-08-18;92,00;137,31;31,58;45,31;49,43;52,00;23,00;42,00;5,00;21,00;11,00;17,00;14,00;18,00;7,00;5,00;8,00;10,00;0,50;2,00;3,00
2019-08-25;77,00;72,88;30,25;44,00;28,88;38,00;15,00;33,00;3,00;17,00;6,00;12,00;12,00;13,00;3,00;4,00;4,00;7,00;0,50;1,00;2,00
2019-09-01;79,00;38,14;19,07;31,33;16,34;32,00;13,00;29,00;2,00;9,00;6,00;16,00;7,00;7,00;2,00;3,00;3,00;5,00;0,50;1,00;1,00
2019-09-08;72,00;33,96;13,58;33,96;16,30;28,00;12,00;31,00;2,00;7,00;5,00;11,00;6,00;8,00;1,00;2,00;3,00;3,00;1,00;1,00;1,00
2019-09-15;69,00;37,88;17,59;33,82;13,53;24,00;12,00;31,00;2,00;5,00;4,00;11,00;6,00;7,00;2,00;1,00;4,00;4,00;1,00;0,50;1,00
2019-09-22;63,00;34,24;13,70;28,76;9,59;21,00;11,00;23,00;1,00;3,00;4,00;8,00;2,00;5,00;1,00;1,00;2,00;2,00;0,50;0,50;1,00
2019-09-29;59,00;28,81;8,23;27,44;8,23;19,00;8,00;20,00;1,00;3,00;4,00;7,00;4,00;4,00;0,50;1,00;2,00;2,00;0,50;0,50;0,50
2019-10-06;51,00;27,57;8,27;27,57;8,27;20,00;11,00;25,00;1,00;3,00;3,00;5,00;3,00;4,00;1,00;2,00;2,00;3,00;0,50;0,50;1,00
2019-10-13;68,00;29,14;6,94;29,14;6,94;22,00;8,00;25,00;2,00;3,00;3,00;6,00;4,00;4,00;1,00;2,00;2,00;1,00;0,50;0,50;1,00
2019-10-20;60,00;34,09;10,91;34,09;9,55;23,00;10,00;32,00;2,00;4,00;4,00;8,00;4,00;5,00;1,00;2,00;2,00;3,00;1,00;0,50;1,00
2019-10-27;56,00;34,15;10,93;35,51;10,93;22,00;7,00;26,00;1,00;3,00;3,00;4,00;4,00;2,00;1,00;2,00;1,00;3,00;0,50;1,00;1,00
2019-11-03;51,00;26,84;5,37;28,18;5,37;19,00;8,00;22,00;1,00;3,00;4,00;4,00;4,00;5,00;0,50;2,00;2,00;2,00;0,50;0,50;1,00
2019-11-10;47,00;26,26;4,15;29,03;5,53;17,00;6,00;23,00;1,00;4,00;2,00;4,00;6,00;2,00;1,00;2,00;2,00;2,00;0,00;0,50;1,00
2019-11-17;59,00;20,58;2,74;23,33;4,12;22,00;8,00;24,00;1,00;7,00;3,00;3,00;3,00;3,00;0,50;1,00;1,00;1,00;0,00;0,50;1,00
2019-11-24;47,00;18,80;5,37;20,14;2,69;18,00;7,00;23,00;1,00;6,00;4,00;4,00;2,00;5,00;0,50;1,00;1,00;1,00;0,00;0,00;0,50
2019-12-01;57,00;23,07;2,71;24,43;4,07;24,00;8,00;23,00;1,00;8,00;3,00;4,00;2,00;3,00;1,00;2,00;1,00;1,00;0,00;0,00;1,00
2019-12-08;50,00;25,00;5,56;23,61;2,78;18,00;5,00;21,00;1,00;6,00;2,00;3,00;2,00;4,00;1,00;1,00;1,00;2,00;0,00;0,00;1,00
2019-12-15;61,00;24,40;5,42;25,76;4,07;20,00;7,00;22,00;0,50;6,00;3,00;3,00;2,00;4,00;0,50;1,00;2,00;1,00;0,00;1,00;1,00
2019-12-22;59,00;31,56;9,60;30,19;5,49;17,00;8,00;23,00;1,00;14,00;3,00;4,00;3,00;5,00;0,50;1,00;2,00;3,00;0,00;0,50;1,00
2019-12-29;56,00;30,05;9,56;31,41;8,20;19,00;10,00;21,00;2,00;10,00;4,00;4,00;4,00;4,00;0,50;2,00;3,00;2,00;0,00;0,50;1,00
