Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2019-01-06;18,00;6,00;6,00;0,00;0,00;6,00;0,00;0,00;12,00;0,00;0,00;46,59;0,00;0,00;0,00;56,57;0,00;0,00;18,00;6,00;0,00
2019-01-13;35,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;5,30;40,30;0,00;0,00;0,00;60,00;0,00;0,00;6,00;0,00;0,00
2019-01-20;52,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;23,35;0,00;0,00;0,00;73,27;0,00;0,00;0,00;0,00;12,00
2019-01-27;34,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;22,31;0,00;0,00;0,00;17,00;0,00;0,00;6,00;6,00;11,00
2019-02-03;40,00;0,00;6,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;28,11;0,00;0,00;0,00;35,00;0,00;0,00;11,00;23,00;6,00
2019-02-10;54,00;6,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;6,48;18,36;0,00;0,00;0,00;66,27;0,00;0,00;0,00;6,00;6,00
2019-02-17;24,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;6,55;36,00;0,00;16,80;0,00;76,80;0,00;0,00;6,00;0,00;6,00
2019-02-24;36,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,55;30,55;6,55;0,00;0,00;36,00;0,00;0,00;6,00;0,00;0,00
2019-03-03;64,00;12,00;6,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;5,33;28,80;0,00;0,00;4,92;93,54;0,00;0,00;0,00;0,00;6,00
2019-03-10;47,00;6,00;0,00;0,00;0,00;6,00;0,00;0,00;6,00;5,34;5,34;23,50;0,00;4,95;0,00;76,68;0,00;0,00;0,00;12,00;18,00
2019-03-17;48,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;36,27;0,00;0,00;0,00;72,00;0,00;0,00;6,00;0,00;6,00
2019-03-24;43,00;6,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;6,45;6,45;0,00;0,00;7,17;35,83;0,00;0,00;0,00;0,00;0,00
2019-03-31;30,00;0,00;12,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;18,21;0,00;0,00;0,00;30,00;0,00;0,00;6,00;6,00;6,00
2019-04-07;24,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;6,55;6,55;18,55;6,55;0,00;0,00;81,60;0,00;0,00;0,00;0,00;24,00
2019-04-14;82,00;6,00;6,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;25,89;0,00;0,00;0,00;43,41;7,24;0,00;0,00;13,00;6,00
2019-04-21;54,00;12,00;12,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;6,35;47,65;0,00;0,00;0,00;66,27;0,00;0,00;0,00;0,00;18,00
2019-04-28;58,00;0,00;6,00;0,00;0,00;6,00;0,00;0,00;0,00;5,37;5,37;40,81;0,00;0,00;0,00;62,83;0,00;0,00;0,00;0,00;0,00
2019-05-05;47,00;6,00;0,00;0,00;6,00;18,00;0,00;6,00;0,00;0,00;11,75;35,25;0,00;0,00;0,00;59,37;0,00;0,00;6,00;0,00;18,00
2019-05-12;54,00;6,00;12,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;55,08;0,00;0,00;0,00;73,64;0,00;0,00;6,00;6,00;0,00
2019-05-19;42,00;6,00;6,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;23,69;36,62;0,00;0,00;0,00;86,47;0,00;0,00;6,00;6,00;0,00
2019-05-26;64,00;6,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;11,93;46,64;0,00;0,00;0,00;113,23;0,00;6,00;0,00;0,00;0,00
2019-06-02;45,00;0,00;11,00;0,00;0,00;17,00;0,00;11,00;6,00;0,00;0,00;107,14;0,00;0,00;0,00;250,00;5,00;0,00;0,00;0,00;6,00
2019-06-09;23,00;0,00;0,00;0,00;0,00;17,00;0,00;6,00;0,00;12,05;12,05;29,57;0,00;0,00;0,00;150,78;0,00;0,00;6,00;0,00;6,00
2019-06-16;71,00;6,00;0,00;6,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;30,12;6,45;0,00;0,00;83,24;0,00;0,00;0,00;0,00;18,00
2019-06-23;60,00;0,00;6,00;0,00;0,00;18,00;0,00;0,00;0,00;0,00;11,79;60,00;0,00;4,80;0,00;76,80;0,00;0,00;12,00;6,00;18,00
2019-06-30;71,00;24,00;6,00;0,00;0,00;12,00;0,00;0,00;0,00;6,45;11,83;65,62;0,00;0,00;0,00;107,72;4,90;0,00;0,00;0,00;6,00
2019-07-07;65,00;6,00;6,00;0,00;0,00;18,00;0,00;6,00;6,00;5,42;5,42;53,08;0,00;0,00;0,00;86,67;0,00;0,00;6,00;6,00;0,00
2019-07-14;100,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;5,38;64,52;17,20;0,00;0,00;87,80;4,88;0,00;12,00;0,00;12,00
2019-07-21;48,00;6,00;12,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;11,73;59,73;6,40;0,00;0,00;60,00;0,00;6,00;6,00;6,00;24,00
2019-07-28;54,00;6,00;6,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;6,48;36,72;0,00;4,91;0,00;66,27;0,00;0,00;0,00;6,00;18,00
2019-08-04;47,00;6,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;17,09;47,00;0,00;0,00;0,00;113,79;0,00;0,00;12,00;0,00;0,00
2019-08-11;70,00;6,00;6,00;0,00;0,00;17,00;0,00;0,00;0,00;0,00;11,85;40,92;0,00;0,00;4,83;74,83;0,00;0,00;0,00;0,00;23,00
2019-08-18;66,00;12,00;0,00;0,00;0,00;6,00;0,00;6,00;0,00;6,49;0,00;60,59;0,00;0,00;0,00;127,11;0,00;0,00;6,00;12,00;30,00
2019-08-25;30,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;23,57;77,14;6,43;0,00;0,00;60,00;0,00;0,00;6,00;0,00;30,00
2019-09-01;52,00;6,00;11,00;0,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;63,92;0,00;0,00;0,00;64,38;0,00;0,00;0,00;0,00;11,00
2019-09-08;57,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,38;68,83;0,00;0,00;0,00;57,00;0,00;0,00;0,00;0,00;6,00
2019-09-15;29,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;5,37;34,37;0,00;0,00;0,00;67,67;0,00;6,00;0,00;0,00;11,00
2019-09-22;27,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;5,00;0,00;5,40;44,28;0,00;0,00;0,00;83,45;0,00;0,00;0,00;0,00;5,00
2019-09-29;28,00;6,00;0,00;0,00;0,00;0,00;6,00;6,00;6,00;0,00;22,62;28,00;0,00;0,00;0,00;5,09;0,00;0,00;0,00;0,00;6,00
2019-10-06;43,00;16,00;11,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;5,38;37,63;0,00;0,00;0,00;43,00;0,00;0,00;5,00;0,00;5,00
2019-10-13;44,00;5,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;16,10;44,00;0,00;0,00;0,00;66,00;0,00;0,00;11,00;0,00;5,00
2019-10-20;27,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10,80;27,00;0,00;0,00;0,00;49,09;0,00;0,00;0,00;0,00;5,00
2019-10-27;49,00;11,00;11,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;5,44;21,78;0,00;0,00;0,00;39,20;0,00;0,00;0,00;0,00;0,00
2019-11-03;31,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;5,34;5,34;16,03;0,00;4,77;0,00;31,00;0,00;0,00;5,00;0,00;0,00
2019-11-10;16,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;5,00;5,33;5,33;32,00;0,00;0,00;0,00;34,67;0,00;0,00;5,00;0,00;26,00
2019-11-17;21,00;5,00;11,00;11,00;0,00;0,00;0,00;0,00;16,00;0,00;0,00;40,95;0,00;0,00;0,00;39,67;0,00;0,00;0,00;0,00;0,00
2019-11-24;15,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10,71;15,00;0,00;0,00;5,00;20,00;0,00;0,00;0,00;0,00;5,00
2019-12-01;26,00;5,00;5,00;0,00;0,00;5,00;0,00;0,00;0,00;10,40;0,00;15,60;0,00;4,73;0,00;35,45;0,00;0,00;0,00;0,00;5,00
2019-12-08;16,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;48,00;0,00;0,00;0,00;29,71;0,00;0,00;5,00;0,00;11,00
2019-12-15;22,00;0,00;0,00;6,00;0,00;0,00;6,00;0,00;6,00;0,00;0,00;38,76;0,00;0,00;0,00;39,11;0,00;0,00;0,00;0,00;11,00
2019-12-22;24,00;6,00;0,00;12,00;0,00;6,00;0,00;0,00;0,00;0,00;11,48;17,74;0,00;0,00;0,00;31,20;0,00;0,00;0,00;12,00;12,00
2019-12-29;39,00;17,00;11,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;16,25;39,00;0,00;0,00;0,00;65,81;0,00;0,00;0,00;6,00;22,00
2020-01-05;36,00;5,00;0,00;0,00;0,00;0,00;0,00;5,00;5,00;0,00;10,91;46,91;0,00;0,00;0,00;69,60;0,00;0,00;0,00;0,00;36,00
2020-01-12;25,00;5,00;5,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;9,78;40,22;0,00;0,00;0,00;82,50;0,00;0,00;0,00;0,00;0,00
2020-01-19;62,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;20,31;0,00;14,31;0,00;66,77;0,00;0,00;0,00;0,00;26,00
2020-01-26;46,00;0,00;5,00;0,00;0,00;5,00;0,00;0,00;5,00;9,63;0,00;50,28;0,00;0,00;0,00;41,16;4,84;0,00;0,00;0,00;10,00
2020-02-02;26,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;16,25;31,42;5,42;0,00;0,00;56,73;0,00;0,00;5,00;5,00;10,00
2020-02-09;30,00;0,00;5,00;5,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;24,64;0,00;0,00;0,00;62,50;0,00;0,00;0,00;0,00;10,00
2020-02-16;55,00;5,00;15,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;9,71;30,20;0,00;0,00;0,00;45,43;0,00;0,00;0,00;5,00;15,00
2020-02-23;45,00;5,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;5,36;54,64;0,00;0,00;0,00;57,50;0,00;0,00;0,00;10,00;10,00
2020-03-01;25,00;0,00;15,00;5,00;0,00;5,00;0,00;0,00;5,00;0,00;0,00;30,43;0,00;5,00;0,00;42,50;0,00;0,00;0,00;10,00;15,00
2020-03-08;24,00;0,00;0,00;0,00;0,00;5,00;0,00;5,00;0,00;0,00;5,22;9,39;9,39;0,00;0,00;57,60;0,00;0,00;5,00;5,00;0,00
