Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Tignes (FR);Les Arcs (FR);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);La Clusaz (FR);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Vars (FR);Grand Bornand (FR);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;77,00;49,00;80,00;49,00;60,00;27,00;8,00;49,00;16,00;8,42;120,31;8,42;38,50;5,00;11,00;11,00;16,00;3,00;63,00;27,00;14,00;0,00;8,00;3,00;3,00;0,00;0,00;0,00
2019-01-13;95,00;43,00;46,00;41,00;62,00;35,00;16,00;24,00;16,00;4,81;91,39;10,82;48,10;0,00;19,00;0,00;27,00;3,00;67,00;41,00;8,00;0,00;0,00;3,00;0,00;0,00;3,00;0,00
2019-01-20;86,00;40,00;51,00;27,00;49,00;32,00;3,00;11,00;19,00;13,14;77,64;13,14;21,50;3,00;84,00;8,00;24,00;0,00;38,00;24,00;8,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;84,00;39,00;29,00;26,00;34,00;16,00;11,00;16,00;18,00;4,80;64,80;2,40;26,40;3,00;31,00;5,00;3,00;0,00;39,00;45,00;16,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00
2019-02-03;65,00;21,00;26,00;37,00;65,00;29,00;10,00;34,00;18,00;20,46;91,48;4,81;33,70;5,00;26,00;3,00;13,00;0,00;42,00;16,00;8,00;0,00;3,00;3,00;0,00;0,00;0,00;0,00
2019-02-10;83,00;44,00;44,00;31,00;31,00;14,00;14,00;25,00;17,00;10,83;80,59;2,41;27,67;3,00;22,00;8,00;8,00;3,00;42,00;17,00;14,00;0,00;3,00;3,00;0,00;0,00;3,00;0,00
2019-02-17;61,00;33,00;33,00;33,00;22,00;28,00;8,00;19,00;14,00;10,98;56,12;2,44;13,42;0,00;19,00;8,00;17,00;3,00;44,00;39,00;14,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00
2019-02-24;55,00;22,00;33,00;28,00;22,00;36,00;14,00;11,00;8,00;8,37;76,52;2,39;10,76;0,00;25,00;3,00;8,00;0,00;55,00;14,00;3,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00
2019-03-03;73,00;38,00;22,00;32,00;65,00;22,00;3,00;19,00;19,00;4,79;64,62;2,39;21,54;0,00;22,00;11,00;19,00;3,00;35,00;51,00;5,00;0,00;0,00;5,00;0,00;0,00;0,00;3,00
2019-03-10;76,00;24,00;30,00;27,00;41,00;27,00;16,00;14,00;8,00;2,41;67,56;2,41;30,16;0,00;14,00;8,00;11,00;0,00;27,00;24,00;8,00;3,00;0,00;3,00;0,00;0,00;0,00;3,00
