Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2019-01-06;45,00;41,79;8,04;30,54;8,04;22,00;4,00;11,00;7,00
2019-01-13;40,00;83,08;10,77;21,54;7,69;62,00;4,00;11,00;22,00
2019-01-20;40,00;72,31;21,54;7,69;0,00;15,00;11,00;18,00;15,00
2019-01-27;46,00;39,66;3,17;31,72;7,93;4,00;4,00;7,00;11,00
2019-02-03;32,00;22,40;3,20;22,40;0,00;7,00;0,00;7,00;7,00
2019-02-10;45,00;40,34;18,62;18,62;10,86;15,00;0,00;8,00;11,00
2019-02-17;45,00;29,48;21,72;10,86;0,00;4,00;7,00;7,00;19,00
2019-02-24;49,00;33,19;22,13;26,87;0,00;22,00;11,00;11,00;11,00
2019-03-03;18,00;39,00;10,50;24,00;3,00;11,00;7,00;7,00;4,00
2019-03-10;22,00;22,00;18,86;36,14;0,00;15,00;7,00;4,00;4,00
2019-03-17;41,00;29,96;7,88;18,92;3,15;7,00;7,00;11,00;11,00
2019-03-24;34,00;41,73;3,09;30,91;0,00;23,00;0,00;15,00;27,00
2019-03-31;42,00;23,33;3,11;29,56;0,00;11,00;0,00;11,00;8,00
2019-04-07;52,00;26,79;7,88;33,09;0,00;15,00;11,00;4,00;4,00
2019-04-14;20,00;7,69;12,31;12,31;4,62;12,00;4,00;20,00;4,00
2019-04-21;26,00;26,00;7,65;7,65;0,00;8,00;0,00;8,00;8,00
2019-04-28;18,00;21,00;0,00;24,00;3,00;11,00;7,00;15,00;11,00
2019-05-05;44,00;7,86;3,14;14,14;3,14;18,00;0,00;11,00;4,00
2019-05-12;49,00;7,90;7,90;18,97;0,00;8,00;0,00;4,00;4,00
2019-05-19;57,00;15,83;7,92;15,83;0,00;11,00;4,00;15,00;11,00
2019-05-26;55,00;25,14;18,86;29,86;0,00;15,00;0,00;4,00;7,00
2019-06-02;46,00;20,62;11,10;20,62;0,00;7,00;4,00;14,00;14,00
2019-06-09;43,00;24,57;10,75;24,57;0,00;14,00;4,00;7,00;14,00
2019-06-16;15,00;11,67;15,00;23,33;0,00;7,00;0,00;11,00;19,00
2019-06-23;19,00;22,17;19,00;22,17;3,17;7,00;4,00;7,00;7,00
2019-06-30;41,00;18,92;0,00;18,92;0,00;15,00;4,00;4,00;11,00
2019-07-07;41,00;22,08;7,88;18,92;0,00;15,00;7,00;11,00;4,00
2019-07-14;22,00;25,14;14,14;25,14;0,00;18,00;7,00;18,00;4,00
2019-07-21;38,00;22,17;19,00;38,00;3,17;15,00;8,00;4,00;15,00
2019-07-28;19,00;26,92;15,83;45,92;0,00;8,00;0,00;11,00;0,00
2019-08-04;66,00;7,86;11,00;22,00;0,00;7,00;4,00;11,00;4,00
2019-08-11;51,00;21,64;18,55;24,73;0,00;11,00;7,00;4,00;11,00
2019-08-18;60,00;26,84;22,11;15,79;11,05;11,00;4,00;11,00;11,00
2019-08-25;67,00;29,60;7,79;18,70;0,00;15,00;11,00;15,00;15,00
2019-09-01;25,00;28,13;21,88;32,81;0,00;7,00;7,00;32,00;7,00
2019-09-08;43,00;49,14;21,50;38,39;0,00;11,00;4,00;14,00;11,00
2019-09-15;43,00;43,00;17,52;28,67;0,00;7,00;4,00;14,00;14,00
2019-09-22;31,00;20,15;34,10;26,35;3,10;3,00;3,00;10,00;7,00
2019-09-29;49,00;20,55;11,06;28,45;3,16;14,00;3,00;10,00;7,00
2019-10-06;61,00;29,72;6,26;40,67;0,00;14,00;7,00;7,00;7,00
2019-10-13;52,00;40,97;17,33;40,97;0,00;24,00;0,00;17,00;10,00
2019-10-20;27,00;27,00;23,82;30,18;6,35;7,00;17,00;13,00;17,00
2019-10-27;34,00;23,18;3,09;29,36;0,00;20,00;3,00;7,00;14,00
2019-11-03;33,00;36,14;15,71;102,14;0,00;23,00;7,00;10,00;7,00
2019-11-10;60,00;23,68;12,63;9,47;0,00;13,00;3,00;3,00;3,00
2019-11-17;43,00;27,07;17,52;36,63;3,19;13,00;7,00;10,00;3,00
2019-11-24;6,00;27,00;33,00;18,00;0,00;22,00;3,00;38,00;6,00
2019-12-01;50,00;26,56;20,31;26,56;0,00;3,00;0,00;7,00;10,00
2019-12-08;57,00;26,19;16,95;29,27;3,08;7,00;3,00;13,00;13,00
2019-12-15;42,00;20,22;10,89;10,89;0,00;25,00;7,00;7,00;14,00
2019-12-22;46,00;42,83;15,86;30,14;7,93;42,00;8,00;8,00;11,00
2019-12-29;62,00;27,90;23,25;27,90;3,10;48,00;7,00;35,00;21,00
2020-01-05;32,00;44,80;32,00;44,80;0,00;32,00;3,00;19,00;25,00
2020-01-12;41,00;59,92;31,54;37,85;3,15;25,00;3,00;19,00;9,00
2020-01-19;45,00;45,00;38,79;26,38;3,10;19,00;6,00;13,00;10,00
2020-01-26;35,00;41,36;22,27;12,73;0,00;13,00;6,00;16,00;29,00
2020-02-02;39,00;62,40;3,12;26,52;0,00;10,00;7,00;23,00;16,00
2020-02-09;31,00;49,60;6,20;15,50;3,10;6,00;6,00;6,00;3,00
2020-02-16;41,00;59,92;22,08;22,08;6,31;9,00;6,00;16,00;6,00
2020-02-23;37,00;46,25;27,75;18,50;0,00;9,00;6,00;6,00;12,00
2020-03-01;25,00;43,75;18,75;21,88;6,25;22,00;9,00;9,00;3,00
2020-03-08;33,00;36,14;6,29;36,14;3,14;18,00;12,00;9,00;6,00
2020-03-15;36,00;12,52;15,65;17,22;3,13;9,00;6,00;21,00;0,00
2020-03-22;29,00;14,50;8,06;17,72;3,22;11,00;9,00;0,00;9,00
2020-03-29;40,00;20,00;6,15;24,62;3,08;17,00;9,00;6,00;3,00
2020-04-05;53,00;20,26;3,12;23,38;0,00;9,00;6,00;9,00;6,00
2020-04-12;44,00;20,43;6,29;14,14;0,00;20,00;6,00;9,00;18,00
2020-04-19;46,00;25,38;7,93;11,10;6,34;3,00;6,00;9,00;17,00
2020-04-26;45,00;24,83;3,10;17,07;6,21;8,00;3,00;11,00;17,00
2020-05-03;32,00;25,60;11,20;25,60;0,00;11,00;14,00;6,00;14,00
2020-05-10;42,00;14,00;6,22;14,00;0,00;0,00;8,00;25,00;14,00
2020-05-17;42,00;20,22;7,78;35,78;0,00;0,00;0,00;14,00;3,00
2020-05-24;36,00;20,35;15,65;20,35;0,00;15,00;6,00;6,00;0,00
2020-05-31;42,00;31,11;7,78;10,89;3,11;8,00;11,00;8,00;6,00
2020-06-07;36,00;21,91;10,96;17,22;0,00;8,00;8,00;11,00;5,00
2020-06-14;48,00;23,23;10,84;10,84;0,00;6,00;11,00;6,00;3,00
2020-06-21;52,00;26,79;11,03;23,64;6,30;3,00;6,00;6,00;12,00
2020-06-28;42,00;14,00;17,11;35,78;0,00;22,00;3,00;11,00;17,00
2020-07-05;35,00;9,55;17,50;33,41;3,18;12,00;6,00;6,00;9,00
2020-07-12;70,00;18,67;6,22;21,78;0,00;9,00;0,00;6,00;6,00
2020-07-19;50,00;12,50;15,63;21,88;3,13;6,00;0,00;9,00;19,00
2020-07-26;35,00;25,45;19,09;22,27;0,00;10,00;6,00;6,00;10,00
2020-08-02;58,00;37,62;15,68;28,22;3,14;13,00;0,00;16,00;3,00
