Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2019-01-06;17,00;17,00;17,00;0,00;0,00;0,00;0,00;0,00;17,00;0,00;0,00;71,40;0,00;0,00;0,00;34,00;0,00;0,00;33,00;0,00;0,00
2019-01-13;64,00;80,52;0,00;16,52;0,00;0,00;0,00;0,00;16,00;0,00;0,00;115,20;0,00;0,00;0,00;64,00;0,00;0,00;0,00;16,00;0,00
2019-01-20;31,00;62,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;31,00;0,00;0,00;0,00;0,00;105,76;0,00;0,00;0,00;0,00;0,00
2019-01-27;30,00;88,00;0,00;0,00;0,00;15,00;0,00;0,00;15,00;0,00;15,00;30,00;0,00;0,00;0,00;58,24;0,00;0,00;15,00;15,00;0,00
2019-02-03;16,00;84,57;16,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;32,00;0,00;0,00;16,00;84,00;0,00;0,00;15,00;0,00;0,00
2019-02-10;31,00;47,53;16,53;0,00;0,00;0,00;0,00;0,00;0,00;0,00;31,00;77,50;0,00;0,00;14,59;45,59;0,00;0,00;0,00;16,00;0,00
2019-02-17;0,00;54,00;15,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;15,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;16,00;76,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;16,00;16,00;0,00;0,00;0,00;16,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;33,00;49,50;33,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;33,00;33,00;0,00;0,00;0,00;33,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;32,00;83,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;32,00;48,00;0,00;0,00;0,00;16,94;0,00;0,00;32,00;0,00;0,00
2019-03-17;49,00;32,67;16,33;0,00;0,00;0,00;0,00;0,00;0,00;0,00;30,63;30,63;0,00;0,00;0,00;32,67;0,00;0,00;0,00;0,00;0,00
2019-03-24;0,00;8,00;16,00;0,00;8,00;17,00;0,00;0,00;0,00;0,00;10,00;31,00;0,00;0,00;0,00;27,00;9,00;0,00;0,00;0,00;0,00
2019-03-31;82,00;132,46;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;31,54;82,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-07;80,00;210,53;16,84;0,00;0,00;0,00;0,00;0,00;16,00;0,00;32,00;80,00;0,00;0,00;0,00;111,63;0,00;0,00;0,00;47,00;0,00
2019-04-14;67,00;50,25;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;15,95;118,05;0,00;0,00;0,00;67,00;0,00;0,00;0,00;0,00;0,00
2019-04-21;87,00;87,00;0,00;0,00;0,00;0,00;0,00;0,00;17,00;0,00;0,00;102,54;0,00;16,66;0,00;70,34;0,00;0,00;0,00;0,00;0,00
