Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2019-01-06;0,00;0,00;19,00;19,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;26,00;0,00;0,00;0,00;38,00;0,00;17,00;0,00;0,00;0,00
2019-01-13;19,00;0,00;19,00;0,00;0,00;19,00;0,00;0,00;19,00;0,00;0,00;19,00;0,00;0,00;0,00;102,60;0,00;0,00;19,00;0,00;0,00
2019-01-20;0,00;0,00;36,00;18,00;18,00;0,00;0,00;0,00;11,00;12,00;25,00;12,00;0,00;0,00;0,00;15,00;0,00;33,00;33,00;0,00;0,00
2019-01-27;18,00;18,00;0,00;18,00;0,00;36,00;0,00;0,00;0,00;0,00;18,00;55,50;18,00;0,00;0,00;54,00;0,00;0,00;74,25;0,00;0,00
2019-02-03;0,00;0,00;0,00;19,00;0,00;11,00;0,00;0,00;0,00;0,00;26,00;13,00;0,00;0,00;0,00;16,00;5,00;0,00;17,00;0,00;17,00
2019-02-10;0,00;0,00;19,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;38,00;0,00;0,00;0,00;16,00;0,00;34,00;34,00;0,00;0,00
2019-02-17;0,00;0,00;0,00;0,00;0,00;12,00;0,00;0,00;24,00;0,00;0,00;27,00;0,00;0,00;0,00;6,00;0,00;18,00;18,00;0,00;18,00
2019-02-24;0,00;0,00;19,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;13,00;26,00;0,00;5,00;0,00;33,00;0,00;0,00;35,00;0,00;18,00
2019-03-03;19,00;0,00;0,00;38,00;0,00;19,00;0,00;0,00;19,00;0,00;19,00;19,00;0,00;0,00;0,00;60,80;0,00;0,00;0,00;19,00;19,00
2019-03-10;0,00;0,00;19,00;0,00;0,00;34,00;0,00;11,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;37,00;0,00;0,00;34,00;0,00;17,00
