Semaine;Nice (FR);Paris (FR);Lille (FR);Strasbourg (FR);Lyon (FR);Marseille (FR);Bordeaux (FR);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Dijon (FR)
2019-01-06;32,00;704,00;32,00;32,00;16,00;5,00;23,00;9,00;9,00;0,00;0,00;5,00;0,00
2019-01-13;40,00;520,00;13,33;13,33;13,33;22,00;4,00;4,00;5,00;5,00;0,00;5,00;4,00
2019-01-20;35,00;647,50;17,50;8,75;35,00;26,00;13,00;0,00;4,00;0,00;9,00;0,00;0,00
2019-01-27;26,00;533,00;26,00;13,00;6,50;35,00;4,00;0,00;4,00;13,00;0,00;0,00;0,00
2019-02-03;9,00;378,00;9,00;18,00;9,00;14,00;5,00;0,00;9,00;14,00;0,00;0,00;5,00
2019-02-10;22,00;451,00;11,00;11,00;11,00;13,00;5,00;0,00;5,00;5,00;0,00;0,00;4,00
2019-02-17;23,00;414,00;11,50;23,00;11,50;23,00;0,00;14,00;5,00;5,00;5,00;9,00;0,00
2019-02-24;42,00;616,00;28,00;7,00;14,00;28,00;9,00;0,00;14,00;9,00;9,00;0,00;0,00
2019-03-03;23,00;460,00;23,00;23,00;11,50;23,00;0,00;9,00;23,00;19,00;0,00;0,00;0,00
2019-03-10;45,00;690,00;15,00;15,00;15,00;27,00;18,00;9,00;0,00;9,00;5,00;5,00;0,00
2019-03-17;18,00;684,00;18,00;18,00;18,00;18,00;27,00;0,00;14,00;5,00;9,00;5,00;4,00
2019-03-24;32,00;688,00;16,00;16,00;16,00;19,00;23,00;14,00;14,00;0,00;5,00;5,00;5,00
2019-03-31;56,00;644,00;28,00;7,00;14,00;23,00;0,00;19,00;9,00;5,00;14,00;0,00;5,00
2019-04-07;36,00;612,00;24,00;12,00;12,00;27,00;18,00;18,00;18,00;5,00;0,00;9,00;5,00
2019-04-14;37,00;1233,33;24,67;24,67;24,67;19,00;5,00;28,00;14,00;9,00;0,00;9,00;0,00
2019-04-21;66,00;633,60;13,20;13,20;39,60;14,00;19,00;24,00;9,00;19,00;5,00;5,00;9,00
2019-04-28;58,00;754,00;29,00;29,00;14,50;13,00;9,00;22,00;4,00;18,00;9,00;0,00;4,00
2019-05-05;49,00;539,00;16,33;16,33;16,33;18,00;22,00;18,00;13,00;9,00;9,00;0,00;0,00
2019-05-12;68,00;639,20;13,60;13,60;13,60;9,00;32,00;23,00;9,00;5,00;5,00;5,00;5,00
2019-05-19;88,00;572,00;29,33;14,67;14,67;35,00;35,00;18,00;9,00;9,00;0,00;0,00;4,00
2019-05-26;58,00;667,00;14,50;14,50;14,50;45,00;13,00;27,00;4,00;9,00;4,00;13,00;0,00
2019-06-02;50,00;587,50;12,50;25,00;12,50;34,00;8,00;13,00;13,00;17,00;0,00;8,00;4,00
2019-06-09;61,00;518,50;30,50;30,50;0,00;30,00;13,00;9,00;9,00;22,00;9,00;9,00;4,00
2019-06-16;61,00;579,50;15,25;30,50;15,25;18,00;26,00;31,00;9,00;9,00;4,00;4,00;4,00
2019-06-23;80,00;506,67;13,33;13,33;40,00;36,00;18,00;4,00;22,00;9,00;0,00;4,00;13,00
2019-06-30;58,00;536,50;14,50;14,50;72,50;27,00;22,00;22,00;9,00;13,00;13,00;18,00;13,00
2019-07-07;62,00;775,00;46,50;31,00;46,50;57,00;31,00;13,00;27,00;13,00;13,00;13,00;9,00
2019-07-14;74,00;784,40;29,60;14,80;14,80;33,00;28,00;19,00;33,00;42,00;9,00;14,00;5,00
2019-07-21;100,00;785,71;7,14;14,29;42,86;30,00;35,00;45,00;40,00;20,00;15,00;5,00;30,00
2019-07-28;80,00;773,33;13,33;40,00;26,67;55,00;40,00;20,00;20,00;15,00;20,00;15,00;15,00
2019-08-04;69,00;731,40;27,60;27,60;27,60;25,00;35,00;25,00;20,00;25,00;5,00;10,00;5,00
2019-08-11;70,00;686,00;42,00;14,00;14,00;23,00;28,00;28,00;9,00;14,00;9,00;9,00;0,00
2019-08-18;71,00;610,60;42,60;28,40;14,20;33,00;14,00;24,00;14,00;5,00;5,00;0,00;10,00
2019-08-25;55,00;481,25;27,50;41,25;6,88;14,00;18,00;14,00;14,00;18,00;0,00;5,00;5,00
2019-09-01;56,00;518,00;14,00;14,00;28,00;13,00;9,00;17,00;9,00;17,00;4,00;4,00;4,00
2019-09-08;70,00;686,00;14,00;14,00;28,00;13,00;9,00;9,00;9,00;4,00;0,00;0,00;4,00
2019-09-15;44,00;674,67;29,33;14,67;14,67;26,00;4,00;13,00;13,00;18,00;0,00;4,00;0,00
2019-09-22;34,00;646,00;17,00;17,00;34,00;13,00;8,00;42,00;9,00;9,00;4,00;0,00;4,00
2019-09-29;13,00;494,00;13,00;13,00;26,00;13,00;8,00;8,00;13,00;0,00;4,00;4,00;0,00
2019-10-06;21,00;567,00;21,00;21,00;10,50;13,00;17,00;21,00;8,00;8,00;0,00;0,00;0,00
2019-10-13;39,00;728,00;26,00;13,00;13,00;30,00;13,00;26,00;9,00;4,00;4,00;0,00;0,00
2019-10-20;30,00;765,00;15,00;30,00;30,00;9,00;26,00;22,00;9,00;9,00;9,00;0,00;0,00
2019-10-27;25,00;450,00;25,00;12,50;12,50;13,00;8,00;8,00;8,00;0,00;4,00;0,00;0,00
2019-11-03;34,00;595,00;17,00;17,00;17,00;21,00;13,00;9,00;9,00;9,00;4,00;4,00;0,00
2019-11-10;17,00;612,00;17,00;17,00;17,00;13,00;0,00;13,00;17,00;0,00;4,00;0,00;0,00
2019-11-17;17,00;697,00;34,00;34,00;17,00;13,00;21,00;13,00;9,00;9,00;9,00;0,00;4,00
2019-11-24;16,00;528,00;48,00;16,00;16,00;33,00;12,00;12,00;4,00;8,00;4,00;0,00;4,00
2019-12-01;9,00;378,00;9,00;9,00;9,00;0,00;4,00;9,00;4,00;0,00;4,00;0,00;0,00
2019-12-08;17,00;629,00;17,00;17,00;17,00;9,00;0,00;0,00;0,00;9,00;4,00;0,00;4,00
2019-12-15;13,00;533,00;26,00;13,00;13,00;13,00;38,00;8,00;4,00;0,00;0,00;8,00;0,00
2019-12-22;37,00;641,33;24,67;24,67;12,33;23,00;14,00;19,00;0,00;5,00;0,00;0,00;0,00
2019-12-29;9,00;396,00;4,50;9,00;4,50;27,00;18,00;13,00;22,00;4,00;4,00;0,00;0,00
2020-01-05;41,00;683,33;6,83;13,67;6,83;20,00;16,00;12,00;4,00;25,00;4,00;4,00;0,00
2020-01-12;44,00;616,00;14,67;14,67;14,67;36,00;44,00;20,00;12,00;4,00;0,00;4,00;0,00
2020-01-19;20,00;780,00;20,00;0,00;20,00;24,00;4,00;8,00;25,00;0,00;8,00;4,00;4,00
2020-01-26;33,00;610,50;16,50;16,50;16,50;25,00;8,00;45,00;0,00;0,00;0,00;4,00;0,00
2020-02-02;54,00;594,00;6,75;27,00;27,00;8,00;12,00;21,00;8,00;4,00;12,00;0,00;4,00
2020-02-09;36,00;444,00;12,00;12,00;12,00;20,00;16,00;8,00;8,00;20,00;0,00;0,00;8,00
2020-02-16;25,00;525,00;25,00;12,50;12,50;8,00;41,00;21,00;4,00;4,00;12,00;4,00;0,00
2020-02-23;24,00;564,00;12,00;12,00;12,00;12,00;4,00;0,00;12,00;0,00;12,00;8,00;4,00
2020-03-01;39,00;429,00;13,00;13,00;13,00;12,00;4,00;12,00;12,00;16,00;4,00;4,00;8,00
2020-03-08;27,00;459,00;0,00;13,50;13,50;19,00;4,00;15,00;8,00;4,00;4,00;8,00;0,00
2020-03-15;19,00;380,00;0,00;19,00;9,50;12,00;12,00;19,00;0,00;0,00;4,00;0,00;4,00
2020-03-22;15,00;120,00;0,00;0,00;7,50;4,00;8,00;4,00;8,00;0,00;0,00;0,00;0,00
2020-03-29;7,00;105,00;7,00;0,00;7,00;4,00;4,00;7,00;0,00;4,00;0,00;0,00;0,00
2020-04-05;8,00;56,00;0,00;4,00;4,00;4,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00
2020-04-12;11,00;143,00;0,00;0,00;5,50;0,00;0,00;8,00;4,00;0,00;0,00;0,00;0,00
