Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2019-01-06;65,00;12,00;6,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;12,26;58,87;0,00;0,00;5,91;53,18;0,00;0,00;0,00;0,00;0,00
2019-01-13;17,00;6,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;6,07;27,93;34,00;0,00;0,00;0,00;62,33;0,00;6,00;6,00;6,00;6,00
2019-01-20;35,00;0,00;17,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11,25;70,00;0,00;0,00;0,00;46,67;0,00;0,00;0,00;6,00;12,00
2019-01-27;52,00;6,00;11,00;0,00;0,00;0,00;0,00;0,00;11,00;0,00;6,19;74,29;0,00;0,00;0,00;101,11;0,00;0,00;6,00;11,00;11,00
2019-02-03;28,00;6,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10,96;34,09;0,00;0,00;5,60;64,40;0,00;0,00;0,00;6,00;0,00
2019-02-10;40,00;6,00;23,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;51,25;0,00;0,00;0,00;54,29;0,00;0,00;0,00;0,00;0,00
2019-02-17;40,00;6,00;11,00;0,00;0,00;0,00;0,00;6,00;6,00;0,00;6,06;50,91;0,00;0,00;0,00;60,00;0,00;0,00;6,00;0,00;0,00
2019-02-24;34,00;0,00;22,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;22,67;74,30;0,00;0,00;0,00;123,64;0,00;0,00;6,00;6,00;0,00
2019-03-03;69,00;23,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;57,91;0,00;0,00;0,00;93,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;70,00;12,00;23,00;0,00;0,00;6,00;0,00;0,00;6,00;0,00;6,14;46,67;0,00;0,00;0,00;46,67;0,00;0,00;6,00;6,00;0,00
2019-03-17;41,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;16,88;57,88;0,00;0,00;0,00;46,86;0,00;0,00;0,00;6,00;12,00
2019-03-24;36,00;6,00;12,00;0,00;0,00;0,00;6,00;0,00;0,00;6,21;18,62;95,59;0,00;0,00;0,00;36,00;6,00;0,00;0,00;0,00;0,00
2019-03-31;41,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;6,03;45,82;0,00;0,00;0,00;23,43;0,00;0,00;6,00;6,00;0,00
2019-04-07;71,00;30,00;6,00;0,00;6,00;6,00;0,00;6,00;6,00;6,12;6,12;82,02;0,00;0,00;0,00;88,75;0,00;0,00;0,00;18,00;6,00
2019-04-14;36,00;6,00;12,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;64,80;0,00;0,00;0,00;93,00;0,00;0,00;0,00;12,00;6,00
2019-04-21;49,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;18,38;41,65;0,00;0,00;0,00;129,71;0,00;0,00;0,00;0,00;0,00
2019-04-28;94,00;6,00;12,00;0,00;0,00;6,00;0,00;0,00;0,00;6,18;6,18;64,32;0,00;0,00;0,00;88,13;5,88;0,00;6,00;12,00;0,00
2019-05-05;54,00;0,00;6,00;6,00;0,00;6,00;0,00;0,00;0,00;0,00;17,18;58,91;0,00;0,00;0,00;78,00;0,00;0,00;0,00;24,00;6,00
2019-05-12;37,00;12,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12,33;78,93;0,00;0,00;0,00;24,67;0,00;0,00;0,00;0,00;0,00
2019-05-19;55,00;12,00;31,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12,22;67,22;0,00;0,00;0,00;49,21;0,00;0,00;0,00;12,00;6,00
2019-05-26;86,00;12,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;18,43;61,43;0,00;0,00;0,00;44,48;0,00;0,00;0,00;12,00;0,00
2019-06-02;60,00;18,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;6,12;12,24;58,78;0,00;0,00;0,00;300,00;0,00;0,00;6,00;12,00;6,00
2019-06-09;55,00;0,00;24,00;0,00;0,00;0,00;0,00;0,00;0,00;12,22;0,00;96,56;0,00;0,00;5,79;101,32;0,00;0,00;12,00;0,00;0,00
2019-06-16;60,00;12,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;6,12;71,02;0,00;0,00;0,00;66,00;0,00;0,00;0,00;0,00;6,00
2019-06-23;56,00;0,00;13,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;6,09;56,00;0,00;0,00;0,00;76,63;0,00;0,00;0,00;6,00;0,00
2019-06-30;82,00;0,00;19,00;0,00;0,00;0,00;0,00;0,00;0,00;6,12;6,12;68,54;0,00;5,86;0,00;43,93;0,00;0,00;0,00;6,00;6,00
2019-07-07;48,00;6,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,15;78,77;0,00;0,00;0,00;99,00;0,00;0,00;18,00;0,00;6,00
2019-07-14;55,00;6,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12,50;55,00;0,00;0,00;0,00;46,32;0,00;0,00;0,00;0,00;0,00
