Semaine;Nice (FR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Fréjus (FR);Cannes (FR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR)
2019-01-06;39,00;3,77;0,00;3,77;3,77;0,00;9,00;3,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;36,00;7,45;0,00;3,72;1,24;0,00;7,00;6,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;32,00;7,38;0,00;3,69;0,00;0,00;8,00;6,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;53,00;3,79;0,00;5,05;3,79;0,00;6,00;6,00;0,00;0,00;1,00;0,00;0,00;1,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;49,00;1,26;0,00;3,77;3,77;0,00;7,00;3,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;43,00;1,26;0,00;2,53;0,00;0,00;10,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;55,00;6,25;1,25;0,00;1,25;0,00;7,00;6,00;0,00;0,00;0,00;1,00;0,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00
2019-02-24;34,00;12,59;1,26;6,30;0,00;0,00;3,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;1,00;1,00;0,00;0,00
2019-03-03;39,00;3,77;0,00;10,06;1,26;0,00;7,00;8,00;0,00;0,00;1,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00
2019-03-10;47,00;3,81;0,00;3,81;0,00;1,00;8,00;6,00;1,00;0,00;0,00;3,00;0,00;1,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00
2019-03-17;44,00;2,51;0,00;10,06;0,00;3,00;9,00;6,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;52,00;7,61;1,27;3,80;2,54;1,00;14,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-31;48,00;12,31;0,00;7,38;1,23;0,00;9,00;4,00;0,00;0,00;0,00;3,00;1,00;0,00;0,00;3,00;3,00;0,00;0,00;0,00;0,00
2019-04-07;36,00;9,93;0,00;1,24;1,24;1,00;16,00;6,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-04-14;52,00;7,61;0,00;5,07;1,27;0,00;9,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-04-21;65,00;7,50;6,25;6,25;0,00;0,00;15,00;9,00;0,00;1,00;1,00;3,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-28;50,00;11,54;2,56;2,56;1,28;0,00;16,00;9,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00
2019-05-05;59,00;6,28;1,26;10,04;3,77;3,00;16,00;3,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00
2019-05-12;66,00;9,96;1,25;2,49;1,25;1,00;22,00;9,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-05-19;53,00;13,56;1,23;7,40;0,00;3,00;22,00;7,00;0,00;0,00;3,00;3,00;1,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-05-26;52,00;13,62;0,00;6,19;2,48;3,00;16,00;4,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-06-02;64,00;7,53;1,25;6,27;1,25;1,00;15,00;10,00;0,00;0,00;1,00;3,00;1,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-06-09;56,00;12,44;0,00;7,47;1,24;1,00;24,00;6,00;0,00;0,00;1,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-16;70,00;12,50;0,00;8,75;0,00;1,00;10,00;17,00;0,00;0,00;0,00;3,00;1,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-06-23;64,00;12,55;1,25;7,53;2,51;0,00;11,00;12,00;0,00;0,00;0,00;2,00;0,00;2,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-06-30;57,00;7,60;1,27;8,87;1,27;0,00;12,00;14,00;0,00;2,00;3,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-07-07;50,00;16,67;0,00;10,26;1,28;3,00;19,00;6,00;0,00;1,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-14;66,00;7,47;2,49;6,23;2,49;1,00;12,00;12,00;1,00;1,00;0,00;1,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-07-21;61,00;12,71;6,35;7,63;2,54;0,00;20,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-28;39,00;23,90;2,52;7,55;1,26;0,00;13,00;9,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00
2019-08-04;41,00;18,64;4,97;13,67;2,48;0,00;7,00;6,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-11;65,00;11,25;1,25;6,25;6,25;1,00;9,00;6,00;0,00;0,00;1,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00
2019-08-18;46,00;86,89;1,28;10,22;3,83;0,00;6,00;7,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-08-25;50,00;125,00;1,25;7,50;0,00;1,00;11,00;10,00;0,00;0,00;3,00;1,00;0,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-09-01;58,00;8,83;1,26;10,09;3,78;1,00;11,00;8,00;1,00;0,00;4,00;3,00;0,00;0,00;0,00;3,00;0,00;0,00;1,00;0,00;0,00
2019-09-08;55,00;11,51;0,00;6,40;2,56;1,00;8,00;11,00;0,00;0,00;4,00;1,00;1,00;1,00;0,00;4,00;1,00;0,00;0,00;0,00;1,00
2019-09-15;46,00;3,73;1,24;2,49;2,49;1,00;7,00;3,00;0,00;0,00;1,00;1,00;3,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00
2019-09-22;66,00;8,72;0,00;8,72;1,25;7,00;12,00;5,00;0,00;0,00;0,00;4,00;0,00;1,00;0,00;4,00;0,00;0,00;0,00;1,00;1,00
2019-09-29;53,00;6,31;0,00;6,31;1,26;3,00;24,00;5,00;1,00;0,00;1,00;4,00;1,00;0,00;0,00;3,00;1,00;0,00;0,00;0,00;0,00
2019-10-06;52,00;13,95;1,27;6,34;1,27;3,00;11,00;4,00;0,00;0,00;1,00;3,00;3,00;1,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-10-13;41,00;11,53;0,00;6,41;2,56;1,00;10,00;7,00;0,00;0,00;3,00;1,00;1,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;1,00
2019-10-20;53,00;5,05;1,26;5,05;1,26;1,00;11,00;11,00;1,00;0,00;1,00;0,00;0,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;1,00
2019-10-27;33,00;14,67;0,00;2,44;1,22;0,00;8,00;9,00;0,00;0,00;1,00;1,00;0,00;1,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-11-03;52,00;10,15;1,27;5,07;3,80;4,00;7,00;5,00;1,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00
2019-11-10;36,00;9,93;0,00;4,97;1,24;0,00;6,00;5,00;4,00;0,00;0,00;1,00;0,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00
2019-11-17;45,00;13,75;1,25;8,75;3,75;1,00;9,00;6,00;0,00;0,00;3,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00
2019-11-24;54,00;15,07;0,00;5,02;1,26;1,00;7,00;8,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00;3,00;4,00;1,00;0,00;0,00;0,00
2019-12-01;52,00;7,61;2,54;5,07;1,27;1,00;10,00;4,00;0,00;1,00;3,00;1,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-12-08;64,00;7,53;1,25;11,29;0,00;1,00;10,00;7,00;0,00;0,00;8,00;4,00;0,00;0,00;1,00;3,00;0,00;0,00;1,00;0,00;0,00
2019-12-15;62,00;16,45;2,53;7,59;2,53;0,00;12,00;7,00;3,00;1,00;0,00;4,00;0,00;0,00;0,00;4,00;1,00;0,00;0,00;0,00;3,00
2019-12-22;100,00;5,00;5,00;10,00;1,25;6,00;23,00;0,00;0,00;2,00;2,00;5,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-29;76,00;22,80;0,00;10,13;2,53;3,00;11,00;6,00;0,00;0,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-01-05;80,00;15,24;2,54;8,89;7,62;5,00;13,00;9,00;8,00;1,00;0,00;3,00;0,00;0,00;0,00;3,00;4,00;3,00;0,00;0,00;0,00
2020-01-12;95,00;15,00;6,25;11,25;2,50;1,00;25,00;9,00;4,00;0,00;1,00;1,00;1,00;0,00;0,00;2,00;1,00;0,00;0,00;0,00;2,00
2020-01-19;100,00;12,66;1,27;7,59;2,53;1,00;22,00;12,00;4,00;0,00;4,00;1,00;0,00;1,00;0,00;3,00;1,00;0,00;0,00;0,00;3,00
2020-01-26;73,00;13,84;1,26;11,33;1,26;0,00;14,00;13,00;1,00;0,00;1,00;5,00;1,00;0,00;0,00;3,00;1,00;3,00;0,00;0,00;3,00
2020-02-02;68,00;15,11;0,00;11,33;3,78;4,00;13,00;5,00;3,00;0,00;1,00;3,00;0,00;1,00;0,00;4,00;2,00;1,00;0,00;0,00;1,00
2020-02-09;74,00;15,05;0,00;3,76;5,02;0,00;14,00;8,00;1,00;0,00;4,00;4,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;1,00
